Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,V:RGO - RAZ DVA TRI (w/ Atanas Kolev),5,1,(x5),13868,-2070.0,88478,13868,88478,V:RGO,RAZ DVA TRI (w/ Atanas Kolev)
2,=,Kiara - Мисли му (w/ Monkey),44,1,(x4),12410,-1751.0,100776,-3111,446647,Kiara,Мисли му (w/ Monkey)
3,=,Galena - 22:22,9,1,(x1),12343,-1656.0,118644,-2311,147989,Galena,22:22
4,+2,Jimin - Who,304,1,(x266),11730,1712.0,72678,1066,7419951,Jimin,Who
5,+2,Adam - Bum Lake Pare (w/ Mirela),76,1,(x6),10393,412.0,72798,815,997549,Adam,Bum Lake Pare (w/ Mirela)
6,-1,MBT - Only Fans,14,1,(x6),9897,-1570.0,100258,-5846,265313,MBT,Only Fans
7,+2,MBT - Pandora,14,2,(x5),7699,-1152.0,78234,-4875,210475,MBT,Pandora
8,=,MBT - Milkyway,14,3,(x1),7677,-1548.0,78809,-4103,200587,MBT,Milkyway
9,+3,"Galin - Звъня ти, ало",46,1,(x3),7085,-368.0,56104,-247,535831,Galin,"Звъня ти, ало"
10,+7,SIMONA - Май полудях (w/ Ivayla),57,3,(x3),6884,1503.0,43761,-204,479547,SIMONA,Май полудях (w/ Ivayla)
11,-1,MBT - Fokusi,14,3,(x3),6826,-1026.0,70496,-4464,193353,MBT,Fokusi
12,+1,Djordan - Мераклия,148,2,(x11),6136,-310.0,44943,73,1373175,Djordan,Мераклия
13,+8,Andrea - Losha,417,1,(x2),5484,484.0,34980,151,2728738,Andrea,Losha
14,+2,Dessita - Разкажи ѝ,110,2,(x32),5465,-32.0,42625,-886,1149988,Dessita,Разкажи ѝ
15,+26,"Adam - Така съм аз, така си ти (w/ Ivayla)",314,12,,5456,1750.0,26161,2524,1379708,Adam,"Така съм аз, така си ти (w/ Ivayla)"
16,-1,Molec - Как (w/ Robi),6,12,,5065,-563.0,40306,5065,40306,Molec,Как (w/ Robi)
17,-13,Jung Kook - Seven (w/ Latto),481,1,(x5),4966,-6927.0,90631,-12344,1798598,Jung Kook,Seven (w/ Latto)
18,-4,Dessita - Mi Amor (w/ Djordan),346,1,(x28),4919,-720.0,38121,-1050,3412568,Dessita,Mi Amor (w/ Djordan)
19,=,Selina - Мазохистка,35,13,,4843,-470.0,34053,1148,146716,Selina,Мазохистка
20,-2,MBT - Chasat (w/ BM),14,7,,4766,-578.0,48561,-3385,134855,MBT,Chasat (w/ BM)
21,+5,Fiki - Egati matskata (w/ Sali Okka),25,20,,4694,240.0,33003,1643,79458,Fiki,Egati matskata (w/ Sali Okka)
22,+10,DJ Damyan - Окадар (w/ Emanuela),358,1,(x13),4513,285.0,33570,-486,3262246,DJ Damyan,Окадар (w/ Emanuela)
23,+14,Jimin - Rebirth (Intro),222,2,(x4),4439,613.0,15905,2559,1252780,Jimin,Rebirth (Intro)
24,-13,Jung Kook - 3D (w/ Jack Harlow),110,5,,4438,-3389.0,59374,-6881,447655,Jung Kook,3D (w/ Jack Harlow)
25,+3,Jimin - Slow Dance (w/ Sofia Carson),271,2,(x3),4374,-29.0,26415,1835,1447672,Jimin,Slow Dance (w/ Sofia Carson)
26,-3,Ilian Boyd - Кокона,12,18,,4371,-349.0,38268,-33,55823,Ilian Boyd,Кокона
27,=,DJ Damyan - Биткойн кючек (w/ Monkey),98,9,,4324,-95.0,33742,-315,472454,DJ Damyan,Биткойн кючек (w/ Monkey)
28,+39,Krisko - #OET,678,8,,4283,1244.0,22007,1538,1539394,Krisko,#OET
29,-7,"MBT - Cypher (w/ Bliznacite, BM)",14,5,,4249,-742.0,46827,-3726,139656,MBT,"Cypher (w/ Bliznacite, BM)"
30,+1,"HUGEL - I Adore You (w/ Topic, Arash, Daecolm)",299,12,,4049,-184.0,32018,-213,1267998,HUGEL,"I Adore You (w/ Topic, Arash, Daecolm)"
31,+2,"Krisko - Ministarat Na Veselieto (w/ Lora Karajova, Bobo)",347,4,,3991,-186.0,31885,-565,1105757,Krisko,"Ministarat Na Veselieto (w/ Lora Karajova, Bobo)"
32,-2,ROSÉ - APT. (w/ Bruno Mars),213,6,,3974,-364.0,26768,-274,1337136,ROSÉ,APT. (w/ Bruno Mars)
