Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Wegz - ELWA3D,32,1,(x29),103345,323.0,800224,-22774,3953652,Wegz,ELWA3D
2,=,Essam Sasa - محكمه ودخلنا علي المفرمه - افتري و عوجلي شعره لورا,33,2,(x27),94110,552.0,721136,-14054,3577266,Essam Sasa,محكمه ودخلنا علي المفرمه - افتري و عوجلي شعره لورا
3,+1,Marwan Moussa - KALEMENY BELEL (w/ Lege-Cy),14,3,(x1),92751,4076.0,585892,26280,1017899,Marwan Moussa,KALEMENY BELEL (w/ Lege-Cy)
4,-1,مصطفي الجن و هادي الصغير - تيم الابداع - بعبع دايرتى,88,1,(x19),92095,1423.0,686011,-10776,7165656,مصطفي الجن و هادي الصغير,تيم الابداع - بعبع دايرتى
5,=,"مصطفي الجن و هادي الصغير - تيم الابداع - كاتم الانفاس - محطوط تشكيل (w/ Mostafa Elgen, Hady El Soghayar)",144,1,(x10),65675,-610.0,489133,-4443,10229158,مصطفي الجن و هادي الصغير,"تيم الابداع - كاتم الانفاس - محطوط تشكيل (w/ Mostafa Elgen, Hady El Soghayar)"
6,=,Eslam Kabonga - انا مش ديلار يا حكومه,134,1,(x50),64008,-1431.0,467124,-4759,10613273,Eslam Kabonga,انا مش ديلار يا حكومه
7,=,Bahaa Sultan - صحبي يا صحبي,66,2,(x2),63890,1266.0,476629,-10474,5038064,Bahaa Sultan,صحبي يا صحبي
8,+1,Eslam Kabonga - انا لبسي اوفر سايز (w/ Figo El Dakhlawy),39,8,,58508,1137.0,414743,-761,1295214,Eslam Kabonga,انا لبسي اوفر سايز (w/ Figo El Dakhlawy)
9,-1,Rahma Mohsen - حفلة تنكرية,64,5,,56884,-988.0,435715,-8038,3958386,Rahma Mohsen,حفلة تنكرية
10,=,Essam Sasa - ولاد الشمس,82,4,,54962,2444.0,414476,-8453,4720062,Essam Sasa,ولاد الشمس
11,=,Ramy Sabry - الحب عيبنا,68,5,,52849,1988.0,417074,-10465,3354519,Ramy Sabry,الحب عيبنا
12,=,Tommy Gun - Emshy (w/ Rally),142,3,(x12),45699,362.0,334370,-1779,7006456,Tommy Gun,Emshy (w/ Rally)
13,+2,Tamer Ashour - Makrehtosh,123,2,(x1),44327,5211.0,307895,-787,5746801,Tamer Ashour,Makrehtosh
14,-1,Essam Sasa - فى زنزانتى يانفسي تعبتى واتهانتى,51,2,(x2),43571,1211.0,325265,-5742,2754074,Essam Sasa,فى زنزانتى يانفسي تعبتى واتهانتى
15,-1,Karim Osama - Kadaba,94,3,(x1),42517,1275.0,326622,-9871,4454642,Karim Osama,Kadaba
16,+1,Ramy Sabry - Seket Leh,335,9,,41930,5404.0,295636,909,8402890,Ramy Sabry,Seket Leh
17,+3,Tamer Ashour - Kan Mawdo3,902,17,,40076,4842.0,267256,6194,14974898,Tamer Ashour,Kan Mawdo3
18,-2,Mahmoud El Esseily - حبيبي وابن حبيبي - من مسلسل كامل العدد ++,70,13,,39784,2751.0,286008,-5508,2430681,Mahmoud El Esseily,حبيبي وابن حبيبي - من مسلسل كامل العدد ++
19,+6,Tamer Ashour - Yaah,150,6,,38248,4453.0,261800,-5421,4973979,Tamer Ashour,Yaah
20,-2,Ramy Sabry - لما بيوحشني,753,10,,37390,1400.0,267007,-5341,16225395,Ramy Sabry,لما بيوحشني
21,-2,Ilmond - Yazmeely,656,2,(x10),37217,1464.0,260766,788,23541073,Ilmond,Yazmeely
22,+1,Saint Levant - KALAMANTINA / كلمنتينا (w/ Marwan Moussa),51,21,,36249,1649.0,246482,4279,1111596,Saint Levant,KALAMANTINA / كلمنتينا (w/ Marwan Moussa)
23,+5,Tamer Ashour - Ghebet El Habayeb,122,22,,35180,2285.0,244491,721,2274705,Tamer Ashour,Ghebet El Habayeb
24,=,Marwan Pablo - BONO,48,5,,35108,630.0,256383,-3818,2518368,Marwan Pablo,BONO
25,+7,Youssif Elashry - اتنسينا,205,1,(x33),34274,3851.0,235807,-2020,12138296,Youssif Elashry,اتنسينا
26,-5,Wegz - البخت,1178,1,(x159),33498,-1292.0,237852,2303,36114226,Wegz,البخت
