Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Alex Warren - Ordinary,101,1,(x44),77610,-13957.0,563468,3791,6697438,Alex Warren,Ordinary
2,=,Kingfishr - Killeagh,142,1,(x20),68804,-8342.0,491373,1768,5715853,Kingfishr,Killeagh
3,+1,sombr - undressed,59,3,(x16),57620,-4153.0,424650,1922,2506631,sombr,undressed
4,-1,Chappell Roan - Pink Pony Club,328,2,(x15),52953,-11630.0,363214,2291,10212554,Chappell Roan,Pink Pony Club
5,=,Ravyn Lenae - Love Me Not,112,4,,48394,-5484.0,344633,3242,3217407,Ravyn Lenae,Love Me Not
6,=,Billie Eilish - BIRDS OF A FEATHER,367,2,(x29),42143,-8313.0,294727,1272,18936427,Billie Eilish,BIRDS OF A FEATHER
7,=,Tate McRae - Sports car,115,5,,38673,-10314.0,264093,10117,4118454,Tate McRae,Sports car
8,+3,sombr - back to friends,76,6,,36863,-3122.0,273351,-416,2110341,sombr,back to friends
9,-1,Tate McRae - Revolving door,87,8,,35553,-7741.0,238968,10001,2385258,Tate McRae,Revolving door
10,=,Gracie Abrams - That’s So True,213,1,(x109),35534,-5773.0,253811,-955,14739912,Gracie Abrams,That’s So True
11,+1,"Chappell Roan - Good Luck, Babe!",407,1,(x31),32277,-6644.0,224973,565,18824634,Chappell Roan,"Good Luck, Babe!"
12,-3,Calvin Harris - Blessings (w/ Clementine Douglas),10,8,,32008,-9486.0,237320,13546,304581,Calvin Harris,Blessings (w/ Clementine Douglas)
13,+1,Hozier - Too Sweet,422,1,(x32),31773,-4174.0,196548,11222,20622321,Hozier,Too Sweet
14,-1,Lola Young - Messy,185,1,(x3),31593,-6499.0,231702,-452,8195315,Lola Young,Messy
15,+3,Amble - Schoolyard Days,73,14,,28749,-3711.0,204206,2335,1789369,Amble,Schoolyard Days
16,+4,Gigi Perez - Sailor Song,297,1,(x18),28633,-3184.0,208112,-868,15135945,Gigi Perez,Sailor Song
17,-2,ROSÉ - APT. (w/ Bruno Mars),213,3,(x4),28496,-5843.0,191101,2031,7779809,ROSÉ,APT. (w/ Bruno Mars)
18,-2,Fleetwood Mac - Dreams - 2004 Remaster,2241,9,,27859,-5545.0,171751,6837,23986008,Fleetwood Mac,Dreams - 2004 Remaster
19,+2,Charli xcx - party 4 u,33,14,,27847,-2502.0,193775,3567,769015,Charli xcx,party 4 u
20,-1,Alex Warren - Carry You Home,344,10,,27260,-4712.0,191948,2901,6489336,Alex Warren,Carry You Home
21,-4,WizTheMc - Show Me Love (w/ bees & honey),70,12,,27187,-5555.0,199926,1930,1670434,WizTheMc,Show Me Love (w/ bees & honey)
22,+3,Benson Boone - Beautiful Things,486,1,(x15),26240,-2977.0,174183,2296,20457323,Benson Boone,Beautiful Things
23,-1,Noah Kahan - Stick Season,877,1,(x111),25905,-4338.0,185189,1261,34114524,Noah Kahan,Stick Season
24,+2,Zach Bryan - I Remember Everything (w/ Kacey Musgraves),633,5,,24942,-4210.0,174791,2977,18517693,Zach Bryan,I Remember Everything (w/ Kacey Musgraves)
25,-2,Sabrina Carpenter - Taste,269,1,(x48),24537,-5526.0,174401,470,12440462,Sabrina Carpenter,Taste
26,-2,Sabrina Carpenter - Espresso,402,1,(x29),23984,-5266.0,159202,3372,19905815,Sabrina Carpenter,Espresso
27,+6,Zach Bryan - Pink Skies,360,8,,23930,-2961.0,170417,702,11041338,Zach Bryan,Pink Skies
28,+17,Lorde - Ribs,26,28,,23608,273.0,160075,2707,464306,Lorde,Ribs
29,=,Benson Boone - Mystical Magical,24,21,,23494,-4586.0,171826,2843,463420,Benson Boone,Mystical Magical
30,+8,Dasha - Austin,455,6,,23061,-2065.0,145103,3815,14964496,Dasha,Austin
31,-3,Teddy Swims - Bad Dreams,242,12,,22959,-5437.0,160239,4128,4904443,Teddy Swims,Bad Dreams
32,-1,Shaboozey - A Bar Song (Tipsy),402,1,(x2),22628,-4451.0,154317,3800,16526770,Shaboozey,A Bar Song (Tipsy)
33,-6,Chrystal - The Days - NOTION Remix (w/ NOTION),142,6,,22616,-5960.0,173856,812,3417320,Chrystal,The Days - NOTION Remix (w/ NOTION)
34,+1,Myles Smith - Stargazing,373,7,,22554,-4056.0,151999,3752,11265621,Myles Smith,Stargazing
35,-3,Benson Boone - Sorry I'm Here For Someone Else,79,16,,22446,-4564.0,166734,2012,1630639,Benson Boone,Sorry I'm Here For Someone Else
36,-2,Lady Gaga - Die With A Smile (w/ Bruno Mars),276,4,,22405,-4224.0,155126,2177,9984743,Lady Gaga,Die With A Smile (w/ Bruno Mars)
37,+5,Amble - Lonely Island,231,15,,22168,-1942.0,162991,508,3854691,Amble,Lonely Island
38,-8,Ed Sheeran - Azizam,41,17,,21775,-5917.0,159861,2640,928388,Ed Sheeran,Azizam
39,+5,Natasha Bedingfield - Unwritten,501,4,,20795,-2869.0,144663,1357,10661366,Natasha Bedingfield,Unwritten
40,-4,Chappell Roan - HOT TO GO!,357,7,,20677,-5290.0,139146,1090,10110888,Chappell Roan,HOT TO GO!
41,-4,Doechii - Anxiety,75,4,,20615,-4934.0,153709,-547,2379012,Doechii,Anxiety
42,+1,Sabrina Carpenter - Busy Woman,94,5,,19928,-3816.0,158653,-1156,2923539,Sabrina Carpenter,Busy Woman
43,+4,Fontaines D.C. - Favourite,217,35,,19522,-2424.0,144794,1432,3257995,Fontaines D.C.,Favourite
44,+6,The Killers - Mr. Brightside,3650,12,,19333,-2090.0,125807,1932,35729171,The Killers,Mr. Brightside
45,+4,The Goo Goo Dolls - Iris,1443,26,,19202,-2240.0,138328,-151,18068929,The Goo Goo Dolls,Iris
46,-7,Tate McRae - greedy,571,1,(x4),18843,-5806.0,120344,6927,14274782,Tate McRae,greedy
47,+1,Teddy Swims - Lose Control,544,3,(x1),18566,-3202.0,126541,1718,16448157,Teddy Swims,Lose Control
48,+3,Empire Of The Sun - We Are The People,81,46,,18384,-2827.0,129561,2000,1165492,Empire Of The Sun,We Are The People
49,-3,Fleetwood Mac - Everywhere - 2017 Remaster,2500,24,,18309,-4420.0,123636,2659,21148001,Fleetwood Mac,Everywhere - 2017 Remaster
50,-10,"Sonny Fodera - Somedays (w/ Jazzy, D.O.D)",297,9,,18254,-6034.0,137856,2491,6538235,Sonny Fodera,"Somedays (w/ Jazzy, D.O.D)"
51,+6,Kingfishr - Shot In The Dark,205,36,,18136,-1611.0,124214,1485,2711949,Kingfishr,Shot In The Dark
52,-11,Tate McRae - It's ok I'm ok,222,25,,18054,-6074.0,114928,7421,3084261,Tate McRae,It's ok I'm ok
53,+5,Hozier - Take Me To Church,2839,2,(x8),17708,-1705.0,109992,5839,23339804,Hozier,Take Me To Church
54,+18,Declan McKenna - Brazil,1019,30,,17579,-564.0,107797,3914,12188840,Declan McKenna,Brazil
55,+5,Zach Bryan - Something in the Orange,993,9,,17357,-1853.0,118914,1845,18680161,Zach Bryan,Something in the Orange
56,NEW,JJ - Wasted Love,1,56,,17343,,17343,17343,17343,JJ,Wasted Love
57,+2,The Police - Every Breath You Take,692,25,,17241,-2012.0,116414,224,7326520,The Police,Every Breath You Take
58,-5,Lorde - What Was That,25,5,,16949,-3143.0,141893,-1866,638045,Lorde,What Was That
59,+12,Vance Joy - Riptide,3318,10,,16881,-1355.0,104697,3282,27784593,Vance Joy,Riptide
60,+4,Noah Kahan - Northern Attitude,424,20,,16742,-1790.0,125281,-524,5741866,Noah Kahan,Northern Attitude
61,-9,Post Malone - I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen),373,1,(x5),16605,-3899.0,118189,1981,12526859,Post Malone,I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen)
62,+27,"Gracie Abrams - I Love You, I'm Sorry",323,2,(x2),16545,-193.0,117160,-1287,11533187,Gracie Abrams,"I Love You, I'm Sorry"
63,+12,Van Morrison - Brown Eyed Girl,813,21,,16406,-1405.0,98697,2570,8584172,Van Morrison,Brown Eyed Girl
64,+1,Mark Ambor - Belong Together,439,5,,16373,-2102.0,104441,3450,12393177,Mark Ambor,Belong Together
65,-11,Myles Smith - Nice To Meet You,190,35,,16364,-3613.0,116874,2226,2761880,Myles Smith,Nice To Meet You
66,-10,Drake - NOKIA,94,27,,16319,-3549.0,132661,-1591,1909555,Drake,NOKIA
67,+7,Calvin Harris - Feel So Close,759,45,,16296,-1553.0,98564,5806,6880075,Calvin Harris,Feel So Close
68,+14,Dire Straits - Sultans Of Swing,129,66,,16173,-832.0,103479,2558,1372605,Dire Straits,Sultans Of Swing
69,+12,Empire Of The Sun - Walking On A Dream,74,69,,16155,-948.0,103566,3614,742661,Empire Of The Sun,Walking On A Dream
70,+8,Paolo Nutini - Candy,1020,4,,16100,-1160.0,109732,1895,13159470,Paolo Nutini,Candy
71,+21,Blood Orange - Champagne Coast,125,56,,16004,-383.0,109521,643,1559648,Blood Orange,Champagne Coast
72,+4,Mac Miller - The Spins,191,64,,15701,-1759.0,103281,3111,1775115,Mac Miller,The Spins
