Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jimin - Who,304,1,(x300),25376,-78.0,209106,-10677,11177542,Jimin,Who
2,=,Artur - Дай (w/ RICK),31,2,(x9),9881,-1353.0,78537,-776,249520,Artur,Дай (w/ RICK)
3,+11,Jimin - Be Mine,304,2,(x64),9703,2893.0,67508,567,3366757,Jimin,Be Mine
4,+2,Ernar Amandyq - Keipker,91,4,,8968,41.0,59532,1249,584703,Ernar Amandyq,Keipker
5,-2,JENNIE - like JENNIE,73,2,(x13),8803,-1193.0,71254,-227,799796,JENNIE,like JENNIE
6,-1,Kazybek Kuraiysh - Бақытыңды табасың,269,2,(x1),8602,-354.0,67264,-598,2098475,Kazybek Kuraiysh,Бақытыңды табасың
7,+3,Kazybek Kuraiysh - Korkemim,832,5,,8361,277.0,57134,179,3877804,Kazybek Kuraiysh,Korkemim
8,-4,Duman - Баяғыдай,227,2,(x1),8210,-791.0,59614,752,2343842,Duman,Баяғыдай
9,-2,Қанат Ерлан - Saǵynamyn,334,4,,7936,-718.0,57795,-155,2331865,Қанат Ерлан,Saǵynamyn
10,-1,Lady Gaga - Die With A Smile (w/ Bruno Mars),270,2,(x37),7589,-672.0,57604,-50,3260112,Lady Gaga,Die With A Smile (w/ Bruno Mars)
11,-3,ALEM - Kuiim,93,4,,7457,-1088.0,61229,-697,630518,ALEM,Kuiim
12,+1,madk1d - так похуй,50,8,,6735,-295.0,48663,485,356116,madk1d,так похуй
13,-2,M'Dee - нужна,39,3,(x3),6731,-668.0,57211,-473,344495,M'Dee,нужна
14,+13,Jin - Don’t Say You Love Me,3,13,,6565,463.0,20407,6565,20407,Jin,Don’t Say You Love Me
15,+7,Billie Eilish - WILDFLOWER,247,5,,6336,-2.0,45134,773,1732291,Billie Eilish,WILDFLOWER
16,-1,Billie Eilish - BIRDS OF A FEATHER,367,8,,6321,-472.0,47913,193,2412594,Billie Eilish,BIRDS OF A FEATHER
17,+16,akimmmich - Umyttyń Ba? (w/ Turar),300,6,,6310,485.0,44643,-751,1987946,akimmmich,Umyttyń Ba? (w/ Turar)
18,=,Nafeesisboujee - Stephanie,109,15,,6230,-431.0,43670,461,552867,Nafeesisboujee,Stephanie
19,-7,6ELLUCCI - Kobelek,330,9,,6229,-1033.0,49763,-67,1933899,6ELLUCCI,Kobelek
20,-1,elemeimin - Асылым,104,9,,6183,-473.0,45741,47,649424,elemeimin,Асылым
21,-4,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",656,1,(x56),6171,-572.0,48314,80,5327990,The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)"
22,-6,"Sayfalse - LOS VOLTAJE (w/ Yb Wasg'ood, Ariis)",19,13,,5998,-747.0,48026,-444,115339,Sayfalse,"LOS VOLTAJE (w/ Yb Wasg'ood, Ariis)"
23,=,Nuricko - С тобой (w/ Ulukmanapo),315,5,,5968,-358.0,45081,626,2129244,Nuricko,С тобой (w/ Ulukmanapo)
24,+2,IL'HAN - Арман - Сені күнде көру,960,7,,5922,-259.0,44112,-525,5245770,IL'HAN,Арман - Сені күнде көру
25,+4,Ulukmanapo - Расстояние (w/ Bakr),1086,1,(x85),5916,-87.0,40119,733,10980430,Ulukmanapo,Расстояние (w/ Bakr)
26,+2,Arctic Monkeys - I Wanna Be Yours,1110,2,(x16),5880,-202.0,43946,-69,7410769,Arctic Monkeys,I Wanna Be Yours
27,-7,ATLXS - PASSO BEM SOLTO - Slowed,72,7,,5840,-810.0,45117,-596,528008,ATLXS,PASSO BEM SOLTO - Slowed
28,-3,Dosekesh - Taspa,619,12,,5824,-484.0,41579,350,2720700,Dosekesh,Taspa
29,-5,The Adresov - Гром и гроза,150,7,,5768,-546.0,43709,187,973356,The Adresov,Гром и гроза
30,-9,kizaru - Fake ID (w/ Icegergert),38,4,,5534,-857.0,45085,-448,310239,kizaru,Fake ID (w/ Icegergert)
31,+10,MOLDANAZAR - Mahabbatym,832,20,,5521,120.0,38905,161,3734362,MOLDANAZAR,Mahabbatym
32,+3,"MOLIY - Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)",11,32,,5480,-303.0,35946,2308,48380,MOLIY,"Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)"
33,+3,Imogen Heap - Headlock,152,15,,5469,-225.0,40067,270,784038,Imogen Heap,Headlock
34,=,LUCAVEROS - Дома,224,20,,5456,-340.0,39552,407,1258918,LUCAVEROS,Дома
35,-5,Ernar Amandyq - Meni kut,42,30,,5446,-494.0,37868,400,209107,Ernar Amandyq,Meni kut
36,+2,The Neighbourhood - Sweater Weather,1184,6,,5370,-133.0,39479,145,6705179,The Neighbourhood,Sweater Weather
37,-6,Darkhan Juzz - Sheker,815,5,,5332,-571.0,41418,-726,5417195,Darkhan Juzz,Sheker
38,-6,Jah Khalib - В открытый космос,14,27,,5320,-578.0,39742,376,69761,Jah Khalib,В открытый космос
39,-2,TARA202 - Магистрали,80,26,,5256,-402.0,35977,404,380626,TARA202,Магистрали
