Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+55,JJ - Wasted Love,3.0,1.0,(x1),5207.0,3820.0,7715.0,5207.0,7715.0,JJ,Wasted Love
2,+28,Tommy Cash - Espresso Macchiato,3.0,2.0,(x1),4892.0,3006.0,8226.0,4892.0,8226.0,Tommy Cash,Espresso Macchiato
3,-2,Alex Warren - Ordinary,100.0,1.0,(x41),4291.0,-747.0,36534.0,-68.0,328456.0,Alex Warren,Ordinary
4,+22,Abor & Tynna - Baller,3.0,4.0,,3997.0,2064.0,7726.0,3997.0,7726.0,Abor & Tynna,Baller
5,-3,Hamza - KYKY2BONDY,15.0,2.0,(x4),3900.0,-635.0,28339.0,1877.0,40857.0,Hamza,KYKY2BONDY
6,-3,Werenoi - Poney,38.0,3.0,(x1),3195.0,-427.0,14774.0,1961.0,76781.0,Werenoi,Poney
7,+27,KAJ - Bara Bada Bastu,3.0,7.0,,3174.0,1388.0,6288.0,3174.0,6288.0,KAJ,Bara Bada Bastu
8,+14,Louane - maman,3.0,8.0,,3065.0,1084.0,6468.0,3065.0,6468.0,Louane,maman
9,-5,ROSÉ - APT. (w/ Bruno Mars),213.0,1.0,(x64),2842.0,-728.0,22048.0,-485.0,881234.0,ROSÉ,APT. (w/ Bruno Mars)
10,+9,Laura Thorn - La poupée monte le son,14.0,6.0,,3785.0,199.0,10410.0,3785.0,29328.0,Laura Thorn,La poupée monte le son
11,-6,WizTheMc - Show Me Love (w/ bees & honey),83.0,2.0,(x8),2544.0,-677.0,22502.0,-521.0,220989.0,WizTheMc,Show Me Love (w/ bees & honey)
12,-4,GIMS - NINAO,84.0,3.0,(x1),2355.0,-430.0,20022.0,-109.0,224340.0,GIMS,NINAO
13,RE,Lucio Corsi - Volevo essere un duro,3.0,13.0,,2331.0,,2331.0,2331.0,4555.0,Lucio Corsi,Volevo essere un duro
14,-5,Werenoi - Chemin d'or,29.0,9.0,,2316.0,-466.0,5098.0,2316.0,33814.0,Werenoi,Chemin d'or
15,-8,Lola Young - Messy,160.0,2.0,(x5),2290.0,-531.0,19679.0,-519.0,457182.0,Lola Young,Messy
16,+11,NAPA - Deslocado,10.0,16.0,,2253.0,345.0,8837.0,2253.0,14280.0,NAPA,Deslocado
17,-11,Bad Bunny - DtMF,130.0,1.0,(x10),2189.0,-676.0,21514.0,-842.0,463246.0,Bad Bunny,DtMF
18,-8,Siaka - Los Angeles,9.0,8.0,,2019.0,-402.0,16595.0,598.0,19335.0,Siaka,Los Angeles
19,+57,Kyle Alessandro - Lighter,3.0,19.0,,1960.0,817.0,4129.0,1960.0,4129.0,Kyle Alessandro,Lighter
20,-9,Lady Gaga - Die With A Smile (w/ Bruno Mars),276.0,1.0,(x28),1943.0,-393.0,15920.0,-166.0,980849.0,Lady Gaga,Die With A Smile (w/ Bruno Mars)
21,+3,Werenoi - Pétunias,3.0,21.0,,1833.0,-113.0,3779.0,1833.0,4788.0,Werenoi,Pétunias
22,NEW,Yuval Raphael - New Day Will Rise,1.0,22.0,,1812.0,,1812.0,1812.0,1812.0,Yuval Raphael,New Day Will Rise
23,-8,Ed Sheeran - Azizam,40.0,14.0,,1784.0,-427.0,14112.0,105.0,69663.0,Ed Sheeran,Azizam
