Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",86,1,(x48),165386,-34298.0,1320377,-8062,14827727,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
2,=,Bad Bunny - BAILE INoLVIDABLE,134,1,(x73),138840,-23482.0,1093058,-12799,31824863,Bad Bunny,BAILE INoLVIDABLE
3,+1,Beéle - Mi Refe (w/ Ovy On The Drums),153,3,(x33),99641,-17400.0,800963,-869,19214758,Beéle,Mi Refe (w/ Ovy On The Drums)
4,-1,Alleh - capaz (merengueton) (w/ Yorghaki),160,2,(x3),99237,-24717.0,807980,-2757,21738105,Alleh,capaz (merengueton) (w/ Yorghaki)
5,=,Bad Bunny - EoO,134,3,(x2),93023,-16471.0,736353,-6579,16760379,Bad Bunny,EoO
6,=,Bad Bunny - DtMF,134,1,(x11),91046,-12426.0,697139,-2262,23618931,Bad Bunny,DtMF
7,=,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",76,3,(x6),83041,-16904.0,662743,1388,7426826,Jombriel,"VITAMINA (w/ DFZM, Jøtta)"
8,+2,Fuerza Regida - COQUETA (w/ Grupo Frontera),36,8,,78423,-10534.0,547820,19995,1577726,Fuerza Regida,COQUETA (w/ Grupo Frontera)
9,-1,Rauw Alejandro - Khé? (w/ Romeo Santos),185,1,(x46),77140,-15611.0,603640,6568,30887489,Rauw Alejandro,Khé? (w/ Romeo Santos)
10,-1,Feid - LUNA (w/ ATL Jacob),535,1,(x116),76952,-14737.0,597788,5945,93169356,Feid,LUNA (w/ ATL Jacob)
11,=,Bad Bunny - VOY A LLeVARTE PA PR,134,4,,74521,-12513.0,586554,-5535,17447651,Bad Bunny,VOY A LLeVARTE PA PR
12,+1,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",134,5,,71201,-12767.0,567356,-10874,15195062,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
13,+2,Bad Bunny - KLOuFRENS,134,9,,70702,-8412.0,561794,-1602,12785800,Bad Bunny,KLOuFRENS
14,-2,Danny Ocean - Imagínate (w/ Kapo),190,6,,68880,-16626.0,579409,-3321,16293678,Danny Ocean,Imagínate (w/ Kapo)
