Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jin - Don’t Say You Love Me,3,1,(x3),365984,-27968.0,1354610,365984,1354610,Jin,Don’t Say You Love Me
2,=,Jimin - Who,304,1,(x85),228423,-51991.0,1666998,38489,137954427,Jimin,Who
3,=,YOUNGOHM - นครดารา - Nakorn Dara,98,1,(x1),226769,26484.0,1459910,18541,15525554,YOUNGOHM,นครดารา - Nakorn Dara
4,=,"F.HERO - กุหลาบ (w/ Kantong Tungngern, Saran)",94,1,(x4),187365,4620.0,1316461,-35336,16090550,F.HERO,"กุหลาบ (w/ Kantong Tungngern, Saran)"
5,=,TEN - STUNNER,56,1,(x23),175117,-6997.0,1315610,-5877,13971952,TEN,STUNNER
6,=,V - Winter Ahead (w/ Park Hyo Shin),171,1,(x22),172166,5472.0,1179513,27377,43098441,V,Winter Ahead (w/ Park Hyo Shin)
7,=,"LISA - Born Again (w/ Doja Cat, RAYE)",101,1,(x31),152636,-13356.0,1170644,-42043,32063773,LISA,"Born Again (w/ Doja Cat, RAYE)"
8,+1,2Ectasy - Faded - Special Version (w/ Z9),36,7,,145406,-423.0,1017275,3881,3630296,2Ectasy,Faded - Special Version (w/ Z9)
9,+1,BOWKYLION - ที่คั่นหนังสือ (Sometimes) (w/ NONT TANONT),24,9,,140276,1705.0,899645,35800,2252091,BOWKYLION,ที่คั่นหนังสือ (Sometimes) (w/ NONT TANONT)
10,+1,Only Monday - ทิ้งไป,165,8,,139189,12442.0,850287,20438,13863658,Only Monday,ทิ้งไป
11,-3,Maroon 5 - Priceless (w/ LISA),18,1,(x4),134299,-14855.0,1078098,-53795,3943740,Maroon 5,Priceless (w/ LISA)
12,+1,JayQ - Hurry up! (w/ 7Vibes),38,12,,133582,10713.0,843579,30326,2544442,JayQ,Hurry up! (w/ 7Vibes)
13,+2,Z9 - บทสรุปสุดท้าย,59,2,(x5),119303,2540.0,809146,9209,9205354,Z9,บทสรุปสุดท้าย
14,+2,Three Man Down - เพลงรัก,107,5,,115421,-1221.0,761475,9279,13614477,Three Man Down,เพลงรัก
15,+2,"Z9 - CURSE (รักใครไม่เป็น) (w/ 2K, Saran)",110,1,(x2),108471,5630.0,740447,3654,18714720,Z9,"CURSE (รักใครไม่เป็น) (w/ 2K, Saran)"
16,+5,BLVCKHEART - One Of My Life (w/ K6Y),108,16,,103584,8544.0,633548,29450,5779731,BLVCKHEART,One Of My Life (w/ K6Y)
17,-3,"Saran - รออยู่อย่างนั้น (w/ Z9, SIMON)",109,10,,103113,-18692.0,796005,-5966,7840768,Saran,"รออยู่อย่างนั้น (w/ Z9, SIMON)"
18,=,Billie Eilish - BIRDS OF A FEATHER,362,7,,97100,-309.0,693510,-3810,41047207,Billie Eilish,BIRDS OF A FEATHER
19,+1,Tilly Birds - ล้มแชมป์ (Only You Can) (w/ Polycat),107,7,,95524,28.0,640097,12809,12456757,Tilly Birds,ล้มแชมป์ (Only You Can) (w/ Polycat)
20,+5,PUN - Living Death,25,16,,94057,2035.0,687585,-7382,2151046,PUN,Living Death
