Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+1,"Jazzworx - Uzizwa Kanjan (w/ MaWhoo, Thukuthela, GL_Ceejay)",24,1,(x7),149829,-62345.0,1069195,8075,2781146,Jazzworx,"Uzizwa Kanjan (w/ MaWhoo, Thukuthela, GL_Ceejay)"
2,-1,"CIZA - Isaka (6am) (w/ Jazzworx, Thukuthela)",38,1,(x28),146222,-68445.0,1005237,-456,5463762,CIZA,"Isaka (6am) (w/ Jazzworx, Thukuthela)"
3,=,"Dlala Thukzin - Mali (w/ Zee Nxumalo, SYKES)",24,3,(x5),97480,-27908.0,598566,41138,1172216,Dlala Thukzin,"Mali (w/ Zee Nxumalo, SYKES)"
4,+2,Issa sisdoh - Vuma Dlozi Lami (w/ Ancestral Rituals),202,1,(x8),91596,-24626.0,568974,13344,10964579,Issa sisdoh,Vuma Dlozi Lami (w/ Ancestral Rituals)
5,=,"Oscar Mbo - Vuka (w/ Jazzworx, Thukuthela)",132,1,(x33),84880,-37307.0,574069,4889,9478782,Oscar Mbo,"Vuka (w/ Jazzworx, Thukuthela)"
6,-2,Shandesh - Sdudla or Slender (w/ Mvzzle),68,1,(x24),81179,-43382.0,556329,-9476,5866314,Shandesh,Sdudla or Slender (w/ Mvzzle)
7,+1,Sminofu - Sajola Kamnandi (w/ Zee Nxumalo),25,2,(x1),77602,-23441.0,503896,11534,1790218,Sminofu,Sajola Kamnandi (w/ Zee Nxumalo)
8,+1,"DJ Maphorisa - Abantwana Bakho (w/ Xduppy, Kabza De Small, Thatohatsi, Young Stunna, Nkosazana Daughter)",52,7,,73676,-23344.0,492500,13997,2840252,DJ Maphorisa,"Abantwana Bakho (w/ Xduppy, Kabza De Small, Thatohatsi, Young Stunna, Nkosazana Daughter)"
9,-2,"Shandesh - Di Chopper (w/ Mvzzle, Abi wa Mampela, Naleboy Young King)",35,3,(x12),69299,-39154.0,539194,-16228,2872893,Shandesh,"Di Chopper (w/ Mvzzle, Abi wa Mampela, Naleboy Young King)"
10,=,"Zee Nxumalo - Ngisakuthanda (w/ TBO, PYY Logdrum King, DJ Tearz, Dr Thulz)",222,2,(x6),63960,-32393.0,423937,2860,8328036,Zee Nxumalo,"Ngisakuthanda (w/ TBO, PYY Logdrum King, DJ Tearz, Dr Thulz)"
11,+3,NHLOSO KHWELA - UNIKHODIMA (w/ Shenge wasehlalankosi),13,11,,56232,-5799.0,341547,20685,519071,NHLOSO KHWELA,UNIKHODIMA (w/ Shenge wasehlalankosi)
12,+4,Alex Warren - Ordinary,101,6,,51880,-7037.0,384488,3801,3506887,Alex Warren,Ordinary
13,-2,"Uncle Waffles - ZENZELE (w/ Royal MusiQ, Uncool MC, Xduppy, CowBoii)",100,7,,49950,-27212.0,324320,844,3022697,Uncle Waffles,"ZENZELE (w/ Royal MusiQ, Uncool MC, Xduppy, CowBoii)"
14,+3,Romeo Makota - Abangifuni (w/ Eemoh),31,14,,49220,-9063.0,279689,10240,795451,Romeo Makota,Abangifuni (w/ Eemoh)
15,=,MENZI MUSIC - Wayengenalutho,160,6,,48051,-13042.0,316425,922,6186548,MENZI MUSIC,Wayengenalutho
16,+5,MENZI MUSIC - Ngiyakuthanda,158,11,,45739,-4708.0,281960,262,5046312,MENZI MUSIC,Ngiyakuthanda
17,-5,Janesh - Ngwanaka (w/ Hitboss SA),31,12,,44002,-22253.0,307261,-921,1172287,Janesh,Ngwanaka (w/ Hitboss SA)
18,+11,Umafikizolo - Awsukanini,59,18,,39798,-1601.0,233908,10044,1384243,Umafikizolo,Awsukanini
19,+3,Mshinwemali - Ncono Siyeke (w/ Shenge wasehlalankosi),230,10,,39791,-10417.0,249459,1563,7863826,Mshinwemali,Ncono Siyeke (w/ Shenge wasehlalankosi)
20,+5,LIMIT NALA - Uvume Kanjani?,58,2,(x4),39662,-7408.0,262160,-2565,2886392,LIMIT NALA,Uvume Kanjani?
21,+44,Nontokozo Mkhize - Esandleni,165,2,(x18),39639,11480.0,208590,1746,7040826,Nontokozo Mkhize,Esandleni
22,+2,Naledi Aphiwe - Romeo & Juliet (w/ Mawelele),117,2,(x6),38996,-8276.0,270623,-4005,5525538,Naledi Aphiwe,Romeo & Juliet (w/ Mawelele)
23,+117,Glenn Jones - All for You,625,17,,38122,19390.0,128313,6569,8202922,Glenn Jones,All for You
24,-5,"Naleboy Young King - Shapa Bell (w/ Shandesh, King WaveMusiq)",46,14,,37417,-17624.0,256294,-653,1573111,Naleboy Young King,"Shapa Bell (w/ Shandesh, King WaveMusiq)"
25,-7,"Goon Flavour - Ngishutheni (w/ Master KG, Eemoh)",14,16,,35706,-22285.0,264173,6083,416133,Goon Flavour,"Ngishutheni (w/ Master KG, Eemoh)"
26,+19,Fantasia - When I See U,1793,17,,34299,1723.0,195116,914,18389696,Fantasia,When I See U
27,-7,"Shandesh - Mamenemene (w/ DJ Janisto, King Salah)",10,17,,33011,-17933.0,251475,-3562,349760,Shandesh,"Mamenemene (w/ DJ Janisto, King Salah)"
28,-15,"Dlala Thukzin - Sohlala Sisonke (w/ Zeh McGeba, MK Productions)",234,3,(x3),32997,-31166.0,267045,-10622,12325501,Dlala Thukzin,"Sohlala Sisonke (w/ Zeh McGeba, MK Productions)"
29,-6,"Kelvin Momo - Bo Gogo (w/ Da Muziqal Chef, Tracy, Thatohatsi)",157,4,,32913,-15866.0,230881,1151,6576013,Kelvin Momo,"Bo Gogo (w/ Da Muziqal Chef, Tracy, Thatohatsi)"
30,+3,Sminofu - Rush Hour,192,13,,32663,-7677.0,196691,1240,5827730,Sminofu,Rush Hour
31,-1,Shallipopi - Laho,83,4,,32519,-8085.0,223491,827,3410749,Shallipopi,Laho
32,+95,Xolly Mncwango - Ungukuphila,447,17,,32036,12405.0,170913,404,9128931,Xolly Mncwango,Ungukuphila
33,+1,Mthandeni SK - Sigade Umzila,171,8,,31431,-8320.0,211238,-3026,6644818,Mthandeni SK,Sigade Umzila
34,+156,New Edition - Can You Stand The Rain,362,23,,29993,13979.0,100185,1633,5100777,New Edition,Can You Stand The Rain
35,-7,"Dj Moscow - Ungangilimazi (w/ Brandon Dhludhlu, Cnethemba Gonelo, Frank Mabeat)",202,15,,29794,-14050.0,218145,-2313,5464446,Dj Moscow,"Ungangilimazi (w/ Brandon Dhludhlu, Cnethemba Gonelo, Frank Mabeat)"
36,+4,Billie Eilish - BIRDS OF A FEATHER,367,2,(x4),29240,-5713.0,212706,-235,13758188,Billie Eilish,BIRDS OF A FEATHER
