Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",119,1,(x73),592812,-1283.0,4140342,-7980,69123363,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
2,=,Beéle - no tiene sentido,35,1,(x7),579633,-6721.0,4051997,-40330,16814505,Beéle,no tiene sentido
3,+1,"Ovy On The Drums - YO y TÚ (w/ Quevedo, Beéle)",8,3,(x1),547792,41746.0,2666428,302313,2911907,Ovy On The Drums,"YO y TÚ (w/ Quevedo, Beéle)"
4,-1,Young Cister - QLOO* (w/ Kreamly),28,3,(x2),507410,-14283.0,3487599,-3167,9406173,Young Cister,QLOO* (w/ Kreamly)
5,=,Myke Towers - SOLEAO (w/ Quevedo),21,3,(x9),501438,-1643.0,3495036,-43250,9917528,Myke Towers,SOLEAO (w/ Quevedo)
6,=,Mora - DROGA (w/ C. Tangana),32,1,(x15),424882,-10744.0,3025334,-67491,17957623,Mora,DROGA (w/ C. Tangana)
7,=,Alleh - capaz (merengueton) (w/ Yorghaki),201,1,(x55),406886,-10893.0,2835771,8308,101453612,Alleh,capaz (merengueton) (w/ Yorghaki)
8,+2,SAIKO - LOKENECESITAS (w/ Omar Courtz),7,8,,379247,57765.0,2001909,379247,2001909,SAIKO,LOKENECESITAS (w/ Omar Courtz)
9,-1,Bad Gyal - Da Me,14,7,,326079,-4331.0,2286720,-24717,4377455,Bad Gyal,Da Me
10,+1,Beéle - Mi Refe (w/ Ovy On The Drums),192,3,(x2),322719,2460.0,2198636,4725,63104929,Beéle,Mi Refe (w/ Ovy On The Drums)
11,-2,"Delaossa - Still Luvin (w/ Quevedo, Bigla The Kid)",98,1,(x9),315813,-7479.0,2218109,-26619,42438843,Delaossa,"Still Luvin (w/ Quevedo, Bigla The Kid)"
12,=,Mora - AURORA (w/ De La Rose),32,4,,306248,-7729.0,2241754,-87342,12249682,Mora,AURORA (w/ De La Rose)
13,=,Nicky Jam - Hiekka (w/ Beéle),49,4,,265800,-38802.0,1984347,8151,12899385,Nicky Jam,Hiekka (w/ Beéle)
14,=,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",166,2,(x2),245638,-2311.0,1677415,8443,64586476,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
15,=,Bad Bunny - BAILE INoLVIDABLE,166,2,(x22),238280,3801.0,1644706,2106,64377285,Bad Bunny,BAILE INoLVIDABLE
16,+1,"JC Reyes - NINFO (w/ De La Rose, MC Menor JP)",112,3,(x6),224822,1389.0,1541628,6668,36035610,JC Reyes,"NINFO (w/ De La Rose, MC Menor JP)"
17,-1,"Emilia - blackout 🧊 (w/ TINI, Nicki Nicole)",86,6,,223549,-7442.0,1588626,-16845,19380449,Emilia,"blackout 🧊 (w/ TINI, Nicki Nicole)"
18,=,JC Reyes - FLIPA (w/ Dei V),99,2,(x19),221916,3667.0,1589805,-15086,35594212,JC Reyes,FLIPA (w/ Dei V)
19,+2,JC Reyes - CELOSA (w/ David Marley),96,9,,215635,3996.0,1504015,-8166,19448496,JC Reyes,CELOSA (w/ David Marley)
20,=,JC Reyes - REMEDIO (w/ Pirlo),62,17,,212553,646.0,1444060,5185,9764952,JC Reyes,REMEDIO (w/ Pirlo)
21,-2,Yan Block - 111,119,7,,210859,-5586.0,1440975,2647,27109285,Yan Block,111
22,+1,KAROL G - Si Antes Te Hubiera Conocido,364,1,(x87),207503,8874.0,1449423,15840,160944333,KAROL G,Si Antes Te Hubiera Conocido
23,+2,Pablo Chill-E - Resentia,62,19,,197277,373.0,1344302,2380,10712684,Pablo Chill-E,Resentia
24,-2,Omar Courtz - Comernos (w/ Bad Gyal),63,5,,196300,-4381.0,1327624,1800,15459600,Omar Courtz,Comernos (w/ Bad Gyal)
25,+3,Aitana - CUANDO HABLES CON ÉL,21,4,,193676,1014.0,1424470,-60167,5993455,Aitana,CUANDO HABLES CON ÉL
26,=,Aitana - 6 DE FEBRERO,45,2,(x7),193597,-1193.0,1406396,-36271,14009448,Aitana,6 DE FEBRERO
27,+5,Beéle - si te pillara,18,27,,192661,17242.0,1023732,73271,1895300,Beéle,si te pillara
28,+1,Yan Block - 444 (w/ Panda Black),318,26,,192624,1413.0,1270978,19313,35357968,Yan Block,444 (w/ Panda Black)
29,+1,Quevedo - GRAN VÍA (w/ Aitana),211,1,(x21),190908,2991.0,1316791,-9914,63469104,Quevedo,GRAN VÍA (w/ Aitana)
30,-6,Lucho RK - GUAYA (w/ Quevedo),42,3,(x5),188133,-9521.0,1342939,-43255,11741060,Lucho RK,GUAYA (w/ Quevedo)
31,-4,"Slayter - secuestro (w/ Yan Block, NTG)",63,17,,176851,-16402.0,1327019,-21126,11227321,Slayter,"secuestro (w/ Yan Block, NTG)"
32,+2,Bad Bunny - NUEVAYoL,166,1,(x7),176105,3438.0,1241450,788,61449649,Bad Bunny,NUEVAYoL
33,+4,Yan Block - Yo sé (w/ TORRRES),243,6,,175202,7698.0,1199629,-23870,53261717,Yan Block,Yo sé (w/ TORRRES)
34,-3,Beéle - sobelove,105,15,,173026,-8360.0,1209790,355,17161331,Beéle,sobelove
35,+8,Bad Bunny - VOY A LLeVARTE PA PR,166,2,(x1),166859,5602.0,1148378,3550,48457081,Bad Bunny,VOY A LLeVARTE PA PR
36,+4,Bad Bunny - DtMF,166,1,(x21),166633,3682.0,1188007,-13599,59805137,Bad Bunny,DtMF
37,-4,Beéle - top diesel,25,33,,166606,-6237.0,1091140,20358,3158330,Beéle,top diesel
38,-2,Bad Bunny - EoO,166,9,,166471,-1750.0,1154938,-4684,38547178,Bad Bunny,EoO
39,-1,Quevedo - HALO (w/ La Pantera),210,6,,165397,-230.0,1179983,-9793,43886449,Quevedo,HALO (w/ La Pantera)
40,-5,Danny Ocean - Priti (w/ Sech),90,11,,164588,-6773.0,1116324,-1625,14645220,Danny Ocean,Priti (w/ Sech)
41,=,Mora - DETRÁS DE TU ALMA,32,17,,162975,832.0,1208357,-44286,6201574,Mora,DETRÁS DE TU ALMA
42,=,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",105,9,,161085,-292.0,1144699,808,15943412,Jombriel,"VITAMINA (w/ DFZM, Jøtta)"
43,+1,Alleh - una noche (w/ Yorghaki),172,13,,157500,-1681.0,1062394,18594,32480566,Alleh,una noche (w/ Yorghaki)
44,-5,De La Rose - NUBES (w/ Omar Courtz),77,7,,157140,-7758.0,1067337,-7290,13884936,De La Rose,NUBES (w/ Omar Courtz)
45,+1,Lola Indigo - MOJA1TA,7,14,,153328,837.0,1165305,153328,1165305,Lola Indigo,MOJA1TA
46,+3,Omar Courtz - Q U E V A S H A C E R H O Y ? (w/ De La Rose),273,1,(x23),149572,8171.0,1016148,-2557,74107622,Omar Courtz,Q U E V A S H A C E R H O Y ? (w/ De La Rose)
47,+1,Luck Ra - La Morocha (w/ BM),281,41,,147631,2956.0,1001063,30717,24259797,Luck Ra,La Morocha (w/ BM)
48,-3,KAROL G - LATINA FOREVA,28,15,,146331,-8089.0,1108170,-30749,5204140,KAROL G,LATINA FOREVA
49,+1,Myke Towers - VAN CLEEF (w/ Pirlo),70,30,,139146,-1725.0,991167,-10153,9468787,Myke Towers,VAN CLEEF (w/ Pirlo)
50,+1,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),217,1,(x2),134997,-556.0,944468,-8532,53757282,Rauw Alejandro,Qué Pasaría... (w/ Bad Bunny)
51,+1,Dei V - Toa (w/ De La Rose),84,17,,132585,-751.0,929500,-9993,12898033,Dei V,Toa (w/ De La Rose)
