Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jin - Don’t Say You Love Me,35,1,(x24),343917,-42440.0,2351604,50269,11333976,Jin,Don’t Say You Love Me
2,+1,Mrs. GREEN APPLE - breakfast,17,1,(x4),319942,10861.0,2321352,-35402,5104391,Mrs. GREEN APPLE,breakfast
3,-1,Mrs. GREEN APPLE - クスシキ,77,1,(x45),307073,-4610.0,2208840,-11278,27006540,Mrs. GREEN APPLE,クスシキ
4,=,Mrs. GREEN APPLE - ライラック,435,1,(x213),290157,1023.0,2083448,-3452,157820668,Mrs. GREEN APPLE,ライラック
5,=,HANA - ROSE,80,2,(x12),230153,-425.0,1689777,-22599,21539099,HANA,ROSE
6,=,Mrs. GREEN APPLE - 青と夏,2531,2,(x4),230113,6037.0,1629544,15065,248720940,Mrs. GREEN APPLE,青と夏
7,=,sakanaction - 怪獣,120,1,(x15),220943,3965.0,1584572,-20961,36504705,sakanaction,怪獣
8,=,HANA - Burning Flower,12,6,,214808,2655.0,1521061,-31646,2507734,HANA,Burning Flower
9,+1,Mrs. GREEN APPLE - ケセラセラ,788,2,(x5),212099,3311.0,1498647,5873,178006011,Mrs. GREEN APPLE,ケセラセラ
10,+1,back number - ブルーアンバー,53,5,,204515,1338.0,1446337,-5808,11089595,back number,ブルーアンバー
11,-2,Jimin - Who,336,1,(x20),201788,-9912.0,1411299,13755,92470642,Jimin,Who
12,=,BE:FIRST - 夢中,57,7,,198353,1202.0,1406177,-8951,9095843,BE:FIRST,夢中
13,=,Mrs. GREEN APPLE - ダーリン,152,1,(x2),192607,-1368.0,1379179,-333,40152100,Mrs. GREEN APPLE,ダーリン
14,+1,Mrs. GREEN APPLE - Soranji,976,6,,187692,-1220.0,1365530,-2100,167252391,Mrs. GREEN APPLE,Soranji
15,+1,Mrs. GREEN APPLE - 天国,50,1,(x1),185057,6536.0,1341671,-17853,12813191,Mrs. GREEN APPLE,天国
16,+1,Vaundy - 怪獣の花唄,1659,1,(x6),174181,3376.0,1259829,-2584,248566113,Vaundy,怪獣の花唄
17,+1,Number_i - GOD_i,145,3,(x1),170263,2119.0,1217048,-10925,24198232,Number_i,GOD_i
18,+2,Lilas - 恋風,73,18,,169477,6111.0,1159872,8779,10411124,Lilas,恋風
19,+2,Mrs. GREEN APPLE - ビターバカンス,204,2,(x13),164269,2013.0,1172024,580,50491002,Mrs. GREEN APPLE,ビターバカンス
20,-1,Mrs. GREEN APPLE - ダンスホール,1123,2,(x7),164096,-1804.0,1216165,155,225311113,Mrs. GREEN APPLE,ダンスホール
21,+1,Omoinotake - 幾億光年,509,2,(x37),162487,3964.0,1096212,21084,116873302,Omoinotake,幾億光年
22,+3,back number - 高嶺の花子さん,2304,7,,161298,6437.0,1118292,12460,168083485,back number,高嶺の花子さん
23,-9,Stray Kids - Hollow,10,14,,160063,-30172.0,1067374,28973,1374056,Stray Kids,Hollow
24,-1,Shota Shimizu - PUZZLE,79,11,,156688,-1757.0,1144981,-4828,11807601,Shota Shimizu,PUZZLE
25,+5,Mrs. GREEN APPLE - インフェルノ,2164,13,,156494,6352.0,1104717,-315,178076389,Mrs. GREEN APPLE,インフェルノ
26,=,Mrs. GREEN APPLE - 僕のこと,2261,14,,155022,331.0,1135318,-4730,142610427,Mrs. GREEN APPLE,僕のこと
27,+6,Da-iCE - I wonder,422,2,(x7),154462,7805.0,1095993,11668,86650401,Da-iCE,I wonder
28,-4,CHANMINA - SAD SONG,145,11,,153717,-2119.0,1155216,-31468,13052130,CHANMINA,SAD SONG
29,-2,Kenshi Yonezu - Plazma,152,3,(x3),153657,-377.0,1058215,5144,29081083,Kenshi Yonezu,Plazma
30,+4,CHANMINA - SAD SONG (w/ No No Girls FINALISTS),18,28,,153115,7164.0,1033944,2474,2081552,CHANMINA,SAD SONG (w/ No No Girls FINALISTS)
31,-2,Mrs. GREEN APPLE - 点描の唄 (w/ Sonoko Inoue),2215,7,,152245,-282.0,1077983,7373,260265151,Mrs. GREEN APPLE,点描の唄 (w/ Sonoko Inoue)
32,-1,HANA - Drop,141,19,,151244,1744.0,1109080,-20148,18502988,HANA,Drop
33,-5,King Gnu - TWILIGHT!!!,64,2,(x6),149333,-3775.0,1103820,-12226,15361768,King Gnu,TWILIGHT!!!
34,+1,Fujii Kaze - Hachikō,7,27,,146473,3582.0,1019337,146473,1019337,Fujii Kaze,Hachikō
35,-3,Mrs. GREEN APPLE - Magic,739,4,,144506,-2349.0,1050152,1527,141761000,Mrs. GREEN APPLE,Magic
36,+2,Number_i - BON,390,4,,143826,6273.0,1032286,-10793,60960023,Number_i,BON
37,=,Mrs. GREEN APPLE - familie,316,2,(x25),141868,3972.0,1029589,-8151,71944753,Mrs. GREEN APPLE,familie
38,+1,Macaroni Empitsu - なんでもないよ、,1325,1,(x17),141763,4359.0,869291,25625,177913307,Macaroni Empitsu,なんでもないよ、
39,+5,Superfly - 愛をこめて花束を,1867,4,,141625,7721.0,991188,643,60522615,Superfly,愛をこめて花束を
