Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Fuerza Regida - TU SANCHO,49,1,(x25),1804348,-11554.0,13003039,-121763,71248406,Fuerza Regida,TU SANCHO
2,=,Fuerza Regida - Marlboro Rojo,49,1,(x12),1399931,-32221.0,9960132,-41121,70150483,Fuerza Regida,Marlboro Rojo
3,=,Neton Vega - Morena (w/ Peso Pluma),126,1,(x35),1257047,-104428.0,9053673,1664,179770532,Neton Vega,Morena (w/ Peso Pluma)
4,=,Oscar Maydon - Asquerosamente Rico (w/ Peso Pluma),14,4,,1015469,-25215.0,7185963,57002,12359521,Oscar Maydon,Asquerosamente Rico (w/ Peso Pluma)
5,=,Calle 24 - SUIZA,53,5,,953364,-52549.0,6673361,83845,38549287,Calle 24,SUIZA
6,+3,Los Dareyes De La Sierra - Vita Fer (w/ Tito Double P),81,1,(x3),848223,19059.0,6398436,-129191,95363769,Los Dareyes De La Sierra,Vita Fer (w/ Tito Double P)
7,=,Fuerza Regida - ANSIEDAD,49,7,,807495,-30660.0,5845154,-40338,40703959,Fuerza Regida,ANSIEDAD
8,-2,Fuerza Regida - Por Esos Ojos,128,1,(x1),779268,-61893.0,5980232,-57945,156240807,Fuerza Regida,Por Esos Ojos
9,+1,Alemán - Te Quería Ver (w/ Neton Vega),140,1,(x23),770260,-38118.0,5666064,-14176,195187365,Alemán,Te Quería Ver (w/ Neton Vega)
10,+1,Alan Arrieta - Ay Mamita,28,7,,767642,-38493.0,5743140,-112446,21614382,Alan Arrieta,Ay Mamita
11,-3,Tito Double P - TATTOO,112,1,(x19),746530,-82960.0,5569705,-82326,140370180,Tito Double P,TATTOO
12,+3,Marcos Villalobos - La Pantera (w/ Alan Arrieta),69,12,,734920,-11858.0,5230161,-10839,41012279,Marcos Villalobos,La Pantera (w/ Alan Arrieta)
13,-1,Oscar Maydon - Amigos? No. (w/ Neton Vega),105,4,,719230,-77872.0,5985656,-232961,110452363,Oscar Maydon,Amigos? No. (w/ Neton Vega)
14,-1,Esau Ortiz - Triple Lavada,80,3,(x4),705638,-62188.0,5523178,-101126,87338456,Esau Ortiz,Triple Lavada
15,+5,Clave Especial - TU TU TU (w/ Edgardo Nuñez),92,4,,687065,7267.0,4997479,-92155,79864563,Clave Especial,TU TU TU (w/ Edgardo Nuñez)
