Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Ari Bajgora - Falle og slå seg,23,1,(x21),221390,-3305.0,1495560,16100,3723262,Ari Bajgora,Falle og slå seg
2,=,Tobias Sten - Fy faen du e deili,7,2,(x7),135078,6931.0,889816,135078,889816,Tobias Sten,Fy faen du e deili
3,=,Ari Bajgora - Alt du trenger,23,2,(x2),102068,-2147.0,669397,7319,1717066,Ari Bajgora,Alt du trenger
4,=,Golfklubb - Ekko (w/ Olivia Lobato),42,1,(x7),89439,1321.0,510008,30312,3182297,Golfklubb,Ekko (w/ Olivia Lobato)
5,+1,Alex Warren - Ordinary,133,1,(x84),88540,3103.0,619236,-7414,12462128,Alex Warren,Ordinary
6,-1,Tobias Sten - Eli,84,5,,88018,2042.0,538936,23780,4458480,Tobias Sten,Eli
7,=,Streetboys - Misforstått,21,2,(x1),81823,-481.0,593350,-15797,1586928,Streetboys,Misforstått
8,+2,Tobias Sten - Ka visste eg,42,4,,76948,4911.0,504422,3990,2808709,Tobias Sten,Ka visste eg
9,=,Emma Steinbakken - Alle vil til himmelen (w/ Synne Vo),21,2,(x1),75312,406.0,545646,-16537,1715291,Emma Steinbakken,Alle vil til himmelen (w/ Synne Vo)
10,-2,Ida-Lova - Svagare än jag,56,1,(x8),75114,-895.0,524848,-3953,3884819,Ida-Lova,Svagare än jag
11,=,Amara - Putt Diamanter Opp (w/ Chris Abolade),21,5,,69742,552.0,497011,-16576,1541952,Amara,Putt Diamanter Opp (w/ Chris Abolade)
12,=,Ari Bajgora - Hvis jeg kunne fly,23,11,,67167,1416.0,417353,13777,1048942,Ari Bajgora,Hvis jeg kunne fly
13,+1,Sabrina Carpenter - Manchild,14,7,,61572,-179.0,444232,-10659,868512,Sabrina Carpenter,Manchild
14,-1,Bausa - Overfladisk,84,2,(x17),60951,-1189.0,410100,8088,5264089,Bausa,Overfladisk
15,+1,"Kjartan Lauritzen - Friskis (w/ Astrid S, Hver gang vi møtes)",126,3,(x1),54043,3210.0,368811,3652,6161529,Kjartan Lauritzen,"Friskis (w/ Astrid S, Hver gang vi møtes)"
16,-1,lille Caesar - hvem kan seile foruten vind? (w/ Tobias Sten),105,2,(x3),53026,642.0,329480,13838,4853781,lille Caesar,hvem kan seile foruten vind? (w/ Tobias Sten)
17,=,Fjellrev - Birra (w/ Kudos),51,10,,51937,2459.0,369193,-7940,2301980,Fjellrev,Birra (w/ Kudos)
18,+2,Ravyn Lenae - Love Me Not,110,17,,48167,3239.0,315265,764,2936410,Ravyn Lenae,Love Me Not
19,-1,sombr - undressed,91,5,,47929,-302.0,332336,-7890,4233186,sombr,undressed
20,+2,Ari Bajgora - Utested,371,5,,46446,3099.0,296277,6028,10073192,Ari Bajgora,Utested
21,=,"Coucheron - Galopp (w/ Stig Brenner, Arif Murakami, May)",70,6,,45946,1673.0,269873,15838,2823378,Coucheron,"Galopp (w/ Stig Brenner, Arif Murakami, May)"
22,-3,Ari Bajgora - Koster å være kar,23,15,,44722,-1243.0,310661,-3706,968017,Ari Bajgora,Koster å være kar
23,=,Ramón - SKJORTE & SLIPS,21,6,,42895,360.0,315586,-13485,1149741,Ramón,SKJORTE & SLIPS
24,=,KAJ - Bara Bada Bastu,107,1,(x2),42853,509.0,321594,-4642,3680741,KAJ,Bara Bada Bastu
25,=,Bausa - St. Tropez,42,9,,41669,441.0,284223,-937,1806210,Bausa,St. Tropez
26,+2,Ed Sheeran - Azizam,73,13,,40732,1267.0,280721,-136,2479710,Ed Sheeran,Azizam
27,=,sombr - back to friends,104,16,,40705,362.0,275019,-2682,3200190,sombr,back to friends
28,-2,Tate McRae - Just Keep Watching (From F1® The Movie) (w/ F1 The Album),21,6,,39459,-1289.0,292941,-17233,1052463,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album)
29,=,Ari Bajgora - Kanskje til nytte,23,13,,37128,-1020.0,255380,-4303,875220,Ari Bajgora,Kanskje til nytte
30,=,Ari Bajgora - Stjernestøv (w/ Jonatan Brox),23,23,,36670,-367.0,244761,-3204,763097,Ari Bajgora,Stjernestøv (w/ Jonatan Brox)
31,+3,ROSÉ - APT. (w/ Bruno Mars),245,1,(x10),35465,1394.0,250623,-431,13979454,ROSÉ,APT. (w/ Bruno Mars)
32,-1,Tobias Rahim - TÆT PÅ (w/ Delara),42,5,,35226,-615.0,193879,17278,1222914,Tobias Rahim,TÆT PÅ (w/ Delara)
33,-1,Kyle Alessandro - Lighter,117,1,(x1),35064,399.0,261243,-1623,3659352,Kyle Alessandro,Lighter
34,-1,Alex Warren - Bloodline (w/ Jelly Roll),28,6,,34826,339.0,256628,-9906,1294433,Alex Warren,Bloodline (w/ Jelly Roll)
35,+3,Tigergutt101 - Samma det,49,22,,34693,1366.0,241440,-1521,1607302,Tigergutt101,Samma det
36,+3,Tommy Cash - Espresso Macchiato,38,5,,34315,1237.0,257109,-2562,1783046,Tommy Cash,Espresso Macchiato
37,-2,WizTheMc - Show Me Love (w/ bees & honey),110,4,,34089,488.0,242373,-1950,4219182,WizTheMc,Show Me Love (w/ bees & honey)
38,+2,Soppgirobygget - BASSIANI,69,2,(x19),33717,763.0,245543,-4898,3764003,Soppgirobygget,BASSIANI
39,-2,"Astrid S - Få det på (w/ Stig Brenner, Hver gang vi møtes)",140,1,(x8),32930,-556.0,230753,-885,6349864,Astrid S,"Få det på (w/ Stig Brenner, Hver gang vi møtes)"
