Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Alex Warren - Ordinary,133,1,(x92),44825,1927.0,313775,-782,5243147,Alex Warren,Ordinary
2,+4,"Fred again.. - Victory Lap (w/ Skepta, PlaqueBoyMax)",2,2,(x1),32971,7499.0,58443,32971,58443,Fred again..,"Victory Lap (w/ Skepta, PlaqueBoyMax)"
3,=,sombr - back to friends,96,2,(x6),32872,-37.0,229766,-2808,2309145,sombr,back to friends
4,=,Ravyn Lenae - Love Me Not,120,2,(x1),32823,878.0,224982,1190,2581145,Ravyn Lenae,Love Me Not
5,-3,Sabrina Carpenter - Manchild,14,2,(x7),32642,-816.0,238589,-4634,465182,Sabrina Carpenter,Manchild
6,-1,sombr - undressed,89,2,(x34),29096,-1063.0,206701,-2566,2288692,sombr,undressed
7,+1,Teddy Swims - Lose Control,667,2,(x4),22783,1650.0,154989,1104,19780272,Teddy Swims,Lose Control
8,+6,Fleetwood Mac - Dreams - 2004 Remaster,2868,2,(x1),21500,2705.0,134919,-1935,43340536,Fleetwood Mac,Dreams - 2004 Remaster
9,-2,The Goo Goo Dolls - Iris,1231,7,,20542,-775.0,142478,78,14241129,The Goo Goo Dolls,Iris
10,+3,Benson Boone - Beautiful Things,518,1,(x24),20261,1427.0,137057,1852,17208946,Benson Boone,Beautiful Things
11,+1,Lady Gaga - Die With A Smile (w/ Bruno Mars),308,1,(x108),20217,1126.0,136065,409,13195091,Lady Gaga,Die With A Smile (w/ Bruno Mars)
12,-2,Billie Eilish - BIRDS OF A FEATHER,400,1,(x33),20020,493.0,139424,-86,15723806,Billie Eilish,BIRDS OF A FEATHER
13,+7,Benson Boone - Mystical Magical,56,13,,19814,3949.0,122102,2067,853951,Benson Boone,Mystical Magical
14,-5,Chrystal - The Days - NOTION Remix (w/ NOTION),200,1,(x20),19809,179.0,135570,852,6021433,Chrystal,The Days - NOTION Remix (w/ NOTION)
15,+1,ROSÉ - APT. (w/ Bruno Mars),245,1,(x16),19311,1700.0,129049,1432,9002152,ROSÉ,APT. (w/ Bruno Mars)
16,-1,Kendrick Lamar - luther,210,1,(x46),18861,86.0,132062,-253,7424884,Kendrick Lamar,luther
17,-6,Kehlani - Folded,8,11,,18497,-626.0,123439,359,141577,Kehlani,Folded
18,+1,Shaboozey - A Bar Song (Tipsy),434,2,(x1),17261,1144.0,112910,2168,14230772,Shaboozey,A Bar Song (Tipsy)
19,+3,Chappell Roan - Pink Pony Club,353,9,,17178,1402.0,114866,1607,5724335,Chappell Roan,Pink Pony Club
20,-3,Tate McRae - Just Keep Watching (From F1® The Movie) (w/ F1 The Album),21,5,,16922,-669.0,121164,-3112,416454,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album)
21,=,Drake - NOKIA,126,3,(x1),16921,1072.0,115078,273,2832164,Drake,NOKIA
22,+1,Lola Young - Messy,207,3,(x5),16373,807.0,108507,801,5779414,Lola Young,Messy
23,-5,Gigi Perez - Sailor Song,327,3,(x4),16176,-63.0,111034,-311,8211933,Gigi Perez,Sailor Song
24,+1,Gracie Abrams - That’s So True,245,1,(x9),15391,11.0,109747,255,7862900,Gracie Abrams,That’s So True
25,+1,Alex Warren - Carry You Home,277,20,,15312,474.0,104901,1195,3372810,Alex Warren,Carry You Home
26,+9,Teddy Swims - Bad Dreams,254,18,,15030,1299.0,102270,457,3890005,Teddy Swims,Bad Dreams
27,-3,Alex Warren - Bloodline (w/ Jelly Roll),28,6,,14936,-472.0,112067,-2607,530793,Alex Warren,Bloodline (w/ Jelly Roll)
28,+6,Myles Smith - Stargazing,406,12,,14934,1055.0,95719,3441,7942291,Myles Smith,Stargazing
29,+2,Kendrick Lamar - All The Stars (w/ SZA),1141,2,(x12),14838,856.0,99015,792,15760502,Kendrick Lamar,All The Stars (w/ SZA)
30,-3,"MOLIY - Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)",39,23,,14595,117.0,100536,-98,539698,MOLIY,"Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)"
31,+1,Black Eyed Peas - Rock That Body,20,31,,14575,600.0,90980,4060,207071,Black Eyed Peas,Rock That Body
32,-3,Hozier - Too Sweet,454,1,(x21),14309,264.0,96498,486,15600218,Hozier,Too Sweet
33,+4,Disco Lines - No Broke Boys (w/ Tinashe),9,33,,14287,800.0,85764,4609,103061,Disco Lines,No Broke Boys (w/ Tinashe)
34,-4,Charli xcx - party 4 u,61,18,,14273,290.0,99953,-1823,935875,Charli xcx,party 4 u
35,+37,Benson Boone - Sorry I'm Here For Someone Else,111,27,,13947,3162.0,80433,2859,1477979,Benson Boone,Sorry I'm Here For Someone Else
36,+6,Chris Stapleton - Tennessee Whiskey,2624,19,,13941,1163.0,91231,1546,22068639,Chris Stapleton,Tennessee Whiskey
37,-9,Sam Barber - Indigo (w/ Avery Anna),190,19,,13836,-214.0,95133,-151,3070635,Sam Barber,Indigo (w/ Avery Anna)
38,+1,Sabrina Carpenter - Espresso,434,1,(x1),13758,492.0,94968,434,14574932,Sabrina Carpenter,Espresso
39,+14,Dire Straits - Sultans Of Swing,1591,29,,13564,1733.0,89253,1835,14063793,Dire Straits,Sultans Of Swing
40,-4,Coldplay - Yellow,1412,1,(x2),13553,18.0,95042,-136,13377187,Coldplay,Yellow
41,-8,Morgan Wallen - What I Want (w/ Tate McRae),36,15,,13471,-487.0,99555,-3371,569347,Morgan Wallen,What I Want (w/ Tate McRae)
42,+2,Ed Sheeran - Sapphire,14,35,,13383,655.0,91833,41,174299,Ed Sheeran,Sapphire
43,-2,The Killers - Mr. Brightside,3353,13,,13220,189.0,91623,181,30883689,The Killers,Mr. Brightside
44,+11,Ed Sheeran - Azizam,73,30,,13138,1431.0,86057,1706,799874,Ed Sheeran,Azizam
45,+2,Kings of Leon - Sex on Fire,1713,28,,13104,493.0,87321,1438,17262621,Kings of Leon,Sex on Fire
46,-8,Billie Eilish - WILDFLOWER,400,11,,13040,-340.0,92517,-787,7892810,Billie Eilish,WILDFLOWER
47,-4,Olivia Dean - Nice To Each Other,17,26,,12884,140.0,93394,-1638,204516,Olivia Dean,Nice To Each Other
48,+19,Journey - Don't Stop Believin' (2022 Remaster),545,16,,12777,1653.0,83313,1214,7674865,Journey,Don't Stop Believin' (2022 Remaster)
49,+3,Teddy Swims - The Door,380,25,,12602,741.0,85534,1411,5737525,Teddy Swims,The Door
50,-2,Leon Thomas - MUTT,169,14,,12599,321.0,86486,33,2993602,Leon Thomas,MUTT
51,+13,The Doobie Brothers - Listen to the Music,1678,32,,12501,1232.0,86013,1103,13398662,The Doobie Brothers,Listen to the Music
52,-6,Jessie Murph - Blue Strips,57,20,,12499,-120.0,88345,-1320,779178,Jessie Murph,Blue Strips
53,+6,Red Hot Chili Peppers - Scar Tissue,528,33,,12275,793.0,81153,1024,5220462,Red Hot Chili Peppers,Scar Tissue
54,-14,Tate McRae - Sports car,148,8,,12251,-860.0,86901,-495,2917169,Tate McRae,Sports car
55,-6,Sabrina Carpenter - Taste,302,2,(x52),12225,93.0,84386,-60,8146883,Sabrina Carpenter,Taste
56,+4,Post Malone - I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen),407,2,(x1),12111,643.0,82546,381,10711061,Post Malone,I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen)
57,+1,"Tyler, The Creator - See You Again (w/ Kali Uchis)",798,8,,12017,441.0,82702,239,10265288,"Tyler, The Creator",See You Again (w/ Kali Uchis)
58,+5,Fleetwood Mac - The Chain - 2004 Remaster,2109,30,,12014,592.0,79342,-2066,17553970,Fleetwood Mac,The Chain - 2004 Remaster
59,-3,Chris Stapleton - You Should Probably Leave,706,20,,11899,248.0,80385,311,8592723,Chris Stapleton,You Should Probably Leave
60,-3,Zach Bryan - I Remember Everything (w/ Kacey Musgraves),665,9,,11827,232.0,82313,-814,12107551,Zach Bryan,I Remember Everything (w/ Kacey Musgraves)
61,-16,Coldplay - Sparks,107,20,,11816,-855.0,87050,-2168,1102090,Coldplay,Sparks
62,=,"Chappell Roan - Good Luck, Babe!",432,3,(x6),11783,335.0,80563,-434,11107971,Chappell Roan,"Good Luck, Babe!"
63,+22,Fleetwood Mac - Everywhere - 2017 Remaster,1916,27,,11655,1580.0,75065,-1810,16760261,Fleetwood Mac,Everywhere - 2017 Remaster
64,-14,Lil Tecca - Dark Thoughts,97,5,,11531,-589.0,81370,405,1590628,Lil Tecca,Dark Thoughts
65,=,Kendrick Lamar - Not Like Us,409,1,(x7),11528,261.0,77175,346,11916003,Kendrick Lamar,Not Like Us
66,-15,Lord Huron - The Night We Met,1015,28,,11419,-669.0,78682,-1527,11022890,Lord Huron,The Night We Met
67,+22,Red Hot Chili Peppers - Under the Bridge,1643,23,,11132,1204.0,71636,1298,11908728,Red Hot Chili Peppers,Under the Bridge
68,=,Zach Bryan - Something in the Orange,1026,8,,11129,28.0,76108,-2672,18094172,Zach Bryan,Something in the Orange
69,-8,Tate McRae - Revolving door,120,12,,11128,-325.0,80445,-1941,1872776,Tate McRae,Revolving door
70,+1,Radiohead - Creep,130,65,,11094,250.0,75021,127,1175097,Radiohead,Creep
71,-17,Coldplay - The Scientist,227,6,,10910,-853.0,79951,-1153,2304659,Coldplay,The Scientist
72,-6,SZA - Snooze,916,7,,10902,-337.0,75601,-525,14682943,SZA,Snooze
73,=,Creed - One Last Breath,212,52,,10824,156.0,71841,893,2146088,Creed,One Last Breath
74,+8,Gorillaz - Feel Good Inc,512,60,,10799,556.0,69669,694,4074940,Gorillaz,Feel Good Inc
75,+32,Creedence Clearwater Revival - Have You Ever Seen The Rain,1908,19,,10644,1475.0,68073,1245,19654384,Creedence Clearwater Revival,Have You Ever Seen The Rain
76,+1,Ravyn Lenae - Love Me Not (w/ Rex Orange County),21,54,,10599,190.0,74937,-706,198181,Ravyn Lenae,Love Me Not (w/ Rex Orange County)
77,-7,Addison Rae - Fame is a Gun,19,25,,10597,-344.0,76938,-1694,213027,Addison Rae,Fame is a Gun
78,+5,Dasha - Austin,477,10,,10597,385.0,69258,1189,9736960,Dasha,Austin
79,+30,The Police - Every Breath You Take,689,45,,10574,1483.0,66697,906,6782981,The Police,Every Breath You Take
80,-11,Benson Boone - Slow It Down,453,16,,10477,-616.0,74315,639,8368401,Benson Boone,Slow It Down
81,+21,Red Hot Chili Peppers - Can't Stop,274,45,,10438,1087.0,66615,788,2704874,Red Hot Chili Peppers,Can't Stop
82,+5,Coldplay - Viva La Vida,848,3,(x1),10380,367.0,73707,-267,8742764,Coldplay,Viva La Vida
83,-7,The Weeknd - Timeless (w/ Playboi Carti),266,3,(x1),10356,-85.0,72420,-586,5251874,The Weeknd,Timeless (w/ Playboi Carti)
84,-4,Lola Young - One Thing,32,33,,10345,-1.0,77974,-3271,337990,Lola Young,One Thing
85,+31,TOTO - Africa,2738,27,,10330,1452.0,66675,1280,23548854,TOTO,Africa
86,-7,Dem Franchize Boyz - Turn Heads (w/ Lloyd),34,79,,10324,-64.0,69440,464,300583,Dem Franchize Boyz,Turn Heads (w/ Lloyd)
87,-12,Natasha Bedingfield - Unwritten,531,15,,10324,-193.0,70458,326,7006153,Natasha Bedingfield,Unwritten
88,+11,Fleetwood Mac - Go Your Own Way - 2004 Remaster,2606,20,,10261,798.0,66458,-784,24770410,Fleetwood Mac,Go Your Own Way - 2004 Remaster
89,+14,The Chainsmokers - Something Just Like This (w/ Coldplay),1038,3,(x2),10199,899.0,67116,1093,12933662,The Chainsmokers,Something Just Like This (w/ Coldplay)
90,-9,The Marías - No One Noticed,170,40,,10191,-99.0,74353,-1354,1913321,The Marías,No One Noticed
91,+27,Eagles - Hotel California - 2013 Remaster,3130,45,,10184,1372.0,62652,1377,22683553,Eagles,Hotel California - 2013 Remaster
92,-1,Hori Shaw - Back In My Arms,306,32,,10144,365.0,66167,121,3575294,Hori Shaw,Back In My Arms
93,=,Crowded House - Don't Dream It's Over,472,23,,10135,557.0,68855,746,5076156,Crowded House,Don't Dream It's Over
94,-16,T-Pain - Up Down (Do This All Day) (w/ B.o.B),9,78,,10132,-265.0,63008,2600,77778,T-Pain,Up Down (Do This All Day) (w/ B.o.B)
95,+11,Pitbull - Time of Our Lives (w/ Ne-Yo),820,7,,10125,952.0,66045,1587,5569655,Pitbull,Time of Our Lives (w/ Ne-Yo)
96,-12,Kings of Leon - Use Somebody,301,69,,10123,-8.0,68778,95,2894572,Kings of Leon,Use Somebody
97,-1,TLC - No Scrubs,1343,33,,10061,555.0,67692,947,12416367,TLC,No Scrubs
98,-24,Radiohead - Let Down,29,48,,9962,-633.0,73949,-1707,279821,Radiohead,Let Down
99,-7,Metallica - Enter Sandman - Remastered 2021,86,69,,9836,186.0,66725,158,771101,Metallica,Enter Sandman - Remastered 2021
100,-3,Vance Joy - Riptide,3302,12,,9770,302.0,64908,1046,28847369,Vance Joy,Riptide
101,-15,Zach Bryan - Pink Skies,389,17,,9739,-328.0,65424,987,5572727,Zach Bryan,Pink Skies
102,+28,OneRepublic - Counting Stars,1359,44,,9675,1195.0,64573,732,8583518,OneRepublic,Counting Stars
103,+31,Te Wehi - Unaware,168,50,,9648,1250.0,63799,-1241,1827144,Te Wehi,Unaware
104,+24,L.A.B. - In the Air,2018,1,(x8),9607,1077.0,60313,1097,39642286,L.A.B.,In the Air
105,-15,The Neighbourhood - Sweater Weather,1622,22,,9502,-408.0,69137,-240,15954552,The Neighbourhood,Sweater Weather
106,+14,"Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",1009,55,,9500,750.0,62647,1002,9420625,Macklemore & Ryan Lewis,"Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)"
107,+4,Imogen Heap - Headlock,169,40,,9472,420.0,65227,36,1967225,Imogen Heap,Headlock
108,+4,Hozier - Take Me To Church,2342,1,(x9),9375,376.0,61202,998,18434598,Hozier,Take Me To Church
