Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Cup of Joe - Multo,161,1,(x75),1389433,5004.0,9567451,5611,150772231,Cup of Joe,Multo
2,+1,December Avenue - Saksi Ang Langit,9,2,(x1),675923,65145.0,3679354,368685,4151876,December Avenue,Saksi Ang Langit
3,-1,NIKI - You'll Be in My Heart - Spotify Singles,110,2,(x4),604041,-15804.0,4285028,-42673,71416403,NIKI,You'll Be in My Heart - Spotify Singles
4,=,sombr - back to friends,88,3,(x1),589215,22662.0,3821052,42176,25611868,sombr,back to friends
5,=,Skusta Clee - Kalimutan Ka,120,5,,527759,24776.0,3474160,57832,47925103,Skusta Clee,Kalimutan Ka
6,=,Rico Blanco - Your Universe,54,6,,503988,10124.0,3184848,56880,15397093,Rico Blanco,Your Universe
7,=,Earl Agustin - Tibok,110,1,(x26),500941,9414.0,3794672,-192034,113666072,Earl Agustin,Tibok
8,=,HELLMERRY - My Day,175,3,(x1),476154,11209.0,3430610,-45555,88599487,HELLMERRY,My Day
9,=,Cup of Joe - Tingin (w/ Janine),636,3,(x10),449361,-7392.0,3065106,4525,241896280,Cup of Joe,Tingin (w/ Janine)
10,+1,Dionela - Marilag,222,1,(x78),414328,-3733.0,2826170,40172,164231602,Dionela,Marilag
11,-1,Amiel Sol - Sa Bawat Sandali,164,1,(x11),410517,-7613.0,2845627,-34926,94120329,Amiel Sol,Sa Bawat Sandali
12,+1,Le John - Naiilang,51,12,,402521,14532.0,2564301,54089,14463631,Le John,Naiilang
13,-1,Arthur Nery - Isa lang,1279,2,(x9),388643,-18422.0,2604376,35529,312959277,Arthur Nery,Isa lang
14,+6,Cup of Joe - Misteryoso,399,8,,378891,43482.0,2351980,44146,128379242,Cup of Joe,Misteryoso
15,+3,Sabrina Carpenter - Manchild,14,14,,361114,15057.0,2315320,70502,3902817,Sabrina Carpenter,Manchild
16,-1,Ryouji - B4 I LET YOU GO (w/ CK YG),130,5,,347080,-22668.0,2463480,-24493,52243692,Ryouji,B4 I LET YOU GO (w/ CK YG)
17,-1,Up Dharma Down - Tadhana,3740,6,,340571,-7904.0,2234107,40558,371089241,Up Dharma Down,Tadhana
18,-4,December Avenue - Bulong,1427,7,,335140,-46038.0,2203122,77496,147313147,December Avenue,Bulong
19,=,The Script - The Man Who Can't Be Moved,2345,7,,334627,-8024.0,2479061,-29921,193324974,The Script,The Man Who Can't Be Moved
20,-3,Dionela - sining (w/ Jay R),365,1,(x62),331601,-15804.0,2312806,15498,255883672,Dionela,sining (w/ Jay R)
21,=,Earl Agustin - Dalangin,105,4,,318956,17272.0,2346518,-111148,47981101,Earl Agustin,Dalangin
22,+13,Maki - kahel na langit,7,22,,291420,48179.0,1453909,291420,1453909,Maki,kahel na langit
23,+2,shirebound - Waltz of Four Left Feet,23,23,,290114,17985.0,1804043,68696,4310293,shirebound,Waltz of Four Left Feet
24,-1,Over October - Ikot,374,7,,286870,4610.0,1959289,20371,110443328,Over October,Ikot
25,+2,Billie Eilish - BIRDS OF A FEATHER,397,3,(x120),284916,18311.0,1906214,19860,214755904,Billie Eilish,BIRDS OF A FEATHER
26,-4,The Goo Goo Dolls - Iris,2319,17,,279457,-14916.0,1974071,-9239,136606219,The Goo Goo Dolls,Iris
27,+9,Cup of Joe - Estranghero,880,15,,277242,34793.0,1783860,14793,144245945,Cup of Joe,Estranghero
28,+2,Kendrick Lamar - luther,209,1,(x10),274228,17528.0,1875131,11123,120743713,Kendrick Lamar,luther
29,=,Dionela - Oksihina,342,5,,270389,8458.0,1765521,31152,118124900,Dionela,Oksihina
30,-6,Hale - Kung Wala Ka,3008,14,,269117,-5762.0,1742294,16880,246686184,Hale,Kung Wala Ka
31,-5,Ariana Grande - supernatural,94,16,,263571,-7055.0,1837507,361,20163199,Ariana Grande,supernatural
32,+1,Jin - Don’t Say You Love Me,35,15,,256690,8152.0,1741287,6193,9799821,Jin,Don’t Say You Love Me
