Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Afusic - Pal Pal (w/ AliSoomroMusic),112,1,(x87),91278,953.0,654831,-6049,11998023,Afusic,Pal Pal (w/ AliSoomroMusic)
2,=,Maanu - Jhol (w/ Annural Khalid),370,1,(x53),88395,-953.0,627555,-7479,24204122,Maanu,Jhol (w/ Annural Khalid)
3,=,Shubh - Supreme,63,2,(x2),74839,-1522.0,526687,-2410,4226156,Shubh,Supreme
4,=,AP Dhillon - STFU (w/ Shinda Kahlon),49,4,,59992,378.0,421237,-5031,2497598,AP Dhillon,STFU (w/ Shinda Kahlon)
5,=,"Bayaan - Maand (w/ Hasan Raheem, Rovalio)",188,1,(x1),59296,1073.0,400484,3083,11400862,Bayaan,"Maand (w/ Hasan Raheem, Rovalio)"
6,=,Anuv Jain - Afsos (w/ AP Dhillon),141,1,(x45),54153,-856.0,377378,-290,11626486,Anuv Jain,Afsos (w/ AP Dhillon)
7,+1,"Talwiinder - Haseen (w/ NDS, Rippy Grewal)",116,7,,52851,939.0,347792,4091,3040632,Talwiinder,"Haseen (w/ NDS, Rippy Grewal)"
8,-1,Kushagra - Finding Her (w/ Bharath),97,5,,51885,-729.0,370625,-2828,4554380,Kushagra,Finding Her (w/ Bharath)
9,=,Ed Sheeran - Sapphire,13,9,,50561,1375.0,319166,16721,459248,Ed Sheeran,Sapphire
10,=,"Afusic - Pal Pal (w/ Talwiinder, AliSoomroMusic)",70,3,(x2),47522,1815.0,316688,3032,4091679,Afusic,"Pal Pal (w/ Talwiinder, AliSoomroMusic)"
11,=,"Guru Randhawa - Qatal (w/ Sanjoy, Gill Machhrai)",56,6,,44703,187.0,319822,-2980,2586373,Guru Randhawa,"Qatal (w/ Sanjoy, Gill Machhrai)"
12,+2,Faheem Abdullah - Sajde (w/ Huzaif Nazar),28,12,,43163,2247.0,271820,8792,647190,Faheem Abdullah,Sajde (w/ Huzaif Nazar)
13,-1,Faheem Abdullah - Ishq (w/ Rauhan Malik),391,3,(x77),42846,455.0,305115,-3244,14120604,Faheem Abdullah,Ishq (w/ Rauhan Malik)
14,-1,Anuv Jain - Jo Tum Mere Ho,320,1,(x85),41866,381.0,295175,-2173,18212624,Anuv Jain,Jo Tum Mere Ho
