Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Alex Warren - Ordinary,129,1,(x24),53695,-8497.0,413966,-9433,4807275,Alex Warren,Ordinary
2,=,"Dj Caio Vieira - FAMOSINHA (w/ MC Meno K, Mc Rodrigo do CN)",30,2,(x5),52040,-9916.0,398852,-352,1179281,Dj Caio Vieira,"FAMOSINHA (w/ MC Meno K, Mc Rodrigo do CN)"
3,=,Vizinhos - Pôr do Sol,75,2,(x1),50849,-7058.0,383551,-4298,2555552,Vizinhos,Pôr do Sol
4,=,Plutonio - Interestelar,229,1,(x45),47385,-7788.0,368451,-10840,16366417,Plutonio,Interestelar
5,=,"DJ Malvado - Mussulo (w/ DJ Aka-m, Dody)",117,3,(x2),45335,-6802.0,343814,-1051,5048694,DJ Malvado,"Mussulo (w/ DJ Aka-m, Dody)"
6,=,NAPA - Deslocado,143,1,(x17),39754,-6025.0,306738,-6974,5834843,NAPA,Deslocado
7,+2,"DJ Biel Divulga - Tipo Nino Vs Kabrinha (w/ DJ Dozabri, Mc Lekão)",13,7,,37415,-6536.0,256858,7920,393397,DJ Biel Divulga,"Tipo Nino Vs Kabrinha (w/ DJ Dozabri, Mc Lekão)"
8,-1,Deejay Telio - Álcool & Prazer (w/ Wet Bed Gang),49,7,,36690,-7723.0,271438,-315,1634250,Deejay Telio,Álcool & Prazer (w/ Wet Bed Gang)
9,-1,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",95,7,,36459,-7936.0,283027,-3615,2277347,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
10,=,Bad Bunny - DtMF,165,1,(x26),35131,-6218.0,271238,-4419,9749590,Bad Bunny,DtMF
11,+2,"J. Eskine - Mãe Solteira (w/ DG e Batidão Stronda, Mc Davi, MC G15)",15,4,,32691,-5186.0,262010,-4456,589739,J. Eskine,"Mãe Solteira (w/ DG e Batidão Stronda, Mc Davi, MC G15)"
12,+3,Calema - Amar Pela Metade,264,7,,32154,-4101.0,263424,-10226,7353902,Calema,Amar Pela Metade
13,+1,WizTheMc - Show Me Love (w/ bees & honey),105,6,,32008,-5159.0,246780,-2567,3509364,WizTheMc,Show Me Love (w/ bees & honey)
14,-2,"Repsaj - MONTAGEM BAILÃO (w/ ATLXS, Mc Jhey)",27,12,,31742,-6546.0,251568,-2090,726282,Repsaj,"MONTAGEM BAILÃO (w/ ATLXS, Mc Jhey)"
15,-4,Kew - Descer (w/ Dj LK da Escócia),120,2,(x11),31085,-7633.0,257966,-5843,5585450,Kew,Descer (w/ Dj LK da Escócia)
16,=,Sabrina Carpenter - Manchild,14,8,,30115,-6066.0,251989,-9450,489844,Sabrina Carpenter,Manchild
17,=,KAROL G - Si Antes Te Hubiera Conocido,360,2,(x22),29166,-4608.0,222076,-716,13109420,KAROL G,Si Antes Te Hubiera Conocido
18,+1,"HUGEL - I Adore You (w/ Topic, Arash, Daecolm)",326,9,,28301,-4724.0,217862,-744,7553200,HUGEL,"I Adore You (w/ Topic, Arash, Daecolm)"
19,-1,"Nilo - Fui Mlk (w/ DJ Di Marques, Mc Paiva ZS, FamousKyo)",207,3,(x12),28098,-5669.0,232664,-5792,9644649,Nilo,"Fui Mlk (w/ DJ Di Marques, Mc Paiva ZS, FamousKyo)"
20,+1,"Oruam - Oh Garota Eu Quero Você Só Pra Mim (w/ Zé Felipe, MC Tuto, Dj Lc da Roça, MC K9, Mc Rodrigo do CN, mc pl alves)",184,1,(x45),27821,-3978.0,216338,-2301,12510999,Oruam,"Oh Garota Eu Quero Você Só Pra Mim (w/ Zé Felipe, MC Tuto, Dj Lc da Roça, MC K9, Mc Rodrigo do CN, mc pl alves)"
21,-1,Beéle - no tiene sentido,28,20,,26913,-5440.0,198491,507,590324,Beéle,no tiene sentido
22,+2,Plutonio - Somos Iguais,1586,4,,26775,-3019.0,203497,-3870,22835384,Plutonio,Somos Iguais
23,=,Mc Jacaré - Senta e Cala a Boca (w/ DJ JHOW BEATS),58,8,,25659,-5278.0,202985,-1894,1532162,Mc Jacaré,Senta e Cala a Boca (w/ DJ JHOW BEATS)
24,-2,"Mizzy Miles - Champions League (w/ Slow J, Gson)",154,8,,25347,-6117.0,192396,-5043,4639690,Mizzy Miles,"Champions League (w/ Slow J, Gson)"
25,=,Lola Young - Messy,193,9,,24342,-4062.0,180147,-1084,5912675,Lola Young,Messy
26,=,Bad Bunny - NUEVAYoL,166,3,(x1),24073,-3504.0,179386,-668,5291278,Bad Bunny,NUEVAYoL
27,=,"Adam Port - Move (w/ Stryv, Keinemusik, Orso, Malachiii)",378,1,(x26),23857,-3035.0,178257,-55,11005695,Adam Port,"Move (w/ Stryv, Keinemusik, Orso, Malachiii)"
28,+1,Benson Boone - Beautiful Things,512,2,(x5),23576,-2419.0,177259,-2765,17951088,Benson Boone,Beautiful Things
29,+1,Billie Eilish - BIRDS OF A FEATHER,399,2,(x24),23460,-2452.0,175960,-2280,16231335,Billie Eilish,BIRDS OF A FEATHER
30,+1,Lady Gaga - Die With A Smile (w/ Bruno Mars),308,1,(x63),22842,-2440.0,170963,-2804,15620378,Lady Gaga,Die With A Smile (w/ Bruno Mars)
31,+3,sombr - back to friends,74,30,,22299,-2291.0,162904,-3065,1286291,sombr,back to friends
32,-4,"Kew - Rebolando (w/ Mc Livinho, Dj LK da Escócia)",37,14,,21927,-4158.0,184577,-7622,1001178,Kew,"Rebolando (w/ Mc Livinho, Dj LK da Escócia)"
33,+2,"Mizzy Miles - Bênção (w/ Bispo, Van Zee)",476,1,(x45),21571,-2849.0,167309,-5772,19818959,Mizzy Miles,"Bênção (w/ Bispo, Van Zee)"
34,-1,Dillaz - Alô (w/ Plutonio),490,1,(x15),21456,-3235.0,169634,-5815,18894709,Dillaz,Alô (w/ Plutonio)
35,+1,Calema - Leva Tudo (w/ Dilsinho),42,34,,21287,-2686.0,157460,-2546,764863,Calema,Leva Tudo (w/ Dilsinho)
36,+1,Bad Bunny - BAILE INoLVIDABLE,165,5,,20385,-3531.0,156020,-1823,4978074,Bad Bunny,BAILE INoLVIDABLE
37,-5,DJ TOPO - MTG NA IMAGINAÇÃO - TOPO SESSIONS VOL. 1 (w/ Mc Livinho),239,10,,19932,-4976.0,165112,-3941,6863372,DJ TOPO,MTG NA IMAGINAÇÃO - TOPO SESSIONS VOL. 1 (w/ Mc Livinho)
38,+1,"MC LUUKY - Olha pra Cara de Quem Te... (w/ MC Jvila, DJ Dael)",85,29,,19594,-2907.0,156457,-2842,1431472,MC LUUKY,"Olha pra Cara de Quem Te... (w/ MC Jvila, DJ Dael)"
39,+2,Damiano David - The First Time,27,38,,18920,-3055.0,139767,-2820,483174,Damiano David,The First Time
40,+2,Plutonio - Acordar,392,20,,18806,-3143.0,139110,-4566,8705490,Plutonio,Acordar
41,+3,Gigi Perez - Sailor Song,271,9,,18763,-2778.0,141468,-2647,7849928,Gigi Perez,Sailor Song
