Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+1,V - Winter Ahead (w/ Park Hyo Shin),198,1,(x20),98477,56427.0,314028,75798,5730340,V,Winter Ahead (w/ Park Hyo Shin)
2,-1,Jimin - Who,336,1,(x99),47941,-6427.0,395981,-3211,13505913,Jimin,Who
3,+11,V - Love Me Again,600,1,(x3),33231,18875.0,108525,23834,11508126,V,Love Me Again
4,-1,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",113,1,(x8),22986,-5404.0,195394,-3237,2932300,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
5,-1,Jin - Don’t Say You Love Me,35,1,(x1),18446,-1590.0,130151,5615,821479,Jin,Don’t Say You Love Me
6,+1,Fuerza Regida - COQUETA (w/ Grupo Frontera),89,4,,15671,-1661.0,128362,-1237,1137947,Fuerza Regida,COQUETA (w/ Grupo Frontera)
7,-2,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",166,2,(x11),15097,-3321.0,123159,-1495,4818756,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
8,=,La T y La M - Amor de Vago (w/ Malandro),239,1,(x17),13805,-2877.0,120425,-1733,6074668,La T y La M,Amor de Vago (w/ Malandro)
9,-3,Alleh - capaz (merengueton) (w/ Yorghaki),168,6,,13542,-4035.0,113801,-1530,2913629,Alleh,capaz (merengueton) (w/ Yorghaki)
10,=,Beéle - no tiene sentido,30,8,,13150,-2566.0,101798,-1181,345447,Beéle,no tiene sentido
11,-2,Beéle - Mi Refe (w/ Ovy On The Drums),170,8,,12990,-2911.0,104322,-773,2526974,Beéle,Mi Refe (w/ Ovy On The Drums)
12,+3,Yan Block - Yo sé (w/ TORRRES),193,11,,12784,-362.0,93553,-807,1971023,Yan Block,Yo sé (w/ TORRRES)
13,=,Bad Bunny - BAILE INoLVIDABLE,166,2,(x7),12556,-2110.0,102479,-1714,4803548,Bad Bunny,BAILE INoLVIDABLE
14,-2,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",105,7,,12294,-2793.0,103120,-615,1435051,Jombriel,"VITAMINA (w/ DFZM, Jøtta)"
15,-4,Bad Bunny - KLOuFRENS,166,7,,11759,-3827.0,97658,-1399,3267788,Bad Bunny,KLOuFRENS
16,=,Bad Bunny - DtMF,166,1,(x39),11000,-2079.0,90930,-1680,5512438,Bad Bunny,DtMF
17,+1,"Dj Caio Vieira - FAMOSINHA (w/ MC Meno K, Mc Rodrigo do CN)",27,17,,10878,-1142.0,80399,1778,214858,Dj Caio Vieira,"FAMOSINHA (w/ MC Meno K, Mc Rodrigo do CN)"
18,+9,"Bad Bunny - Diles (w/ Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz)",1123,18,,10788,-202.0,75954,318,6920366,Bad Bunny,"Diles (w/ Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz)"
19,+1,j-hope - Killin' It Girl (w/ GloRilla),7,19,,10750,-906.0,57872,10750,57872,j-hope,Killin' It Girl (w/ GloRilla)
20,-1,Yan Block - 444 (w/ Panda Black),163,17,,10499,-1454.0,79846,472,1226862,Yan Block,444 (w/ Panda Black)
21,+2,Fuerza Regida - ME JALO (w/ Grupo Frontera),113,12,,10129,-1308.0,82681,-583,1420057,Fuerza Regida,ME JALO (w/ Grupo Frontera)
22,+6,Mora - DETRÁS DE TU ALMA,32,17,,9732,-1244.0,75630,-1658,287912,Mora,DETRÁS DE TU ALMA
23,-6,Feid - LUNA (w/ ATL Jacob),563,1,(x84),9658,-2444.0,82422,-2129,20600311,Feid,LUNA (w/ ATL Jacob)
24,+7,Yan Block - 111,113,19,,9457,-1135.0,69458,-33,1019110,Yan Block,111
25,+4,De La Rose - NUBES (w/ Omar Courtz),77,15,,9380,-1445.0,71909,-924,829198,De La Rose,NUBES (w/ Omar Courtz)
26,-2,"Anuel AA - Sola (Remix) (w/ Daddy Yankee, Zion & Lennox, Farruko, Wisin)",3097,3,(x7),9365,-1898.0,76332,-1253,21162696,Anuel AA,"Sola (Remix) (w/ Daddy Yankee, Zion & Lennox, Farruko, Wisin)"
27,-6,Lalo Y Los Descalzos - Te Quiero Asi,265,3,(x7),9293,-2208.0,92798,-1087,5174767,Lalo Y Los Descalzos,Te Quiero Asi
28,+2,Bad Bunny - VOY A LLeVARTE PA PR,166,6,,9291,-1332.0,72749,-157,3253125,Bad Bunny,VOY A LLeVARTE PA PR
