Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jin - Don’t Say You Love Me,35,1,(x31),258240,23399.0,1623501,841,7599467,Jin,Don’t Say You Love Me
2,=,Jimin - Who,336,1,(x135),72620,-14182.0,612115,-33540,33431448,Jimin,Who
3,=,LBI利比 - 跳楼机,137,1,(x79),65212,458.0,444942,-5259,11273623,LBI利比,跳楼机
4,=,sombr - back to friends,104,4,,44084,-7.0,293269,-1520,2995413,sombr,back to friends
5,+1,Sabrina Carpenter - Manchild,14,5,,35763,-89.0,252441,-5760,508156,Sabrina Carpenter,Manchild
6,+4,姚晓棠 - 看着我的眼睛说 - Live (w/ 张远),8,6,,35496,2395.0,174380,35496,225733,姚晓棠,看着我的眼睛说 - Live (w/ 张远)
7,=,JENNIE - like JENNIE,106,2,(x36),34875,-179.0,236759,-3142,6563280,JENNIE,like JENNIE
8,=,yung kai - blue,244,3,(x1),34464,633.0,227718,-594,10005978,yung kai,blue
9,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),308,1,(x18),34099,422.0,231567,-1705,22801970,Lady Gaga,Die With A Smile (w/ Bruno Mars)
10,+1,张远 - 看着我的眼睛说,19,6,,30934,17.0,215204,-9203,545105,张远,看着我的眼睛说
11,+1,Billie Eilish - BIRDS OF A FEATHER,399,1,(x21),30606,494.0,205120,-313,21930136,Billie Eilish,BIRDS OF A FEATHER
12,+1,Silence Wang - 像晴天像雨天（电视剧《难哄》心动曲）,115,3,(x3),28473,-609.0,192500,-2428,4547276,Silence Wang,像晴天像雨天（电视剧《难哄》心动曲）
13,+1,Jung Kook - Seven (w/ Latto),707,1,(x177),28092,-593.0,181421,3329,31256139,Jung Kook,Seven (w/ Latto)
14,+1,j-hope - Killin' It Girl (w/ GloRilla),7,14,,26027,-427.0,135828,26027,135828,j-hope,Killin' It Girl (w/ GloRilla)
15,+1,ROSÉ - APT. (w/ Bruno Mars),245,1,(x61),25438,204.0,179208,-626,21839062,ROSÉ,APT. (w/ Bruno Mars)
16,+3,Ravyn Lenae - Love Me Not,89,15,,24927,1412.0,163434,1126,1537084,Ravyn Lenae,Love Me Not
17,+1,Charli xcx - party 4 u,113,12,,24753,1126.0,164880,-2951,2082616,Charli xcx,party 4 u
18,-1,Alex Warren - Ordinary,98,13,,24585,571.0,165229,-591,1853355,Alex Warren,Ordinary
