Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Sabrina Carpenter - Manchild,14,1,(x14),1524900,38156.0,11049611,-378200,24958301,Sabrina Carpenter,Manchild
2,=,Alex Warren - Ordinary,133,1,(x13),1153215,35363.0,7980102,-7841,134028842,Alex Warren,Ordinary
3,=,sombr - back to friends,94,3,(x6),1092047,2632.0,7531690,-31589,79977057,sombr,back to friends
4,=,Morgan Wallen - What I Want (w/ Tate McRae),35,1,(x21),1048187,54290.0,7530702,-223871,50496486,Morgan Wallen,What I Want (w/ Tate McRae)
5,+1,Ravyn Lenae - Love Me Not,103,5,,978834,55579.0,6474600,88716,66694918,Ravyn Lenae,Love Me Not
6,-1,Lil Tecca - Dark Thoughts,98,2,(x5),923473,-52342.0,6620828,180158,95257636,Lil Tecca,Dark Thoughts
7,=,sombr - undressed,86,2,(x4),890079,-1494.0,6114189,-21455,73269965,sombr,undressed
8,=,Morgan Wallen - Just In Case,91,2,(x11),889993,23718.0,6250266,13912,93937587,Morgan Wallen,Just In Case
9,=,Lil Tecca - OWA OWA,21,3,(x1),842185,-21337.0,6311320,40866,18599794,Lil Tecca,OWA OWA
10,=,Billie Eilish - BIRDS OF A FEATHER,399,2,(x10),841136,15565.0,5657502,33756,587126175,Billie Eilish,BIRDS OF A FEATHER
11,=,Kendrick Lamar - luther,210,1,(x54),832652,12784.0,5945654,-36547,358729815,Kendrick Lamar,luther
12,+3,Chappell Roan - Pink Pony Club,380,4,,820266,61457.0,5436552,60956,328226673,Chappell Roan,Pink Pony Club
13,-1,Morgan Wallen - I Got Better,35,4,,801359,19847.0,5819804,-113466,36219095,Morgan Wallen,I Got Better
14,-1,Drake - NOKIA,126,1,(x24),799969,30585.0,5535739,-21619,153143507,Drake,NOKIA
15,-1,Morgan Wallen - I'm The Problem,140,1,(x1),770174,10303.0,5374199,-5382,114889633,Morgan Wallen,I'm The Problem
16,+4,Post Malone - I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen),406,1,(x6),757940,84295.0,5085132,49777,538491126,Post Malone,I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen)
17,+2,Benson Boone - Mystical Magical,56,14,,745593,69381.0,4916626,21587,36739790,Benson Boone,Mystical Magical
18,-2,The Marías - No One Noticed,307,4,,741022,32386.0,5049934,8614,223688989,The Marías,No One Noticed
19,-2,Benson Boone - Beautiful Things,518,1,(x5),717659,30830.0,4816595,60543,516614052,Benson Boone,Beautiful Things
20,+3,Shaboozey - A Bar Song (Tipsy),434,1,(x1),703164,45775.0,4822237,52028,540001466,Shaboozey,A Bar Song (Tipsy)
21,-3,Lady Gaga - Die With A Smile (w/ Bruno Mars),308,1,(x30),702714,26162.0,4738409,11409,450989817,Lady Gaga,Die With A Smile (w/ Bruno Mars)
22,+2,Jessie Murph - Blue Strips,65,6,,664817,16262.0,4608984,-43140,47667800,Jessie Murph,Blue Strips
23,+4,Charli xcx - party 4 u,61,12,,659851,34082.0,4420927,-27301,43229869,Charli xcx,party 4 u
24,-2,Gigi Perez - Sailor Song,324,3,(x5),650408,-8468.0,4468056,5565,316029778,Gigi Perez,Sailor Song
25,+1,The Weeknd - Timeless (w/ Playboi Carti),266,1,(x7),648184,19720.0,4425149,-8807,284465636,The Weeknd,Timeless (w/ Playboi Carti)
26,+4,Teddy Swims - Lose Control,590,5,,641841,31172.0,4403047,35555,464924409,Teddy Swims,Lose Control
27,+1,Hozier - Too Sweet,454,1,(x17),637986,13637.0,4324199,27362,457464407,Hozier,Too Sweet
28,+1,Sabrina Carpenter - Espresso,434,1,(x4),637297,24791.0,4329516,19480,581453194,Sabrina Carpenter,Espresso
29,+18,Fleetwood Mac - Dreams - 2004 Remaster,1625,6,,634436,92818.0,4058570,-15979,609047412,Fleetwood Mac,Dreams - 2004 Remaster
30,-9,The Goo Goo Dolls - Iris,472,21,,632281,-27056.0,4420354,23763,194090143,The Goo Goo Dolls,Iris
31,-6,BigXthaPlug - All The Way (w/ Bailey Zimmerman),77,2,(x1),627975,-19772.0,4515700,10425,61670346,BigXthaPlug,All The Way (w/ Bailey Zimmerman)
32,+2,"Tyler, The Creator - See You Again (w/ Kali Uchis)",1469,3,(x1),626096,26580.0,4188335,35411,785230457,"Tyler, The Creator",See You Again (w/ Kali Uchis)
33,+2,"Chappell Roan - Good Luck, Babe!",441,1,(x13),617721,27227.0,4059812,29234,549446355,Chappell Roan,"Good Luck, Babe!"
34,+6,Kendrick Lamar - All The Stars (w/ SZA),1012,2,(x10),616358,45546.0,3953254,37107,529870015,Kendrick Lamar,All The Stars (w/ SZA)
35,+4,Morgan Wallen - Love Somebody,244,1,(x2),612886,38146.0,4182095,34821,170872874,Morgan Wallen,Love Somebody
36,-4,Fuerza Regida - TU SANCHO,25,32,,609081,4747.0,4105075,59351,12875816,Fuerza Regida,TU SANCHO
37,+1,Morgan Wallen - 20 Cigarettes,35,12,,608756,25594.0,4341659,-72607,27141463,Morgan Wallen,20 Cigarettes
38,-5,Tate McRae - Just Keep Watching (From F1® The Movie) (w/ F1 The Album),21,8,,605620,3272.0,4144867,-60042,14976143,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album)
39,-2,Kendrick Lamar - tv off (w/ Lefty Gunplay),209,1,(x9),596867,12265.0,4118805,-2067,283861697,Kendrick Lamar,tv off (w/ Lefty Gunplay)
40,+1,Gracie Abrams - That’s So True,245,1,(x21),576627,7625.0,3861363,36509,270223253,Gracie Abrams,That’s So True
