Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",119,1,(x93),29032,-780.0,209983,-1188,3734130,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
2,=,"Roze Oficial - Tu jardín con enanitos (w/ Max Carra, Valen)",28,1,(x1),26928,214.0,194664,-1421,663293,Roze Oficial,"Tu jardín con enanitos (w/ Max Carra, Valen)"
3,=,Alleh - capaz (merengueton) (w/ Yorghaki),179,1,(x5),18834,-1688.0,134650,188,4175112,Alleh,capaz (merengueton) (w/ Yorghaki)
4,=,Beéle - no tiene sentido,31,4,,17668,-817.0,121472,-138,395523,Beéle,no tiene sentido
5,+1,"DENNIS - MOTINHA 2.0 (Mete Marcha) - Remix (w/ Luísa Sonza, Emilia)",56,4,,17347,1307.0,117418,915,1013755,DENNIS,"MOTINHA 2.0 (Mete Marcha) - Remix (w/ Luísa Sonza, Emilia)"
6,-1,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",105,4,,16048,-56.0,113688,1007,1608520,Jombriel,"VITAMINA (w/ DFZM, Jøtta)"
7,+2,"Ovy On The Drums - YO y TÚ (w/ Quevedo, Beéle)",8,7,,14900,679.0,67664,11788,70776,Ovy On The Drums,"YO y TÚ (w/ Quevedo, Beéle)"
8,-1,"Emilia - blackout 🧊 (w/ TINI, Nicki Nicole)",86,1,(x1),14495,-1282.0,102936,-147,2139524,Emilia,"blackout 🧊 (w/ TINI, Nicki Nicole)"
9,-1,La T y La M - Amor de Vago (w/ Malandro),279,1,(x10),13586,-800.0,98060,488,5213836,La T y La M,Amor de Vago (w/ Malandro)
10,=,Mattei - Pa las girlas,74,3,(x1),13047,-1066.0,95123,-831,1028059,Mattei,Pa las girlas
11,=,Beéle - Mi Refe (w/ Ovy On The Drums),177,8,,12963,-367.0,87683,669,2307392,Beéle,Mi Refe (w/ Ovy On The Drums)
12,+2,"FMK - MASNA REMIX (w/ Emilia, Nicki Nicole, Tiago PZK)",14,11,,12668,206.0,80085,3858,145057,FMK,"MASNA REMIX (w/ Emilia, Nicki Nicole, Tiago PZK)"
13,=,LA NUEVA ESCUELA - Se Me Olvida / Empelotica,218,1,(x24),12668,59.0,89808,-239,4788743,LA NUEVA ESCUELA,Se Me Olvida / Empelotica
14,+2,La T y La M - amor de veraNO,38,12,,12644,942.0,84470,792,377823,La T y La M,amor de veraNO
