Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,NEW,Drake - Make Them Cry,1,1,(x1),51470,,51470,51470,51470,Drake,Make Them Cry
2,NEW,Drake - Dust,1,2,(x1),41160,,41160,41160,41160,Drake,Dust
3,NEW,Drake - Whisper My Name,1,3,(x1),39985,,39985,39985,39985,Drake,Whisper My Name
4,NEW,Drake - National Treasures,1,4,,37519,,37519,37519,37519,Drake,National Treasures
5,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,5,,35369,,35369,35369,35369,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
6,NEW,Drake - Janice STFU,1,6,,34310,,34310,34310,34310,Drake,Janice STFU
7,NEW,Drake - Shabang,1,7,,28590,,28590,28590,28590,Drake,Shabang
8,NEW,Drake - Make Them Pay,1,8,,28005,,28005,28005,28005,Drake,Make Them Pay
9,NEW,Drake - 2 Hard 4 The Radio,1,9,,27135,,27135,27135,27135,Drake,2 Hard 4 The Radio
10,NEW,Drake - Plot Twist,1,10,,26072,,26072,26072,26072,Drake,Plot Twist
11,NEW,Drake - B's On The Table (w/ 21 Savage),1,11,,25868,,25868,25868,25868,Drake,B's On The Table (w/ 21 Savage)
12,+151,Drake - What Did I Miss?,73,5,,25067,21744.0,28390,25067,351456,Drake,What Did I Miss?
13,NEW,Drake - Burning Bridges,1,13,,22666,,22666,22666,22666,Drake,Burning Bridges
14,-13,Michael Jackson - Billie Jean,73,1,(x6),18878,3453.0,109972,2112,446500,Michael Jackson,Billie Jean
15,NEW,Drake - Make Them Remember,1,15,,18871,,18871,18871,18871,Drake,Make Them Remember
16,NEW,Drake - Make Them Know,1,16,,18729,,18729,18729,18729,Drake,Make Them Know
17,-15,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),238,1,(x25),15927,2044.0,99989,-998,1160698,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
18,NEW,Drake - WNBA,1,18,,15595,,15595,15595,15595,Drake,WNBA
19,NEW,Drake - Don’t Worry,1,19,,15367,,15367,15367,15367,Drake,Don’t Worry
20,NEW,Drake - Firm Friends,1,20,,14491,,14491,14491,14491,Drake,Firm Friends
21,NEW,Drake - Hoe Phase,1,21,,14141,,14141,14141,14141,Drake,Hoe Phase
22,NEW,Drake - Little Birdie,1,22,,14065,,14065,14065,14065,Drake,Little Birdie
23,-19,Michael Jackson - Beat It,22,4,,13230,2259.0,78658,1539,206855,Michael Jackson,Beat It
24,NEW,Drake - Fortworth (w/ PARTYNEXTDOOR),1,24,,12995,,12995,12995,12995,Drake,Fortworth (w/ PARTYNEXTDOOR)
25,-22,Dave - Raindance (w/ Tems),204,1,(x58),12938,1102.0,82798,-358,2574589,Dave,Raindance (w/ Tems)
26,NEW,Drake - Slap The City (w/ Qendresa),1,26,,12477,,12477,12477,12477,Drake,Slap The City (w/ Qendresa)
27,-22,Dominic Fike - Babydoll,100,2,(x12),11535,1246.0,72391,-524,1061097,Dominic Fike,Babydoll
28,NEW,Drake - High Fives,1,28,,11443,,11443,11443,11443,Drake,High Fives
29,NEW,Drake - Road Trips,1,29,,11252,,11252,11252,11252,Drake,Road Trips
30,-24,"Aksomaniac - Amsham - അംശം (w/ M.H.R, Bhumi, Circle Tone)",40,4,,10758,588.0,71625,-319,380655,Aksomaniac,"Amsham - അംശം (w/ M.H.R, Bhumi, Circle Tone)"
31,-23,Michael Jackson - Human Nature,20,7,,10588,1270.0,65921,1655,149884,Michael Jackson,Human Nature
32,RE,Drake - Which One (w/ Central Cee),141,2,(x1),10547,,10547,10547,781981,Drake,Which One (w/ Central Cee)
33,NEW,Drake - Classic,1,33,,10502,,10502,10502,10502,Drake,Classic
34,NEW,Drake - Cheetah Print (w/ Sexyy Red),1,34,,10466,,10466,10466,10466,Drake,Cheetah Print (w/ Sexyy Red)
35,NEW,Drake - Rusty Intro,1,35,,10267,,10267,10267,10267,Drake,Rusty Intro
36,-23,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,21,8,,10227,1519.0,63620,861,155148,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
37,-28,BTS - SWIM,57,1,(x14),10052,779.0,63414,526,744495,BTS,SWIM
38,-31,Malcolm Todd - Earrings,51,7,,10044,635.0,64069,1077,340359,Malcolm Todd,Earrings
39,NEW,Drake - Hurrr Nor Thurr (w/ Sexyy Red),1,39,,9939,,9939,9939,9939,Drake,Hurrr Nor Thurr (w/ Sexyy Red)
40,-30,"Sai Abhyankkar - Pavazha Malli (w/ Shruti Haasan, Vivek)",72,6,,9511,635.0,61940,-188,588399,Sai Abhyankkar,"Pavazha Malli (w/ Shruti Haasan, Vivek)"
41,-29,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),90,5,,9383,587.0,60619,-580,679909,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
42,-28,Justin Bieber - DAISIES,309,1,(x3),9243,590.0,61900,-476,2560904,Justin Bieber,DAISIES
43,-32,Olivia Dean - Man I Need,268,2,(x9),9193,360.0,61585,-21,3131396,Olivia Dean,Man I Need
44,NEW,Drake - I'm Spent (w/ Loe Shimmy),1,44,,9121,,9121,9121,9121,Drake,I'm Spent (w/ Loe Shimmy)
45,-29,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),134,2,(x4),8966,772.0,56842,-259,1237751,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson)
46,-31,Olivia Dean - So Easy (To Fall In Love),229,3,(x2),8744,491.0,57562,-91,2438823,Olivia Dean,So Easy (To Fall In Love)
47,-28,Taylor Swift - The Fate of Ophelia,225,1,(x33),8666,681.0,56371,-243,3245371,Taylor Swift,The Fate of Ophelia
48,-25,"ARJN - KALYANI (w/ KDS, FIFTY4, RONN)",175,2,(x2),8515,938.0,54849,165,1857751,ARJN,"KALYANI (w/ KDS, FIFTY4, RONN)"
49,-32,sombr - back to friends,425,1,(x8),8478,333.0,55821,3,4452648,sombr,back to friends
50,-24,"Drake - One Dance (w/ Wizkid, Kyla)",1865,19,,8338,1153.0,48553,710,6461156,Drake,"One Dance (w/ Wizkid, Kyla)"
51,NEW,Drake - Gen 5,1,51,,8277,,8277,8277,8277,Drake,Gen 5
52,-30,Katy Perry - The One That Got Away,55,22,,8194,560.0,51266,352,272043,Katy Perry,The One That Got Away
53,-35,Bruno Mars - Risk It All,78,2,(x8),8176,163.0,54360,-133,822022,Bruno Mars,Risk It All
54,-34,Djo - End of Beginning,815,2,(x53),8165,495.0,53960,-294,5785794,Djo,End of Beginning
55,NEW,Drake - New Bestie,1,55,,8027,,8027,8027,8027,Drake,New Bestie
56,NEW,Drake - White Bone,1,56,,8006,,8006,8006,8006,Drake,White Bone
57,-29,Jung Kook - Seven (w/ Latto),1037,1,(x71),7931,848.0,49525,258,8352473,Jung Kook,Seven (w/ Latto)
58,-28,Michael Jackson - Smooth Criminal - 2012 Remaster,21,25,,7878,1303.0,48111,737,129164,Michael Jackson,Smooth Criminal - 2012 Remaster
59,-38,Sheheryar Rehan - Majboor (w/ Zoha Waseem),37,6,,7820,172.0,56021,-1386,320187,Sheheryar Rehan,Majboor (w/ Zoha Waseem)
60,NEW,Drake - Outside Tweaking (w/ Stunna Sandy),1,60,,7785,,7785,7785,7785,Drake,Outside Tweaking (w/ Stunna Sandy)
61,-37,Billie Eilish - BIRDS OF A FEATHER,729,1,(x65),7753,256.0,51459,112,10013706,Billie Eilish,BIRDS OF A FEATHER
62,NEW,Drake - BBW,1,62,,7739,,7739,7739,7739,Drake,BBW
63,-38,Ravyn Lenae - Love Me Not,440,8,,7596,384.0,49919,-390,3026880,Ravyn Lenae,Love Me Not
64,NEW,Drake - Amazing Shape (w/ Popcaan),1,64,,7549,,7549,7549,7549,Drake,Amazing Shape (w/ Popcaan)
65,-38,Lady Gaga - Die With A Smile (w/ Bruno Mars),638,1,(x31),7469,297.0,49446,-120,9134693,Lady Gaga,Die With A Smile (w/ Bruno Mars)
66,-32,Zara Larsson - Lush Life,197,7,,7345,1203.0,44905,-32,1400911,Zara Larsson,Lush Life
67,-38,Olivia Rodrigo - drop dead,29,2,(x1),7287,627.0,49604,-629,278909,Olivia Rodrigo,drop dead
68,-37,"Rzee - Ada Bommale (w/ Chinmayi Kiranlal, Minya Panicker, Nila Raj, Heykarthii)",40,15,,6943,617.0,48030,-158,276748,Rzee,"Ada Bommale (w/ Chinmayi Kiranlal, Minya Panicker, Nila Raj, Heykarthii)"
69,-36,Alex Warren - Ordinary,457,4,,6906,764.0,44155,186,3984590,Alex Warren,Ordinary
70,NEW,Drake - Prioritizing,1,70,,6827,,6827,6827,6827,Drake,Prioritizing
71,NEW,Drake - True Bestie (w/ Iconic Savvy),1,71,,6821,,6821,6821,6821,Drake,True Bestie (w/ Iconic Savvy)
72,-37,Tame Impala - Dracula,229,27,,6598,561.0,41497,182,1069610,Tame Impala,Dracula
73,NEW,Drake - Q&A,1,73,,6513,,6513,6513,6513,Drake,Q&A
74,-35,"Shashwat Sachdev - Gehra Hua (w/ Arijit Singh, Irshad Kamil, Armaan Khan)",161,12,,6488,685.0,41931,232,1064448,Shashwat Sachdev,"Gehra Hua (w/ Arijit Singh, Irshad Kamil, Armaan Khan)"
75,-38,Michael Jackson - Chicago,23,37,,6453,594.0,40516,385,104272,Michael Jackson,Chicago
76,-40,"M.H.R - ZILL (w/ Shafi Kollam, JOKER390P)",91,12,,6416,411.0,42203,217,565177,M.H.R,"ZILL (w/ Shafi Kollam, JOKER390P)"
77,NEW,Gracie Abrams - Hit the Wall,1,77,,6299,,6299,6299,6299,Gracie Abrams,Hit the Wall
78,-38,F3miii - NOBLE,38,36,,6219,527.0,39712,213,174380,F3miii,NOBLE
79,-33,Michael Jackson - They Don't Care About Us,22,35,,6143,802.0,40077,87,117714,Michael Jackson,They Don't Care About Us
80,-48,The Weeknd - Starboy (w/ Daft Punk),1991,10,,6119,-44.0,40643,-184,8250356,The Weeknd,Starboy (w/ Daft Punk)
81,-40,Skusta Clee - Since Day One (w/ Flow G),81,33,,6065,488.0,38682,168,393600,Skusta Clee,Since Day One (w/ Flow G)
82,-44,Justin Bieber - Confident - Single Version (w/ Chance the Rapper),351,10,,5994,189.0,39742,-251,1237652,Justin Bieber,Confident - Single Version (w/ Chance the Rapper)
83,-32,Michael Jackson - Bad - 2012 Remaster,19,41,,5967,848.0,37805,256,91858,Michael Jackson,Bad - 2012 Remaster
84,-37,The Neighbourhood - Sweater Weather,2049,13,,5962,634.0,37851,-8,7599308,The Neighbourhood,Sweater Weather
85,-36,Michael Jackson - Dirty Diana - 2012 Remaster,20,39,,5914,701.0,38002,70,95228,Michael Jackson,Dirty Diana - 2012 Remaster
86,NEW,Drake - Stuck,1,86,,5857,,5857,5857,5857,Drake,Stuck
87,-42,RAYE - WHERE IS MY HUSBAND!,239,9,,5810,388.0,36841,-143,1747081,RAYE,WHERE IS MY HUSBAND!
88,-35,Michael Jackson - Thriller,25,41,,5758,742.0,36440,459,106778,Michael Jackson,Thriller
89,-45,Gigi Perez - Sailor Song,631,7,,5721,256.0,37748,-152,4068514,Gigi Perez,Sailor Song
90,-42,Justin Bieber - Baby (w/ Ludacris),37,5,,5704,491.0,38750,-887,282306,Justin Bieber,Baby (w/ Ludacris)
91,-49,Sabrina Carpenter - Espresso,764,1,(x71),5662,98.0,37768,-91,7929355,Sabrina Carpenter,Espresso
92,-40,"Shashwat Sachdev - Jaiye Sajana (w/ Jasmine Sandlas, Satinder Sartaaj)",56,10,,5647,582.0,38034,-317,391318,Shashwat Sachdev,"Jaiye Sajana (w/ Jasmine Sandlas, Satinder Sartaaj)"
93,-50,The Goo Goo Dolls - Iris,783,22,,5606,128.0,36647,268,3267502,The Goo Goo Dolls,Iris
94,NEW,Drake - Goose and The Juice,1,94,,5504,,5504,5504,5504,Drake,Goose and The Juice
