Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,BTS - SWIM,57,1,(x57),36905,4610.0,231024,2703,2217597,BTS,SWIM
2,=,Fuerza Regida - COQUETA (w/ Grupo Frontera),446,1,(x9),18933,174.0,128723,234,7809392,Fuerza Regida,COQUETA (w/ Grupo Frontera)
3,=,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",155,2,(x1),17971,403.0,118759,31,2324258,El Bogueto,"Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)"
4,=,"JERÔME - SOBERBIO - REMIX (w/ Corona, Mc Tota)",63,1,(x2),17443,673.0,116868,-492,1509951,JERÔME,"SOBERBIO - REMIX (w/ Corona, Mc Tota)"
5,=,Michael Jackson - Billie Jean,42,5,,15737,357.0,107670,-241,410823,Michael Jackson,Billie Jean
6,=,Omar Courtz - KOKO,82,4,,15468,104.0,100657,832,1102315,Omar Courtz,KOKO
7,=,Jósean Log - Doma,74,6,,15098,-87.0,101661,1535,812719,Jósean Log,Doma
8,=,Danny Ocean - Me Rehúso,3434,1,(x13),13951,630.0,94200,28,20432409,Danny Ocean,Me Rehúso
9,=,El Bogueto - Cuando No Era Cantante (w/ Yung Beef),234,1,(x83),13116,29.0,94545,-468,3914499,El Bogueto,Cuando No Era Cantante (w/ Yung Beef)
10,+4,Bad Bunny - BAILE INoLVIDABLE,496,1,(x75),12414,343.0,82652,157,10380227,Bad Bunny,BAILE INoLVIDABLE
11,=,Plan B - Es un Secreto,1685,3,(x1),12282,-19.0,85538,-257,20750007,Plan B,Es un Secreto
12,+1,Michael Jackson - Beat It,23,10,,12026,-140.0,83908,-841,255402,Michael Jackson,Beat It
13,+4,Fuerza Regida - TU SANCHO,351,5,,12015,344.0,80025,-228,2216282,Fuerza Regida,TU SANCHO
14,-4,Young Cister - QLOO* (w/ Kreamly),351,1,(x50),11935,-518.0,83012,-930,5953361,Young Cister,QLOO* (w/ Kreamly)
15,=,Oscar Maydon - Tu Boda (w/ Fuerza Regida),580,1,(x26),11673,-333.0,78256,99,7747862,Oscar Maydon,Tu Boda (w/ Fuerza Regida)
16,-4,Dominic Fike - Babydoll,72,7,,11641,-601.0,84800,-500,844094,Dominic Fike,Babydoll
17,-1,Milo j - Niño,232,3,(x1),11485,-516.0,81832,-692,2932787,Milo j,Niño
18,+1,"Marc Seguí - Tiroteo - Remix (w/ Rauw Alejandro, Pol Granch)",1602,9,,11318,219.0,73891,832,11710112,Marc Seguí,"Tiroteo - Remix (w/ Rauw Alejandro, Pol Granch)"
19,-1,Emmanuel Cortes - Amor,559,15,,10965,-222.0,77688,-284,4152107,Emmanuel Cortes,Amor
20,+1,Omar Courtz - POR SI MAÑANA NO ESTOY,85,20,,10823,46.0,70478,683,844707,Omar Courtz,POR SI MAÑANA NO ESTOY
21,-1,Taiu - Rara Vez (w/ Milo j),1189,2,(x1),10779,-272.0,77771,-785,17335054,Taiu,Rara Vez (w/ Milo j)
22,=,Maluma - Borro Cassette,1820,1,(x14),10574,263.0,75263,-809,10547528,Maluma,Borro Cassette
23,+2,Rels B - TU VAS SIN (fav),313,1,(x3),10541,481.0,70414,-861,4224275,Rels B,TU VAS SIN (fav)
24,+3,Luis Vega - Insuperable,309,2,(x1),10409,405.0,69738,-348,3306731,Luis Vega,Insuperable
25,+4,"Luis Vega - MI DEBILIDAD (w/ Bonny Lovy, Corona)",430,9,,10344,619.0,62026,1642,4141032,Luis Vega,"MI DEBILIDAD (w/ Bonny Lovy, Corona)"
26,=,Fuerza Regida - EXCESOS,52,24,,10146,130.0,67593,482,389006,Fuerza Regida,EXCESOS
27,-3,Milo j - Gil (w/ Trueno),232,12,,9981,-228.0,69699,-367,2260680,Milo j,Gil (w/ Trueno)
28,-5,Mon Laferte - Amárrame (w/ Juanes),303,7,,9934,-357.0,71643,-505,2261134,Mon Laferte,Amárrame (w/ Juanes)
29,-1,"Lauta - Puñaladas (w/ Amigo de Artistas, Tote)",86,13,,9899,158.0,66511,-328,864599,Lauta,"Puñaladas (w/ Amigo de Artistas, Tote)"
30,+6,BTS - Hooligan,57,3,(x1),9778,787.0,62700,513,716399,BTS,Hooligan
31,+1,BTS - Body to Body,57,2,(x3),9727,539.0,63131,585,764447,BTS,Body to Body
32,+8,Luis Vega - Bailando Conmigo,1132,6,,9721,809.0,65011,-238,12412774,Luis Vega,Bailando Conmigo
33,-3,Romeo Santos - Dardos (w/ Prince Royce),162,9,,9680,68.0,65735,-381,1698928,Romeo Santos,Dardos (w/ Prince Royce)
34,+7,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",446,1,(x121),9632,746.0,62994,522,8814006,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
35,-4,J Balvin - LA CANCIÓN (w/ Bad Bunny),2514,2,(x30),9502,32.0,64419,-407,22105313,J Balvin,LA CANCIÓN (w/ Bad Bunny)
36,+6,BTS - 2.0,57,7,,9492,633.0,61372,499,693612,BTS,2.0
37,+1,Beéle - no tiene sentido,365,2,(x12),9422,444.0,59849,727,5485918,Beéle,no tiene sentido
38,-3,"Ryan Castro - LA VILLA (w/ Kapo, Gangsta)",145,2,(x1),9374,287.0,62137,-17,1808699,Ryan Castro,"LA VILLA (w/ Kapo, Gangsta)"
39,+6,BTS - Like Animals,57,3,(x2),9194,689.0,59339,646,703359,BTS,Like Animals
40,-1,La T y La M - Amor de Vago (w/ Malandro),589,3,(x4),9047,114.0,62047,298,6953430,La T y La M,Amor de Vago (w/ Malandro)
41,+5,BTS - they don’t know ’bout us,57,6,,8950,589.0,57163,481,671762,BTS,they don’t know ’bout us
42,-5,Feid - LUNA (w/ ATL Jacob),897,1,(x76),8920,-66.0,62795,-990,20157415,Feid,LUNA (w/ ATL Jacob)
43,+1,"Blessd - YOGURCITO REMIX (w/ Anuel AA, Yan Block, Luar La L, Kris R., ROA)",263,6,,8718,70.0,56403,80,3014131,Blessd,"YOGURCITO REMIX (w/ Anuel AA, Yan Block, Luar La L, Kris R., ROA)"
44,-11,Mon Laferte - Tu Falta De Querer,1917,25,,8653,-461.0,61277,13,8925491,Mon Laferte,Tu Falta De Querer
45,+2,Bad Bunny - DtMF,496,1,(x21),8579,223.0,58684,-351,8373861,Bad Bunny,DtMF
46,-12,Alvaro Diaz - Reina Pepiada,136,25,,8517,-586.0,62832,-488,887518,Alvaro Diaz,Reina Pepiada
47,+1,"Maluma - Cuatro Babys (w/ Trap Capos, Noriel, Bryant Myers, Juhn)",725,15,,8488,261.0,58792,-320,3827590,Maluma,"Cuatro Babys (w/ Trap Capos, Noriel, Bryant Myers, Juhn)"
48,NEW,"LIT killah - Si Te Vas 2.0 (w/ Paulo Londra, KHEA, Ramma)",1,48,,8469,,8469,8469,8469,LIT killah,"Si Te Vas 2.0 (w/ Paulo Londra, KHEA, Ramma)"
49,-6,El Cuarteto De Nos - Enamorado tuyo,550,39,,8450,-257.0,59138,318,3178778,El Cuarteto De Nos,Enamorado tuyo
50,-1,"Bad Bunny - Diles (w/ Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz)",843,8,,8427,340.0,54315,33,5266823,Bad Bunny,"Diles (w/ Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz)"
51,+5,Grupo Histeria - Chiquitita,93,15,,8415,724.0,56887,-376,910400,Grupo Histeria,Chiquitita
52,+9,BTS - NORMAL,57,6,,8145,726.0,52068,481,648321,BTS,NORMAL
53,-1,"Héctor ""El Father"" - El Telefono (w/ Wisin & Yandel)",237,25,,8069,236.0,52325,301,1879636,"Héctor ""El Father""",El Telefono (w/ Wisin & Yandel)
54,+8,BTS - FYA,57,4,,8051,647.0,51828,418,633343,BTS,FYA
55,=,"Ya Ice Dilan - Dichavate (w/ Rey Tony, Helabusador, JipMusic Global, Dj Honda)",39,55,,7991,288.0,49948,910,247486,Ya Ice Dilan,"Dichavate (w/ Rey Tony, Helabusador, JipMusic Global, Dj Honda)"
56,-5,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,20,47,,7940,22.0,55125,-309,144782,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
57,+1,Bad Bunny - EoO,496,3,(x5),7853,271.0,51540,-102,6085667,Bad Bunny,EoO
58,+11,BTS - Aliens,57,5,,7827,668.0,49928,479,616103,BTS,Aliens
59,-6,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),547,2,(x4),7726,-75.0,49585,575,7751081,Rauw Alejandro,Qué Pasaría... (w/ Bad Bunny)
