Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,P T K - KENPACHI&YACHIRU,25,1,(x21),71972,943.0,425378,25433,1714291,P T K,KENPACHI&YACHIRU
2,+26,P T K - RAYMAN,2,2,(x1),68662,46302.0,91022,68662,91022,P T K,RAYMAN
3,=,Ewa Farna - PERPETUUM MOBILE,5,3,(x3),60101,8417.0,213058,60101,213058,Ewa Farna,PERPETUUM MOBILE
4,-2,Robin Zoot - Kdo?? (w/ BUKA),95,1,(x10),58173,4094.0,366380,13861,3095178,Robin Zoot,Kdo?? (w/ BUKA)
5,-1,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),38,1,(x10),46762,3679.0,318438,-6083,1805402,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
6,+1,"Lboy Bsc - Vodka není voda (w/ Dorian, Freez247)",124,3,(x1),41114,2108.0,266299,2911,3318747,Lboy Bsc,"Vodka není voda (w/ Dorian, Freez247)"
7,-2,P T K - KAŽDEJ MÁ SVOJE DEMONS,5,3,(x1),40681,-1520.0,213239,40681,213239,P T K,KAŽDEJ MÁ SVOJE DEMONS
8,-2,P T K - LONG RUN,5,2,(x1),38960,-2622.0,208013,38960,208013,P T K,LONG RUN
9,-1,P T K - WHO DAT,5,4,,36119,-967.0,199330,36119,199330,P T K,WHO DAT
10,-1,Yzomandias - HIP THRUST,80,1,(x19),35768,2950.0,226907,3297,3357194,Yzomandias,HIP THRUST
11,NEW,Drake - Make Them Cry,1,11,,33823,,33823,33823,33823,Drake,Make Them Cry
12,-2,Dominic Fike - Babydoll,105,1,(x25),32764,873.0,220345,696,4026589,Dominic Fike,Babydoll
13,-2,BUKA - Strach,185,1,(x20),31890,1248.0,212478,1957,6903901,BUKA,Strach
14,-2,"Yzomandias - Painkillers (w/ P T K, Luca Brassi10x)",540,4,,31423,1722.0,201611,2371,13919271,Yzomandias,"Painkillers (w/ P T K, Luca Brassi10x)"
15,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,15,,31336,,31336,31336,31336,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
16,-2,Calin - Pistacie (w/ Sofian Medjmedj),523,1,(x131),31300,3138.0,206447,2024,24863611,Calin,Pistacie (w/ Sofian Medjmedj)
17,-2,P T K - TINTED WINDOWS,220,3,(x1),30493,3018.0,172121,14400,4580898,P T K,TINTED WINDOWS
18,NEW,Drake - Dust,1,18,,28997,,28997,28997,28997,Drake,Dust
19,-6,P T K - ONLY WAY OUT IS THROUGH THE SHITS 2,220,2,(x7),28632,29.0,171878,12000,5310635,P T K,ONLY WAY OUT IS THROUGH THE SHITS 2
20,-4,P T K - VÍŠ JAK BOLÍ ŘÍKAT RIP,219,6,,28245,1087.0,172704,9299,4631969,P T K,VÍŠ JAK BOLÍ ŘÍKAT RIP
21,-4,Temper City - Self Aware,54,11,,28144,1046.0,182207,5156,1099608,Temper City,Self Aware
22,-4,Sara Rikas - Talk2me (w/ Yzomandias),394,1,(x27),27662,1376.0,192932,-2864,12357712,Sara Rikas,Talk2me (w/ Yzomandias)
23,+2,Zara Larsson - Lush Life,1100,1,(x16),27640,4021.0,172301,-1312,10939342,Zara Larsson,Lush Life
24,-5,Sara Rikas - Cigarety (w/ Matej Turcer),386,2,(x14),27294,2188.0,183766,957,8123577,Sara Rikas,Cigarety (w/ Matej Turcer)
25,NEW,Drake - Whisper My Name,1,25,,27084,,27084,27084,27084,Drake,Whisper My Name
26,-5,Michael Jackson - Billie Jean,45,12,,26576,2129.0,166615,1508,564164,Michael Jackson,Billie Jean
27,-7,Yzomandias - TYPE BEAT,80,2,(x3),26046,1462.0,169365,3257,2414940,Yzomandias,TYPE BEAT
28,-5,Michael Jackson - Beat It,24,14,,25994,1944.0,164757,1752,489804,Michael Jackson,Beat It
29,-7,Victor Kal. - víno (w/ Lajfr),43,8,,25686,1618.0,175844,4772,963646,Victor Kal.,víno (w/ Lajfr)
30,NEW,Drake - National Treasures,1,30,,25063,,25063,25063,25063,Drake,National Treasures
31,-7,Robin Zoot - Givenchy,1056,2,(x29),24932,1044.0,162282,1988,24100135,Robin Zoot,Givenchy
32,-6,Taylor Swift - The Fate of Ophelia,225,1,(x21),24783,1444.0,162398,404,8525844,Taylor Swift,The Fate of Ophelia
33,NEW,Drake - Janice STFU,1,33,,24562,,24562,24562,24562,Drake,Janice STFU
34,-5,P T K - BIG STEPPER,233,1,(x2),23960,2302.0,140444,9015,5312082,P T K,BIG STEPPER
35,+6,"Yzomandias - Svoboda (w/ P T K, Sara Rikas)",539,13,,23219,3618.0,143769,4648,9148820,Yzomandias,"Svoboda (w/ P T K, Sara Rikas)"
36,-5,BUKA - DMG (w/ Ohan B),185,2,(x6),23052,2106.0,149446,3015,4817591,BUKA,DMG (w/ Ohan B)
