Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,KESI - Drukner (w/ Annika),8,1,(x8),223320,31498.0,1427276,37758,1612838,KESI,Drukner (w/ Annika)
2,=,Anton Westerlin - Ærlig Freestyle (w/ Annika),15,1,(x7),110785,10787.0,749229,-9508,1742381,Anton Westerlin,Ærlig Freestyle (w/ Annika)
3,NEW,Drake - Make Them Cry,1,3,(x1),99354,,99354,99354,99354,Drake,Make Them Cry
4,=,Annika - Livsforladt,57,1,(x22),78199,12354.0,479122,1656,5250809,Annika,Livsforladt
5,NEW,Drake - National Treasures,1,5,,74582,,74582,74582,74582,Drake,National Treasures
6,NEW,Drake - Dust,1,6,,72354,,72354,72354,72354,Drake,Dust
7,NEW,Drake - Whisper My Name,1,7,,70047,,70047,70047,70047,Drake,Whisper My Name
8,-3,Rosa - Bliv hvor du er (w/ Artigeardit),50,2,(x10),69254,9185.0,450749,-10594,3445068,Rosa,Bliv hvor du er (w/ Artigeardit)
9,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,9,,67504,,67504,67504,67504,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
10,-7,KESI - Stil permanent,8,2,(x1),65281,-1156.0,539885,-112012,717178,KESI,Stil permanent
11,-5,Guldimund - Vil du noget? (w/ Saveus),225,1,(x48),63406,4347.0,411759,-9680,13717943,Guldimund,Vil du noget? (w/ Saveus)
12,NEW,Drake - Janice STFU,1,12,,62697,,62697,62697,62697,Drake,Janice STFU
13,-6,Christopher - Ham Med Guitaren,64,2,(x13),62520,5311.0,417329,-12790,4371057,Christopher,Ham Med Guitaren
14,NEW,Søren Torpegaard Lund - Før Vi Går Hjem - naughty version,1,14,,61062,,61062,61062,61062,Søren Torpegaard Lund,Før Vi Går Hjem - naughty version
15,-2,Annika - Stolt (w/ Lamin),372,1,(x52),57755,11175.0,320569,4685,23278810,Annika,Stolt (w/ Lamin)
16,NEW,Drake - Shabang,1,16,,55547,,55547,55547,55547,Drake,Shabang
17,-9,KESI - Adrenalin (w/ Kundo),8,4,,54562,2094.0,460464,-97891,612917,KESI,Adrenalin (w/ Kundo)
18,NEW,Drake - 2 Hard 4 The Radio,1,18,,53288,,53288,53288,53288,Drake,2 Hard 4 The Radio
19,NEW,Drake - Make Them Pay,1,19,,52377,,52377,52377,52377,Drake,Make Them Pay
20,-10,APHACA - Flue i et spind,78,1,(x20),51770,2737.0,346142,-8282,5379953,APHACA,Flue i et spind
21,-12,APHACA - En drøm om et menneske,372,1,(x51),50142,260.0,333279,-3475,25837879,APHACA,En drøm om et menneske
22,-11,Anton Westerlin - Lagkagehuset Freestyle (w/ Michael Williams),15,9,,49955,3077.0,349162,-12768,780951,Anton Westerlin,Lagkagehuset Freestyle (w/ Michael Williams)
23,NEW,Drake - Plot Twist,1,23,,49051,,49051,49051,49051,Drake,Plot Twist
24,-12,Tobias Rahim - Den Danske Sommer (w/ Birthe Kjær),36,1,(x20),47796,1112.0,339684,-18589,3017421,Tobias Rahim,Den Danske Sommer (w/ Birthe Kjær)
25,NEW,Drake - B's On The Table (w/ 21 Savage),1,25,,47101,,47101,47101,47101,Drake,B's On The Table (w/ 21 Savage)
26,-10,Michael Jackson - Billie Jean,112,6,,46054,3767.0,280198,2413,1951987,Michael Jackson,Billie Jean
27,-13,Olivia Dean - Man I Need,274,1,(x7),46019,573.0,271180,3565,14913832,Olivia Dean,Man I Need
28,-8,"Anton Westerlin - Hørt Det Før (w/ Pil, Annika, Mille, Medina)",357,2,(x1),45341,6446.0,245339,7976,15028419,Anton Westerlin,"Hørt Det Før (w/ Pil, Annika, Mille, Medina)"
29,-14,Lamin - Låst Inde,29,2,(x8),43978,245.0,332361,-19082,1995482,Lamin,Låst Inde
30,-12,Artigeardit - Louisiana,22,3,(x1),43313,2159.0,310331,-14747,1292190,Artigeardit,Louisiana
31,NEW,Drake - Burning Bridges,1,31,,43296,,43296,43296,43296,Drake,Burning Bridges
32,RE,Drake - What Did I Miss?,32,32,,43222,,43222,43222,459024,Drake,What Did I Miss?
33,-14,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),55,4,,41619,1946.0,283363,-12278,2056919,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
34,+7,Anton Westerlin - Blodigt (w/ Annika),476,1,(x32),40626,13619.0,180458,11589,20305314,Anton Westerlin,Blodigt (w/ Annika)
35,-12,Michael Jackson - Beat It,23,23,,38403,3215.0,233132,2857,597243,Michael Jackson,Beat It
36,-19,KESI - GPS,8,3,(x1),37954,-3240.0,374120,-123803,535877,KESI,GPS
37,NEW,Drake - Make Them Remember,1,37,,37589,,37589,37589,37589,Drake,Make Them Remember
38,-13,Mille - hader ik mig selv sammen med dig,231,6,,36139,2371.0,229395,-1243,8654104,Mille,hader ik mig selv sammen med dig
39,-13,Michael Jackson - Human Nature,20,26,,35463,2061.0,223280,3875,468674,Michael Jackson,Human Nature
40,-16,Omar - Hele Vejen (w/ Mumle),462,1,(x37),35420,460.0,242479,-6615,25165375,Omar,Hele Vejen (w/ Mumle)
41,-20,KESI - Hvor blev tiden af (w/ Hans Philip),8,6,,35157,-1121.0,325557,-91060,451774,KESI,Hvor blev tiden af (w/ Hans Philip)
42,+6,Mille - ingen andre (w/ Annika),113,4,,35130,10947.0,170183,7130,3747595,Mille,ingen andre (w/ Annika)
43,+6,Annika - Knuser Hjerter,810,5,,33992,9882.0,153568,12127,24712046,Annika,Knuser Hjerter
44,-17,APHACA - Smelter Under Månen,633,2,(x9),32844,-278.0,230120,-4180,29178766,APHACA,Smelter Under Månen
45,-5,Annika - Jaloux (live),23,23,,32351,5278.0,194092,1408,670699,Annika,Jaloux (live)
46,NEW,Drake - Make Them Know,1,46,,31508,,31508,31508,31508,Drake,Make Them Know
47,-16,Mille - drømmefanger (w/ URO),127,1,(x5),31382,1523.0,208253,-4893,4939707,Mille,drømmefanger (w/ URO)
48,-18,Bella Kay - iloveitiloveitiloveit,90,3,(x2),30549,566.0,219721,-7445,3520095,Bella Kay,iloveitiloveitiloveit
49,-13,Anton Westerlin - Minder Hos Andre Freestyle (w/ Mille),99,1,(x19),30465,2551.0,198844,-5523,4493433,Anton Westerlin,Minder Hos Andre Freestyle (w/ Mille)
50,-22,KESI - Hver dag/Lang tid siden,8,9,,30431,-2622.0,304540,-77580,412551,KESI,Hver dag/Lang tid siden
51,-17,Mille - kendt mig en uge,420,6,,30423,2049.0,195614,-4021,15862941,Mille,kendt mig en uge
52,-23,Rosa - Skyklapper,157,9,,30324,-2083.0,231676,-15012,4447909,Rosa,Skyklapper
53,NEW,Malte Ebert - Dreng,1,53,,29833,,29833,29833,29833,Malte Ebert,Dreng
54,NEW,Drake - Don’t Worry,1,54,,29719,,29719,29719,29719,Drake,Don’t Worry
55,-18,Anton Westerlin - SpaceJam Freestyle (w/ ICEKIID),15,12,,29654,2086.0,246229,-17866,594501,Anton Westerlin,SpaceJam Freestyle (w/ ICEKIID)
56,-12,"Emil Kruse - Copenhagen City (w/ OK OK, Anthon Edwards)",201,19,,29412,3297.0,192905,-5352,4546894,Emil Kruse,"Copenhagen City (w/ OK OK, Anthon Edwards)"
57,-22,The Minds Of 99 - Dét Der Udenfor,57,2,(x2),29307,1303.0,197335,-4977,2733550,The Minds Of 99,Dét Der Udenfor
58,NEW,Drake - Firm Friends,1,58,,28131,,28131,28131,28131,Drake,Firm Friends
59,-27,Katinka - Kogeplade,303,5,,27859,-1953.0,202698,-8760,8992200,Katinka,Kogeplade
60,NEW,Drake - Little Birdie,1,60,,27754,,27754,27754,27754,Drake,Little Birdie
61,-19,Justin Bieber - DAISIES,308,1,(x3),27586,1283.0,194149,-7217,9944504,Justin Bieber,DAISIES
62,-29,Olivia Dean - So Easy (To Fall In Love),231,8,,27234,-1791.0,155900,1510,7529914,Olivia Dean,So Easy (To Fall In Love)
63,-17,Alex Warren - FEVER DREAM,78,5,,26740,1302.0,188351,-7717,2922411,Alex Warren,FEVER DREAM
64,-25,KESI - Elefanter,8,8,,26681,-777.0,265073,-89824,381578,KESI,Elefanter
65,+2,Annika - Luk Mig Ind,532,2,(x3),26490,7628.0,129115,5786,18442723,Annika,Luk Mig Ind
66,-19,Dave - Raindance (w/ Tems),204,3,(x6),26467,1550.0,180218,-4959,7722837,Dave,Raindance (w/ Tems)
67,-17,"Gobs - 1000 År (w/ Rasmus Seebach, Ankerstjerne)",50,2,(x1),25845,2410.0,178656,-6307,1969185,Gobs,"1000 År (w/ Rasmus Seebach, Ankerstjerne)"
68,-25,Zara Larsson - Lush Life,979,2,(x13),25369,-893.0,178085,-7330,21093362,Zara Larsson,Lush Life
69,-24,Burhan G - Gemt Dit Nummer (w/ Medina),30,3,(x1),24939,-1139.0,207724,-16382,1471211,Burhan G,Gemt Dit Nummer (w/ Medina)
70,-32,KESI - Men så kom i morgen,9,5,,24775,-2748.0,282405,-118876,437185,KESI,Men så kom i morgen
71,-13,Annika - Brugt mine dage,347,12,,24482,4136.0,144493,1810,6801261,Annika,Brugt mine dage
72,-2,Annika - Hun,707,16,,23509,5132.0,122460,4884,13680665,Annika,Hun
