Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,NEW,Drake - Make Them Cry,1,1,(x1),13219021,,13219021,13219021,13219021,Drake,Make Them Cry
2,NEW,Drake - Dust,1,2,(x1),10920584,,10920584,10920584,10920584,Drake,Dust
3,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,3,(x1),10896459,,10896459,10896459,10896459,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
4,NEW,Drake - Whisper My Name,1,4,,10726847,,10726847,10726847,10726847,Drake,Whisper My Name
5,NEW,Drake - Janice STFU,1,5,,9589167,,9589167,9589167,9589167,Drake,Janice STFU
6,NEW,Drake - National Treasures,1,6,,9348197,,9348197,9348197,9348197,Drake,National Treasures
7,NEW,Drake - Shabang,1,7,,8514973,,8514973,8514973,8514973,Drake,Shabang
8,NEW,Drake - Make Them Pay,1,8,,7682451,,7682451,7682451,7682451,Drake,Make Them Pay
9,NEW,Drake - 2 Hard 4 The Radio,1,9,,7348699,,7348699,7348699,7348699,Drake,2 Hard 4 The Radio
10,NEW,Drake - B's On The Table (w/ 21 Savage),1,10,,7271560,,7271560,7271560,7271560,Drake,B's On The Table (w/ 21 Savage)
11,NEW,Drake - Plot Twist,1,11,,6953634,,6953634,6953634,6953634,Drake,Plot Twist
12,RE,Drake - What Did I Miss?,28,12,,6683999,,6683999,6683999,59362169,Drake,What Did I Miss?
13,NEW,Drake - Burning Bridges,1,13,,6651422,,6651422,6651422,6651422,Drake,Burning Bridges
14,-13,Michael Jackson - Billie Jean,418,1,(x1),6379964,351838.0,41076677,425973,666159819,Michael Jackson,Billie Jean
15,-13,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),78,1,(x29),6189376,219661.0,43693324,-906633,311079954,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
16,-13,BTS - SWIM,57,1,(x25),5631532,182668.0,37335219,70006,420036973,BTS,SWIM
17,NEW,Drake - Make Them Remember,1,17,,5597109,,5597109,5597109,5597109,Drake,Make Them Remember
18,NEW,Drake - Make Them Know,1,18,,5018823,,5018823,5018823,5018823,Drake,Make Them Know
19,-14,Michael Jackson - Beat It,43,5,,4892078,242402.0,31765907,239280,114817033,Michael Jackson,Beat It
20,-16,Dominic Fike - Babydoll,174,1,(x4),4836023,-15467.0,33747387,-305990,572592869,Dominic Fike,Babydoll
21,NEW,Drake - Don’t Worry,1,21,,4609329,,4609329,4609329,4609329,Drake,Don’t Worry
22,NEW,Drake - Little Birdie,1,22,,4508047,,4508047,4508047,4508047,Drake,Little Birdie
23,NEW,Drake - Firm Friends,1,23,,4359688,,4359688,4359688,4359688,Drake,Firm Friends
24,NEW,Drake - Hoe Phase,1,24,,3600507,,3600507,3600507,3600507,Drake,Hoe Phase
25,NEW,Drake - WNBA,1,25,,3546888,,3546888,3546888,3546888,Drake,WNBA
26,-19,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,22,7,,3452973,176646.0,23194598,-24326,62001891,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
27,-21,sombr - back to friends,424,1,(x3),3409546,64067.0,23391258,-122068,1795868675,sombr,back to friends
28,-20,Katy Perry - The One That Got Away,58,8,,3348235,87563.0,22520381,-35240,125380933,Katy Perry,The One That Got Away
29,-20,Michael Jackson - Human Nature,20,8,,3346306,100619.0,22203212,262840,52803959,Michael Jackson,Human Nature
30,-20,Olivia Dean - Man I Need,269,2,(x5),3274768,123811.0,22029574,-102150,1090242105,Olivia Dean,Man I Need
31,NEW,Gracie Abrams - Hit the Wall,1,31,,3238574,,3238574,3238574,3238574,Gracie Abrams,Hit the Wall
32,-20,Taylor Swift - The Fate of Ophelia,225,1,(x78),3231131,140482.0,21738214,-220271,1342539099,Taylor Swift,The Fate of Ophelia
33,-22,Djo - End of Beginning,819,1,(x35),3190360,64351.0,22344299,-206007,2522218880,Djo,End of Beginning
34,-21,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),91,7,,3140073,69377.0,22051948,-401260,241795984,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
35,-17,Ella Langley - Choosin' Texas,135,15,,3085972,183394.0,20897526,-57601,291992024,Ella Langley,Choosin' Texas
36,-22,Malcolm Todd - Earrings,47,13,,3047469,20189.0,20874064,214299,108881551,Malcolm Todd,Earrings
37,-20,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),129,1,(x10),3027516,113762.0,20539430,-145002,449869793,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson)
38,-22,Olivia Rodrigo - drop dead,29,1,(x1),3020419,104299.0,22668663,-1246611,140565230,Olivia Rodrigo,drop dead
39,-24,Bruno Mars - Risk It All,78,1,(x2),3006445,5898.0,21462916,-332544,324652386,Bruno Mars,Risk It All
40,-20,Alex Warren - Ordinary,463,1,(x52),2952154,148279.0,19697494,-73228,1863955985,Alex Warren,Ordinary
41,NEW,Drake - Slap The City (w/ Qendresa),1,41,,2938511,,2938511,2938511,2938511,Drake,Slap The City (w/ Qendresa)
42,NEW,Drake - Road Trips,1,42,,2922032,,2922032,2922032,2922032,Drake,Road Trips
43,-24,The Goo Goo Dolls - Iris,974,9,,2899809,62757.0,19530181,6291,2005436466,The Goo Goo Dolls,Iris
44,-21,Justin Bieber - DAISIES,303,1,(x1),2856795,89844.0,20225336,-412458,763930695,Justin Bieber,DAISIES
45,-23,Dave - Raindance (w/ Tems),164,5,,2835760,66938.0,20018090,-354489,500844655,Dave,Raindance (w/ Tems)
46,NEW,Drake - High Fives,1,46,,2814318,,2814318,2814318,2814318,Drake,High Fives
47,-26,Olivia Dean - So Easy (To Fall In Love),231,5,,2789375,3112.0,19307378,-203926,787256748,Olivia Dean,So Easy (To Fall In Love)
48,NEW,Drake - Cheetah Print (w/ Sexyy Red),1,48,,2776212,,2776212,2776212,2776212,Drake,Cheetah Print (w/ Sexyy Red)
49,-24,Bad Bunny - DtMF,496,1,(x43),2772649,118679.0,18940429,-230698,1841216470,Bad Bunny,DtMF
50,NEW,Drake - Fortworth (w/ PARTYNEXTDOOR),1,50,,2768712,,2768712,2768712,2768712,Drake,Fortworth (w/ PARTYNEXTDOOR)
51,-27,Lady Gaga - Die With A Smile (w/ Bruno Mars),638,1,(x201),2739695,12374.0,18906730,-172695,3629514282,Lady Gaga,Die With A Smile (w/ Bruno Mars)
52,-26,Zara Larsson - Lush Life,816,4,,2715363,121014.0,18331305,-165757,1068571591,Zara Larsson,Lush Life
53,-26,Michael Jackson - Smooth Criminal - 2012 Remaster,24,27,,2707812,115340.0,18136471,24395,54520754,Michael Jackson,Smooth Criminal - 2012 Remaster
54,-25,The Neighbourhood - Sweater Weather,2175,12,,2626749,46436.0,17760730,-23305,3978944548,The Neighbourhood,Sweater Weather
55,-27,Ravyn Lenae - Love Me Not,423,8,,2623442,42093.0,18345528,-163446,1068896545,Ravyn Lenae,Love Me Not
56,RE,Drake - Which One (w/ Central Cee),41,10,,2592990,,2592990,2592990,72372406,Drake,Which One (w/ Central Cee)
57,-26,RAYE - WHERE IS MY HUSBAND!,239,5,,2566442,108997.0,17262682,-196926,779589799,RAYE,WHERE IS MY HUSBAND!
58,-28,Billie Eilish - BIRDS OF A FEATHER,729,1,(x25),2541220,5603.0,17860834,-105235,3669886852,Billie Eilish,BIRDS OF A FEATHER
59,NEW,Drake - Classic,1,59,,2512188,,2512188,2512188,2512188,Drake,Classic
60,-27,"HUNTR/X - Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)",328,1,(x78),2483549,152975.0,16654729,-38758,1674389075,HUNTR/X,"Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)"
61,NEW,Drake - Rusty Intro,1,61,,2473454,,2473454,2473454,2473454,Drake,Rusty Intro
62,-30,Temper City - Self Aware,40,28,,2444147,49077.0,16685973,-76660,77456879,Temper City,Self Aware
63,NEW,Drake - Hurrr Nor Thurr (w/ Sexyy Red),1,63,,2423487,,2423487,2423487,2423487,Drake,Hurrr Nor Thurr (w/ Sexyy Red)
64,-28,The Killers - Mr. Brightside,1737,35,,2384999,134842.0,15364347,104217,1734926153,The Killers,Mr. Brightside
65,NEW,Drake - I'm Spent (w/ Loe Shimmy),1,65,,2381551,,2381551,2381551,2381551,Drake,I'm Spent (w/ Loe Shimmy)
66,-29,Bad Bunny - BAILE INoLVIDABLE,496,2,(x15),2327385,94559.0,15543069,-97243,1498945099,Bad Bunny,BAILE INoLVIDABLE
67,-33,Dominic Fike - White Keys,83,22,,2296707,-2602.0,16319049,-205618,195454018,Dominic Fike,White Keys
68,-30,The Police - Every Breath You Take,1674,6,,2295846,84573.0,15083391,103733,2448257824,The Police,Every Breath You Take
69,-27,"Drake - One Dance (w/ Wizkid, Kyla)",2190,1,(x101),2285345,124887.0,14846267,79862,3251673861,Drake,"One Dance (w/ Wizkid, Kyla)"
70,-31,Bruno Mars - Locked out of Heaven,1603,14,,2267389,68538.0,15813474,-198243,2125438525,Bruno Mars,Locked out of Heaven
71,-27,Michael Jackson - Dirty Diana - 2012 Remaster,20,39,,2260890,106536.0,15241148,-16342,38640772,Michael Jackson,Dirty Diana - 2012 Remaster
72,-31,Tame Impala - Dracula,193,27,,2214079,45414.0,15160768,-125475,338141694,Tame Impala,Dracula
73,-38,Gigi Perez - Sailor Song,636,5,,2212666,-44895.0,15416621,-76651,1849513317,Gigi Perez,Sailor Song
74,-29,Vance Joy - Riptide,2641,16,,2200433,52582.0,14229174,184799,2764547860,Vance Joy,Riptide
75,-29,BTS - Body to Body,57,2,(x6),2195680,48550.0,14879238,-117604,205226815,BTS,Body to Body
76,-36,Bruno Mars - I Just Might,127,3,(x9),2192504,6627.0,15535150,-210959,396859085,Bruno Mars,I Just Might
