Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Ivan Greko - BOGOTA,9,1,(x8),293558,11012.0,2258389,-121868,2709866,Ivan Greko,BOGOTA
2,+71,Kidd - FUCK LOVE (w/ BLVD),2,2,(x1),141373,120357.0,162389,141373,162389,Kidd,FUCK LOVE (w/ BLVD)
3,+93,Kidd - HAKIMI (w/ BLVD),2,3,(x1),130453,112835.0,148071,130453,148071,Kidd,HAKIMI (w/ BLVD)
4,-2,"TOQUEL - POIOS NA SOU TO PEI (w/ LILA, Beyond)",65,1,(x33),111444,4125.0,719846,8780,10386989,TOQUEL,"POIOS NA SOU TO PEI (w/ LILA, Beyond)"
5,-2,"FLY LO - BANANA (w/ Trannos, BLVD)",23,1,(x14),101575,-4897.0,770741,-22821,2928099,FLY LO,"BANANA (w/ Trannos, BLVD)"
6,+136,"Kidd - KASERI (w/ Fy, BLVD)",2,6,,93955,79523.0,108387,93955,108387,Kidd,"KASERI (w/ Fy, BLVD)"
7,+190,"Kidd - BRUCE WAYNE (w/ Kareem Kalokoh, BLVD)",2,7,,88610,76349.0,100871,88610,100871,Kidd,"BRUCE WAYNE (w/ Kareem Kalokoh, BLVD)"
8,-2,"TOQUEL - €€€ (w/ FLY LO, Beyond)",65,2,(x9),81538,7537.0,536351,-628,6888141,TOQUEL,"€€€ (w/ FLY LO, Beyond)"
9,NEW,Kidd - WILD WEST (w/ SOTT),1,9,,79527,,79527,79527,79527,Kidd,WILD WEST (w/ SOTT)
10,-3,SIDARTA - AMAZING - Remix (w/ RACK),93,1,(x25),76959,9818.0,458046,12261,8448843,SIDARTA,AMAZING - Remix (w/ RACK)
11,-6,TOQUEL - KAKOS GIA SENA (w/ Beyond),65,2,(x9),74621,400.0,482505,3731,6334128,TOQUEL,KAKOS GIA SENA (w/ Beyond)
12,NEW,"Kidd - POU NA KSEREIS (w/ SIGMA, BLVD)",1,12,,74144,,74144,74144,74144,Kidd,"POU NA KSEREIS (w/ SIGMA, BLVD)"
13,NEW,Kidd - FOREVER RICH,1,13,,73673,,73673,73673,73673,Kidd,FOREVER RICH
14,NEW,Kidd - XEIROURGOS (w/ BLVD),1,14,,72978,,72978,72978,72978,Kidd,XEIROURGOS (w/ BLVD)
15,-11,"Wang - Tha Edina Ta Panta (w/ Bloody Hawk, Mateos Nps)",9,4,,68070,-7881.0,528984,-30838,645686,Wang,"Tha Edina Ta Panta (w/ Bloody Hawk, Mateos Nps)"
16,+22,Kidd - BELLA,50,4,,67212,36769.0,243553,37646,2236838,Kidd,BELLA
17,-9,"FLY LO - YG (w/ TOQUEL, BLVD)",23,4,,62459,-1243.0,435990,-590,1685562,FLY LO,"YG (w/ TOQUEL, BLVD)"
18,-4,"Trannos - CHANEL (w/ SNIK, CHEKKIS)",114,1,(x12),61423,13829.0,356126,5049,8928962,Trannos,"CHANEL (w/ SNIK, CHEKKIS)"
19,-10,SNIK - YING YANG (w/ FLY LO),43,2,(x6),58767,430.0,399900,-931,3677147,SNIK,YING YANG (w/ FLY LO)
20,+13,Antigoni - JALLA,46,20,,58222,26585.0,177887,58222,877875,Antigoni,JALLA
21,-5,"SNIK - Lete Lete (w/ Trannos, Fy)",170,1,(x38),57218,10676.0,327165,6913,16750207,SNIK,"Lete Lete (w/ Trannos, Fy)"
22,NEW,Drake - Make Them Cry,1,22,,56980,,56980,56980,56980,Drake,Make Them Cry
23,-6,"Kidd - LIGO AKOMA (w/ Likeboss, Echo)",50,2,(x1),55617,11644.0,308836,11579,2686618,Kidd,"LIGO AKOMA (w/ Likeboss, Echo)"
24,-14,Wang - Kara Tepe (w/ Mateos Nps),9,2,(x1),53857,-3524.0,498411,-73562,645458,Wang,Kara Tepe (w/ Mateos Nps)
25,NEW,Drake - National Treasures,1,25,,53566,,53566,53566,53566,Drake,National Treasures
26,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,26,,53494,,53494,53494,53494,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
27,-8,"HermesHermes - CHOCO FRESH (w/ Ivan Greko, Arab)",163,1,(x1),52567,12153.0,307086,-5027,11232099,HermesHermes,"CHOCO FRESH (w/ Ivan Greko, Arab)"
