Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Banjaare - Bairan,79,1,(x69),1505755,3586.0,10850982,-157059,140148417,Banjaare,Bairan
2,=,"Shashwat Sachdev - Gehra Hua (w/ Arijit Singh, Irshad Kamil, Armaan Khan)",161,1,(x69),885079,-7382.0,6332056,-71608,180983765,Shashwat Sachdev,"Gehra Hua (w/ Arijit Singh, Irshad Kamil, Armaan Khan)"
3,=,Navjot Ahuja - Khat,120,2,(x1),836644,1143.0,6100549,-100394,90540431,Navjot Ahuja,Khat
4,=,Mitta Ror - Sheesha (w/ Swara Verma),118,2,(x21),723817,7902.0,5133049,-71268,94589588,Mitta Ror,Sheesha (w/ Swara Verma)
5,=,"Sai Abhyankkar - Pavazha Malli (w/ Shruti Haasan, Vivek)",71,5,,706707,-2484.0,4835826,-16642,45802656,Sai Abhyankkar,"Pavazha Malli (w/ Shruti Haasan, Vivek)"
6,+1,"Shashwat Sachdev - Jaiye Sajana (w/ Jasmine Sandlas, Satinder Sartaaj)",57,2,(x19),705418,11110.0,5171337,-128772,59685441,Shashwat Sachdev,"Jaiye Sajana (w/ Jasmine Sandlas, Satinder Sartaaj)"
7,+1,Anuv Jain - Arz Kiya Hai | Coke Studio Bharat,264,4,,691236,-1037.0,4839209,-24529,173044615,Anuv Jain,Arz Kiya Hai | Coke Studio Bharat
8,+1,Kushagra - Finding Her (w/ Bharath),437,1,(x54),684103,13907.0,4597327,5301,380917332,Kushagra,Finding Her (w/ Bharath)
9,-3,Sheheryar Rehan - Majboor (w/ Zoha Waseem),34,2,(x1),677651,-24100.0,5116909,-150207,28074701,Sheheryar Rehan,Majboor (w/ Zoha Waseem)
10,=,Aditya Rikhari - Sahiba,318,1,(x124),646851,-110.0,4536122,-14629,404222244,Aditya Rikhari,Sahiba
11,=,Gajendra Verma - Mann Mera,1392,7,,612644,5472.0,4072308,43754,454353862,Gajendra Verma,Mann Mera
12,=,"Jawad Ahmad - Samjhawan (w/ Shaarib Toshi, Arijit Singh, Shreya Ghoshal)",1690,2,(x2),608039,7064.0,4190108,-24415,277596360,Jawad Ahmad,"Samjhawan (w/ Shaarib Toshi, Arijit Singh, Shreya Ghoshal)"
13,=,"Sachin-Jigar - Apna Bana Le (w/ Arijit Singh, Amitabh Bhattacharya)",926,1,(x14),576858,-14553.0,4137764,-32193,510996333,Sachin-Jigar,"Apna Bana Le (w/ Arijit Singh, Amitabh Bhattacharya)"
14,=,"Arijit Singh - Sitaare (From ""Ikkis"") (w/ White Noise Collectives, Amitabh Bhattacharya)",161,6,,563786,-25429.0,4063413,-25125,96686266,Arijit Singh,"Sitaare (From ""Ikkis"") (w/ White Noise Collectives, Amitabh Bhattacharya)"
15,=,"Vishal Mishra - Tum Ho Toh (From ""Saiyaara"") (w/ Hansika Pareek, Raj Shekhar)",301,3,(x7),554224,-27459.0,3955567,-16446,175383914,Vishal Mishra,"Tum Ho Toh (From ""Saiyaara"") (w/ Hansika Pareek, Raj Shekhar)"
16,=,"Paresh Pahuja - Dooron Dooron (w/ Shiv Tandan, Meghdeep Bose)",225,2,(x1),535740,-2431.0,3747137,-37536,145418028,Paresh Pahuja,"Dooron Dooron (w/ Shiv Tandan, Meghdeep Bose)"
17,+2,"Mithoon - Darkhaast (w/ Arijit Singh, Sunidhi Chauhan)",168,17,,501099,-1681.0,3495192,-5469,64700045,Mithoon,"Darkhaast (w/ Arijit Singh, Sunidhi Chauhan)"
18,-1,Faheem Abdullah - Ishq (w/ Rauhan Malik),721,2,(x14),497904,-7113.0,3580108,-29906,471133455,Faheem Abdullah,Ishq (w/ Rauhan Malik)
19,+1,"Tanishk Bagchi - Saiyaara (w/ Faheem Abdullah, Arslan Nizami, Irshad Kamil)",211,2,(x15),495160,-4050.0,3422689,4353,147945222,Tanishk Bagchi,"Saiyaara (w/ Faheem Abdullah, Arslan Nizami, Irshad Kamil)"
20,-2,A.R. Rahman - Deewaana Deewaana (w/ Irshad Kamil),108,18,,489142,-14552.0,3477011,-22199,46428874,A.R. Rahman,Deewaana Deewaana (w/ Irshad Kamil)
21,+2,Karan Aujla - Boyfriend (w/ Ikky),267,7,,472746,18763.0,3309902,-25190,138536667,Karan Aujla,Boyfriend (w/ Ikky)
22,=,Atif Aslam - Tere Liye (w/ Shreya Ghoshal),387,8,,463653,6675.0,3155420,12734,153152030,Atif Aslam,Tere Liye (w/ Shreya Ghoshal)
23,-2,"Shashwat Sachdev - Shararat (w/ Madhubanti Bagchi, Jasmine Sandlas)",158,5,,457202,-8627.0,3337100,-38741,101369442,Shashwat Sachdev,"Shararat (w/ Madhubanti Bagchi, Jasmine Sandlas)"
24,+1,Karan Aujla - For A Reason (w/ Ikky),267,2,(x5),442897,12634.0,3123090,-31722,212288449,Karan Aujla,For A Reason (w/ Ikky)
25,-1,Anuv Jain - Jo Tum Mere Ho,644,1,(x105),433581,-11264.0,3115095,-23761,479835508,Anuv Jain,Jo Tum Mere Ho
26,+3,"A.R. Rahman - Tere Bina (w/ Chinmayi, Murtuza Khan, Qadir Khan, Abhishek Bachchan, Aishwarya Rai Bachchan, R. Madhavan, Vidya Balan, Mithun Chakraborty, Arya Babbar)",635,6,,420606,20201.0,2809455,14128,273365093,A.R. Rahman,"Tere Bina (w/ Chinmayi, Murtuza Khan, Qadir Khan, Abhishek Bachchan, Aishwarya Rai Bachchan, R. Madhavan, Vidya Balan, Mithun Chakraborty, Arya Babbar)"
27,+3,"Sachet-Parampara - Raanjhan (From ""Do Patti"") (w/ Parampara Tandon, Kausar Munir)",573,1,(x42),418933,23575.0,2741224,26141,408897713,Sachet-Parampara,"Raanjhan (From ""Do Patti"") (w/ Parampara Tandon, Kausar Munir)"
28,=,"Alka Yagnik - Agar Tum Saath Ho (From ""Tamasha"") (w/ Arijit Singh)",2417,4,,416210,-1218.0,2931377,-11183,612547566,Alka Yagnik,"Agar Tum Saath Ho (From ""Tamasha"") (w/ Arijit Singh)"
29,-3,"Faheem Abdullah - Ehsaas (w/ Duha Shah, Vaibhav Pani, Hyder Dar)",313,8,,406807,-18705.0,2999303,-22002,145178825,Faheem Abdullah,"Ehsaas (w/ Duha Shah, Vaibhav Pani, Hyder Dar)"
30,-3,"The Rish - Barbaad (From ""Saiyaara"") (w/ Jubin Nautiyal)",302,5,,404747,-19058.0,2897937,-32606,159787332,The Rish,"Barbaad (From ""Saiyaara"") (w/ Jubin Nautiyal)"
31,=,"Shashwat Sachdev - Dhurandhar The Revenge - Aari Aari (w/ Bombay Rockers, Irshad Kamil, Khan Saab, Reble, Token, Jasmine Sandlas, Sudhir Yaduvanshi)",52,5,,403433,10796.0,2950104,-64726,35421621,Shashwat Sachdev,"Dhurandhar The Revenge - Aari Aari (w/ Bombay Rockers, Irshad Kamil, Khan Saab, Reble, Token, Jasmine Sandlas, Sudhir Yaduvanshi)"
32,+2,Shashwat Sachdev - Jaan Se Guzarte Hain (w/ Khan Saab),58,6,,397675,13964.0,2813536,-46406,34854577,Shashwat Sachdev,Jaan Se Guzarte Hain (w/ Khan Saab)
33,=,Pritam - Ye Tune Kya Kiya (w/ Javed Bashir),827,8,,392639,7018.0,2635604,4309,302611318,Pritam,Ye Tune Kya Kiya (w/ Javed Bashir)
34,-2,"Kailash Kher - Teri Deewani (w/ Paresh Kamath, Naresh Kamath)",646,24,,383816,-5784.0,2669653,14771,190730120,Kailash Kher,"Teri Deewani (w/ Paresh Kamath, Naresh Kamath)"
35,+2,Jeet Gannguli - Jo Tere Sang (w/ Mustafa Zahid),379,19,,373049,3631.0,2323563,77115,121414525,Jeet Gannguli,Jo Tere Sang (w/ Mustafa Zahid)
36,-1,"Arijit Singh - Mast Magan (From ""2 States) (w/ Chinmayi)",260,23,,371853,-8637.0,2458594,23051,103936148,Arijit Singh,"Mast Magan (From ""2 States) (w/ Chinmayi)"
37,+1,Zeeshan Ali - Ishqa Ve,173,14,,363713,8474.0,2476796,-22094,80030170,Zeeshan Ali,Ishqa Ve
38,+1,"Shashwat Sachdev - Dhurandhar - Title Track (w/ Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan)",161,3,(x20),351894,5237.0,2467806,-13939,104513649,Shashwat Sachdev,"Dhurandhar - Title Track (w/ Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan)"
39,-3,Arijit Singh - Zaalima (w/ Harshdeep Kaur),1056,25,,344198,-26575.0,2456055,4186,204882061,Arijit Singh,Zaalima (w/ Harshdeep Kaur)
40,+3,Gajendra Verma - Mann Mera - Original Version,322,13,,342895,6798.0,2281208,11000,112577252,Gajendra Verma,Mann Mera - Original Version
41,+1,"Mithoon - Dhun (From ""Saiyaara"") (w/ Arijit Singh)",304,3,(x10),340259,-883.0,2421411,-19281,146655823,Mithoon,"Dhun (From ""Saiyaara"") (w/ Arijit Singh)"
42,-1,"Aksomaniac - Amsham - അംശം (w/ M.H.R, Bhumi, Circle Tone)",30,39,,338302,-5773.0,2224861,33529,8583061,Aksomaniac,"Amsham - അംശം (w/ M.H.R, Bhumi, Circle Tone)"
43,+1,"Anirudh Ravichander - Aaya Sher (From ""The Paradise"") (Telugu) (w/ Jangi Reddy, Arjun Chandy, Kasarla Shyam)",80,2,(x1),327172,-3641.0,2372797,-34197,33800976,Anirudh Ravichander,"Aaya Sher (From ""The Paradise"") (Telugu) (w/ Jangi Reddy, Arjun Chandy, Kasarla Shyam)"
44,+1,"Talwiinder - Haseen (w/ NDS, Rippy Grewal)",351,2,(x33),325451,472.0,2306097,-18009,205820951,Talwiinder,"Haseen (w/ NDS, Rippy Grewal)"
45,+5,"Palak Muchhal - Chahun Main Ya Naa (From ""Aashiqui 2"") (w/ Arijit Singh)",930,36,,323265,10117.0,2333192,-44583,190466678,Palak Muchhal,"Chahun Main Ya Naa (From ""Aashiqui 2"") (w/ Arijit Singh)"
46,-6,"Sachin-Jigar - Chand Mera Dil - Title Track (w/ Faheem Abdullah, Amitabh Bhattacharya)",25,37,,322937,-22164.0,2242831,-10427,7768880,Sachin-Jigar,"Chand Mera Dil - Title Track (w/ Faheem Abdullah, Amitabh Bhattacharya)"
47,-1,"Shashwat Sachdev - Naal Nachna (w/ Afsana Khan, Irshad Kamil, Reble)",156,21,,322479,-1587.0,2299194,-24537,64804358,Shashwat Sachdev,"Naal Nachna (w/ Afsana Khan, Irshad Kamil, Reble)"
48,+1,"Virat - Bairi (w/ Pradeep Solanki, Heena)",82,12,,321176,1902.0,2298284,-16618,37621880,Virat,"Bairi (w/ Pradeep Solanki, Heena)"
49,+3,Harshit Saxena - Hale Dil,538,48,,320628,12599.0,2039488,28505,130751634,Harshit Saxena,Hale Dil
50,-2,"Sachet-Parampara - Humsafar (From ""Saiyaara"") (w/ Sachet Tandon, Parampara Tandon, Irshad Kamil, Prashant Pandey)",302,5,,311670,-7801.0,2207942,-6655,125889444,Sachet-Parampara,"Humsafar (From ""Saiyaara"") (w/ Sachet Tandon, Parampara Tandon, Irshad Kamil, Prashant Pandey)"
