Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jung Kook - Seven (w/ Latto),519,1,(x166),22109,394.0,130517,876,3989502,Jung Kook,Seven (w/ Latto)
2,=,"By Индия - Шадэ (w/ Xcho, МОТ)",8,2,(x4),13422,1345.0,68563,6581,75404,By Индия,"Шадэ (w/ Xcho, МОТ)"
3,NEW,Drake - Make Them Cry,1,3,(x1),11499,,11499,11499,11499,Drake,Make Them Cry
4,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,4,,10314,,10314,10314,10314,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
5,NEW,Drake - Dust,1,5,,9850,,9850,9850,9850,Drake,Dust
6,-3,Jimin - Who,663,1,(x344),9471,-10.0,64145,522,6669107,Jimin,Who
7,NEW,Drake - Whisper My Name,1,7,,9424,,9424,9424,9424,Drake,Whisper My Name
8,NEW,Drake - National Treasures,1,8,,9375,,9375,9375,9375,Drake,National Treasures
9,NEW,Drake - Janice STFU,1,9,,8562,,8562,8562,8562,Drake,Janice STFU
10,-6,Jung Kook - 3D (w/ Jack Harlow),310,2,(x52),8401,154.0,48280,565,1901384,Jung Kook,3D (w/ Jack Harlow)
11,NEW,Drake - Shabang,1,11,,7251,,7251,7251,7251,Drake,Shabang
12,-6,Jimin - Be Mine,621,2,(x35),7071,386.0,46089,714,2872222,Jimin,Be Mine
13,-8,Jung Kook - Standing Next to You,313,2,(x4),6932,233.0,40788,462,1235205,Jung Kook,Standing Next to You
14,RE,Drake - What Did I Miss?,15,14,,6799,,6799,6799,35621,Drake,What Did I Miss?
15,NEW,Drake - Make Them Pay,1,15,,6627,,6627,6627,6627,Drake,Make Them Pay
16,NEW,Drake - B's On The Table (w/ 21 Savage),1,16,,6576,,6576,6576,6576,Drake,B's On The Table (w/ 21 Savage)
17,NEW,Drake - 2 Hard 4 The Radio,1,17,,6501,,6501,6501,6501,Drake,2 Hard 4 The Radio
18,NEW,Drake - Plot Twist,1,18,,6261,,6261,6261,6261,Drake,Plot Twist
19,-11,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),37,2,(x4),6070,818.0,38839,-861,236366,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
20,NEW,Drake - Burning Bridges,1,20,,5785,,5785,5785,5785,Drake,Burning Bridges
21,-14,Dominic Fike - Babydoll,368,2,(x13),5681,215.0,37909,-266,1157038,Dominic Fike,Babydoll
22,NEW,Drake - Make Them Know,1,22,,5123,,5123,5123,5123,Drake,Make Them Know
23,-13,The Chemical Brothers - Go,12,9,,5089,562.0,30388,727,45134,The Chemical Brothers,Go
24,NEW,Drake - Make Them Remember,1,24,,4982,,4982,4982,4982,Drake,Make Them Remember
25,-12,Atvara - Ēnā,43,3,(x2),4899,1223.0,18460,4899,131466,Atvara,Ēnā
26,-15,Michael Jackson - Billie Jean,34,8,,4709,478.0,28600,538,100497,Michael Jackson,Billie Jean
27,-11,GACHO - Vējiem Līdzi,288,2,(x1),4657,1088.0,27205,207,1073532,GACHO,Vējiem Līdzi
28,-19,Temper City - Self Aware,59,6,,4642,-123.0,31373,-295,215646,Temper City,Self Aware
29,NEW,Drake - Don’t Worry,1,29,,4225,,4225,4225,4225,Drake,Don’t Worry
30,-11,Fiņķis - Raķešu Zinātne (w/ Patrisha),1160,1,(x5),4222,757.0,24472,956,3928979,Fiņķis,Raķešu Zinātne (w/ Patrisha)
31,-19,Tame Impala - Dracula,231,7,,4098,262.0,26640,-307,699262,Tame Impala,Dracula
32,-15,Fiņķis - Baudam!,318,2,(x1),4093,535.0,25818,49,1237766,Fiņķis,Baudam!
33,-19,Empire Of The Sun - We Are The People,793,2,(x1),4061,389.0,24969,-16,2117049,Empire Of The Sun,We Are The People
34,NEW,Drake - Little Birdie,1,34,,3988,,3988,3988,3988,Drake,Little Birdie
35,NEW,Drake - Firm Friends,1,35,,3983,,3983,3983,3983,Drake,Firm Friends
36,-18,Michael Jackson - Beat It,22,17,,3928,416.0,23777,448,64667,Michael Jackson,Beat It
37,-4,"Deniss - PASĒDĒT (w/ Silraq, Sudrabu Sirds)",198,1,(x31),3756,860.0,20714,275,1137245,Deniss,"PASĒDĒT (w/ Silraq, Sudrabu Sirds)"
38,-23,Malcolm Todd - Earrings,45,13,,3664,32.0,24540,429,119906,Malcolm Todd,Earrings
39,-16,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),140,2,(x1),3659,452.0,22442,136,558559,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson)
40,-5,Zara Larsson - Lush Life,597,4,,3615,807.0,20484,232,1335402,Zara Larsson,Lush Life
41,-19,sombr - back to friends,440,1,(x3),3610,283.0,23018,166,2117673,sombr,back to friends
42,-22,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),98,5,,3557,171.0,23912,-411,326794,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
43,-12,Sudden Lights - Mūsu mīlestība,683,4,,3512,518.0,21795,-82,1922873,Sudden Lights,Mūsu mīlestība
44,NEW,DARA - Bangaranga,1,44,,3404,,3404,3404,3404,DARA,Bangaranga
45,-19,Djo - End of Beginning,705,2,(x24),3324,243.0,21606,-30,2400150,Djo,End of Beginning
46,-9,Dons - Tuvums,206,4,,3305,593.0,21087,-32,685958,Dons,Tuvums
47,-22,The Killers - Mr. Brightside,212,25,,3285,201.0,19974,444,436308,The Killers,Mr. Brightside
48,-19,Dave - Raindance (w/ Tems),152,4,,3235,187.0,21247,-317,601142,Dave,Raindance (w/ Tems)
49,-13,MUUD - Rodeo,253,27,,3215,469.0,18575,274,591193,MUUD,Rodeo
50,-23,The Neighbourhood - Sweater Weather,2127,3,(x2),3197,116.0,17659,130,5683938,The Neighbourhood,Sweater Weather
51,-27,Buckshot - Fever (w/ fakemink),193,16,,3177,76.0,20148,168,461322,Buckshot,Fever (w/ fakemink)
52,-22,Ravyn Lenae - Love Me Not,445,3,(x1),3135,137.0,20351,-29,1468164,Ravyn Lenae,Love Me Not
53,-11,Sudden Lights - lai tev apnīk skumt,337,9,,3129,486.0,19119,-64,726692,Sudden Lights,lai tev apnīk skumt
54,-15,sombr - 12 to 12,294,3,(x13),3023,367.0,18294,66,1121510,sombr,12 to 12
55,NEW,Drake - WNBA,1,55,,2989,,2989,2989,2989,Drake,WNBA
56,NEW,Drake - Hoe Phase,1,56,,2931,,2931,2931,2931,Drake,Hoe Phase
57,-14,Vance Joy - Riptide,2091,10,,2902,283.0,17641,439,3606140,Vance Joy,Riptide
58,-17,Sean Paul - (When You Gonna) Give It Up to Me (w/ Keyshia Cole),131,14,,2892,247.0,18315,-4,419024,Sean Paul,(When You Gonna) Give It Up to Me (w/ Keyshia Cole)
59,-11,Michael Jackson - Dirty Diana - 2012 Remaster,22,36,,2850,282.0,18085,111,51041,Michael Jackson,Dirty Diana - 2012 Remaster
60,-8,"OLAS - Nārnija (w/ Esmeralda, heywhosthatkid)",799,1,(x7),2835,383.0,17583,34,3124422,OLAS,"Nārnija (w/ Esmeralda, heywhosthatkid)"
