Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"Tax Free - Saudi (w/ Malik Montana, Kazior, TYK, CUZCO$)",16,1,(x9),259461,26008.0,1659906,5107,3453646,Tax Free,"Saudi (w/ Malik Montana, Kazior, TYK, CUZCO$)"
2,+1,Majki - Pach Pach (w/ Major SPZ),106,1,(x4),233635,37600.0,1469570,-4293,14489102,Majki,Pach Pach (w/ Major SPZ)
3,-1,"Męskie Granie Orkiestra - Nareszcie (w/ Igor Herbut, Zalia, Vito Bambino)",24,2,(x2),225627,14725.0,1438681,-5336,4779929,Męskie Granie Orkiestra,"Nareszcie (w/ Igor Herbut, Zalia, Vito Bambino)"
4,=,"White 2115 - CALIFORNIA LOVE (w/ VVSimon, Palar, PMBTZ)",57,1,(x1),213896,22678.0,1407339,-1732,12812852,White 2115,"CALIFORNIA LOVE (w/ VVSimon, Palar, PMBTZ)"
5,=,"MIÜ - fantazje (w/ Pezet, Bedoes 2115)",57,1,(x39),191654,11315.0,1288885,-24833,20788281,MIÜ,"fantazje (w/ Pezet, Bedoes 2115)"
6,=,"Gibbs - Ty masz (w/ Kukon, Jonatan)",22,3,(x1),151471,6113.0,979590,-16505,3636422,Gibbs,"Ty masz (w/ Kukon, Jonatan)"
7,=,rydawarrior - nowe ciocie (w/ CUZCO$),58,7,,144382,15381.0,903851,13823,5120747,rydawarrior,nowe ciocie (w/ CUZCO$)
8,+1,Sequento - Stan Deweloperski (w/ Cypis),16,8,,135749,18866.0,814981,24118,1444186,Sequento,Stan Deweloperski (w/ Cypis)
9,-1,Fukaj - Zabiorę Cię Tam (w/ Vito Bambino),267,1,(x1),126731,6562.0,870155,-8542,32639672,Fukaj,Zabiorę Cię Tam (w/ Vito Bambino)
10,+3,Wac Toja - KOLEJNA NOC,45,8,,126681,16028.0,828317,-8768,5189805,Wac Toja,KOLEJNA NOC
11,+5,Majki - Kalinka (w/ Major SPZ),190,4,,126023,20384.0,797449,-6227,20919923,Majki,Kalinka (w/ Major SPZ)
12,-2,MIÜ - dopóki się nie znüdzisz (w/ Zalia),57,6,,124703,11286.0,840245,-10595,7100999,MIÜ,dopóki się nie znüdzisz (w/ Zalia)
13,+4,David Tango - Napalona (w/ SxK),10,13,,123478,18634.0,639944,60323,782473,David Tango,Napalona (w/ SxK)
14,-3,"Taco Hemingway - ZAKOCHAŁEM SIĘ POD APTEKĄ (w/ Rumak, Livka)",148,1,(x3),122053,8902.0,811610,7705,20343350,Taco Hemingway,"ZAKOCHAŁEM SIĘ POD APTEKĄ (w/ Rumak, Livka)"
15,-3,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),34,4,,121988,9800.0,840317,-17239,4873538,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
16,-2,Mata - ECHO,16,6,,119765,9308.0,794583,-8664,2100376,Mata,ECHO
17,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,17,,112632,,112632,112632,112632,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
18,-3,"Tax Free - After (w/ Malik Montana, Kazior, CUZCO$)",127,1,(x29),112505,6833.0,725193,-1871,21904427,Tax Free,"After (w/ Malik Montana, Kazior, CUZCO$)"
19,=,"Pezet - Plan B (w/ Mata, Kaz Bałagane, Pedro, Frenkie G)",211,3,(x7),112391,12157.0,713333,-2709,27071380,Pezet,"Plan B (w/ Mata, Kaz Bałagane, Pedro, Frenkie G)"
20,+3,Sentino - FRISBEE (w/ BNP),93,1,(x22),111097,24678.0,701651,289,16423325,Sentino,FRISBEE (w/ BNP)
21,=,"Mata - KAMIKAZE (w/ Skolim, Khaid)",276,1,(x39),110078,23029.0,661046,3622,51750520,Mata,"KAMIKAZE (w/ Skolim, Khaid)"
