Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,NEW,Drake - Make Them Cry,1,1,(x1),28485,,28485,28485,28485,Drake,Make Them Cry
2,NEW,Drake - Whisper My Name,1,2,(x1),23275,,23275,23275,23275,Drake,Whisper My Name
3,NEW,Drake - Dust,1,3,(x1),23095,,23095,23095,23095,Drake,Dust
4,NEW,Drake - National Treasures,1,4,,21639,,21639,21639,21639,Drake,National Treasures
5,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,5,,21066,,21066,21066,21066,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
6,-5,Arash - One Day (w/ Helena),109,1,(x73),20644,-1564.0,134549,-2391,1978623,Arash,One Day (w/ Helena)
7,NEW,Drake - Janice STFU,1,7,,20013,,20013,20013,20013,Drake,Janice STFU
8,-6,Sabah Mahmod - عفتني,562,1,(x76),19913,-640.0,113569,3459,6869812,Sabah Mahmod,عفتني
9,-6,Dominic Fike - Babydoll,101,2,(x40),16699,-2318.0,114653,-1296,1486018,Dominic Fike,Babydoll
10,NEW,Drake - Shabang,1,10,,16042,,16042,16042,16042,Drake,Shabang
11,-7,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),34,1,(x4),15952,-1608.0,110977,-1868,601264,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
12,-7,Michael Jackson - Billie Jean,26,5,,15620,-964.0,96946,1657,251786,Michael Jackson,Billie Jean
13,NEW,Drake - Make Them Pay,1,13,,15476,,15476,15476,15476,Drake,Make Them Pay
14,NEW,Drake - Plot Twist,1,14,,15386,,15386,15386,15386,Drake,Plot Twist
15,NEW,Drake - 2 Hard 4 The Radio,1,15,,15366,,15366,15366,15366,Drake,2 Hard 4 The Radio
16,NEW,Drake - B's On The Table (w/ 21 Savage),1,16,,15216,,15216,15216,15216,Drake,B's On The Table (w/ 21 Savage)
17,RE,Drake - What Did I Miss?,26,17,,14297,,14297,14297,151871,Drake,What Did I Miss?
18,NEW,Drake - Burning Bridges,1,18,,12840,,12840,12840,12840,Drake,Burning Bridges
19,-13,Dave - Raindance (w/ Tems),146,1,(x2),12365,-891.0,81856,165,1626211,Dave,Raindance (w/ Tems)
20,-12,Sabah Mahmod - ميت اني,737,3,(x2),11511,-429.0,68378,2246,5573831,Sabah Mahmod,ميت اني
21,-11,Ayed - اوعدك,62,8,,11205,-477.0,70673,727,589748,Ayed,اوعدك
22,-13,Evanescence - Bring Me To Life,720,6,,10891,-988.0,73455,-211,4419588,Evanescence,Bring Me To Life
23,NEW,Drake - Make Them Know,1,23,,10838,,10838,10838,10838,Drake,Make Them Know
24,-12,Billie Eilish - WILDFLOWER,729,1,(x105),10784,-696.0,70067,784,10938325,Billie Eilish,WILDFLOWER
25,-18,Ramy Sabry - Kelma,41,7,,10736,-1334.0,70208,1466,252987,Ramy Sabry,Kelma
26,NEW,Drake - Make Them Remember,1,26,,10420,,10420,10420,10420,Drake,Make Them Remember
