Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,manifest - Hileli (w/ Ajda Pekkan),9,1,(x8),893764,40501.0,7117926,-429726,8534946,manifest,Hileli (w/ Ajda Pekkan)
2,=,Serkan Nişancı - Eller Üzer,68,1,(x20),759691,-1903.0,5708493,-200724,36449914,Serkan Nişancı,Eller Üzer
3,=,Simge - Kalpsiz Bir Serseri - Live,80,2,(x3),340161,14386.0,2424293,-26965,26691905,Simge,Kalpsiz Bir Serseri - Live
4,=,Eypio - Ömrüm,57,2,(x5),330309,11152.0,2210769,11369,24455854,Eypio,Ömrüm
5,+3,Yung Ouzo - yanılmışım (w/ Tanerman),22,5,,323294,42079.0,1618827,145075,3413731,Yung Ouzo,yanılmışım (w/ Tanerman)
6,-1,Batuflex - Hermès 2.0,71,2,(x9),317626,21771.0,2249854,-35715,29787268,Batuflex,Hermès 2.0
7,=,BLOK3 - KUSURA BAKMA,170,1,(x61),311309,26654.0,2000077,31027,121720341,BLOK3,KUSURA BAKMA
8,-2,"Ayse Hatun Onal - Güm Güm (Serhat Karadağ Remix) (w/ Onurr, Serhat Karadag)",52,4,,294871,8615.0,2081676,-12287,14600365,Ayse Hatun Onal,"Güm Güm (Serhat Karadağ Remix) (w/ Onurr, Serhat Karadag)"
9,+1,manifest - Daha İyi,43,3,(x6),293667,21465.0,2070501,-17012,17315784,manifest,Daha İyi
10,-1,Motive - YIN YANG,79,1,(x11),275893,2623.0,1928949,-18077,34965261,Motive,YIN YANG
11,+1,KAVAK - RDM (w/ EGE!),22,3,(x2),260153,22278.0,1864335,-38713,6615887,KAVAK,RDM (w/ EGE!)
12,+2,Mebrure - Değilim,4,12,,258795,26929.0,796158,258795,796158,Mebrure,Değilim
13,-2,"ASLAR - yenildiğim tek savaştın (w/ Lessio, Astral)",71,1,(x36),256736,11262.0,1767822,-11854,43665197,ASLAR,"yenildiğim tek savaştın (w/ Lessio, Astral)"
14,+6,Bengü - Saygımdan,816,11,,235857,30145.0,1353148,55495,124614415,Bengü,Saygımdan
15,-2,Ati242 - Maraton,142,3,(x1),235461,2529.0,1588316,-8539,36187686,Ati242,Maraton
16,-1,Wegh - Balbiber,86,5,,226643,11142.0,1528410,-12104,19071356,Wegh,Balbiber
17,-1,Eypio - Sana Rağmen,85,6,,219673,7683.0,1458771,-6949,22646702,Eypio,Sana Rağmen
18,+1,Semicenk - Çıkmaz Bir Sokakta,204,2,(x32),216705,9227.0,1464396,6876,84513521,Semicenk,Çıkmaz Bir Sokakta
19,+2,Simge - Misafir,78,13,,212737,7261.0,1508381,-11921,15367439,Simge,Misafir
20,+37,Afra - Adı İntikamdı (w/ Mustafa Sandal),2,20,,206825,63391.0,350259,206825,350259,Afra,Adı İntikamdı (w/ Mustafa Sandal)
21,+5,"Lvbel C5 - ANKARA TATANGALAR (w/ AKDO, Ezhel)",8,11,,206438,16371.0,1479029,-81885,1767352,Lvbel C5,"ANKARA TATANGALAR (w/ AKDO, Ezhel)"
22,-5,Hadise - Küçük Bir Yol - Red Bull Track Takeover (w/ Motive),57,1,(x3),203791,-7221.0,1457653,-22063,26458873,Hadise,Küçük Bir Yol - Red Bull Track Takeover (w/ Motive)
23,=,Wegh - Halef Selef,86,1,(x1),203332,4090.0,1410596,-3935,22833444,Wegh,Halef Selef
24,-2,mor ve ötesi - Cambaz,1660,4,,201947,1411.0,1505434,-35133,65930514,mor ve ötesi,Cambaz
25,=,BLOK3 - napıyosun mesela ?,303,2,(x20),201926,9154.0,1350735,9127,125158693,BLOK3,napıyosun mesela ?
26,-2,ERAY067 - NAFİLE (w/ Mansur),127,6,,201165,4100.0,1424531,-23309,32642790,ERAY067,NAFİLE (w/ Mansur)
27,=,Lark2020 - Afedersin,12,17,,200723,12835.0,1318394,-18340,2209886,Lark2020,Afedersin
28,+7,Keskin - ASLAN YAKIŞMAZ KAFESTE,36,7,,197367,17917.0,1308568,-1565,9274381,Keskin,ASLAN YAKIŞMAZ KAFESTE
29,+17,Tekir - Vursunlar - Roman Version (w/ Gökhan Namlı),266,29,,197045,39695.0,1138574,40610,25624263,Tekir,Vursunlar - Roman Version (w/ Gökhan Namlı)
30,+7,manifest - Snap,351,2,(x1),196785,20147.0,1282867,16883,77334937,manifest,Snap
31,+1,manifest - Amatör,162,2,(x3),196262,14731.0,1322064,12235,41392274,manifest,Amatör
32,+7,Pınar Soykan - Sakla - Erhan Boraer Remix (w/ Erhan Boraer),67,32,,193354,23832.0,1075008,67191,6943768,Pınar Soykan,Sakla - Erhan Boraer Remix (w/ Erhan Boraer)
