Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"Lauta - Puñaladas (w/ Amigo de Artistas, Tote)",131,1,(x17),182607,-25236.0,1272193,7560,22764052,Lauta,"Puñaladas (w/ Amigo de Artistas, Tote)"
2,=,BTS - SWIM,59,1,(x40),175137,-10959.0,1277155,4281,12450983,BTS,SWIM
3,=,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",156,1,(x1),154353,-23046.0,1151297,1151,28420268,El Bogueto,"Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)"
4,=,Omar Courtz - KOKO,82,4,,141183,-24437.0,1076145,2601,10750280,Omar Courtz,KOKO
5,+1,Omar Courtz - FOREVER TU GANTEL (w/ Ñengo Flow),87,2,(x16),138270,-23006.0,1045840,-874,14868473,Omar Courtz,FOREVER TU GANTEL (w/ Ñengo Flow)
6,-1,Omar Courtz - POR SI MAÑANA NO ESTOY,85,4,,138168,-25710.0,1099201,-35,11777467,Omar Courtz,POR SI MAÑANA NO ESTOY
7,=,Max Carra - UWAIE - versión cumbia,454,2,(x12),132668,-22003.0,927717,3594,61755663,Max Carra,UWAIE - versión cumbia
8,+1,Los Huayra - La Noche Sin Tí,720,4,,129381,-14195.0,909250,-9823,32973535,Los Huayra,La Noche Sin Tí
9,-1,La T y La M - Soy Favela,164,1,(x1),124781,-19491.0,844841,-3977,34773719,La T y La M,Soy Favela
10,+1,"Roze Oficial - Tu jardín con enanitos (w/ Max Carra, Valen, RAMKY EN LOS CONTROLES)",25,9,,119388,-14499.0,809660,1188,3097666,Roze Oficial,"Tu jardín con enanitos (w/ Max Carra, Valen, RAMKY EN LOS CONTROLES)"
11,-1,"Ryan Castro - LA VILLA (w/ Kapo, Gangsta)",138,1,(x56),117685,-18908.0,868209,-7112,32202174,Ryan Castro,"LA VILLA (w/ Kapo, Gangsta)"
12,=,Airbag - Pensamientos,446,7,,113940,-15946.0,891281,5318,41602214,Airbag,Pensamientos
13,=,Michael Jackson - Billie Jean,28,12,,101948,-15007.0,760812,3981,2455007,Michael Jackson,Billie Jean
14,=,El Bogueto - Cuando No Era Cantante (w/ Yung Beef),228,1,(x10),97260,-16136.0,710702,-21926,44849133,El Bogueto,Cuando No Era Cantante (w/ Yung Beef)
15,+3,La T y La M - Amor de Vago (w/ Malandro),622,1,(x46),93346,-11890.0,653400,986,127641399,La T y La M,Amor de Vago (w/ Malandro)
16,-1,"LIT killah - Si Te Vas 2.0 (w/ Paulo Londra, KHEA, Ramma)",3,7,,93042,-16150.0,367472,93042,367472,LIT killah,"Si Te Vas 2.0 (w/ Paulo Londra, KHEA, Ramma)"
17,+5,La T y La M - No Se Va,573,8,,90741,-9923.0,576430,3690,48465758,La T y La M,No Se Va
18,-1,Bad Bunny - BAILE INoLVIDABLE,498,1,(x43),90663,-16284.0,692580,915,98244280,Bad Bunny,BAILE INoLVIDABLE
19,+1,Tan Bionica - Obsesionario en La Mayor,1054,10,,89832,-14851.0,686017,6185,69995793,Tan Bionica,Obsesionario en La Mayor
20,-4,Babasonicos - Como Eran Las Cosas,1151,8,,89481,-18298.0,721632,-8766,102260528,Babasonicos,Como Eran Las Cosas
21,+2,Airbag - Por Mil Noches,2327,14,,88391,-11412.0,671209,6054,169626384,Airbag,Por Mil Noches
22,-3,Rels B - TU VAS SIN (fav),305,2,(x6),87826,-17070.0,663406,-773,56983038,Rels B,TU VAS SIN (fav)
23,-2,TINI - Dos Amantes (w/ Ulises Bueno),59,3,(x1),86253,-16728.0,640465,-3367,8007998,TINI,Dos Amantes (w/ Ulises Bueno)
24,=,No Te Va Gustar - A las Nueve,3429,17,,84366,-12384.0,648660,913,177120613,No Te Va Gustar,A las Nueve
25,=,Milo j - Niño,234,4,,82955,-10443.0,660018,-6909,34700870,Milo j,Niño
26,+8,Callejero Fino - NO LES DA (w/ Lea in the Mix),79,16,,79543,-5003.0,489297,1833,6303433,Callejero Fino,NO LES DA (w/ Lea in the Mix)
