Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Panda - Eu Te Seguro - Ao Vivo (w/ MJ Records),240,1,(x15),1165774,-243601.0,7753392,124530,194597809,Panda,Eu Te Seguro - Ao Vivo (w/ MJ Records)
2,+1,"DJ Oreia - Diário de um Cafajeste (w/ Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc Negão Original)",188,2,(x3),853734,-251740.0,6307032,40714,132238241,DJ Oreia,"Diário de um Cafajeste (w/ Mc Lele JP, MC Meno K, MC Ryan SP, MC Tuto, Mc Negão Original)"
3,-1,"DJ Gu - Reliquia do 2T (w/ MC Vine7, MC Tuto, MC Joãozinho VT, Mc Dkziin, MC Fr da Norte)",96,1,(x39),815207,-298372.0,6319935,17399,94617134,DJ Gu,"Reliquia do 2T (w/ MC Vine7, MC Tuto, MC Joãozinho VT, Mc Dkziin, MC Fr da Norte)"
4,=,"Mc Lele JP - Famoso Ímã | O poderoso chatão (w/ Mc Poze do Rodo, MC Leozinho ZS, DJ GORDINHO DA VF)",57,1,(x4),762843,-245875.0,6059446,25833,46828174,Mc Lele JP,"Famoso Ímã | O poderoso chatão (w/ Mc Poze do Rodo, MC Leozinho ZS, DJ GORDINHO DA VF)"
5,+3,Fred & Fabrício - Te Amar É Meu Talento - Ao Vivo,47,5,,661651,-67461.0,3847372,162454,13900179,Fred & Fabrício,Te Amar É Meu Talento - Ao Vivo
6,=,Murilo Huff - Saudade Estranha - Ao Vivo,80,6,,629060,-172593.0,4297884,52167,41405297,Murilo Huff,Saudade Estranha - Ao Vivo
7,-2,Zé Neto & Cristiano - Cadeira Cativa - Ao Vivo,38,4,,620489,-196380.0,4413409,-31119,22873391,Zé Neto & Cristiano,Cadeira Cativa - Ao Vivo
8,-1,Jeninho - Peão Todo Tatuado (w/ Mariana Fagundes),58,7,,587168,-186581.0,3822951,72867,18760018,Jeninho,Peão Todo Tatuado (w/ Mariana Fagundes)
9,+6,BTS - SWIM,59,1,(x8),571681,-68002.0,4620228,20565,49897502,BTS,SWIM
10,+2,Júnior e Cézar - Cheiro De Culpado - Ao Vivo,184,8,,564232,-93183.0,3727557,88177,70343261,Júnior e Cézar,Cheiro De Culpado - Ao Vivo
11,-1,Murilo Huff - Deixa Eu - Ao Vivo,276,4,,545251,-167897.0,3728243,-51654,182315170,Murilo Huff,Deixa Eu - Ao Vivo
12,-1,"Mc Jacaré - Carnívoro (w/ Mc Lele JP, Mc Negão Original, DJ Japa NK)",114,1,(x7),531803,-154347.0,4067037,17194,90556734,Mc Jacaré,"Carnívoro (w/ Mc Lele JP, Mc Negão Original, DJ Japa NK)"
13,+6,"Rafa e Junior - Ama Um Maloqueiro (w/ Hugo & Guilherme, DJ Ari SL)",359,3,(x2),516766,-88267.0,3548119,-40560,220396686,Rafa e Junior,"Ama Um Maloqueiro (w/ Hugo & Guilherme, DJ Ari SL)"
14,+2,Grupo Menos É Mais - P do Pecado - Ao Vivo (w/ Simone Mendes),382,1,(x116),514557,-122200.0,3225727,-69847,410678318,Grupo Menos É Mais,P do Pecado - Ao Vivo (w/ Simone Mendes)
15,-6,"Mc Livinho - Se Saudade Sentir (Se Prepara 3) (w/ Mc Pedrinho, Perera DJ, DJ JB Mix)",38,5,,508690,-211032.0,4211323,10560,20150610,Mc Livinho,"Se Saudade Sentir (Se Prepara 3) (w/ Mc Pedrinho, Perera DJ, DJ JB Mix)"
16,-2,Danilo e Davi - Não Mexe nas Minhas Gavetas - Ao Vivo,108,8,,501501,-141546.0,3626877,-76028,48486587,Danilo e Davi,Não Mexe nas Minhas Gavetas - Ao Vivo
17,-4,"Aaron Modesto - Pra Não Esquecer De Mim (w/ Mc Magal, MC Meno K, DJ Glenner)",35,10,,485502,-164346.0,3860827,66740,14415356,Aaron Modesto,"Pra Não Esquecer De Mim (w/ Mc Magal, MC Meno K, DJ Glenner)"
18,-1,DJ Japa NK - Amo Minha Favela (w/ MC Meno K),156,3,(x21),465628,-158635.0,3471247,37701,127565775,DJ Japa NK,Amo Minha Favela (w/ MC Meno K)
