Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+154,DARA - Bangaranga,2,1,(x1),591449,512459.0,670439,591449,670439,DARA,Bangaranga
2,-1,"Pashanim - Prada Sport (w/ AK AUSSERKONTROLLE, Selim61)",3,1,(x2),298400,-61981.0,1185231,298400,1185231,Pashanim,"Prada Sport (w/ AK AUSSERKONTROLLE, Selim61)"
3,-1,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),37,1,(x25),285321,-59636.0,2424854,-61177,15594650,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
4,-1,Michael Jackson - Billie Jean,338,2,(x1),258842,-67865.0,2096545,-5264,32717739,Michael Jackson,Billie Jean
5,-1,Cave - CASA CUBA (w/ Amo),10,1,(x5),233510,-76726.0,2371950,-112511,3813219,Cave,CASA CUBA (w/ Amo)
6,-1,Michael Jackson - Beat It,61,4,,218845,-51945.0,1750028,-355,7808568,Michael Jackson,Beat It
7,=,Dominic Fike - Babydoll,106,1,(x20),210952,-16608.0,1639912,-18161,27094073,Dominic Fike,Babydoll
8,-2,Green Day - Boulevard of Broken Dreams,37,3,(x2),206766,-29762.0,1747987,25270,4251725,Green Day,Boulevard of Broken Dreams
9,+38,Sarah Engels - Fire,6,9,,202538,75713.0,329363,202538,722944,Sarah Engels,Fire
10,-1,The Killers - Mr. Brightside,1033,5,,185750,-26900.0,1431841,10039,107097668,The Killers,Mr. Brightside
11,-3,Zara Larsson - Lush Life,776,1,(x11),185725,-37434.0,1492654,-23471,94965231,Zara Larsson,Lush Life
12,-2,Temper City - Self Aware,63,6,,185413,-8761.0,1414710,-597,9410304,Temper City,Self Aware
13,NEW,COSMÓ - TANZSCHEIN,1,13,,172214,,172214,172214,172214,COSMÓ,TANZSCHEIN
14,NEW,Noam Bettan - Michelle (w/ כאן - תאגיד השידור הישראלי),1,14,,148593,,148593,148593,148593,Noam Bettan,Michelle (w/ כאן - תאגיד השידור הישראלי)
15,NEW,FELICIA - My System,1,15,,146650,,146650,146650,146650,FELICIA,My System
