Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+27,DARA - Bangaranga,3,1,(x1),17674,14716.0,22964,17674,22964,DARA,Bangaranga
2,+6,Linda Lampenius - Liekinheitin (w/ Pete Parkkonen),6,2,(x1),8055,3382.0,26300,8055,26300,Linda Lampenius,Liekinheitin (w/ Pete Parkkonen)
3,-2,nublu - kesselaid (w/ TIEF CITY 44),93,1,(x44),7956,-2205.0,58914,-328,1333762,nublu,kesselaid (w/ TIEF CITY 44)
4,-2,"kanapoeg - vastu puud (w/ Kermo Murel, kohver, kurvad uudised)",11,1,(x8),7480,-1539.0,65731,-2585,106586,kanapoeg,"vastu puud (w/ Kermo Murel, kohver, kurvad uudised)"
5,-2,triibupasta - vaksalis (w/ Merilin Mälk),24,1,(x11),5588,-1589.0,50676,-1926,218301,triibupasta,vaksalis (w/ Merilin Mälk)
6,-2,SADU - Igavene,271,1,(x59),5154,-1275.0,37118,-653,1724380,SADU,Igavene
7,+87,Alexandra Căpitănescu - Choke Me,3,7,,5065,3236.0,8882,5065,8882,Alexandra Căpitănescu,Choke Me
8,+41,"Satoshi - Viva, Moldova!",5,8,,4903,2415.0,13979,4903,13979,Satoshi,"Viva, Moldova!"
9,+46,Akylas - Ferto,5,9,,4363,1969.0,12467,4363,12467,Akylas,Ferto
10,-5,säm - maolensinu,52,1,(x17),4326,-1007.0,35602,-787,459012,säm,maolensinu
11,-5,Agent M - Shokolaad,15,4,,4198,-1019.0,35885,-499,67042,Agent M,Shokolaad
12,+84,Søren Torpegaard Lund - Før Vi Går Hjem - naughty version,3,12,,3821,2011.0,7540,3821,7540,Søren Torpegaard Lund,Før Vi Går Hjem - naughty version
13,+41,FELICIA - My System,5,13,,3791,1376.0,12737,3791,12737,FELICIA,My System
14,-7,säm - kanuu,298,1,(x73),3641,-1139.0,27470,-646,1882905,säm,kanuu
15,-6,nublu - LAUSU TÕTT (w/ Vaiko Eplik),353,1,(x10),3622,-1037.0,27069,-725,2185272,nublu,LAUSU TÕTT (w/ Vaiko Eplik)
16,-5,SADU - Luukered,325,2,(x13),3620,-609.0,25110,-531,1272473,SADU,Luukered
17,NEW,Noam Bettan - Michelle (w/ כאן - תאגיד השידור הישראלי),1,17,,3556,,3556,3556,3556,Noam Bettan,Michelle (w/ כאן - תאגיד השידור הישראלי)
18,-8,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),39,2,(x1),3433,-994.0,29144,-920,202922,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
19,-7,Küberünnak & Karmo - Lämmi,1615,8,,3414,-763.0,24586,276,3514451,Küberünnak & Karmo,Lämmi
20,-6,"By Индия - Шадэ (w/ Xcho, МОТ)",10,7,,3405,-621.0,26928,528,35537,By Индия,"Шадэ (w/ Xcho, МОТ)"
21,-8,Michael Jackson - Billie Jean,27,9,,3333,-705.0,25526,-367,84519,Michael Jackson,Billie Jean
22,+156,Sal Da Vinci - Per sempre sì,2,22,,3308,1951.0,4665,3308,4665,Sal Da Vinci,Per sempre sì
23,-4,Dominic Fike - Babydoll,186,4,,3180,-190.0,24230,-378,556801,Dominic Fike,Babydoll
24,-8,nublu - TIPUS ULUB TUUL (w/ Vaiko Eplik),352,1,(x2),2906,-851.0,20655,-145,1454518,nublu,TIPUS ULUB TUUL (w/ Vaiko Eplik)
25,-8,Drake - National Treasures,3,7,,2905,-736.0,13765,2905,13765,Drake,National Treasures
26,-5,Drake - Janice STFU,3,9,,2853,-299.0,12860,2853,12860,Drake,Janice STFU
27,-4,"nublu - Paraadna (w/ gameboy tetris, Raul Ojamaa)",1728,1,(x16),2778,-338.0,19557,101,2988252,nublu,"Paraadna (w/ gameboy tetris, Raul Ojamaa)"
28,-13,gameboy tetris - tabuuu,112,2,(x1),2756,-1009.0,22729,-287,394967,gameboy tetris,tabuuu
29,-9,Michael Jackson - Beat It,24,15,,2723,-591.0,21523,-337,65650,Michael Jackson,Beat It
30,-12,nublu - push it (w/ maria kallastu),717,1,(x97),2711,-754.0,19072,-69,3257910,nublu,push it (w/ maria kallastu)
31,-2,Buckshot - Fever (w/ fakemink),228,10,,2649,-266.0,21712,-154,595062,Buckshot,Fever (w/ fakemink)
32,-8,Clicherik & Mäx - Jolly Roger,165,1,(x7),2637,-397.0,18882,-69,641726,Clicherik & Mäx,Jolly Roger
33,NEW,Delta Goodrem - Eclipse,1,33,,2578,,2578,2578,2578,Delta Goodrem,Eclipse
34,+5,Temper City - Self Aware,58,10,,2536,-129.0,20754,-181,138684,Temper City,Self Aware
35,-10,35maffia - sydames,75,1,(x10),2529,-489.0,20387,-592,572861,35maffia,sydames
36,-9,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",3,5,,2496,-497.0,13408,2496,13408,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
37,-15,triibupasta - viinaingel (w/ An-Marlen),381,2,(x3),2494,-654.0,20290,-166,1854959,triibupasta,viinaingel (w/ An-Marlen)
38,-8,Clicherik & Mäx - Lihtsalt kaaslane (w/ An-Marlen),213,7,,2470,-431.0,19079,-156,613218,Clicherik & Mäx,Lihtsalt kaaslane (w/ An-Marlen)
39,-6,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),148,4,,2412,-445.0,19468,-241,505624,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson)
40,-14,Zara Larsson - Lush Life,582,1,(x1),2332,-681.0,17860,-209,1141573,Zara Larsson,Lush Life
41,+135,Antigoni - JALLA,2,41,,2323,961.0,3685,2323,3685,Antigoni,JALLA
42,-5,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),101,10,,2308,-393.0,18337,-149,266707,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
43,-8,ALIKA - parasiit (w/ säm),360,1,(x8),2291,-479.0,16675,-92,1645916,ALIKA,parasiit (w/ säm)
44,NEW,JONAS LOVV - Ya Ya Ya,1,44,,2260,,2260,2260,2260,JONAS LOVV,Ya Ya Ya
45,-13,triibupasta - LLC,382,1,(x1),2251,-616.0,18466,-172,1782262,triibupasta,LLC
46,-10,An-Marlen - 100 roosi (w/ boipepperoni),556,2,(x6),2248,-483.0,17020,58,1769452,An-Marlen,100 roosi (w/ boipepperoni)
47,-9,gameboy tetris - Incognito,155,6,,2223,-443.0,15616,207,312592,gameboy tetris,Incognito
48,-1,Michael Jackson - Human Nature,22,29,,2182,-323.0,17274,-367,47398,Michael Jackson,Human Nature
49,-1,Tame Impala - Dracula,233,17,,2145,-356.0,17966,-428,500675,Tame Impala,Dracula
50,-19,triibupasta - eurokraav,81,2,(x2),2130,-747.0,18066,-341,360517,triibupasta,eurokraav
51,-9,5MIINUST - Aluspükse (w/ nublu),2323,1,(x37),2111,-460.0,13164,415,4885174,5MIINUST,Aluspükse (w/ nublu)
52,-18,triibupasta - hugo toom,382,1,(x44),2108,-671.0,16520,-205,2179522,triibupasta,hugo toom
53,-10,The Chemical Brothers - Go,14,22,,2095,-474.0,18242,59,31950,The Chemical Brothers,Go
54,-13,Drake - Whisper My Name,3,8,,2076,-498.0,11859,2076,11859,Drake,Whisper My Name
55,-3,SADU - Kolmest soovist viimane,236,5,,2072,-368.0,14768,-83,711967,SADU,Kolmest soovist viimane
56,+10,SADU - Mustrid,277,6,,2049,-134.0,13205,32,751769,SADU,Mustrid
57,-17,Drake - Make Them Cry,3,3,(x1),2028,-572.0,13804,2028,13804,Drake,Make Them Cry
58,+19,Malcolm Todd - Earrings,44,28,,2025,-76.0,16081,-4,77488,Malcolm Todd,Earrings
59,-9,Drake - Dust,3,6,,1971,-487.0,12055,1971,12055,Drake,Dust
60,-14,35maffia - sydames - Remix (w/ villemdrillem),59,2,(x1),1948,-558.0,16650,-503,320008,35maffia,sydames - Remix (w/ villemdrillem)
61,-5,Empire Of The Sun - We Are The People,651,15,,1943,-435.0,16163,-316,1173893,Empire Of The Sun,We Are The People
62,-11,PRODIGYBOYS - SPORT,3,20,,1935,-520.0,9019,1935,9019,PRODIGYBOYS,SPORT
63,-18,nublu - SÜGISTUULED (w/ Vaiko Eplik),24,8,,1911,-606.0,16588,-786,70606,nublu,SÜGISTUULED (w/ Vaiko Eplik)
64,-1,Küberünnak & Karmo - Suvepalavik,684,2,(x3),1906,-295.0,13649,130,1556837,Küberünnak & Karmo,Suvepalavik
65,+104,Vanilla Ninja - Too Epic To Be True,30,4,,1862,481.0,5759,1862,66334,Vanilla Ninja,Too Epic To Be True
66,+1,Kermo Murel - Rahvalaul,368,1,(x7),1852,-330.0,13559,-183,1781443,Kermo Murel,Rahvalaul
67,-23,Drake - 2 Hard 4 The Radio,3,15,,1836,-695.0,9485,1836,9485,Drake,2 Hard 4 The Radio
68,=,villemdrillem - leekiv armastus,1060,1,(x47),1834,-338.0,12921,193,2625914,villemdrillem,leekiv armastus
69,+10,"Joost - I Miss Us (w/ Käärijä, Tommy Cash)",7,35,,1831,-246.0,15059,1831,15059,Joost,"I Miss Us (w/ Käärijä, Tommy Cash)"
70,-11,Drake - What Did I Miss?,17,18,,1829,-428.0,8987,1829,29089,Drake,What Did I Miss?
71,-2,SADU - Uueks hommikul,192,1,(x1),1825,-340.0,12462,-89,518525,SADU,Uueks hommikul
72,-2,Michael Jackson - Dirty Diana - 2012 Remaster,23,40,,1801,-345.0,14507,-349,44547,Michael Jackson,Dirty Diana - 2012 Remaster
73,NEW,Essyla - Dancing on the ice,1,73,,1765,,1765,1765,1765,Essyla,Dancing on the ice
74,-13,Drake - Shabang,3,13,,1761,-469.0,9785,1761,9785,Drake,Shabang
75,-18,"5MIINUST - kõrvetab (w/ nublu, NEXUS)",1018,1,(x12),1756,-605.0,12416,261,2642028,5MIINUST,"kõrvetab (w/ nublu, NEXUS)"
76,-5,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,21,42,,1738,-398.0,14147,-388,39727,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
77,NEW,Sarah Engels - Fire,1,77,,1725,,1725,1725,1725,Sarah Engels,Fire
78,-5,nublu - peagi saabun...,535,1,(x7),1707,-419.0,12374,-153,1772658,nublu,peagi saabun...
79,-14,gameboy tetris - KUHU KADUS STEN? (w/ nublu),1097,1,(x13),1704,-483.0,12732,-39,2406116,gameboy tetris,KUHU KADUS STEN? (w/ nublu)
80,-4,Sean Paul - (When You Gonna) Give It Up to Me (w/ Keyshia Cole),135,15,,1700,-402.0,14005,-392,349866,Sean Paul,(When You Gonna) Give It Up to Me (w/ Keyshia Cole)
