Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+7,DARA - Bangaranga,6,1,(x1),142869,100839.0,242374,142869,242374,DARA,Bangaranga
2,-1,Linda Lampenius - Liekinheitin (w/ Pete Parkkonen),122,1,(x24),100612,-49703.0,646809,51200,8453524,Linda Lampenius,Liekinheitin (w/ Pete Parkkonen)
3,=,ANI - Tuhlaajapoika (w/ Sara Bee),3,2,(x1),60424,7462.0,200397,60424,200397,ANI,Tuhlaajapoika (w/ Sara Bee)
4,+5,helmi marleena - Juhannusvalssi,3,4,,51918,9959.0,157832,51918,157832,helmi marleena,Juhannusvalssi
5,=,FELICIA - My System,28,5,,50332,3697.0,200110,42002,448253,FELICIA,My System
6,-4,Gettomasa - Onko jossain,10,1,(x5),48039,-7267.0,463907,-38888,803512,Gettomasa,Onko jossain
7,+22,Alexandra Căpitănescu - Choke Me,5,7,,43641,20799.0,100759,43641,100759,Alexandra Căpitănescu,Choke Me
8,-4,Averagekidluke - Mitä sydämelle käy (w/ Vesta),10,2,(x4),43519,-7903.0,423041,-28727,699380,Averagekidluke,Mitä sydämelle käy (w/ Vesta)
9,-3,louna0nline - m0ti0n,66,1,(x9),37368,-8113.0,359096,-13077,2801539,louna0nline,m0ti0n
10,+6,"Satoshi - Viva, Moldova!",6,10,,35836,7051.0,116772,35836,116772,Satoshi,"Viva, Moldova!"
11,+2,Akylas - Ferto,6,11,,34295,2113.0,126674,34295,126674,Akylas,Ferto
12,+2,Søren Torpegaard Lund - Før Vi Går Hjem - naughty version,3,12,,32336,934.0,85742,32336,85742,Søren Torpegaard Lund,Før Vi Går Hjem - naughty version
13,+13,Sal Da Vinci - Per sempre sì,5,13,,32106,7840.0,92834,32106,92834,Sal Da Vinci,Per sempre sì
14,-7,Isac Elliot - Ai Että,255,1,(x14),31910,-10662.0,281876,-6188,14921560,Isac Elliot,Ai Että
15,-5,Samuell - Hei Supermario,52,1,(x13),29617,-9586.0,277760,-10458,3100439,Samuell,Hei Supermario
16,-5,Isac Elliot - Mannerheim (w/ Turisti),88,1,(x1),28638,-5810.0,253756,-6035,4663492,Isac Elliot,Mannerheim (w/ Turisti)
17,+51,Noam Bettan - Michelle (w/ כאן - תאגיד השידור הישראלי),2,17,,28339,12901.0,43777,28339,43777,Noam Bettan,Michelle (w/ כאן - תאגיד השידור הישראלי)
18,+1,Etta - Kaunis vaan kun itken (w/ AHTI),3,6,,28273,1027.0,118433,28273,118433,Etta,Kaunis vaan kun itken (w/ AHTI)
19,-7,Isac Elliot - Palamaan (w/ Mirella),88,1,(x6),27493,-6796.0,254016,-6780,4925272,Isac Elliot,Palamaan (w/ Mirella)
20,-3,Delta Goodrem - Eclipse,4,17,,25738,-2648.0,78757,25738,78757,Delta Goodrem,Eclipse
21,-6,"Ares - +-0 (w/ Turisti, Averagekidluke)",116,4,,25511,-3927.0,220782,-914,5009947,Ares,"+-0 (w/ Turisti, Averagekidluke)"
22,-1,Vesta - Helmi,3,9,,25351,-388.0,98585,25351,98585,Vesta,Helmi
23,+16,Jami Faltin - Ikivanha (w/ Ares),3,11,,22197,1222.0,89327,22197,89327,Jami Faltin,Ikivanha (w/ Ares)
24,-6,AHTI - Poitsu,52,1,(x1),21829,-6004.0,208365,-5005,2734102,AHTI,Poitsu
25,-5,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),37,6,,21695,-5212.0,193242,-7138,1303260,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
26,-4,Mirella - Kaikki viel edessä,52,1,(x10),21401,-3884.0,195886,-5854,2825123,Mirella,Kaikki viel edessä
27,-3,Axel Kala - Tyhjää (w/ Ares),24,1,(x2),20743,-4061.0,211127,-10974,1065866,Axel Kala,Tyhjää (w/ Ares)
28,=,Lauri Haav - Perhonen,52,1,(x6),20343,-2797.0,185513,-5835,2754225,Lauri Haav,Perhonen
29,-2,Lauri Haav - Kuka hitto sen päättää,31,2,(x4),20311,-3306.0,203095,-9355,1447435,Lauri Haav,Kuka hitto sen päättää
30,-5,AHTI - Sisko ja sen veli,94,1,(x7),19682,-5063.0,178727,-4060,3679251,AHTI,Sisko ja sen veli
31,-8,Michael Jackson - Billie Jean,26,19,,19645,-5414.0,167162,-2442,508936,Michael Jackson,Billie Jean
32,+1,"Ares - Ikävä, kyllä (w/ Bizi)",116,1,(x13),19441,-2969.0,183847,-6641,5778757,Ares,"Ikävä, kyllä (w/ Bizi)"
33,-3,Korelon - Poikaystävä (w/ Sara Bee),73,1,(x8),18591,-4027.0,171112,-5025,3369892,Korelon,Poikaystävä (w/ Sara Bee)
34,+8,Ares - Menestys on paras tapa kostaa,501,1,(x31),18297,-2123.0,154514,-1595,23482643,Ares,Menestys on paras tapa kostaa
35,+2,Mirella - Make up your mind (w/ Averagekidluke),179,1,(x13),18248,-3231.0,164268,-5068,8723056,Mirella,Make up your mind (w/ Averagekidluke)
36,+2,Aliisa Syrjä - Sen piti olla minä,10,9,,18114,-3223.0,156956,-9592,258031,Aliisa Syrjä,Sen piti olla minä
37,+13,Drake - National Treasures,3,17,,18067,-821.0,72670,18067,72670,Drake,National Treasures
38,-6,Etta - Million Dollar Smile,123,2,(x6),18002,-4526.0,147081,-1433,5931134,Etta,Million Dollar Smile
39,-8,Antigoni - JALLA,5,31,,17687,-4854.0,73811,17687,73811,Antigoni,JALLA
40,-6,Turisti - Mun City (w/ Elastinen),10,3,(x1),17650,-4465.0,201101,-20935,365530,Turisti,Mun City (w/ Elastinen)
41,-6,"Turisti - Kui paljon - Remix (w/ Averagekidluke, Elastinen, Ares)",80,1,(x1),17584,-4209.0,150073,-1002,2909305,Turisti,"Kui paljon - Remix (w/ Averagekidluke, Elastinen, Ares)"
42,+16,Monroe - REGARDE !,4,42,,17465,93.0,52968,17465,52968,Monroe,REGARDE !
43,=,AHTI - Tähdet (w/ Behm),269,1,(x17),17447,-2910.0,148115,-3002,11426328,AHTI,Tähdet (w/ Behm)
44,+12,Lyttä - iltaset (w/ Tohtori Getto),3,20,,17406,-8.0,67715,17406,67715,Lyttä,iltaset (w/ Tohtori Getto)
45,+1,Bizi - Sade osuu ikkunaan,52,8,,17150,-2654.0,162560,-5119,1697747,Bizi,Sade osuu ikkunaan
46,+14,JONAS LOVV - Ya Ya Ya,4,46,,17150,-31.0,53051,17150,53051,JONAS LOVV,Ya Ya Ya
47,-7,Minttu - Everest,137,1,(x6),16595,-4089.0,145901,-2850,5468501,Minttu,Everest
48,-1,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),162,13,,16427,-3122.0,141076,-3462,3734346,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson)
49,-13,Sarah Engels - Fire,5,36,,16364,-5323.0,68376,16364,68376,Sarah Engels,Fire
50,+5,Drake - Make Them Cry,3,8,,16164,-1360.0,84855,16164,84855,Drake,Make Them Cry
51,-10,Kaija Koo - Latu on auki (w/ Isac Elliot),73,1,(x4),15928,-4512.0,143295,-4137,3168790,Kaija Koo,Latu on auki (w/ Isac Elliot)
52,-3,Essyla - Dancing on the ice,3,49,,15406,-3656.0,45713,15406,45713,Essyla,Dancing on the ice
53,-9,Sara Bee - CEO (Rich Man),31,7,,15369,-4664.0,159336,-7621,1094621,Sara Bee,CEO (Rich Man)
54,-9,Zara Larsson - Lush Life,757,5,,14954,-4913.0,133485,-4249,11912866,Zara Larsson,Lush Life
55,-2,Korelon - Vitun Inee (w/ Sliki),10,5,,14927,-2853.0,165370,-18107,293269,Korelon,Vitun Inee (w/ Sliki)
56,-8,Michael Jackson - Beat It,23,35,,14674,-4655.0,131647,-781,355636,Michael Jackson,Beat It
57,-5,Käärijä - Cha Cha Cha,928,1,(x45),14635,-3602.0,84659,6977,34655105,Käärijä,Cha Cha Cha
58,-7,Aliisa Syrjä - Sydän on rikki,177,3,(x2),14605,-3639.0,142645,-4694,5245502,Aliisa Syrjä,Sydän on rikki
59,+8,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",3,15,,14586,-1444.0,67758,14586,67758,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
60,-1,LELEK - Andromeda,3,59,,13942,-3418.0,41292,13942,41292,LELEK,Andromeda
61,+16,Drake - Janice STFU,3,27,,13891,-66.0,57280,13891,57280,Drake,Janice STFU
62,-8,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),79,19,,13653,-4111.0,133066,-5807,1607335,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
63,+18,Lavina - Kraj mene,2,63,,13507,194.0,26820,13507,26820,Lavina,Kraj mene
64,-1,KUUMAA - Ihan kohta ohi (w/ emma & matilda),108,1,(x1),13379,-3458.0,129115,-4946,3383503,KUUMAA,Ihan kohta ohi (w/ emma & matilda)
65,-3,KAJ - Bara Bada Bastu,448,1,(x42),12950,-4038.0,85345,2698,17258941,KAJ,Bara Bada Bastu
66,+4,Temper City - Self Aware,44,43,,12912,-2227.0,118226,-1604,587221,Temper City,Self Aware
67,-10,Averagekidluke - Alcoholic,158,1,(x17),12723,-4671.0,137290,-6229,5779732,Averagekidluke,Alcoholic
68,-4,Isac Elliot - Four Seasons (w/ Averagekidluke),88,3,(x2),12616,-4087.0,129809,-6339,2767647,Isac Elliot,Four Seasons (w/ Averagekidluke)
69,+9,ELLIMEI - Mun ihminen,401,2,(x4),12397,-1513.0,102489,-1487,10590412,ELLIMEI,Mun ihminen
70,+9,Drake - Whisper My Name,3,22,,12391,-1156.0,58408,12391,58408,Drake,Whisper My Name
71,+17,Dominic Fike - Babydoll,99,23,,12390,-187.0,95920,-1864,1787079,Dominic Fike,Babydoll
72,-3,Isac Elliot - Ehkä Se Siitä,472,2,(x1),12241,-2927.0,121039,-4231,14400628,Isac Elliot,Ehkä Se Siitä
73,-12,Turisti - Kui paljon,214,1,(x34),12050,-5017.0,123854,-5570,10218817,Turisti,Kui paljon
74,-1,COSMÓ - TANZSCHEIN,2,73,,11833,-3102.0,26768,11833,26768,COSMÓ,TANZSCHEIN
75,+14,Ares - Totuus sattuu (w/ pehmoaino),235,1,(x1),11827,-743.0,99655,-1516,8555698,Ares,Totuus sattuu (w/ pehmoaino)
76,-10,Isac Elliot - Best For You,172,1,(x1),11734,-4444.0,118893,-6343,7072341,Isac Elliot,Best For You
77,-2,Bizi - Se mitä ei ollut koskaan (w/ pehmoaino),52,4,,11500,-3350.0,120954,-5053,1884308,Bizi,Se mitä ei ollut koskaan (w/ pehmoaino)
78,+29,Ares - Onneks,388,1,(x19),11401,203.0,86161,538,11580319,Ares,Onneks
79,-14,Haloo Helsinki! - Voiko enkelitkin eksyä,255,3,(x1),11376,-4856.0,113136,-3805,7201256,Haloo Helsinki!,Voiko enkelitkin eksyä
80,+7,Drake - 2 Hard 4 The Radio,3,41,,11305,-1296.0,48055,11305,48055,Drake,2 Hard 4 The Radio
81,-9,Lauri Haav - Ovi kii.,31,2,(x2),11296,-3731.0,138709,-10550,1329569,Lauri Haav,Ovi kii.
82,+4,Alis - Nân,2,82,,11276,-1376.0,23928,11276,23928,Alis,Nân
83,+9,Jenni Vartiainen - Ihmisten edessä,761,41,,11100,-1071.0,89015,-315,8816385,Jenni Vartiainen,Ihmisten edessä
84,+11,AIDAN - Bella,2,84,,11099,-1034.0,23232,11099,23232,AIDAN,Bella
85,+6,william - Penelope (w/ Clever),875,1,(x139),10966,-1469.0,88944,1013,23765278,william,Penelope (w/ Clever)
86,+92,Leléka - Ridnym - Eurovision Version,2,86,,10914,2686.0,19142,10914,19142,Leléka,Ridnym - Eurovision Version
87,-11,Antti Paalanen - Takatukka,117,2,(x1),10913,-3463.0,78397,-195,3371454,Antti Paalanen,Takatukka
88,+26,Katy Perry - The One That Got Away,27,60,,10641,129.0,82952,-879,291763,Katy Perry,The One That Got Away
89,-15,Minttu - Viaton,31,14,,10621,-4289.0,128501,-7917,940226,Minttu,Viaton
90,+4,Zen Cafe - Todella kaunis,270,56,,10603,-1537.0,85791,-2071,2621874,Zen Cafe,Todella kaunis
91,+60,Bebe Rexha - New Religion (w/ Faithless),27,91,,10602,1587.0,51173,10602,230284,Bebe Rexha,New Religion (w/ Faithless)
92,+19,Lauri Haav - Toisessa elämässä,402,1,(x14),10588,-449.0,89901,-986,13486968,Lauri Haav,Toisessa elämässä
93,-8,Mirella - Timanttei,864,1,(x48),10503,-2342.0,82915,283,38900164,Mirella,Timanttei
94,+2,Isac Elliot - Vanhasta Uuteen,415,1,(x1),10459,-1669.0,86431,-1005,10429115,Isac Elliot,Vanhasta Uuteen
95,-13,Kymppilinja - Minä (w/ Mariska),682,36,,10393,-2651.0,83683,-324,6094959,Kymppilinja,Minä (w/ Mariska)
96,+8,ALICJA - Pray,2,96,,10280,-1115.0,21675,10280,21675,ALICJA,Pray
97,+1,Elokuu - Saatilla,225,37,,10140,-1596.0,84382,-3820,2579882,Elokuu,Saatilla
98,+8,Drake - Plot Twist,3,44,,10128,-1198.0,44313,10128,44313,Drake,Plot Twist
99,-9,Jukka Poika - Stand Back,108,24,,10095,-2412.0,88238,-807,2119971,Jukka Poika,Stand Back
100,-16,Isac Elliot - Makso Mitä Makso (w/ Sexmane),902,1,(x7),10073,-2855.0,93812,748,15327065,Isac Elliot,Makso Mitä Makso (w/ Sexmane)
101,+1,Drake - Dust,3,21,,10070,-1432.0,54088,10070,54088,Drake,Dust
102,-22,Cledos - Rullaa (w/ Korelon),38,2,(x2),10061,-3459.0,111179,-5041,1240238,Cledos,Rullaa (w/ Korelon)
103,-20,ibe - BLONDINA,1055,1,(x56),9979,-2982.0,81676,-691,28550135,ibe,BLONDINA
104,-33,Arttu Wiskari - Suomi Finland perkele,24,17,,9946,-5182.0,110077,-4959,523409,Arttu Wiskari,Suomi Finland perkele
105,-8,Behm - Viimeinen tanssi (w/ Olavi Uusivirta),1053,2,(x7),9832,-2223.0,76825,-87,24664675,Behm,Viimeinen tanssi (w/ Olavi Uusivirta)
106,+7,Drake - Shabang,3,36,,9702,-915.0,45338,9702,45338,Drake,Shabang
107,+3,"LOOK MUM NO COMPUTER - Eins, Zwei, Drei",2,107,,9694,-1369.0,20757,9694,20757,LOOK MUM NO COMPUTER,"Eins, Zwei, Drei"
108,-3,Zen Cafe - Aamuisin,59,33,,9545,-1822.0,80050,-1455,760808,Zen Cafe,Aamuisin
109,+3,Stella - Aamun Kuiskaus,153,62,,9521,-1113.0,75041,150,1394990,Stella,Aamun Kuiskaus
110,-1,Behm - Kaiken arvoinen,401,2,(x1),9383,-1728.0,74585,-48,9743713,Behm,Kaiken arvoinen
111,+4,Daniel Žižka - CROSSROADS,2,111,,9378,-1104.0,19860,9378,19860,Daniel Žižka,CROSSROADS
112,+13,Averagekidluke - Vihaa mua,339,1,(x3),9298,-531.0,82462,-1681,12107646,Averagekidluke,Vihaa mua
113,-5,Dingo - Levoton Tuhkimo,541,18,,9277,-1857.0,76138,-1490,6111660,Dingo,Levoton Tuhkimo
114,-14,Komiat - Kaihosielu,362,8,,9233,-2327.0,69963,633,6090284,Komiat,Kaihosielu
115,+28,Turisti - Taikuri,598,1,(x41),9185,-137.0,70926,-888,23251558,Turisti,Taikuri
116,+5,Lauri Haav - Sydän (w/ Alina Burnet),101,2,(x6),9056,-968.0,82684,-2163,2677733,Lauri Haav,Sydän (w/ Alina Burnet)
117,+6,Gettomasa - Aitous ei oo myynnissä,130,1,(x7),9001,-898.0,79060,-1464,4597073,Gettomasa,Aitous ei oo myynnissä
118,-25,"Mouhous - Räppii, Seksii & Huumeita",338,8,,8968,-3183.0,79607,-1030,8220003,Mouhous,"Räppii, Seksii & Huumeita"
119,=,Sara Bee - Luuleks (w/ Ares),378,2,(x4),8932,-1243.0,71798,8,9466581,Sara Bee,Luuleks (w/ Ares)
120,-19,Käärijä - Ja Eller Nej (w/ Basshunter),24,2,(x1),8911,-2633.0,86589,-5846,622615,Käärijä,Ja Eller Nej (w/ Basshunter)
121,-1,Isac Elliot - Vihdoinkin Täällä,87,4,,8868,-1251.0,79432,-1747,2065269,Isac Elliot,Vihdoinkin Täällä
122,-23,Komiat - Lululai,119,4,,8800,-2787.0,69092,-788,3381832,Komiat,Lululai
123,+13,louna0nline - Tahdon,113,51,,8759,-735.0,74870,-1537,1217641,louna0nline,Tahdon
124,-21,Samuell - Mummo,17,17,,8750,-2651.0,86863,-6213,316354,Samuell,Mummo
125,+43,Egotrippi - Matkustaja,1424,42,,8702,186.0,62769,928,12361397,Egotrippi,Matkustaja
126,+11,JVG - Kran Turismo (w/ Raappana),969,4,,8653,-831.0,64365,-943,10607507,JVG,Kran Turismo (w/ Raappana)
127,+44,ELLIMEI - Susta löysin kodin,198,24,,8599,130.0,62422,1289,2177123,ELLIMEI,Susta löysin kodin
128,+19,Samuli Putro - Olet puolisoni nyt,405,59,,8565,-519.0,65996,-1047,3790753,Samuli Putro,Olet puolisoni nyt
129,-3,Taylor Swift - The Fate of Ophelia,227,4,,8553,-1263.0,69630,-1651,6040358,Taylor Swift,The Fate of Ophelia
130,+22,KAUKUA - 10 000 tuntii,406,23,,8511,-476.0,64664,500,5878072,KAUKUA,10 000 tuntii
131,RE,ibe - SKYLINE,546,10,,8425,,56732,526,6075792,ibe,SKYLINE
132,+6,HIM - Join Me - Razorblade Mix,252,53,,8417,-978.0,70644,-126,2794706,HIM,Join Me - Razorblade Mix
133,+34,Pariisin Kevät - Kesäyö,872,13,,8393,-177.0,60838,165,10795254,Pariisin Kevät,Kesäyö
134,+60,emma & matilda - Viimeiset hitaat,432,22,,8388,472.0,51190,-597,5421769,emma & matilda,Viimeiset hitaat
