Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Sam Fender - Rein Me In (w/ Olivia Dean),332,1,(x25),394734,-50254.0,3118835,-36420,94516855,Sam Fender,Rein Me In (w/ Olivia Dean)
2,+2,Olivia Dean - Man I Need,276,1,(x137),385216,-49259.0,2895495,-13143,155623012,Olivia Dean,Man I Need
3,=,Michael Jackson - Billie Jean,385,3,(x3),381696,-54425.0,2648477,18567,35399754,Michael Jackson,Billie Jean
4,-2,Drake - National Treasures,3,2,(x1),334923,-103055.0,1560715,334923,1560715,Drake,National Treasures
5,+1,Bella Kay - iloveitiloveitiloveit,105,1,(x41),334032,-31284.0,2652636,-34451,48916090,Bella Kay,iloveitiloveitiloveit
6,-1,Drake - Janice STFU,3,5,,320112,-51640.0,1400208,320112,1400208,Drake,Janice STFU
7,+1,Michael Jackson - Beat It,38,5,,307489,-44233.0,2177854,3783,7371281,Michael Jackson,Beat It
8,+2,Michael Jackson - Human Nature,23,5,,301517,-27623.0,2189858,11824,5722848,Michael Jackson,Human Nature
9,NEW,DARA - Bangaranga,1,9,,277136,,277136,277136,277136,DARA,Bangaranga
10,+3,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),48,2,(x3),269961,-44281.0,2045332,-32878,14986941,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
11,+6,Dominic Fike - Babydoll,406,4,,264708,-10031.0,1859572,-12727,59894247,Dominic Fike,Babydoll
12,+4,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,32,7,,264139,-34865.0,1959085,-16223,6304122,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
13,-4,Drake - Whisper My Name,3,4,,258369,-83804.0,1376979,258369,1376979,Drake,Whisper My Name
14,-7,Drake - Make Them Cry,3,1,(x1),245046,-107887.0,1629252,245046,1629252,Drake,Make Them Cry
15,-4,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",3,5,,244926,-82381.0,1296323,244926,1296323,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
16,-4,Drake - 2 Hard 4 The Radio,3,9,,244237,-78125.0,1148726,244237,1148726,Drake,2 Hard 4 The Radio
17,-2,Drake - Shabang,3,7,,234564,-67532.0,1161698,234564,1161698,Drake,Shabang
18,+4,Olivia Dean - So Easy (To Fall In Love),234,3,(x3),234029,-20959.0,1724888,-9001,75646459,Olivia Dean,So Easy (To Fall In Love)
19,+2,Dave - Raindance (w/ Tems),206,1,(x4),222668,-34210.0,1783116,-25357,73905896,Dave,Raindance (w/ Tems)
