Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Peso Pluma - daño (w/ Tito Double P),143,1,(x73),66842,-9092.0,504562,4604,10204744,Peso Pluma,daño (w/ Tito Double P)
2,+2,BTS - SWIM,59,1,(x2),51616,-1178.0,358086,11244,3266685,BTS,SWIM
3,-1,Lenin Ramírez - Todo Lo Fue,120,1,(x1),51582,-9880.0,408638,-3957,6110957,Lenin Ramírez,Todo Lo Fue
4,+3,Neton Vega - Nalguita y Teta,39,4,,48038,-3359.0,349091,3684,1393708,Neton Vega,Nalguita y Teta
5,-2,Neton Vega - Pvta Luna,221,1,(x55),47070,-8473.0,369189,1796,12358582,Neton Vega,Pvta Luna
6,-1,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",158,2,(x3),44786,-7549.0,364307,-4271,7767050,El Bogueto,"Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)"
7,-1,Fuerza Regida - TU SANCHO,381,1,(x37),43335,-8131.0,339939,-492,18570693,Fuerza Regida,TU SANCHO
8,=,Fuerza Regida - COQUETA (w/ Grupo Frontera),512,3,(x1),41555,-6717.0,323379,-678,21444650,Fuerza Regida,COQUETA (w/ Grupo Frontera)
9,+1,LOS DOS DE TAMAULIPAS - Ayúdame,46,9,,39776,-4598.0,291777,1464,1422409,LOS DOS DE TAMAULIPAS,Ayúdame
10,+1,Peso Pluma - dopamina (w/ Tito Double P),143,1,(x24),38120,-6210.0,302621,-1700,9120037,Peso Pluma,dopamina (w/ Tito Double P)
11,-2,Tito Double P - POR SUS BESOS,311,1,(x79),37656,-7015.0,298631,545,16500095,Tito Double P,POR SUS BESOS
12,=,Herencia De Grandes - Ya Borracho,183,2,(x5),37452,-6440.0,299742,1371,9085993,Herencia De Grandes,Ya Borracho
13,+1,Oscar Maydon - Tu Boda (w/ Fuerza Regida),598,1,(x83),35562,-6018.0,281562,3380,31935747,Oscar Maydon,Tu Boda (w/ Fuerza Regida)
14,-1,Fuerza Regida - Marlboro Rojo,381,1,(x16),35133,-7319.0,276080,-1425,18801014,Fuerza Regida,Marlboro Rojo
15,+5,Fuerza Regida - EXCESOS,613,15,,32985,-3507.0,247709,3506,10709418,Fuerza Regida,EXCESOS
16,-1,Fuerza Regida - ANSIEDAD,381,3,(x1),32418,-5155.0,253038,2143,14872334,Fuerza Regida,ANSIEDAD
17,+6,Omar Camacho - 2+2 (w/ Victor Mendivil),321,5,,32207,-3529.0,248482,1007,11644704,Omar Camacho,2+2 (w/ Victor Mendivil)
18,+4,Lenin Ramírez - Polvo Rosita,25,18,,31645,-4558.0,238165,828,688461,Lenin Ramírez,Polvo Rosita
19,-2,Fuerza Regida - caperuza,316,14,,31617,-5143.0,248684,-201,7221908,Fuerza Regida,caperuza
20,+1,Junior H - Y LLORO,955,5,,31522,-4792.0,237153,5225,35740336,Junior H,Y LLORO
21,-2,"Peso Pluma - chiclona (w/ Tito Double P, LENCHO)",80,7,,31429,-5252.0,248081,-2179,3251273,Peso Pluma,"chiclona (w/ Tito Double P, LENCHO)"
22,-6,Omar Courtz - KOKO,85,8,,31120,-5735.0,244532,-135,2882345,Omar Courtz,KOKO
