Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jin - Don’t Say You Love Me,367,1,(x290),28909,-18913.0,297097,9199,20783860,Jin,Don’t Say You Love Me
2,=,Keung To - 寂寞圓舞,153,1,(x11),28101,100.0,210354,1345,4865523,Keung To,寂寞圓舞
3,=,Keung To - 你要倔強,153,1,(x2),26344,-177.0,201036,747,4847230,Keung To,你要倔強
4,=,Keung To - Boulder,152,2,(x5),25208,52.0,185183,1030,4087103,Keung To,Boulder
5,=,Keung To - Better Man,153,3,(x2),23850,-79.0,179601,699,4049455,Keung To,Better Man
6,+6,Jin - Running Wild,544,1,(x32),22662,5226.0,141098,17321,13221012,Jin,Running Wild
7,+1,V - Winter Ahead (w/ Park Hyo Shin),535,1,(x23),22455,1004.0,142366,3834,15718179,V,Winter Ahead (w/ Park Hyo Shin)
8,-2,Anson Lo 盧瀚霆 - Charisma,54,3,(x2),21617,-441.0,169063,-2380,1377475,Anson Lo 盧瀚霆,Charisma
9,-2,Anson Lo 盧瀚霆 - 本命,54,3,(x3),21488,-409.0,167408,-2386,1378983,Anson Lo 盧瀚霆,本命
10,-1,Keung To - 追愛狂想,153,6,,21407,107.0,156963,553,3583902,Keung To,追愛狂想
11,-1,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),36,1,(x5),18460,-1373.0,131887,-2644,911272,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
12,-1,Gareth.T - 用背脊唱情歌,343,1,(x17),18121,-1126.0,127990,1761,11258244,Gareth.T,用背脊唱情歌
13,+1,Anson Lo 盧瀚霆 - Gimme Gimme,174,1,(x9),17071,292.0,128434,-2388,5039194,Anson Lo 盧瀚霆,Gimme Gimme
14,-1,BABYMONSTER - CHOOM,14,9,,15296,-1541.0,123365,-3009,250497,BABYMONSTER,CHOOM
15,=,BTS - SWIM,59,1,(x9),15107,-474.0,113112,-239,1471501,BTS,SWIM
16,=,Gareth.T - 緊急聯絡人,900,3,(x2),13903,-296.0,97686,1848,15313200,Gareth.T,緊急聯絡人
17,+2,Andy Lau - 沒有翅膀的天使 (w/ Keung To),39,1,(x1),12949,43.0,96360,63,902141,Andy Lau,沒有翅膀的天使 (w/ Keung To)
18,-1,NMIXX - Heavy Serenade,7,11,,12945,-1214.0,110073,12945,110073,NMIXX,Heavy Serenade
19,-1,aespa - WDA (Whole Different Animal) (w/ G-DRAGON),7,15,,12124,-1347.0,98661,12124,98661,aespa,WDA (Whole Different Animal) (w/ G-DRAGON)
20,+4,Anson Lo 盧瀚霆 - Rude Boy,165,13,,11773,-28.0,88205,-1598,2313238,Anson Lo 盧瀚霆,Rude Boy
21,+1,CORTIS - REDRED,28,14,,11677,-322.0,88210,-1268,403475,CORTIS,REDRED
22,+10,BTS - Into the Sun,59,15,,11617,1103.0,75722,767,656507,BTS,Into the Sun
23,=,Justin Lo - 命硬,3589,14,,11455,-422.0,80601,1694,16446790,Justin Lo,命硬
24,+3,Anson Lo 盧瀚霆 - Take That,165,16,,11392,29.0,84747,-1353,2265485,Anson Lo 盧瀚霆,Take That
25,+3,Anson Lo 盧瀚霆 - 我的支持型伴侶,165,14,,11097,-54.0,82843,-1195,2423661,Anson Lo 盧瀚霆,我的支持型伴侶
26,=,陳卓賢 Ian - 那抹柔光，名為你,25,13,,10801,-777.0,87557,-896,343919,陳卓賢 Ian,那抹柔光，名為你
27,+8,V - FRI(END)S,689,5,,10671,652.0,67426,2340,8300691,V,FRI(END)S
28,-3,MC 張天賦 - 記憶棉,1669,1,(x109),10588,-1169.0,82267,353,29032031,MC 張天賦,記憶棉
