Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,BTS - SWIM,59,1,(x47),27027,2282.0,173109,5394,1710680,BTS,SWIM
2,=,Omar Courtz - KOKO,87,1,(x27),21780,-2436.0,155843,780,1946078,Omar Courtz,KOKO
3,=,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",158,1,(x9),18241,-1711.0,134111,-101,2609386,El Bogueto,"Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)"
4,=,Peso Pluma - daño (w/ Tito Double P),143,3,(x8),16595,-891.0,115369,1843,2092766,Peso Pluma,daño (w/ Tito Double P)
5,+5,Natax Beat - Piel Morena,5,5,,14743,959.0,66190,14743,66190,Natax Beat,Piel Morena
6,-1,Fuerza Regida - TU SANCHO,374,1,(x1),14191,-1579.0,102720,238,5077845,Fuerza Regida,TU SANCHO
7,-1,Fuerza Regida - COQUETA (w/ Grupo Frontera),495,1,(x1),13772,-1056.0,98291,661,6257630,Fuerza Regida,COQUETA (w/ Grupo Frontera)
8,=,Lenin Ramírez - Todo Lo Fue,113,4,,13341,-1026.0,95094,-353,1176931,Lenin Ramírez,Todo Lo Fue
9,-2,Omar Courtz - POR SI MAÑANA NO ESTOY,87,4,,13053,-1340.0,95081,1290,1170451,Omar Courtz,POR SI MAÑANA NO ESTOY
10,-1,ARIA VEGA - CHÉVERE (premium_remix) (w/ Ryan Castro),91,3,(x4),12517,-1446.0,87585,-1153,1229067,ARIA VEGA,CHÉVERE (premium_remix) (w/ Ryan Castro)
11,=,"Ryan Castro - LA VILLA (w/ Kapo, Gangsta)",154,1,(x30),12379,-1208.0,87942,-517,2475737,Ryan Castro,"LA VILLA (w/ Kapo, Gangsta)"
12,=,"El Alfa - PANTI Y COLALE 2.0 (w/ De La Ghetto, Zion, DJ Chulo NYC, El Cherry Scom, La Greña, Ronny GTA, Ezzy R)",73,6,,12047,-756.0,83351,-728,830761,El Alfa,"PANTI Y COLALE 2.0 (w/ De La Ghetto, Zion, DJ Chulo NYC, El Cherry Scom, La Greña, Ronny GTA, Ezzy R)"
13,+1,Fuerza Regida - Marlboro Rojo,378,1,(x3),10968,-1069.0,78621,312,5080097,Fuerza Regida,Marlboro Rojo
14,+1,Michael Jackson - Billie Jean,27,14,,10849,-922.0,77188,378,252277,Michael Jackson,Billie Jean
15,-2,Bad Bunny - BAILE INoLVIDABLE,498,1,(x48),10767,-1273.0,78817,124,9239209,Bad Bunny,BAILE INoLVIDABLE
