Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Ifan Seventeen - Jangan Paksa Rindu - Beda,112,1,(x26),1417844,30929.0,9796446,-112900,101539618,Ifan Seventeen,Jangan Paksa Rindu - Beda
2,+2,eńau - Sesi Potret (w/ Ari Lesmana),88,2,(x2),1219397,40063.0,7974194,133064,46708809,eńau,Sesi Potret (w/ Ari Lesmana)
3,+3,Sal Priadi - Ada titik-titik di ujung doa,139,1,(x11),1175091,78129.0,8064568,-104314,129469213,Sal Priadi,Ada titik-titik di ujung doa
4,+1,Piche Kota - Bahagia Lagi,140,1,(x2),1130192,-891.0,7860963,-91176,156629741,Piche Kota,Bahagia Lagi
5,-2,Raim Laode - Bersenja Gurau,179,3,(x13),1076341,-120167.0,7078487,16996,133277721,Raim Laode,Bersenja Gurau
6,+1,Nadhif Basalamah - kota ini tak sama tanpamu,173,1,(x63),1070550,-4537.0,7511047,-115549,219025849,Nadhif Basalamah,kota ini tak sama tanpamu
7,+1,Hindia - everything u are,440,1,(x1),1051821,-20538.0,7309628,-57245,369177373,Hindia,everything u are
8,-6,Raim Laode - Iqro',74,2,(x1),1019369,-189454.0,6906001,31758,43148579,Raim Laode,Iqro'
9,+1,Nadhif Basalamah - bergema sampai selamanya,425,2,(x12),910920,42652.0,6110199,-45185,390249316,Nadhif Basalamah,bergema sampai selamanya
10,-1,Idgitaf - Sedia Aku Sebelum Hujan,213,1,(x66),875526,-18654.0,5875794,29864,269168074,Idgitaf,Sedia Aku Sebelum Hujan
11,=,Pamungkas - Monolog,2228,1,(x61),800782,20785.0,5469093,-8257,611610192,Pamungkas,Monolog
12,+1,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),58,10,,732201,10705.0,5130040,-91420,28644538,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
13,+2,Perunggu - Ini Abadi,112,13,,722965,22192.0,4947745,-4161,41989920,Perunggu,Ini Abadi
14,=,.Feast - Nina,630,1,(x25),712647,8081.0,4737545,-2645,498789380,.Feast,Nina
15,+2,Katy Perry - The One That Got Away,101,15,,698454,38254.0,4509290,56318,32204800,Katy Perry,The One That Got Away
16,=,.Feast - Tarot,499,1,(x11),683956,23064.0,4712011,-32591,330697098,.Feast,Tarot
17,+1,Backstreet Boys - Shape of My Heart,71,15,,674282,22636.0,4536136,9286,31386930,Backstreet Boys,Shape of My Heart
18,-6,Raim Laode - Lesung Pipi,407,2,(x79),654656,-71206.0,4457514,-18234,375278891,Raim Laode,Lesung Pipi
19,+3,Perunggu - 33x,272,8,,629420,17078.0,4367350,-31767,127848802,Perunggu,33x
20,-1,Hindia - Cincin,1042,5,,627067,-4677.0,4444335,-46844,459675502,Hindia,Cincin
21,+3,Tulus - Monokrom,3442,11,,626840,27870.0,4193445,12914,621145681,Tulus,Monokrom
22,+8,Anggis Devaki - Dirimu Yang Dulu,195,7,,612847,66178.0,4003283,33739,100487209,Anggis Devaki,Dirimu Yang Dulu
23,+2,"Nuca - Masa ini, Nanti, dan Masa Indah Lainnya",81,23,,611656,37384.0,4042552,9699,34628312,Nuca,"Masa ini, Nanti, dan Masa Indah Lainnya"
24,-1,Justin Bieber - That Should Be Me,50,21,,608366,6152.0,4156329,-29594,18993842,Justin Bieber,That Should Be Me
25,+3,Sal Priadi - Kita usahakan rumah itu,472,14,,606141,38623.0,4101008,-24332,181176760,Sal Priadi,Kita usahakan rumah itu
26,=,For Revenge - Serana,1464,1,(x20),588303,15567.0,4043915,-54147,743239075,For Revenge,Serana
27,=,Bruno Mars - Risk It All,78,8,,576858,6979.0,4118229,-89643,59457439,Bruno Mars,Risk It All
28,+3,Nadin Amizah - Bertaut,2180,1,(x40),574802,38002.0,3776549,130,674947578,Nadin Amizah,Bertaut
29,+4,Virgoun - Selamat (Selamat Tinggal) (w/ Audy),2489,6,,571830,43967.0,3707514,39154,617391967,Virgoun,Selamat (Selamat Tinggal) (w/ Audy)
30,-1,Sheila On 7 - Dan...,3200,5,,562087,7458.0,3770254,57636,409732355,Sheila On 7,Dan...
31,+1,Nadhif Basalamah - penjaga hati,957,1,(x151),559612,28316.0,3740234,16338,546365068,Nadhif Basalamah,penjaga hati
32,-11,Fourtwnty - Mangu (w/ Charita Utami),455,1,(x88),553408,-65326.0,4063289,-27123,419902112,Fourtwnty,Mangu (w/ Charita Utami)
33,-13,Hindia - Rumah Ke Rumah,2361,6,,541636,-82462.0,4282288,-128239,678580216,Hindia,Rumah Ke Rumah
34,+3,Nidji - Rahasia Hati,704,28,,535855,43926.0,3416233,7818,267199677,Nidji,Rahasia Hati
35,=,Ghea Indrawari - 1000X,45,35,,528620,32171.0,3368764,46798,14705683,Ghea Indrawari,1000X
36,-2,Batas Senja - Nanti Kita Seperti Ini,1109,3,(x25),520120,18715.0,3474886,-15855,485516177,Batas Senja,Nanti Kita Seperti Ini
37,-1,Aku Jeje - Lihat Kebunku (Taman Bunga),235,8,,516887,23037.0,3487598,-35839,112669212,Aku Jeje,Lihat Kebunku (Taman Bunga)
38,=,Astrid - Terpukau,37,38,,506758,20175.0,2908013,204007,5486123,Astrid,Terpukau
39,=,Tulus - Hati-Hati di Jalan,1537,1,(x89),484298,8148.0,3256609,-5340,495782475,Tulus,Hati-Hati di Jalan
40,=,Dewa 19 - Aku Milikmu,876,16,,483158,25494.0,3090693,-9050,217937073,Dewa 19,Aku Milikmu
41,=,The 1975 - About You,1261,20,,465887,27984.0,3043644,19714,353775693,The 1975,About You
42,+5,Feby Putri - Runtuh (w/ Fiersa Besari),1681,1,(x4),447248,40405.0,2919985,57869,713168361,Feby Putri,Runtuh (w/ Fiersa Besari)
