Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Noam Bettan - Michelle (w/ כאן - תאגיד השידור הישראלי),74,1,(x4),186223,97108.0,640510,148425,3491232,Noam Bettan,Michelle (w/ כאן - תאגיד השידור הישראלי)
2,=,Osher Cohen - כולם גנבים,91,1,(x80),83200,21961.0,563159,-3300,7682438,Osher Cohen,כולם גנבים
3,+150,DARA - Bangaranga,2,3,(x1),61641,54684.0,68598,61641,68598,DARA,Bangaranga
4,NEW,Odeya - עשר רמות מעליו,1,4,,49248,,49248,49248,49248,Odeya,עשר רמות מעליו
5,-2,Omer Adam - תקופה חרא,88,2,(x8),40753,11022.0,272654,-3403,3565132,Omer Adam,תקופה חרא
6,-2,Omer Adam - מלכת הדור,342,1,(x149),40166,11514.0,248490,10073,20027820,Omer Adam,מלכת הדור
7,=,Ben Zur - אהבת השם,83,2,(x49),39625,14133.0,280326,-7013,4032920,Ben Zur,אהבת השם
8,+4,Omer Adam - בן 32,88,2,(x1),38935,15373.0,230655,3325,3419222,Omer Adam,בן 32
9,+5,Peer Tasi - הלוואי (w/ Hanan Ben Ari),44,4,,35989,13368.0,227070,2373,1298569,Peer Tasi,הלוואי (w/ Hanan Ben Ari)
10,+11,Noam Bettan - מדאם,183,2,(x8),35325,16385.0,179116,17256,4900568,Noam Bettan,מדאם
11,-1,Eden Ben Zaken - רולקס וקסקט,132,1,(x36),35270,11439.0,231120,1895,5174026,Eden Ben Zaken,רולקס וקסקט
12,+3,Shuli Rand - לב לבן,84,7,,34329,12334.0,219006,1588,1877696,Shuli Rand,לב לבן
13,NEW,Odeya - השם יעזור,1,13,,33722,,33722,33722,33722,Odeya,השם יעזור
14,-5,Omer Adam - השיר שאת אהבת,342,1,(x1),32945,8859.0,207575,431,16270607,Omer Adam,השיר שאת אהבת
15,-2,Omer Adam - ריו דה ז'נרו,88,3,(x1),31826,8828.0,220393,-32,2112595,Omer Adam,ריו דה ז'נרו
16,NEW,Odeya - לא תיקח לי את האושר,1,16,,31246,,31246,31246,31246,Odeya,לא תיקח לי את האושר
17,-9,Temper City - Self Aware,44,3,(x1),30882,6633.0,212508,-2475,1202154,Temper City,Self Aware
18,-1,נדב חנציס - אם את כבר הולכת,363,1,(x26),30449,9790.0,202067,379,17781054,נדב חנציס,אם את כבר הולכת
19,-13,Dudu Tassa - בית ביפו,36,6,,29875,4227.0,195865,192,659227,Dudu Tassa,בית ביפו
20,-2,Itay Levi - 03,47,14,,29128,8806.0,184567,-993,985597,Itay Levi,03
21,+5,Peer Tasi - עוף מוזר,315,1,(x20),28904,11362.0,179001,-620,10074462,Peer Tasi,עוף מוזר
22,+12,Noam Bettan - בובה,660,10,,28742,13284.0,117970,17945,6795555,Noam Bettan,בובה
23,-12,Dominic Fike - Babydoll,120,2,(x1),28696,4936.0,199645,-2175,2686859,Dominic Fike,Babydoll
24,+1,נדב חנציס - אהבה ראשונה,102,7,,27929,10298.0,194842,-4013,2760833,נדב חנציס,אהבה ראשונה
25,-5,Full Trunk - אין מילים איתך,121,14,,27767,8755.0,182274,1837,2595909,Full Trunk,אין מילים איתך
26,-21,Jung Kook - Seven (w/ Latto),516,4,,27475,1443.0,167256,8953,7347450,Jung Kook,Seven (w/ Latto)
27,NEW,Odeya - אתה ער,1,27,,26988,,26988,26988,26988,Odeya,אתה ער
28,NEW,Odeya - דובאי (w/ Gal Adam),1,28,,26773,,26773,26773,26773,Odeya,דובאי (w/ Gal Adam)
29,-10,Omer Adam - משפחה וכבוד,88,1,(x4),26723,6760.0,167106,459,3283316,Omer Adam,משפחה וכבוד
30,-8,Osher Cohen - אל תעשי לו צרות,361,5,,26282,7463.0,172206,1542,8347136,Osher Cohen,אל תעשי לו צרות
31,+18,Ben Zur - כל עכבה לטובה,329,5,,25129,12379.0,150912,2104,9208993,Ben Zur,כל עכבה לטובה
32,-4,Odeya - ואן דאם,225,1,(x37),24423,7430.0,163964,-313,8717137,Odeya,ואן דאם
33,NEW,Odeya - דיזנגוף 99,1,33,,24124,,24124,24124,24124,Odeya,דיזנגוף 99
34,NEW,Odeya - בוקר טוב אהבה שלי (w/ Shir Koren),1,34,,24073,,24073,24073,24073,Odeya,בוקר טוב אהבה שלי (w/ Shir Koren)
