Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Samurai Jay - OSSESSIONE,82,1,(x78),309719,-68918.0,2294548,533,47556953,Samurai Jay,OSSESSIONE
2,=,Shiva - Bad Bad Bad (w/ Geolier),38,1,(x1),249191,-62168.0,1890654,17706,12206630,Shiva,Bad Bad Bad (w/ Geolier)
3,=,Shiva - Obsessed (w/ ANNA),38,2,(x14),232076,-78030.0,1936109,-2731,11912731,Shiva,Obsessed (w/ ANNA)
4,+1,"Fred De Palma - LA TESTA GIRA (w/ Anitta, Emis Killa)",52,4,,195601,-36299.0,1387328,19880,7997393,Fred De Palma,"LA TESTA GIRA (w/ Anitta, Emis Killa)"
5,-1,Geolier - CANZONE D'AMORE,122,3,(x3),191917,-46695.0,1485260,3476,26093440,Geolier,CANZONE D'AMORE
6,+2,Pinguini Tattici Nucleari - Sorry Scusa Lo Siento,3,2,(x1),179662,-37220.0,726816,179662,726816,Pinguini Tattici Nucleari,Sorry Scusa Lo Siento
7,-1,Shiva - Babyface (w/ Kid Yugi),38,2,(x2),170697,-57462.0,1420661,703,9726325,Shiva,Babyface (w/ Kid Yugi)
8,+7,Sal Da Vinci - Per sempre sì,82,1,(x1),164388,-5163.0,948493,51683,21331337,Sal Da Vinci,Per sempre sì
9,-2,Artie 5ive - DAVVERODAVVERO,156,2,(x6),163346,-54915.0,1311888,-677,23192965,Artie 5ive,DAVVERODAVVERO
10,=,Michael Jackson - Billie Jean,35,8,,160849,-44494.0,1219906,570,4349072,Michael Jackson,Billie Jean
11,NEW,DARA - Bangaranga,1,11,,157183,,157183,157183,157183,DARA,Bangaranga
12,-3,Artie 5ive - SWAG MUSIC,3,5,,157165,-54868.0,655520,157165,655520,Artie 5ive,SWAG MUSIC
13,-2,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),36,3,(x2),152403,-41116.0,1175759,-4573,8315893,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
14,-2,"Geolier - 2 GIORNI DI FILA (w/ Sfera Ebbasta, ANNA)",122,1,(x14),151062,-30080.0,1153312,9391,27899972,Geolier,"2 GIORNI DI FILA (w/ Sfera Ebbasta, ANNA)"
15,-1,Michael Jackson - Beat It,25,14,,136218,-35902.0,1046112,-1434,3345190,Michael Jackson,Beat It
16,+2,Fulminacci - Stupida sfortuna,82,3,(x1),134531,-24549.0,1020109,15388,19787856,Fulminacci,Stupida sfortuna
17,-4,Shiva - Spie,38,2,(x1),133781,-43777.0,1141022,-9490,8757325,Shiva,Spie
18,-1,"Sayf - TU MI PIACI TANTO (w/ Dibla, Jiz)",10,9,,133345,-25946.0,1010396,-18613,1562368,Sayf,"TU MI PIACI TANTO (w/ Dibla, Jiz)"
19,+3,Achille Lauro - AMOR,395,5,,132008,-22602.0,940966,23159,65081112,Achille Lauro,AMOR
20,-4,"Shiva - Mayday (w/ Lazza, Sfera Ebbasta)",38,5,,130508,-38720.0,1088536,17,7970317,Shiva,"Mayday (w/ Lazza, Sfera Ebbasta)"
21,-2,Luchè - Labirinto,82,3,(x1),129779,-29001.0,1041428,-9060,19876043,Luchè,Labirinto
22,-2,Tommaso Paradiso - I romantici,82,9,,127609,-30192.0,1001795,-2389,15404821,Tommaso Paradiso,I romantici
23,=,Sfera Ebbasta - Giovani Re,140,9,,124808,-28818.0,915355,8834,16987456,Sfera Ebbasta,Giovani Re
24,+1,"Serena Brancale - AL MIO PAESE (w/ Levante, DELIA)",45,22,,123081,-23820.0,903522,9235,5646904,Serena Brancale,"AL MIO PAESE (w/ Levante, DELIA)"
25,+3,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",412,1,(x13),113732,-24825.0,832111,14262,82684605,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
26,-2,Dipinto - Via dei Mille (w/ Fresh Beatz),66,4,,113337,-36353.0,875605,-12598,11684763,Dipinto,Via dei Mille (w/ Fresh Beatz)
27,+8,Olly - Questa domenica (w/ Juli),263,1,(x38),113135,-15957.0,873132,3437,56211118,Olly,Questa domenica (w/ Juli)
28,+5,Bresh - Da Dio,3,18,,113053,-18712.0,410270,113053,410270,Bresh,Da Dio
29,-3,Shiva - V per Vangelo,38,1,(x1),112384,-34438.0,964112,-9174,7469106,Shiva,V per Vangelo
30,-3,Mauvais djo - Maladie,11,27,,111291,-29470.0,805651,40631,1114948,Mauvais djo,Maladie
31,=,Bad Bunny - DtMF,495,1,(x24),108929,-23207.0,814024,9285,83155317,Bad Bunny,DtMF
32,-11,Tiziano Ferro - XXDONO (w/ Lazza),3,6,,108924,-48391.0,519535,108924,519535,Tiziano Ferro,XXDONO (w/ Lazza)
33,-1,Ernia - BERLINO,229,13,,108638,-23239.0,872594,388,23066046,Ernia,BERLINO
34,-5,Juli - Cantilene (w/ Olly),24,5,,107549,-29006.0,935908,-9258,4310531,Juli,Cantilene (w/ Olly)
35,+1,Juli - Serenamente (w/ Bresh),24,5,,103824,-25128.0,879766,-5245,3991967,Juli,Serenamente (w/ Bresh)
36,+2,Emma - L'Amore Non Mi Basta,352,1,(x14),103368,-18298.0,797266,2502,31161689,Emma,L'Amore Non Mi Basta
37,=,Sfera Ebbasta - NEON (w/ Shiva),402,1,(x26),102691,-24971.0,802509,-1797,82930566,Sfera Ebbasta,NEON (w/ Shiva)
38,-8,Shiva - Polvere Rosa,38,4,,101398,-32919.0,897564,-10076,7050885,Shiva,Polvere Rosa
39,=,Bad Bunny - NUEVAYoL,497,2,(x11),97135,-22720.0,733027,5119,67963713,Bad Bunny,NUEVAYoL
40,+2,Ditonellapiaga - Che fastidio!,82,3,(x12),96067,-20031.0,717908,3379,20932057,Ditonellapiaga,Che fastidio!
41,+2,Achille Lauro - Perdutamente,164,12,,95950,-16506.0,734004,8206,19820162,Achille Lauro,Perdutamente
42,-8,Shiva - Peccati,38,7,,95658,-34066.0,851449,-11173,6593924,Shiva,Peccati
43,-2,Madame - VOLEVO CAPIRE CON MARRACASH (w/ Marracash),31,12,,95463,-20879.0,801956,-2403,4544742,Madame,VOLEVO CAPIRE CON MARRACASH (w/ Marracash)
44,+4,Annalisa - Esibizionista,220,9,,93452,-16208.0,662145,18028,22472761,Annalisa,Esibizionista
45,+4,Marracash - Niente Canzoni D'Amore - Inedito (w/ Federica Abbate),802,8,,92979,-16080.0,763156,-6065,36794901,Marracash,Niente Canzoni D'Amore - Inedito (w/ Federica Abbate)
46,-6,LDA - Poesie Clandestine (w/ Aka 7even),82,5,,92459,-24559.0,736608,-3565,18341545,LDA,Poesie Clandestine (w/ Aka 7even)
47,=,ANOTR - Talk To You (w/ 54 Ultra),73,32,,90838,-19187.0,647413,11925,6574617,ANOTR,Talk To You (w/ 54 Ultra)
48,+4,Dominic Fike - Babydoll,92,18,,90406,-15333.0,701674,-1898,9600635,Dominic Fike,Babydoll
49,-4,Samurai Jay - Halo (w/ Vito Salamanca),307,3,(x11),89206,-22294.0,718269,-5260,44910249,Samurai Jay,Halo (w/ Vito Salamanca)
50,-4,Geolier - ARCOBALENO (w/ Anuel AA),122,2,(x3),87058,-23081.0,691450,-3542,17282203,Geolier,ARCOBALENO (w/ Anuel AA)
51,+3,Coez - La musica non c'è,2118,1,(x76),86828,-15840.0,635442,3618,162234818,Coez,La musica non c'è
52,-2,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,22,40,,85789,-22229.0,685426,-5745,2024416,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
