Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Stormy - PER LA VITA,11,1,(x10),78400,-7123.0,615595,-15218,910943,Stormy,PER LA VITA
2,=,Najm - GHALAT (w/ ElGrandeToto),10,2,(x9),62827,-153.0,424521,17874,571605,Najm,GHALAT (w/ ElGrandeToto)
3,=,Figoshin - Zone De Confort,25,1,(x14),36327,-2248.0,274480,-6341,1369542,Figoshin,Zone De Confort
4,=,Stormy - MOON,824,1,(x104),34486,-557.0,220735,6795,17614445,Stormy,MOON
5,=,Shaw - AKHI,345,2,(x7),30470,-305.0,205433,1243,2580490,Shaw,AKHI
6,+1,Inkonnu - WARDA (w/ Manal),56,1,(x25),27542,21.0,185897,2127,2554939,Inkonnu,WARDA (w/ Manal)
7,-1,Amine Farsi - Bali maak (w/ Stormy),206,1,(x44),27384,-2370.0,186254,1900,7838237,Amine Farsi,Bali maak (w/ Stormy)
8,=,"OldyGotTheSound - TAF TAF (w/ Anys, Shaw)",352,1,(x10),27185,127.0,169125,2859,12140195,OldyGotTheSound,"TAF TAF (w/ Anys, Shaw)"
9,=,Manal - KATANA (w/ Stormy),38,1,(x5),23498,-1530.0,169402,1653,1206129,Manal,KATANA (w/ Stormy)
10,+1,Shaw - DAZOU LYAM,326,3,(x6),23203,225.0,150898,2447,6500536,Shaw,DAZOU LYAM
11,-1,Manal - KALIMAT,59,1,(x4),22801,-850.0,148576,1942,2171024,Manal,KALIMAT
12,+2,Stormy - CHANEL,38,1,(x1),20750,-1142.0,155930,-825,1218031,Stormy,CHANEL
13,+6,Anys - Si tu savais (w/ Stormy),2074,1,(x1),20648,-523.0,126725,4591,15097443,Anys,Si tu savais (w/ Stormy)
14,-2,Gustavo 51 - Dorororo,150,1,(x22),20572,-1735.0,146159,-170,4360125,Gustavo 51,Dorororo
15,+5,Shaw - WALLAHI,493,1,(x12),20230,-537.0,132937,688,11158477,Shaw,WALLAHI
16,+6,"Bayadis - NGHAMER (w/ Manal, Shaw)",206,3,(x2),19699,-325.0,128657,1881,5256673,Bayadis,"NGHAMER (w/ Manal, Shaw)"
17,-2,Cheba Souad - Twehachtek Grave (w/ Hichem Smati),20,3,(x2),19459,-2419.0,149697,-6361,499186,Cheba Souad,Twehachtek Grave (w/ Hichem Smati)
18,+5,Inkonnu - TJENENY (w/ Draganov),52,2,(x1),18387,-1575.0,131841,953,1603550,Inkonnu,TJENENY (w/ Draganov)
19,+5,Stormy - SO HIGH,829,7,,17908,-408.0,118755,3434,9416568,Stormy,SO HIGH
20,+7,Najm - RIRI&ROCKY (w/ Manal),304,6,,17856,239.0,116144,2954,5935348,Najm,RIRI&ROCKY (w/ Manal)
21,-3,Drake - Janice STFU,3,9,,17683,-3887.0,68918,17683,68918,Drake,Janice STFU
22,+4,Stormy - Mizane (w/ Inkonnu),1814,4,,17411,-265.0,116612,796,16006274,Stormy,Mizane (w/ Inkonnu)
23,+7,Bo9al - Action (w/ Dollypran),58,3,(x3),16836,-28.0,116486,287,1252796,Bo9al,Action (w/ Dollypran)
24,+7,Draganov - 3DABI,1033,1,(x80),16584,-275.0,108425,-844,22997201,Draganov,3DABI
25,-8,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",3,5,,16461,-5222.0,71727,16461,71727,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
26,-10,Drake - Whisper My Name,3,7,,16386,-5422.0,71539,16386,71539,Drake,Whisper My Name
27,-6,Drake - National Treasures,3,12,,15883,-4639.0,62849,15883,62849,Drake,National Treasures
28,+10,ONZY - Nsak?,45,4,,15418,-560.0,114319,-623,1031683,ONZY,Nsak?
29,-1,Inkonnu - DFN,52,4,,15302,-2120.0,115212,987,1287620,Inkonnu,DFN
30,+2,Michael Jackson - Billie Jean,24,30,,15243,-1286.0,100158,2347,274308,Michael Jackson,Billie Jean
31,+3,Draganov - Tsswirtek,234,4,,15043,-1316.0,101293,1263,3651903,Draganov,Tsswirtek
32,+10,Draganov - BON COURAGE,325,1,(x19),14988,165.0,101138,279,7891551,Draganov,BON COURAGE
33,-20,Drake - Make Them Cry,3,3,(x1),14792,-7166.0,79021,14792,79021,Drake,Make Them Cry
34,-1,Draganov - Tach,269,1,(x29),14724,-1797.0,99188,592,7470590,Draganov,Tach
35,+10,ElGrandeToto - STALINE,598,1,(x13),14399,146.0,98453,1442,13934623,ElGrandeToto,STALINE
36,-1,ElGrandeToto - BLUE LOVE,885,1,(x45),13872,-2416.0,97026,297,21782855,ElGrandeToto,BLUE LOVE
37,+9,ElGrandeToto - DIPLOMATICO,573,1,(x32),13782,-364.0,88328,3037,15851070,ElGrandeToto,DIPLOMATICO
38,+6,Dave - Raindance (w/ Tems),155,3,(x5),13671,-601.0,91682,246,2780683,Dave,Raindance (w/ Tems)
39,+23,LFERDA - Ma Jolie,1130,7,,13585,2555.0,75495,1171,10207899,LFERDA,Ma Jolie
40,-11,Drake - Shabang,3,16,,12972,-3995.0,54380,12972,54380,Drake,Shabang
41,+2,Draganov - Ghalta,31,9,,12871,-1530.0,110150,-2437,632148,Draganov,Ghalta
42,+9,Figoshin - Lalla w Mali,647,1,(x4),12510,-24.0,85182,-1492,12260981,Figoshin,Lalla w Mali
43,-18,Drake - Dust,3,6,,12434,-5731.0,64023,12434,64023,Drake,Dust
