Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),332,1,(x13),99545,-6146.0,665688,-8222,9003970,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
2,=,Bruno Mars - Risk It All,80,1,(x60),97360,-4396.0,666078,-9649,11109654,Bruno Mars,Risk It All
3,=,Katy Perry - The One That Got Away,213,3,(x2),96184,2211.0,569861,17802,5692995,Katy Perry,The One That Got Away
4,=,Piche Kota - Bahagia Lagi,113,2,(x6),91149,-1233.0,588840,2046,8196759,Piche Kota,Bahagia Lagi
5,=,Raim Laode - Iqro',41,5,,77770,-6156.0,476926,8433,1814171,Raim Laode,Iqro'
6,=,Ifan Seventeen - Jangan Paksa Rindu - Beda,78,5,,74730,1143.0,496075,-913,3409887,Ifan Seventeen,Jangan Paksa Rindu - Beda
7,+1,Sal Priadi - Ada titik-titik di ujung doa,95,5,,71514,2889.0,462869,-3140,5310100,Sal Priadi,Ada titik-titik di ujung doa
8,-1,Nadhif Basalamah - kota ini tak sama tanpamu,158,1,(x37),67715,-1866.0,458250,-5764,12545356,Nadhif Basalamah,kota ini tak sama tanpamu
9,+1,Nadhif Basalamah - bergema sampai selamanya,442,3,(x48),65114,26.0,427181,-1601,28060727,Nadhif Basalamah,bergema sampai selamanya
10,-1,Justin Bieber - That Should Be Me,35,4,,62668,-3729.0,407026,-1051,2280153,Justin Bieber,That Should Be Me
11,+1,"Nuca - Masa ini, Nanti, dan Masa Indah Lainnya",117,9,,58759,804.0,388477,-866,5038934,Nuca,"Masa ini, Nanti, dan Masa Indah Lainnya"
12,-1,Adira Suhaimi - Sayang Orang Sama,59,5,,56778,-1479.0,388150,-1116,3422145,Adira Suhaimi,Sayang Orang Sama
13,+1,CORTIS - REDRED,28,8,,50637,-850.0,352263,-3852,1370195,CORTIS,REDRED
14,-1,Mojo - Romancinta,117,6,,49687,-4063.0,338032,-634,4416452,Mojo,Romancinta
15,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),640,1,(x91),47949,-348.0,331584,-393,54737512,Lady Gaga,Die With A Smile (w/ Bruno Mars)
16,+1,Idgitaf - Sedia Aku Sebelum Hujan,168,1,(x16),45508,-1258.0,295973,2724,11444906,Idgitaf,Sedia Aku Sebelum Hujan
17,-1,sombr - back to friends,419,2,(x1),45398,-1740.0,314534,-1997,26308530,sombr,back to friends
18,=,Billie Eilish - WILDFLOWER,731,4,,44526,-1710.0,303598,1386,40887389,Billie Eilish,WILDFLOWER
19,+1,BTS - SWIM,59,2,(x4),42887,-519.0,321027,-3384,4183119,BTS,SWIM
20,+4,Taylor Swift - The Fate of Ophelia,227,1,(x26),42832,359.0,289705,210,15024373,Taylor Swift,The Fate of Ophelia
21,+2,Nadhif Basalamah - penjaga hati,948,1,(x96),42826,119.0,281387,2654,47723788,Nadhif Basalamah,penjaga hati
22,+10,Hafiz Suip - Bahagiamu Deritaku,340,11,,42311,2911.0,249905,5810,11049341,Hafiz Suip,Bahagiamu Deritaku
23,-1,SIENNA SPIRO - Die On This Hill,160,1,(x3),41359,-1623.0,287970,-1744,9371865,SIENNA SPIRO,Die On This Hill
24,-3,Ravyn Lenae - Love Me Not,390,19,,40977,-2041.0,280013,-2328,11755407,Ravyn Lenae,Love Me Not
25,+1,Billie Eilish - BIRDS OF A FEATHER,731,1,(x60),40885,-1169.0,283528,-1195,54478257,Billie Eilish,BIRDS OF A FEATHER
26,+3,Olivia Rodrigo - drop dead,31,11,,40283,-92.0,293710,-2231,1518459,Olivia Rodrigo,drop dead
27,-8,Fourtwnty - Mangu (w/ Charita Utami),395,1,(x23),39963,-3822.0,282110,-838,23746054,Fourtwnty,Mangu (w/ Charita Utami)
28,+2,Bruno Mars - Locked out of Heaven,727,26,,39957,-36.0,266576,991,14488363,Bruno Mars,Locked out of Heaven
29,+13,Daniel Caesar - Who Knows,201,15,,38466,3726.0,238155,-129,7795474,Daniel Caesar,Who Knows
30,-5,Michael Jackson - Billie Jean,23,25,,38425,-3870.0,264483,-1426,786662,Michael Jackson,Billie Jean
31,-3,Justin Bieber - Baby (w/ Ludacris),74,4,,38353,-2470.0,267467,-7113,2368194,Justin Bieber,Baby (w/ Ludacris)
32,-1,BABYMONSTER - CHOOM,14,18,,37737,-1702.0,279256,-3671,565067,BABYMONSTER,CHOOM
33,+2,Hyper Act - Hanya Aku,919,8,,37387,-239.0,241353,2507,29121242,Hyper Act,Hanya Aku
34,-1,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),80,17,,37089,-648.0,254198,-469,2552919,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
35,+2,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",1060,1,(x9),36543,-637.0,251576,5009,52258207,The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)"
36,=,Dominic Fike - Babydoll,75,19,,36016,-1591.0,237013,-2675,2664867,Dominic Fike,Babydoll
37,-3,Justin Bieber - Confident - Single Version (w/ Chance the Rapper),401,14,,36009,-1642.0,246556,-1172,8539238,Justin Bieber,Confident - Single Version (w/ Chance the Rapper)
38,-11,Sean Kingston - Eenie Meenie (w/ Justin Bieber),237,3,(x1),36005,-4841.0,257217,-4661,5787044,Sean Kingston,Eenie Meenie (w/ Justin Bieber)
39,+7,Malcolm Todd - Earrings,42,39,,34813,361.0,223585,1418,1104826,Malcolm Todd,Earrings
40,-2,Dave - Raindance (w/ Tems),127,14,,34758,-2266.0,247073,-3912,4677133,Dave,Raindance (w/ Tems)
41,+7,Justin Bieber - DAISIES,222,10,,34638,360.0,240070,-3386,7566778,Justin Bieber,DAISIES
42,-3,dia - MALU MALU (w/ INDAHKUS),77,11,,34618,-1376.0,230587,-2539,3160555,dia,MALU MALU (w/ INDAHKUS)
43,+9,Pamungkas - Monolog,312,23,,33639,231.0,210831,7619,9405769,Pamungkas,Monolog
44,-1,Djo - End of Beginning,741,2,(x15),32578,-2093.0,234437,-3614,31027587,Djo,End of Beginning
45,-1,Charlie Puth - We Don't Talk Anymore (w/ Selena Gomez),2297,4,,32424,-2159.0,226463,-624,34469934,Charlie Puth,We Don't Talk Anymore (w/ Selena Gomez)
