Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+1,Natax Beat - Piel Morena,5,1,(x3),17020,-947.0,117024,17020,117024,Natax Beat,Piel Morena
2,-1,Omar Courtz - KOKO,87,1,(x47),16997,-2161.0,125106,90,1629932,Omar Courtz,KOKO
3,=,BTS - SWIM,59,1,(x21),14553,-1362.0,108558,852,1191625,BTS,SWIM
4,=,ARIA VEGA - CHÉVERE (premium_remix) (w/ Ryan Castro),94,2,(x1),12261,-1800.0,86888,-504,1257964,ARIA VEGA,CHÉVERE (premium_remix) (w/ Ryan Castro)
5,=,Omar Courtz - POR SI MAÑANA NO ESTOY,87,1,(x2),11589,-1559.0,89178,-2,1217440,Omar Courtz,POR SI MAÑANA NO ESTOY
6,=,Mr Plata - Las Muñequitas (w/ El Americano 4KT),111,2,(x3),11275,-1316.0,80203,-977,1352638,Mr Plata,Las Muñequitas (w/ El Americano 4KT)
7,=,"Ryan Castro - LA VILLA (w/ Kapo, Gangsta)",157,1,(x33),10435,-922.0,72540,100,2250450,Ryan Castro,"LA VILLA (w/ Kapo, Gangsta)"
8,=,Huan62 - Skokka,49,6,,9974,-1376.0,74667,-484,350422,Huan62,Skokka
9,=,Omar Courtz - WO OH OH (w/ ROA),87,2,(x4),9834,-1318.0,76202,-211,1080159,Omar Courtz,WO OH OH (w/ ROA)
10,=,Lil Naay - UNA BABY EN SANTIAGO,88,8,,9508,-1169.0,69063,-150,596148,Lil Naay,UNA BABY EN SANTIAGO
11,=,Boza - orióN (w/ ELENA ROSE),389,5,,8782,-1387.0,62873,380,3792661,Boza,orióN (w/ ELENA ROSE)
12,+1,Andiex - Fala Fala,103,1,(x23),8451,-724.0,55745,129,1453800,Andiex,Fala Fala
13,-1,Omar Courtz - L a k e n o s h i,87,6,,8429,-1522.0,65279,-60,791006,Omar Courtz,L a k e n o s h i
14,+1,"Andiex - CHARLYZA (w/ Kbchappo, Don Pablo Mures)",58,6,,7969,-801.0,54181,-263,573198,Andiex,"CHARLYZA (w/ Kbchappo, Don Pablo Mures)"
15,-1,Beéle - no tiene sentido,367,1,(x21),7803,-1017.0,53751,614,5271500,Beéle,no tiene sentido
16,+9,Dariel J - Cuerpo Natural,14,12,,7774,457.0,51586,4293,75500,Dariel J,Cuerpo Natural
17,-1,Michael Jackson - Billie Jean,26,15,,7586,-683.0,52168,231,171358,Michael Jackson,Billie Jean
18,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",451,1,(x145),7273,-698.0,51799,-338,7983708,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
19,-2,Kapo - UWAIE,640,1,(x36),7192,-819.0,53081,-83,7714442,Kapo,UWAIE
20,+1,Valentino GRM - DESCARRILADA,121,2,(x14),7091,-679.0,48564,297,1346372,Valentino GRM,DESCARRILADA
21,-1,Romeo Santos - Dardos (w/ Prince Royce),171,5,,7084,-796.0,50276,258,1520240,Romeo Santos,Dardos (w/ Prince Royce)
22,+4,El Yeyo PP - Alo Alo (w/ EL10),65,13,,6911,-372.0,44478,124,433540,El Yeyo PP,Alo Alo (w/ EL10)
23,-4,Danny Ocean - Imagínate (w/ Kapo),556,1,(x3),6835,-1075.0,51284,13,7200731,Danny Ocean,Imagínate (w/ Kapo)
24,-1,Bad Bunny - BAILE INoLVIDABLE,498,1,(x36),6682,-752.0,47866,168,7010750,Bad Bunny,BAILE INoLVIDABLE
25,-3,Jay Wheeler - De Lejitos,38,2,(x3),6562,-1145.0,52422,-608,466479,Jay Wheeler,De Lejitos
26,-2,Omar Courtz - VAMOaCOCHI,87,12,,6391,-944.0,49920,192,675657,Omar Courtz,VAMOaCOCHI
27,=,"Don Pablo Mures - 99 (w/ Yemil, Aley La Nueve)",74,17,,6338,-778.0,43086,407,500537,Don Pablo Mures,"99 (w/ Yemil, Aley La Nueve)"
28,+2,Fuerza Regida - COQUETA (w/ Grupo Frontera),375,20,,6193,-390.0,43949,340,1779046,Fuerza Regida,COQUETA (w/ Grupo Frontera)
29,-1,Andiex - Tata (w/ Tinely),123,17,,6148,-869.0,43159,22,866595,Andiex,Tata (w/ Tinely)
30,+6,YOVNGCHIMI - MVLAN (w/ JC Reyes),111,14,,5833,-521.0,44266,-631,826651,YOVNGCHIMI,MVLAN (w/ JC Reyes)
31,+4,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",498,3,(x1),5794,-622.0,43101,133,5861966,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
32,+2,Omar Courtz - ⁠LUCES DE COLORES,462,14,,5754,-724.0,44401,115,2499335,Omar Courtz,⁠LUCES DE COLORES
33,+4,Beéle - mi refe (w/ Ovy On The Drums),528,1,(x3),5743,-564.0,42016,-154,8079420,Beéle,mi refe (w/ Ovy On The Drums)
34,-2,Omar Courtz - SI ESTÁS CON ALGUIEN,87,7,,5676,-871.0,45665,-356,745932,Omar Courtz,SI ESTÁS CON ALGUIEN
35,+4,Bad Bunny - DtMF,498,1,(x20),5676,-502.0,40110,116,5995637,Bad Bunny,DtMF
36,+6,BARBEL - San Jose,167,1,(x19),5621,-414.0,38456,-544,1770850,BARBEL,San Jose
37,+1,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",153,26,,5514,-666.0,42152,-266,719450,El Bogueto,"Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)"
38,+3,Danny Ocean - Me Rehúso,2612,2,(x14),5485,-572.0,38734,543,9088493,Danny Ocean,Me Rehúso
39,-6,"Ovy On The Drums - YO y TÚ (w/ Quevedo, Beéle)",340,1,(x6),5449,-1076.0,40758,409,3855193,Ovy On The Drums,"YO y TÚ (w/ Quevedo, Beéle)"
40,-11,Alleh - DesOrden,8,26,,5437,-1271.0,39719,1746,43410,Alleh,DesOrden
41,+2,"Blessd - YOGURCITO REMIX (w/ Anuel AA, Yan Block, Luar La L, Kris R., ROA)",265,1,(x7),5427,-585.0,41856,-231,2466672,Blessd,"YOGURCITO REMIX (w/ Anuel AA, Yan Block, Luar La L, Kris R., ROA)"
42,+37,"El Capitolio - LA FISCAL (w/ Valentino GRM, JEYSON, El Kris VL, GABRYND)",2,42,,5386,744.0,10028,5386,10028,El Capitolio,"LA FISCAL (w/ Valentino GRM, JEYSON, El Kris VL, GABRYND)"
43,+3,Lil Naay - MOOD BRAZIL,6,43,,5380,-423.0,25950,5380,25950,Lil Naay,MOOD BRAZIL
44,-13,Beéle - top diesel,367,1,(x10),5368,-1190.0,39085,73,4739224,Beéle,top diesel
45,+2,Michael Jackson - Beat It,24,33,,5324,-459.0,38893,-211,128499,Michael Jackson,Beat It
46,-6,"Ya Ice Dilan - Dichavate (w/ Rey Tony, Helabusador, JipMusic Global, Dj Honda)",42,40,,5211,-880.0,38744,479,191280,Ya Ice Dilan,"Dichavate (w/ Rey Tony, Helabusador, JipMusic Global, Dj Honda)"
47,+2,"El Alfa - PANTI Y COLALE 2.0 (w/ De La Ghetto, Zion, DJ Chulo NYC, El Cherry Scom, La Greña, Ronny GTA, Ezzy R)",72,41,,5108,-343.0,35263,-100,368986,El Alfa,"PANTI Y COLALE 2.0 (w/ De La Ghetto, Zion, DJ Chulo NYC, El Cherry Scom, La Greña, Ronny GTA, Ezzy R)"
48,-3,Alleh - capaz (merengueton) (w/ Yorghaki),532,6,,5073,-821.0,38548,-391,5307763,Alleh,capaz (merengueton) (w/ Yorghaki)
49,-5,Omar Courtz - WHAT U NEED? (SexPlaylist 2) (w/ Myke Towers),87,13,,5070,-929.0,40901,-281,581628,Omar Courtz,WHAT U NEED? (SexPlaylist 2) (w/ Myke Towers)
50,-2,Bad Bunny - EoO,498,4,,4926,-581.0,35650,-27,4723477,Bad Bunny,EoO
51,-1,Bad Bunny - KLOuFRENS,498,8,,4710,-715.0,35404,294,4548445,Bad Bunny,KLOuFRENS
52,+3,Beéle - si te pillara,367,1,(x35),4701,-512.0,32943,179,4503953,Beéle,si te pillara
53,+13,Romeo Santos - Imitadora,1099,9,,4690,-236.0,32415,495,3457302,Romeo Santos,Imitadora
54,+8,El Yeyo PP - Ey Saba (w/ Italian Somali),15,54,,4656,-379.0,27021,1473,51936,El Yeyo PP,Ey Saba (w/ Italian Somali)
55,-2,Beéle - quédate,367,1,(x19),4648,-622.0,34006,318,4443633,Beéle,quédate
56,=,J Balvin - LA CANCIÓN (w/ Bad Bunny),2516,1,(x2),4634,-541.0,33094,570,14970173,J Balvin,LA CANCIÓN (w/ Bad Bunny)
57,-6,Rawayana - Inglés En Miami (w/ Manuel Turizo),136,8,,4626,-747.0,32878,298,924408,Rawayana,Inglés En Miami (w/ Manuel Turizo)
58,-6,Kapo - NO CRY,285,12,,4579,-785.0,36944,-615,1519933,Kapo,NO CRY
59,=,Fuerza Regida - TU SANCHO,314,20,,4557,-529.0,35823,-297,1141358,Fuerza Regida,TU SANCHO
60,-2,"Don Pablo Mures - Plata Llama Plata (w/ El Americano 4KT, Akim)",16,25,,4550,-592.0,36069,-1651,86708,Don Pablo Mures,"Plata Llama Plata (w/ El Americano 4KT, Akim)"
61,+7,Feid - LUNA (w/ ATL Jacob),899,1,(x43),4549,-347.0,32440,339,10157638,Feid,LUNA (w/ ATL Jacob)
62,-5,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),36,9,,4507,-667.0,37235,-701,255471,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
63,-2,Lil Naay - Pasao De Famarcia,143,52,,4421,-634.0,32346,165,611964,Lil Naay,Pasao De Famarcia
64,=,Omar Courtz - Q U E V A S H A C E R H O Y ? (w/ De La Rose),605,1,(x16),4409,-568.0,33935,-4,4837350,Omar Courtz,Q U E V A S H A C E R H O Y ? (w/ De La Rose)
65,+2,Yan Block - Talento (w/ Panda Black),234,26,,4373,-537.0,32186,353,1116322,Yan Block,Talento (w/ Panda Black)
66,+9,ROA - ME GUSTAS CC,496,28,,4333,-433.0,32606,270,2604118,ROA,ME GUSTAS CC
67,+2,KAROL G - Verano Rosa (w/ Feid),332,9,,4319,-568.0,30086,224,2637598,KAROL G,Verano Rosa (w/ Feid)
68,+15,Dominic Fike - Babydoll,65,50,,4284,-233.0,30154,-145,294617,Dominic Fike,Babydoll
69,-15,Kapo - DÓNDE (w/ Ryan Castro),303,20,,4284,-942.0,30695,283,1573273,Kapo,DÓNDE (w/ Ryan Castro)
70,+10,Kris R. - GANAS,78,58,,4261,-379.0,32503,-80,294776,Kris R.,GANAS
71,-11,ELENA ROSE - COSITA LINDA (w/ Justin Quiles),285,11,,4260,-816.0,33933,-824,1876018,ELENA ROSE,COSITA LINDA (w/ Justin Quiles)
72,+1,"Emmxnuel - Divernalia (w/ Akim, Yemil)",24,72,,4246,-578.0,28126,430,89664,Emmxnuel,"Divernalia (w/ Akim, Yemil)"
73,+3,Beéle - Frente al Mar,598,4,,4241,-484.0,29703,218,5699649,Beéle,Frente al Mar
74,+3,"Yan Block - 444 - Remix (w/ De La Rose, Hades66, Ñengo Flow)",199,17,,4230,-489.0,31859,-29,937188,Yan Block,"444 - Remix (w/ De La Rose, Hades66, Ñengo Flow)"
75,+3,Bad Bunny - NUEVAYoL,498,1,(x1),4220,-444.0,29504,-142,4663245,Bad Bunny,NUEVAYoL
76,-6,Boza - Hecha Pa' Mi,1991,1,(x7),4179,-699.0,31756,42,12242925,Boza,Hecha Pa' Mi
77,-3,BARBEL - PA QUE ME BAILE (Bombermusik Remix) (w/ BomberMusik),94,43,,4169,-623.0,28915,-72,453166,BARBEL,PA QUE ME BAILE (Bombermusik Remix) (w/ BomberMusik)
78,-6,Jin - Don’t Say You Love Me,329,1,(x5),4129,-707.0,8965,4129,3056312,Jin,Don’t Say You Love Me
79,+2,Yan Block - Yo sé (w/ TORRRES),564,28,,4090,-496.0,30597,350,2918034,Yan Block,Yo sé (w/ TORRRES)
80,+22,BTS - Hooligan,59,3,(x1),4089,-137.0,33886,-331,443045,BTS,Hooligan
81,-10,Aventura - El Perdedor,785,6,,4080,-791.0,31400,250,3391982,Aventura,El Perdedor
82,+10,KAROL G - Si Antes Te Hubiera Conocido,696,2,(x26),4044,-338.0,27463,166,6709417,KAROL G,Si Antes Te Hubiera Conocido
83,+1,Yan Block - 444 (w/ Panda Black),635,18,,4033,-476.0,30304,224,3149843,Yan Block,444 (w/ Panda Black)
84,+9,Omar Courtz - M U S A E L E V Á,342,34,,4027,-336.0,30399,128,1420088,Omar Courtz,M U S A E L E V Á
85,-20,Kapo - KORAZONG,346,14,,4001,-961.0,30284,480,2130030,Kapo,KORAZONG
86,+20,BTS - 2.0,59,7,,3980,-139.0,32934,-410,428553,BTS,2.0
87,+10,"Astronazzy - CANTEPI (w/ Don Pablo Mures, Da Silence, Ted Prod, DKEY)",148,6,,3971,-341.0,26689,-190,1139033,Astronazzy,"CANTEPI (w/ Don Pablo Mures, Da Silence, Ted Prod, DKEY)"
88,=,Kapo - Ohnana,700,2,(x25),3964,-475.0,28005,309,6756104,Kapo,Ohnana
89,+1,Valentino GRM - Psicólogo,397,17,,3951,-464.0,29016,203,2190034,Valentino GRM,Psicólogo
90,-27,Shakira - Dai Dai (w/ Burna Boy),3,29,,3942,-1068.0,15695,3942,15695,Shakira,Dai Dai (w/ Burna Boy)
91,=,Nanpa Básico - Hasta Aquí Llegué (w/ Beéle),668,4,,3915,-487.0,29454,364,7667733,Nanpa Básico,Hasta Aquí Llegué (w/ Beéle)
92,-5,"ROA - ETA - RMX (w/ De La Rose, Luar La L, Yan Block, Omar Courtz)",529,22,,3856,-614.0,30301,-41,3087088,ROA,"ETA - RMX (w/ De La Rose, Luar La L, Yan Block, Omar Courtz)"
93,+10,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,22,62,,3849,-346.0,28622,-260,88875,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
94,-8,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),549,2,(x10),3830,-645.0,29503,55,4821119,Rauw Alejandro,Qué Pasaría... (w/ Bad Bunny)
95,-1,Omar Courtz - MOONLIGHT (w/ Eladio Carrion),87,18,,3824,-538.0,30028,-22,446537,Omar Courtz,MOONLIGHT (w/ Eladio Carrion)
96,+14,Plan B - Es un Secreto,1362,7,,3790,-258.0,26691,161,7897346,Plan B,Es un Secreto
97,+15,BTS - Body to Body,59,2,(x1),3776,-260.0,31970,-458,460359,BTS,Body to Body
98,-3,Rels B - TU VAS SIN (fav),313,25,,3775,-582.0,27849,-61,1491332,Rels B,TU VAS SIN (fav)
99,+21,Frankie Ruiz - Tu Con El,86,93,,3761,-100.0,23399,168,287933,Frankie Ruiz,Tu Con El
100,+18,Milo j - Niño,234,35,,3743,-166.0,27735,-148,1108571,Milo j,Niño
101,+8,Fresto Music - Me Hace Daño Verte,354,92,,3721,-365.0,25184,371,1068416,Fresto Music,Me Hace Daño Verte
102,-17,Omar Courtz - FOREVER TU GANTEL (w/ Ñengo Flow),87,5,,3721,-765.0,29749,-213,557915,Omar Courtz,FOREVER TU GANTEL (w/ Ñengo Flow)
103,-3,ROA - PPC (w/ Hades66),432,47,,3703,-539.0,30234,-901,1788023,ROA,PPC (w/ Hades66)
104,-22,Zion & Lennox - La Player (Bandolera),957,2,(x13),3689,-872.0,30318,-953,4038529,Zion & Lennox,La Player (Bandolera)
105,-4,ROA - FANTASÍA,420,29,,3671,-560.0,29938,-445,1921807,ROA,FANTASÍA
106,+5,"Kybba - Ba Ba Bad Remix (w/ Sean Paul, Ryan Castro, Busy Signal)",316,9,,3666,-373.0,25096,-144,2250995,Kybba,"Ba Ba Bad Remix (w/ Sean Paul, Ryan Castro, Busy Signal)"
107,+20,"Bryant Myers - Esclava - Remix (w/ Anuel AA, Anonimus, Almighty)",258,95,,3641,-107.0,26113,38,906013,Bryant Myers,"Esclava - Remix (w/ Anuel AA, Anonimus, Almighty)"
108,+5,Michael Jackson - Human Nature,21,77,,3630,-348.0,28075,-177,79133,Michael Jackson,Human Nature
109,-13,"Valentino GRM - PERVERSA - Remix (w/ BARBEL, Ladele OTM, SMILE BEATS)",232,17,,3597,-741.0,21237,455,1306916,Valentino GRM,"PERVERSA - Remix (w/ BARBEL, Ladele OTM, SMILE BEATS)"
110,+6,Young Cister - QLOO* (w/ Kreamly),317,10,,3596,-338.0,26897,-40,1873865,Young Cister,QLOO* (w/ Kreamly)
111,+26,Jósean Log - Doma,36,111,,3545,-108.0,24829,269,117397,Jósean Log,Doma
112,+17,Rawayana - Se Vienen Cositas,114,73,,3543,-189.0,24720,-107,471091,Rawayana,Se Vienen Cositas
113,-6,"Boza - Caldero Panameño (w/ Don Pablo Mures, Andiex)",52,20,,3541,-573.0,25818,-217,275164,Boza,"Caldero Panameño (w/ Don Pablo Mures, Andiex)"
114,-16,Camilo - Una Vida Pasada (w/ Carín León),637,23,,3504,-794.0,27285,-85,2902655,Camilo,Una Vida Pasada (w/ Carín León)
115,-1,Aventura - Dile al Amor,804,18,,3495,-465.0,24990,173,2990991,Aventura,Dile al Amor
116,-8,Bad Bunny - VOY A LLeVARTE PA PR,498,3,(x1),3489,-606.0,25634,93,4426793,Bad Bunny,VOY A LLeVARTE PA PR
