Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+2,FELICIA - My System,100,1,(x50),137018,32713.0,592588,61052,14171295,FELICIA,My System
2,-1,Thomas Stenström - Leva för alltid - Sveriges officiella VM-låt 2026,2,1,(x1),102378,-162610.0,367366,102378,367366,Thomas Stenström,Leva för alltid - Sveriges officiella VM-låt 2026
3,+1,Humlan Djojj - Djurens vaggvisa (w/ Josefine Götestam),1693,1,(x50),100542,32.0,709530,3730,121500287,Humlan Djojj,Djurens vaggvisa (w/ Josefine Götestam)
4,+18,Linda Lampenius - Liekinheitin (w/ Pete Parkkonen),7,4,,85646,25698.0,264973,85646,304015,Linda Lampenius,Liekinheitin (w/ Pete Parkkonen)
5,+3,Brandsta City Släckers - All in för Sverige (VM-låt 2026),9,5,,78134,-2688.0,320718,44477,379897,Brandsta City Släckers,All in för Sverige (VM-låt 2026)
6,+4,Michael Jackson - Billie Jean,277,3,(x2),72439,-4418.0,460595,1207,6445057,Michael Jackson,Billie Jean
7,+5,Zara Larsson - Lush Life,1465,1,(x31),72339,-2256.0,460344,-19524,73336374,Zara Larsson,Lush Life
8,+3,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),38,1,(x8),68243,-7571.0,485243,-19621,3201051,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
9,+8,Medina - Viva L’Amor,93,2,(x9),64004,-569.0,376533,-4972,9162157,Medina,Viva L’Amor
10,+10,Babblarna - Babblarnas vaggvisa,2555,1,(x1),60756,-495.0,425233,901,152148183,Babblarna,Babblarnas vaggvisa
11,+7,Michael Jackson - Beat It,29,8,,58796,-3068.0,376742,4594,1145323,Michael Jackson,Beat It
12,+86,DARA - Bangaranga,3,12,,58614,29041.0,106952,58614,106952,DARA,Bangaranga
13,+3,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),216,3,(x16),58588,-6819.0,418982,-17515,11903610,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson)
14,+11,Brandsta City Släckers - Rakt in i elden,100,2,(x13),56583,2793.0,325675,-3748,9635272,Brandsta City Släckers,Rakt in i elden
15,+48,Søren Torpegaard Lund - Før Vi Går Hjem - naughty version,2,15,,55696,18083.0,93309,55696,93309,Søren Torpegaard Lund,Før Vi Går Hjem - naughty version
16,-11,Drake - National Treasures,2,5,,55272,-35932.0,146476,55272,146476,Drake,National Treasures
17,+6,Zara Larsson - Midnight Sun,337,5,,53274,-3549.0,352752,-16967,17558861,Zara Larsson,Midnight Sun
18,+10,Humlan Djojj - Stjärnorna (w/ Josefine Götestam),1362,6,,50630,-657.0,364598,703,54721111,Humlan Djojj,Stjärnorna (w/ Josefine Götestam)
19,+13,Humlan Djojj - Somna (w/ Josefine Götestam),1341,5,,49094,-304.0,353770,1180,56735387,Humlan Djojj,Somna (w/ Josefine Götestam)
20,+11,Michael Jackson - Human Nature,21,15,,48066,-2294.0,319251,4233,752975,Michael Jackson,Human Nature
21,+13,Humlan Djojj - Humlehum (w/ Josefine Götestam),623,8,,47148,-864.0,336855,988,23369608,Humlan Djojj,Humlehum (w/ Josefine Götestam)
22,+8,Olivia Dean - Man I Need,273,2,(x3),46655,-3874.0,312186,-3604,19320883,Olivia Dean,Man I Need
23,+17,Tjuvjakt - Tusen spänn (w/ Fanny Avonne),372,1,(x81),45188,330.0,295797,-15042,29868336,Tjuvjakt,Tusen spänn (w/ Fanny Avonne)
24,-22,Drake - Make Them Cry,2,2,(x1),44526,-78232.0,167284,44526,167284,Drake,Make Them Cry
25,+8,Bella Kay - iloveitiloveitiloveit,87,2,(x2),44144,-5177.0,347653,-11752,5783023,Bella Kay,iloveitiloveitiloveit
26,+26,Lilla Al-Fadji - Delulu,79,1,(x6),43505,3079.0,255221,-3149,7451398,Lilla Al-Fadji,Delulu
27,+16,Humlan Djojj - Nu säger vi godnatt (w/ Josefine Götestam),996,9,,43167,-238.0,310928,1067,36879863,Humlan Djojj,Nu säger vi godnatt (w/ Josefine Götestam)
28,+8,Dominic Fike - Babydoll,106,5,,42436,-4799.0,318862,-7949,5422664,Dominic Fike,Babydoll
29,+8,Tyla - SHE DID IT AGAIN (w/ Zara Larsson),30,1,(x1),41490,-4694.0,313322,-21410,1949954,Tyla,SHE DID IT AGAIN (w/ Zara Larsson)
30,+15,Bolaget - Kan Inte Gå,1595,1,(x28),40995,-1653.0,241166,-3254,105388239,Bolaget,Kan Inte Gå
31,+15,RAYE - WHERE IS MY HUSBAND!,239,5,,39996,-2495.0,269996,-10018,14311233,RAYE,WHERE IS MY HUSBAND!
