Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jung Kook - Seven (w/ Latto),1038,1,(x740),328477,-18197.0,2329914,-19053,334280196,Jung Kook,Seven (w/ Latto)
2,=,BTS - SWIM,58,1,(x23),266962,-20636.0,2018380,-42605,22511943,BTS,SWIM
3,=,Hngle - Không Buông (w/ Ari),257,2,(x40),121725,-2242.0,852735,3929,32511208,Hngle,Không Buông (w/ Ari)
4,=,HIEUTHUHAI - Người Im Lặng Gặp Người Hay Nói,69,1,(x1),116387,-1358.0,823178,3514,10775539,HIEUTHUHAI,Người Im Lặng Gặp Người Hay Nói
5,=,Jung Kook - Standing Next to You,925,1,(x78),110989,115.0,767498,-2947,109287866,Jung Kook,Standing Next to You
6,=,Minh Huy - Ngày Rời Chuyến Bay (w/ Pinny),47,6,,102216,3159.0,677555,13614,4028223,Minh Huy,Ngày Rời Chuyến Bay (w/ Pinny)
7,+1,Low G - In Love (w/ JustaTee),207,2,(x19),98673,12914.0,648086,-4490,23930381,Low G,In Love (w/ JustaTee)
8,+1,HIEUTHUHAI - Exit Sign (w/ marzuz),802,3,(x1),96005,11567.0,656669,3592,73537358,HIEUTHUHAI,Exit Sign (w/ marzuz)
9,-2,CORTIS - REDRED,27,3,(x3),87377,-890.0,667047,-16877,2774776,CORTIS,REDRED
10,=,GREY D - dự báo thời tiết hôm nay mưa,1263,5,,84441,2881.0,585281,-6629,43299601,GREY D,dự báo thời tiết hôm nay mưa
11,+1,marzuz - Và Thế Giới Đã Mất Đi Một Người Cô Đơn (w/ Changg),183,5,,80973,6232.0,573093,-14130,14148203,marzuz,Và Thế Giới Đã Mất Đi Một Người Cô Đơn (w/ Changg)
12,+3,VCT - Mo,1328,4,,79373,8265.0,519017,10341,51146521,VCT,Mo
13,-2,Sơn Tùng M-TP - Âm Thầm Bên Em,2034,4,,78011,1909.0,480192,9786,58764047,Sơn Tùng M-TP,Âm Thầm Bên Em
14,+2,JustaTee - She Neva Knows,109,11,,74832,5069.0,522515,11160,6099630,JustaTee,She Neva Knows
15,+8,Vũ. - Bình Yên (w/ Binz),626,3,(x5),73363,12808.0,440005,5748,53824300,Vũ.,Bình Yên (w/ Binz)
16,+3,VCT - Vet Mua,737,13,,67854,2832.0,448528,3238,24041305,VCT,Vet Mua
17,-4,Bảo Anh - Từng Là Của Nhau (w/ Táo),250,6,,67627,-5713.0,510693,-878,8466622,Bảo Anh,Từng Là Của Nhau (w/ Táo)
18,-1,VSTRA - Ai Ngoài Anh (w/ Tyronee),138,2,(x24),67316,1065.0,470257,-737,14633230,VSTRA,Ai Ngoài Anh (w/ Tyronee)
19,-1,HIEUTHUHAI - Không Thể Say,1124,7,,64763,-684.0,432229,-801,70345429,HIEUTHUHAI,Không Thể Say
20,+4,B Ray - Vùng An Toàn (w/ V#),313,3,(x8),64740,5111.0,413617,3680,16339245,B Ray,Vùng An Toàn (w/ V#)
21,=,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),34,7,,62668,-229.0,457840,-9159,2704751,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
22,-8,Lou Hoàng - Yêu Một Người Có Lẽ (w/ Miu Lê),1449,14,,62279,-9437.0,351935,31430,27297374,Lou Hoàng,Yêu Một Người Có Lẽ (w/ Miu Lê)
23,+7,JustaTee - 2AM (w/ BigDaddy),1464,12,,61884,8358.0,356595,9103,44871263,JustaTee,2AM (w/ BigDaddy)
24,-4,GREY D - hoá ra…,50,3,(x1),61707,-1213.0,457963,-7305,4723358,GREY D,hoá ra…
25,-3,SOOBIN - Nếu Ngày Ấy,506,14,,59994,-789.0,439159,233,21688956,SOOBIN,Nếu Ngày Ấy
26,+9,NHONHO - Dạo Bước HongKong 1999,53,4,,58328,7999.0,362173,3705,4452273,NHONHO,Dạo Bước HongKong 1999
27,=,Fishy - vết thương,364,10,,57872,2543.0,381353,3901,19899451,Fishy,vết thương
28,+10,Emcee L (Da LAB) - Chuyện Đôi Ta (w/ Muộii (Starry Night)),1627,2,(x7),56854,6866.0,368558,10055,79969126,Emcee L (Da LAB),Chuyện Đôi Ta (w/ Muộii (Starry Night))
29,=,buitruonglinh - Từng Ngày Yêu Em,497,8,,55918,2186.0,378305,4456,32416460,buitruonglinh,Từng Ngày Yêu Em
30,-2,JustaTee - Thằng Điên (w/ Phương Ly),1318,18,,55805,1623.0,367300,1315,43520918,JustaTee,Thằng Điên (w/ Phương Ly)
31,+19,Juky San - Người Đầu Tiên (w/ buitruonglinh),190,2,(x28),53366,8342.0,365961,708,19055251,Juky San,Người Đầu Tiên (w/ buitruonglinh)
