Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+3,DARA - Bangaranga,5,1,(x1),142844,112106.0,215465,142844,215465,DARA,Bangaranga
2,-1,COSMÓ - TANZSCHEIN,65,1,(x2),52576,6991.0,217317,38585,891743,COSMÓ,TANZSCHEIN
3,+36,Alexandra Căpitănescu - Choke Me,4,3,(x1),35047,21321.0,68215,35047,68215,Alexandra Căpitănescu,Choke Me
4,+56,Noam Bettan - Michelle (w/ כאן - תאגיד השידור הישראלי),5,4,,34890,23025.0,72706,34890,72706,Noam Bettan,Michelle (w/ כאן - תאגיד השידור הישראלי)
5,+13,"Satoshi - Viva, Moldova!",5,5,,33227,15685.0,87971,33227,87971,Satoshi,"Viva, Moldova!"
6,+10,FELICIA - My System,5,6,,31842,13583.0,88939,31842,88939,FELICIA,My System
7,+12,Akylas - Ferto,5,7,,30205,13492.0,79663,30205,79663,Akylas,Ferto
8,-6,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),37,1,(x32),30193,-5727.0,258319,-8092,1661523,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
9,+4,Linda Lampenius - Liekinheitin (w/ Pete Parkkonen),6,9,,29170,9518.0,98545,29170,98545,Linda Lampenius,Liekinheitin (w/ Pete Parkkonen)
10,+30,Sal Da Vinci - Per sempre sì,5,10,,27639,13929.0,68676,27639,68676,Sal Da Vinci,Per sempre sì
11,-8,Michael Jackson - Billie Jean,346,2,(x4),27136,-6302.0,210630,103,3323967,Michael Jackson,Billie Jean
12,+13,Søren Torpegaard Lund - Før Vi Går Hjem - naughty version,3,12,,27000,11569.0,55110,27000,55110,Søren Torpegaard Lund,Før Vi Går Hjem - naughty version
13,+18,Delta Goodrem - Eclipse,3,13,,26611,11784.0,53070,26611,53070,Delta Goodrem,Eclipse
14,=,Sarah Engels - Fire,6,14,,25922,6968.0,88512,25922,88512,Sarah Engels,Fire
15,+7,Antigoni - JALLA,4,15,,23824,8195.0,61718,23824,61718,Antigoni,JALLA
16,-9,Dominic Fike - Babydoll,120,1,(x37),23292,-876.0,179755,-2405,3410199,Dominic Fike,Babydoll
17,-12,Michael Jackson - Beat It,38,5,,22971,-4758.0,176048,487,599246,Michael Jackson,Beat It
18,-8,Temper City - Self Aware,61,2,(x4),22131,-318.0,171604,-1286,1220634,Temper City,Self Aware
19,-11,The Killers - Mr. Brightside,2019,3,(x1),21533,-2337.0,165740,645,16769720,The Killers,Mr. Brightside
20,-11,Green Day - Boulevard of Broken Dreams,153,6,,20486,-2506.0,165278,2500,1271486,Green Day,Boulevard of Broken Dreams
21,-15,MDB - Angels Above Me,13,2,(x3),20134,-4540.0,185584,-3926,305509,MDB,Angels Above Me
22,+44,JONAS LOVV - Ya Ya Ya,3,22,,19787,8385.0,40989,19787,40989,JONAS LOVV,Ya Ya Ya
23,+30,LELEK - Andromeda,5,23,,19712,7227.0,59000,19712,59000,LELEK,Andromeda
24,-13,Stick Figure - Run Run River (w/ DJKryos),12,9,,19328,-2413.0,150949,3015,215953,Stick Figure,Run Run River (w/ DJKryos)
25,+66,Monroe - REGARDE !,3,25,,18105,8163.0,36155,18105,36155,Monroe,REGARDE !
26,-11,Katy Perry - The One That Got Away,58,8,,17614,-878.0,140025,-1725,772721,Katy Perry,The One That Got Away
27,-15,Zara Larsson - Lush Life,1015,1,(x9),16883,-3067.0,135162,-2347,9977370,Zara Larsson,Lush Life
28,+41,JJ - Wasted Love,89,1,(x10),16316,5017.0,44004,16316,2165679,JJ,Wasted Love
29,+127,"LOOK MUM NO COMPUTER - Eins, Zwei, Drei",2,29,,15875,7798.0,23952,15875,23952,LOOK MUM NO COMPUTER,"Eins, Zwei, Drei"
30,+51,Essyla - Dancing on the ice,3,30,,15605,5016.0,34659,15605,34659,Essyla,Dancing on the ice
31,-10,Vance Joy - Riptide,2146,11,,14878,-916.0,111226,-229,19797328,Vance Joy,Riptide
32,-2,Plain White T's - Hey There Delilah,22,12,,14699,-300.0,111127,-567,294696,Plain White T's,Hey There Delilah
33,-7,Djo - End of Beginning,726,1,(x24),14447,-969.0,113687,-1936,12525686,Djo,End of Beginning
34,-6,"Pashanim - Prada Sport (w/ AK AUSSERKONTROLLE, Selim61)",3,16,,14280,-915.0,53436,14280,53436,Pashanim,"Prada Sport (w/ AK AUSSERKONTROLLE, Selim61)"
35,-11,RAYE - WHERE IS MY HUSBAND!,241,2,(x9),14066,-1365.0,110548,-1531,5912229,RAYE,WHERE IS MY HUSBAND!
36,-19,Drake - National Treasures,3,9,,13712,-3957.0,60602,13712,60602,Drake,National Treasures
37,-10,Michael Jackson - Dirty Diana - 2012 Remaster,60,20,,13638,-1637.0,103927,-121,574451,Michael Jackson,Dirty Diana - 2012 Remaster
38,+153,Alis - Nân,2,38,,13517,6011.0,21023,13517,21023,Alis,Nân
39,+2,Dominic Fike - White Keys,100,2,(x23),13505,-147.0,108390,-2022,2205617,Dominic Fike,White Keys
40,-11,Drake - Janice STFU,3,11,,13466,-1695.0,55343,13466,55343,Drake,Janice STFU
41,-8,Taylor Swift - The Fate of Ophelia,227,1,(x54),13316,-1277.0,105998,-2368,8156696,Taylor Swift,The Fate of Ophelia
42,+155,ALICJA - Pray,2,42,,13254,5815.0,20693,13254,20693,ALICJA,Pray
43,-9,Michael Jackson - Human Nature,20,30,,13141,-1167.0,94708,1784,222677,Michael Jackson,Human Nature
44,-2,Alex Warren - Ordinary,464,1,(x61),13019,-582.0,97844,-1535,13226053,Alex Warren,Ordinary
45,-25,Don Omar - Danza Kuduro (w/ Lucenzo),1571,13,,12719,-3165.0,102053,-241,14909265,Don Omar,Danza Kuduro (w/ Lucenzo)
46,-9,"Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",1599,12,,12582,-1484.0,97160,-2303,17738489,Macklemore & Ryan Lewis,"Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)"
47,NEW,AIDAN - Bella,1,47,,12452,,12452,12452,12452,AIDAN,Bella
48,+49,Eva Marija - Mother Nature,3,48,,12451,2607.0,32581,12451,32581,Eva Marija,Mother Nature
49,-14,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,22,26,,12448,-1677.0,94723,-281,258956,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
50,-2,Ravyn Lenae - Love Me Not,435,8,,12324,-493.0,95814,-798,6563644,Ravyn Lenae,Love Me Not
51,+3,The Neighbourhood - Sweater Weather,2022,12,,12129,-234.0,90956,814,20000020,The Neighbourhood,Sweater Weather
52,-29,Cave - CASA CUBA (w/ Amo),10,5,,12112,-3442.0,112130,-3065,172615,Cave,CASA CUBA (w/ Amo)
