Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+1,Olivia Dean - Man I Need,276,1,(x193),212194,-9990.0,1558187,-18274,89524865,Olivia Dean,Man I Need
2,+1,Ella Langley - Choosin' Texas,172,2,(x8),211378,-8705.0,1553245,-18178,21871887,Ella Langley,Choosin' Texas
3,-2,Drake - National Treasures,3,1,(x1),198800,-29241.0,719501,198800,719501,Drake,National Treasures
4,+1,Sam Fender - Rein Me In (w/ Olivia Dean),251,2,(x16),193331,-3496.0,1441912,-22905,32794037,Sam Fender,Rein Me In (w/ Olivia Dean)
5,-1,Michael Jackson - Billie Jean,310,4,,187008,-19394.0,1299210,2787,17381634,Michael Jackson,Billie Jean
6,+5,Bella Kay - iloveitiloveitiloveit,101,1,(x14),178222,6679.0,1338077,-21751,21355856,Bella Kay,iloveitiloveitiloveit
7,=,Drake - Janice STFU,3,6,,169741,-13082.0,622422,169741,622422,Drake,Janice STFU
8,-2,Drake - Whisper My Name,3,3,(x1),159207,-29697.0,660848,159207,660848,Drake,Whisper My Name
9,+3,Michael Jackson - Beat It,28,8,,155763,-12506.0,1077597,48,3125259,Michael Jackson,Beat It
10,+5,Dominic Fike - Babydoll,581,4,,151626,1384.0,1076725,-10220,46709154,Dominic Fike,Babydoll
11,+7,Michael Jackson - Human Nature,22,11,,142069,-115.0,964733,8469,2394639,Michael Jackson,Human Nature
12,+2,Drake - Shabang,3,7,,141739,-21539.0,548217,141739,548217,Drake,Shabang
13,+13,Malcolm Todd - Earrings,51,10,,141624,9643.0,986328,2516,5464294,Malcolm Todd,Earrings
14,-4,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",3,5,,140602,-32465.0,593127,140602,593127,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
15,-7,Drake - Dust,3,2,(x1),139496,-38909.0,654876,139496,654876,Drake,Dust
16,+3,Olivia Dean - So Easy (To Fall In Love),234,2,(x34),139246,-1545.0,1012203,-12503,48015997,Olivia Dean,So Easy (To Fall In Love)
17,-4,Drake - 2 Hard 4 The Radio,3,10,,137397,-28921.0,519201,137397,519201,Drake,2 Hard 4 The Radio
18,+2,Justin Bieber - DAISIES,311,1,(x15),137080,-3270.0,1049479,-24621,48931372,Justin Bieber,DAISIES
19,-10,Drake - Make Them Cry,3,1,(x1),135362,-38694.0,703285,135362,703285,Drake,Make Them Cry
20,+3,sombr - Homewrecker,101,3,(x2),132214,-1253.0,978956,-10651,16548032,sombr,Homewrecker
21,-5,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),116,2,(x4),132101,-17732.0,1004051,-18098,10507654,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
22,+7,Alex Warren - Ordinary,465,1,(x118),130213,2464.0,908378,-9998,95458487,Alex Warren,Ordinary
23,+1,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),135,2,(x7),123171,-8987.0,914176,-9391,21482140,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson)
24,+3,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,26,17,,123170,-8657.0,877974,-8666,2534715,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
25,+5,The Killers - Mr. Brightside,4027,10,,120650,-5966.0,874275,2902,235117263,The Killers,Mr. Brightside
26,-5,Zara Larsson - Lush Life,930,4,,118903,-15654.0,840102,-8530,49436072,Zara Larsson,Lush Life
27,-10,Drake - Plot Twist,3,14,,117243,-26243.0,462748,117243,462748,Drake,Plot Twist
28,+15,"White Noise Radiance - Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps) (w/ Rain Sounds)",110,10,,117079,9174.0,790058,85,13817058,White Noise Radiance,"Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps) (w/ Rain Sounds)"
29,+9,Dominic Fike - White Keys,114,8,,115699,4107.0,864584,-14917,13464993,Dominic Fike,White Keys
30,+3,Dave - Raindance (w/ Tems),201,4,,115123,-4012.0,890383,-14969,27602707,Dave,Raindance (w/ Tems)
31,+4,The Goo Goo Dolls - Iris,1930,9,,111799,-2826.0,846258,-4771,139949424,The Goo Goo Dolls,Iris
