Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,NEW,DARA - Bangaranga,1,1,(x1),57930,,57930,57930,57930,DARA,Bangaranga
2,-1,Michael Jackson - Billie Jean,1019,1,(x3),51060,-11827.0,389169,1050,9535068,Michael Jackson,Billie Jean
3,-1,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),37,1,(x30),46136,-9552.0,378417,-7941,2365262,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
4,-1,Michael Jackson - Beat It,37,3,(x3),41570,-8668.0,313446,1957,1064768,Michael Jackson,Beat It
5,=,Dominic Fike - Babydoll,108,1,(x26),39637,-2732.0,294573,-1947,4514633,Dominic Fike,Babydoll
6,-2,Zara Larsson - Lush Life,1300,1,(x8),35732,-7992.0,276862,-4440,20707893,Zara Larsson,Lush Life
7,+3,Olivia Dean - Man I Need,270,2,(x1),31436,-4383.0,249607,-6750,12453159,Olivia Dean,Man I Need
8,+1,RAYE - WHERE IS MY HUSBAND!,241,1,(x3),30661,-5452.0,241469,-3090,10792001,RAYE,WHERE IS MY HUSBAND!
9,+3,Alex Warren - Ordinary,465,1,(x90),30635,-2792.0,226651,-1607,25566187,Alex Warren,Ordinary
10,-3,PLK - Pocahontas,66,4,,30026,-6605.0,237943,-1550,2270369,PLK,Pocahontas
11,-3,disiz - melodrama (w/ Theodora),230,1,(x40),29396,-6724.0,233906,-2322,12958279,disiz,melodrama (w/ Theodora)
12,+2,Vance Joy - Riptide,3074,12,,29036,-2851.0,210607,784,37066632,Vance Joy,Riptide
13,-7,HUGEL - Jamaican (Bam Bam) (w/ SOLTO (FR)),78,2,(x1),28871,-9811.0,246691,-5448,2117889,HUGEL,Jamaican (Bam Bam) (w/ SOLTO (FR))
14,-1,Disney - Zoo (w/ Shakira),142,7,,28020,-5288.0,211661,-3564,3822096,Disney,Zoo (w/ Shakira)
15,-4,Noano - Ewa Safi (w/ Lil Kleine),3,11,,27823,-6409.0,99346,27823,99346,Noano,Ewa Safi (w/ Lil Kleine)
16,=,Bruno Mars - I Just Might,129,8,,27078,-3572.0,205713,-2407,4481960,Bruno Mars,I Just Might
17,+1,Djo - End of Beginning,575,1,(x8),27074,-3028.0,209879,-3278,17080861,Djo,End of Beginning
18,+1,Michael Jackson - Human Nature,20,18,,26289,-3510.0,190627,2305,446512,Michael Jackson,Human Nature
19,-4,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),71,9,,25998,-4703.0,207787,-3346,1956861,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
20,+8,Bella Kay - iloveitiloveitiloveit,84,6,,25898,-1751.0,201964,-2481,2570222,Bella Kay,iloveitiloveitiloveit
21,=,Olivia Dean - So Easy (To Fall In Love),232,11,,25889,-2936.0,198359,-5404,6741685,Olivia Dean,So Easy (To Fall In Love)
22,-5,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,26,17,,25738,-4657.0,196859,-767,590361,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
23,+3,Taylor Swift - The Fate of Ophelia,227,1,(x43),24172,-3776.0,189743,-3126,12701928,Taylor Swift,The Fate of Ophelia
24,+15,Temper City - Self Aware,49,21,,24134,-1306.0,182096,-501,986481,Temper City,Self Aware
25,-5,RnBoi - MON BÉBÉ,206,1,(x35),23977,-4978.0,193814,-1662,10853825,RnBoi,MON BÉBÉ
26,+1,Alex Warren - FEVER DREAM,80,3,(x1),23976,-3768.0,191897,-3215,2828674,Alex Warren,FEVER DREAM
27,+5,The Killers - Mr. Brightside,1742,19,,23950,-2371.0,178736,1508,21650625,The Killers,Mr. Brightside
28,+1,Dave - Raindance (w/ Tems),206,2,(x4),23845,-3756.0,196605,-3670,7412084,Dave,Raindance (w/ Tems)
29,-4,"Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",1604,10,,23768,-4211.0,181892,-1346,31371986,Macklemore & Ryan Lewis,"Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)"
30,+14,Harry Styles - American Girls,73,1,(x1),23713,-1292.0,170171,492,1903855,Harry Styles,American Girls
31,+4,Dominic Fike - White Keys,89,10,,23522,-2093.0,186455,-3021,2539093,Dominic Fike,White Keys
32,-8,Disco Lines - No Broke Boys (w/ Tinashe),313,3,(x1),23388,-4672.0,185695,-2377,11471164,Disco Lines,No Broke Boys (w/ Tinashe)
33,+8,Pommelien Thijs - Atlas,423,1,(x45),23269,-2065.0,172971,-1604,18609844,Pommelien Thijs,Atlas
34,-1,sombr - Homewrecker,100,24,,22949,-3092.0,175940,-1067,2574124,sombr,Homewrecker
35,+2,Ravyn Lenae - Love Me Not,416,4,,22712,-2824.0,176294,-1957,13030275,Ravyn Lenae,Love Me Not
36,+4,The Goo Goo Dolls - Iris,936,22,,22709,-2665.0,176102,-417,15364805,The Goo Goo Dolls,Iris
37,-6,Nono La Grinta - LOVE YOU,202,4,,22338,-4016.0,172342,572,7007019,Nono La Grinta,LOVE YOU
38,+16,The Neighbourhood - Sweater Weather,1951,17,,22196,-1254.0,176016,1395,26693638,The Neighbourhood,Sweater Weather
39,-9,Michael Jackson - Smooth Criminal - 2012 Remaster,25,30,,22175,-4695.0,169657,-461,537606,Michael Jackson,Smooth Criminal - 2012 Remaster
40,-18,Drake - National Treasures,3,8,,22084,-6450.0,96709,22084,96709,Drake,National Treasures
41,-18,ANOTR - Talk To You (w/ 54 Ultra),64,10,,21917,-6212.0,180663,-3759,1334272,ANOTR,Talk To You (w/ 54 Ultra)
42,=,Aya Nakamura - Sexy Nana (w/ La Rvfleuze),10,42,,21398,-3847.0,149758,8466,196898,Aya Nakamura,Sexy Nana (w/ La Rvfleuze)
43,-7,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),122,8,,21358,-4189.0,172778,-2685,3654519,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson)
44,+11,sombr - back to friends,421,6,,21058,-2237.0,159880,-674,12076421,sombr,back to friends
45,+25,Tom Odell - Another Love,2179,3,(x3),20985,370.0,149895,1617,51289206,Tom Odell,Another Love
46,-12,GIMS - SPA (w/ Theodora),122,9,,20488,-5217.0,164280,-1180,3440506,GIMS,SPA (w/ Theodora)
47,=,Drake - Janice STFU,3,9,,20472,-4046.0,89379,20472,89379,Drake,Janice STFU
48,+9,SIENNA SPIRO - Die On This Hill,191,9,,20429,-2193.0,163268,-2002,5873482,SIENNA SPIRO,Die On This Hill
49,-6,R2 - RUINART,330,4,,20304,-4733.0,158454,688,9727634,R2,RUINART
50,-1,Michael Jackson - They Don't Care About Us,26,43,,20049,-4396.0,159132,-719,544030,Michael Jackson,They Don't Care About Us
51,+9,Coldplay - Viva La Vida,1968,16,,19980,-2489.0,145889,887,28052752,Coldplay,Viva La Vida
52,-6,Willylancien - magique,28,14,,19965,-4650.0,186534,-5306,644824,Willylancien,magique
53,-15,Bad Bunny - DtMF,467,1,(x20),19884,-5586.0,169302,-3648,13001120,Bad Bunny,DtMF
54,-6,RnBoi - ELLE VOULAIT,52,5,,19788,-4699.0,164759,-1743,1650755,RnBoi,ELLE VOULAIT
55,-4,"HUNTR/X - Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)",328,2,(x20),19717,-4062.0,147425,-1355,13099249,HUNTR/X,"Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)"
56,+30,Harry Styles - Sign of the Times,523,20,,19716,1242.0,124708,2902,4614634,Harry Styles,Sign of the Times
57,-1,Michael Jackson - Dirty Diana - 2012 Remaster,22,54,,19664,-2960.0,151478,-846,422554,Michael Jackson,Dirty Diana - 2012 Remaster
58,-5,Zara Larsson - Midnight Sun,186,34,,19590,-3882.0,155481,-1548,3661347,Zara Larsson,Midnight Sun
59,-1,TOTO - Africa,2991,16,,19447,-3086.0,139251,1487,30912590,TOTO,Africa
60,+3,Sam Fender - Rein Me In (w/ Olivia Dean),78,30,,19082,-2150.0,155929,-4733,1656275,Sam Fender,Rein Me In (w/ Olivia Dean)
61,-16,Drake - Whisper My Name,3,7,,18992,-5888.0,93343,18992,93343,Drake,Whisper My Name
62,+2,sombr - 12 to 12,293,14,,18806,-2391.0,151691,-2737,8197606,sombr,12 to 12
63,-4,Leto - Pineapple,37,44,,18608,-3874.0,153712,-1339,765325,Leto,Pineapple
64,+28,Malcolm Todd - Earrings,20,64,,18428,456.0,127797,1490,314692,Malcolm Todd,Earrings
65,+76,Essyla - Dancing on the ice,3,65,,18406,3523.0,51673,18406,51673,Essyla,Dancing on the ice
66,-5,Rambo goyard - B.M.S (by my side),126,8,,18335,-4015.0,150010,-1269,4155302,Rambo goyard,B.M.S (by my side)
67,+5,Sean Paul - (When You Gonna) Give It Up to Me (w/ Keyshia Cole),131,21,,18258,-2296.0,147062,-3435,3212047,Sean Paul,(When You Gonna) Give It Up to Me (w/ Keyshia Cole)
68,-1,Fleetwood Mac - Dreams - 2001 Remaster,34,39,,18227,-2758.0,139761,-1492,694626,Fleetwood Mac,Dreams - 2001 Remaster
69,-3,Tame Impala - Dracula,216,23,,18207,-2786.0,146357,-3029,3573321,Tame Impala,Dracula
70,+8,Mauvais djo - Pilé,22,70,,17971,-1506.0,111970,5418,317634,Mauvais djo,Pilé
71,-21,Drake - Make Them Cry,3,2,(x1),17818,-6537.0,103690,17818,103690,Drake,Make Them Cry
72,+3,Justin Bieber - DAISIES,251,3,(x3),17715,-2425.0,147374,-4045,5495159,Justin Bieber,DAISIES
73,-21,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",3,6,,17658,-5944.0,91084,17658,91084,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
74,=,La Rvfleuze - PARLU,50,31,,17427,-2858.0,148144,-1792,1129950,La Rvfleuze,PARLU
75,+7,Olivia Rodrigo - drop dead,31,2,(x1),17276,-1525.0,136456,-3209,882281,Olivia Rodrigo,drop dead
76,-5,Michael Jackson - Thriller,33,19,,17184,-3386.0,128246,334,507729,Michael Jackson,Thriller
77,+23,Katy Perry - The One That Got Away,19,65,,17061,-463.0,127432,-682,338163,Katy Perry,The One That Got Away
78,+21,"Pitbull - Give Me Everything (w/ Ne-Yo, AFROJACK, Nayer)",557,39,,17032,-565.0,114569,3213,7602911,Pitbull,"Give Me Everything (w/ Ne-Yo, AFROJACK, Nayer)"
79,+6,Pommelien Thijs - IK MOET GAAN,227,2,(x10),17030,-1640.0,130415,-1793,6401896,Pommelien Thijs,IK MOET GAAN
80,-15,The Bausa - Magnetic,37,37,,16721,-4448.0,139272,-3637,683980,The Bausa,Magnetic
81,NEW,Alexandra Căpitănescu - Choke Me,1,81,,16329,,16329,16329,16329,Alexandra Căpitănescu,Choke Me
82,NEW,Noam Bettan - Michelle (w/ כאן - תאגיד השידור הישראלי),1,82,,16267,,16267,16267,16267,Noam Bettan,Michelle (w/ כאן - תאגיד השידור הישראלי)
83,-10,RnBoi - AVEC MOI (w/ Nono La Grinta),122,9,,16146,-4265.0,138726,-2539,3223561,RnBoi,AVEC MOI (w/ Nono La Grinta)
84,-16,GIMS - PARISIENNE (w/ La Mano 1.9),290,1,(x21),16113,-4833.0,129650,-1553,12125425,GIMS,PARISIENNE (w/ La Mano 1.9)
85,-16,Bad Bunny - NUEVAYoL,329,2,(x4),16027,-4764.0,139643,-4230,6993300,Bad Bunny,NUEVAYoL
86,+17,Harry Styles - As It Was,1069,1,(x116),15994,-1404.0,109514,534,30856973,Harry Styles,As It Was
87,+3,The Police - Every Breath You Take,1552,14,,15970,-2113.0,120644,-678,21247352,The Police,Every Breath You Take
88,-7,Gracie Abrams - Hit the Wall,3,29,,15957,-2882.0,65764,15957,65764,Gracie Abrams,Hit the Wall
89,+6,Mauvais djo - Maladie,26,89,,15768,-2161.0,112364,3081,377019,Mauvais djo,Maladie
90,-10,Natasha Bedingfield - Unwritten,749,9,,15767,-3217.0,121354,589,13833583,Natasha Bedingfield,Unwritten
91,+14,Radiohead - Creep,811,41,,15578,-1613.0,118618,634,11395623,Radiohead,Creep
92,-8,La Rvfleuze - Argent Sale - A COLORS SHOW (w/ COLORS),90,14,,15481,-3293.0,135258,-2898,2168533,La Rvfleuze,Argent Sale - A COLORS SHOW (w/ COLORS)
93,+5,Linkin Park - In the End,1766,22,,15427,-2304.0,121873,976,20393524,Linkin Park,In the End
94,-11,Nono La Grinta - Paris,374,6,,15318,-3471.0,121645,1037,7448575,Nono La Grinta,Paris
95,+33,Plain White T's - Hey There Delilah,10,95,,15294,69.0,105039,2157,145421,Plain White T's,Hey There Delilah
96,-3,kulturr - méli-mélo,42,64,,15288,-2667.0,119507,-334,712900,kulturr,méli-mélo
97,+14,Bruno Mars - Locked out of Heaven,953,20,,15204,-1428.0,116445,-2536,9163487,Bruno Mars,Locked out of Heaven
98,+19,Myles Smith - Stargazing,572,2,(x1),15185,-830.0,103772,2625,16513012,Myles Smith,Stargazing
99,+9,Teddy Swims - Lose Control,968,3,(x4),15092,-1905.0,114553,-231,28040386,Teddy Swims,Lose Control
100,+1,David Guetta - Titanium (w/ Sia),946,48,,15068,-2349.0,111458,1034,8207969,David Guetta,Titanium (w/ Sia)
101,-39,Drake - Dust,3,5,,15067,-6357.0,86770,15067,86770,Drake,Dust
102,-25,Drake - Shabang,3,12,,14958,-4673.0,72326,14958,72326,Drake,Shabang
103,-6,WIXO & LA2S - GMK,105,21,,14951,-2873.0,116946,263,2365657,WIXO & LA2S,GMK
104,+9,Milky Chance - Stolen Dance,1071,11,,14813,-1464.0,113737,-1696,8850031,Milky Chance,Stolen Dance
105,-1,Bebe Rexha - New Religion (w/ Faithless),39,83,,14812,-2429.0,113327,320,606437,Bebe Rexha,New Religion (w/ Faithless)
106,-17,HAVEN. - I Run (w/ Kaitlin Aragon),172,7,,14745,-3524.0,118428,-1174,4292813,HAVEN.,I Run (w/ Kaitlin Aragon)
107,-31,Drake - 2 Hard 4 The Radio,3,22,,14718,-4989.0,68295,14718,68295,Drake,2 Hard 4 The Radio
108,-20,Gambi - RENÉ CAOVILLA,41,48,,14622,-3765.0,122078,-864,803944,Gambi,RENÉ CAOVILLA
109,-2,Michael Jackson - Bad - 2012 Remaster,16,83,,14596,-2445.0,113732,-1177,253677,Michael Jackson,Bad - 2012 Remaster
110,-8,ROSÉ - APT. (w/ Bruno Mars),576,1,(x72),14570,-2829.0,107624,-1359,21123660,ROSÉ,APT. (w/ Bruno Mars)
111,-2,Benson Boone - Beautiful Things,850,1,(x68),14566,-2341.0,113459,-507,35956713,Benson Boone,Beautiful Things
112,-6,"Drake - One Dance (w/ Wizkid, Kyla)",1331,1,(x99),14544,-2596.0,111807,410,15710855,Drake,"One Dance (w/ Wizkid, Kyla)"
113,+21,Coldplay - Yellow,1128,19,,14541,-554.0,105619,-60,14306806,Coldplay,Yellow
114,-23,Don Omar - Danza Kuduro (w/ Lucenzo),1011,25,,14502,-3576.0,111388,393,12316166,Don Omar,Danza Kuduro (w/ Lucenzo)
115,+50,Gigi Perez - Sailor Song,625,2,(x4),14453,138.0,103259,902,16013809,Gigi Perez,Sailor Song
116,-6,Bruno Mars - Risk It All,80,19,,14436,-2227.0,114871,-1881,1502925,Bruno Mars,Risk It All
117,-38,Drake - Plot Twist,3,24,,14417,-4803.0,66949,14417,66949,Drake,Plot Twist
118,=,Kings of Leon - Sex on Fire,386,84,,14295,-1671.0,106267,768,4464384,Kings of Leon,Sex on Fire
