Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jimin - Who,668,1,(x450),11784,-5200.0,84977,266,13521201,Jimin,Who
2,=,V - Winter Ahead (w/ Park Hyo Shin),535,1,(x77),8738,-6513.0,99446,-4494,7094915,V,Winter Ahead (w/ Park Hyo Shin)
3,+1,"By Индия - Шадэ (w/ Xcho, МОТ)",10,2,(x1),8181,-1073.0,65447,-419,91345,By Индия,"Шадэ (w/ Xcho, МОТ)"
4,-1,Jimin - Be Mine,668,2,(x123),7026,-3250.0,50713,268,6661167,Jimin,Be Mine
5,=,madk1d - 8 миля (w/ VILLIAN),87,3,(x1),5796,-1128.0,43115,-323,587215,madk1d,8 миля (w/ VILLIAN)
6,=,BTS - SWIM,59,1,(x16),5516,-691.0,46460,-161,635937,BTS,SWIM
7,=,"9mice - Jealous (w/ Egor Kreed, тёмный принц, madk1d)",39,1,(x13),4989,-1144.0,39063,-888,375385,9mice,"Jealous (w/ Egor Kreed, тёмный принц, madk1d)"
8,+2,урал гайсин - священная война,317,4,,4378,-352.0,26889,754,1210981,урал гайсин,священная война
9,-1,Max Korzh - Что ты несёшь,3,4,,4159,-716.0,16695,4159,16695,Max Korzh,Что ты несёшь
10,+2,Dominic Fike - Babydoll,105,6,,4135,-397.0,29495,-208,530119,Dominic Fike,Babydoll
11,-2,SQWOZ BAB - КУПЕР,105,2,(x6),4128,-648.0,30312,-213,695936,SQWOZ BAB,КУПЕР
12,NEW,DARA - Bangaranga,1,12,,3941,,3941,3941,3941,DARA,Bangaranga
13,-2,madk1d - так похуй,421,2,(x14),3884,-777.0,27716,-60,2842539,madk1d,так похуй
14,=,Max Korzh - Жить в кайф,1281,7,,3839,-493.0,25156,15,5348658,Max Korzh,Жить в кайф
15,-2,Poshlaya Molly - Контракт,1548,5,,3774,-741.0,26219,135,5950385,Poshlaya Molly,Контракт
16,-1,"BUSHIDO ZHO - днями и ночами (w/ Scally Milano, Полка)",166,2,(x1),3726,-554.0,27118,30,926509,BUSHIDO ZHO,"днями и ночами (w/ Scally Milano, Полка)"
17,+3,"CUPSIZE - Юра, Юра",274,17,,3702,-67.0,22213,533,680570,CUPSIZE,"Юра, Юра"
18,-1,Tame Impala - Dracula,124,9,,3608,-362.0,26803,-148,322287,Tame Impala,Dracula
19,-3,"greyrock - распять (w/ tewiq, madk1d)",430,6,,3561,-561.0,24297,212,1901402,greyrock,"распять (w/ tewiq, madk1d)"
20,-2,FORTUNA 812 - ParisLove,556,2,(x9),3355,-551.0,24358,-37,3615053,FORTUNA 812,ParisLove
21,+2,madk1d - ты че обиделась (w/ тёмный принц),429,4,,3157,-345.0,21499,99,2312959,madk1d,ты че обиделась (w/ тёмный принц)
22,=,SAYAN - Мальборо,26,14,,3086,-453.0,22459,265,79142,SAYAN,Мальборо
23,+2,Poshlaya Molly - Нон стоп,1541,11,,2952,-472.0,19937,101,5289780,Poshlaya Molly,Нон стоп
24,-5,Jimin - Like Crazy,635,3,(x1),2923,-891.0,22439,106,2365505,Jimin,Like Crazy
25,-4,gotlibgotlibgotlib - агентство насилия™ (w/ Sabu),73,4,,2886,-691.0,22331,-305,296723,gotlibgotlibgotlib,агентство насилия™ (w/ Sabu)
26,+3,Poshlaya Molly - Супермаркет,1122,6,,2858,-419.0,19560,-124,4256909,Poshlaya Molly,Супермаркет
27,+10,Violetta Sokolova - Четыре тридцать,1117,2,(x3),2842,-172.0,18365,361,3910304,Violetta Sokolova,Четыре тридцать
28,=,HOLLYFLAME - Тону,90,22,,2789,-580.0,21501,133,249667,HOLLYFLAME,Тону
29,+1,DEAD BLONDE - Банкомат,578,18,,2775,-501.0,18582,-225,1527758,DEAD BLONDE,Банкомат
30,+3,CUPSIZE - ты любишь танцевать,553,29,,2753,-336.0,17835,50,1283104,CUPSIZE,ты любишь танцевать
31,+9,Monetochka - Каждый раз,657,19,,2737,-176.0,18406,40,1755147,Monetochka,Каждый раз
32,+9,Noize MC - Вселенная бесконечна?,508,22,,2734,-169.0,19189,60,1323713,Noize MC,Вселенная бесконечна?
