Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Drake - Janice STFU,3,1,(x2),463588,-77345.0,1885143,463588,1885143,Drake,Janice STFU
2,+1,Drake - National Treasures,3,2,(x1),377296,-121115.0,1711833,377296,1711833,Drake,National Treasures
3,-1,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",3,2,(x2),373595,-126711.0,1828118,373595,1828118,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
4,=,Drake - Whisper My Name,3,3,(x1),351639,-122596.0,1762357,351639,1762357,Drake,Whisper My Name
5,=,Drake - Shabang,3,5,,326319,-88890.0,1494919,326319,1494919,Drake,Shabang
6,=,Drake - 2 Hard 4 The Radio,3,6,,307114,-106060.0,1404204,307114,1404204,Drake,2 Hard 4 The Radio
7,+2,Drake - Plot Twist,3,7,,271417,-98635.0,1282561,271417,1282561,Drake,Plot Twist
8,=,Drake - Dust,3,4,,261755,-129892.0,1575906,261755,1575906,Drake,Dust
9,-2,Drake - Make Them Cry,3,1,(x1),259458,-142641.0,1716331,259458,1716331,Drake,Make Them Cry
10,+5,Ella Langley - Choosin' Texas,212,1,(x25),257763,-6521.0,1721920,15885,30162527,Ella Langley,Choosin' Texas
11,-1,Drake - Make Them Pay,3,9,,239095,-102825.0,1251377,239095,1251377,Drake,Make Them Pay
12,-1,Drake - What Did I Miss?,86,1,(x6),232075,-91651.0,1171799,232075,9312957,Drake,What Did I Miss?
13,-1,Drake - B's On The Table (w/ 21 Savage),3,11,,221622,-94740.0,1173274,221622,1173274,Drake,B's On The Table (w/ 21 Savage)
14,-1,Drake - Burning Bridges,3,12,,218246,-80485.0,1111547,218246,1111547,Drake,Burning Bridges
15,+1,Drake - Make Them Know,3,15,,178249,-74443.0,874084,178249,874084,Drake,Make Them Know
16,-2,Drake - Make Them Remember,3,14,,176885,-88441.0,945962,176885,945962,Drake,Make Them Remember
17,=,Drake - Little Birdie,3,16,,161152,-68456.0,813284,161152,813284,Drake,Little Birdie
18,=,Drake - Don’t Worry,3,17,,157329,-67861.0,803460,157329,803460,Drake,Don’t Worry
19,+3,Michael Jackson - Billie Jean,209,4,,151780,-9139.0,1006684,15070,12042407,Michael Jackson,Billie Jean
20,+3,Dominic Fike - Babydoll,290,1,(x20),151403,-6464.0,1098682,-3998,29015720,Dominic Fike,Babydoll
21,+4,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),44,1,(x4),146303,-6520.0,1022312,-10382,7348532,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
