Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+117,DARA - Bangaranga,2,1,(x1),63476,52816.0,74136,63476,74136,DARA,Bangaranga
2,-1,Michael Jackson - Billie Jean,644,1,(x5),39783,-8562.0,306241,2601,6668586,Michael Jackson,Billie Jean
3,-1,Michael Jackson - Beat It,57,2,(x1),32806,-5815.0,248375,2642,1022003,Michael Jackson,Beat It
4,-1,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),37,1,(x26),32527,-4024.0,262948,-4055,1725528,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
5,=,Dominic Fike - Babydoll,107,1,(x29),27131,-930.0,206119,-1592,3387696,Dominic Fike,Babydoll
6,+1,Zara Larsson - Lush Life,1017,1,(x5),23528,-2981.0,182534,-1520,11583691,Zara Larsson,Lush Life
7,+4,Alex Warren - Ordinary,465,1,(x185),23266,-714.0,173809,-758,19489912,Alex Warren,Ordinary
8,-4,Drake - National Treasures,3,4,,22753,-8072.0,104836,22753,104836,Drake,National Treasures
9,+3,Temper City - Self Aware,58,5,,22700,-487.0,174077,436,1045463,Temper City,Self Aware
10,-2,Drake - Janice STFU,3,7,,21427,-4973.0,94893,21427,94893,Drake,Janice STFU
11,+4,Vance Joy - Riptide,2833,8,,21385,-763.0,153475,1940,25281843,Vance Joy,Riptide
12,+2,Michael Jackson - Human Nature,21,12,,20950,-1968.0,150759,3264,367697,Michael Jackson,Human Nature
13,+3,RAYE - WHERE IS MY HUSBAND!,241,3,(x9),20079,-1974.0,156661,-218,7366770,RAYE,WHERE IS MY HUSBAND!
14,-8,Drake - Whisper My Name,3,4,,19849,-6698.0,99234,19849,99234,Drake,Whisper My Name
15,-2,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,23,10,,19661,-3393.0,151424,820,419949,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
16,NEW,Noam Bettan - Michelle (w/ כאן - תאגיד השידור הישראלי),1,16,,19524,,19524,19524,19524,Noam Bettan,Michelle (w/ כאן - תאגיד השידור הישראלי)
17,+1,Green Day - Boulevard of Broken Dreams,54,7,,19454,-2036.0,157248,2595,599188,Green Day,Boulevard of Broken Dreams
18,+8,Djo - End of Beginning,679,1,(x6),19100,-1066.0,148821,-1306,13275131,Djo,End of Beginning
19,-10,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",3,2,(x1),18841,-7471.0,99685,18841,99685,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
20,+4,Dave - Raindance (w/ Tems),206,1,(x14),18725,-1955.0,154207,-1258,6357183,Dave,Raindance (w/ Tems)
21,+2,"Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",1602,7,,18706,-2051.0,144423,-174,24557374,Macklemore & Ryan Lewis,"Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)"
22,+5,Taylor Swift - The Fate of Ophelia,227,1,(x78),18436,-1431.0,143854,-1383,10030049,Taylor Swift,The Fate of Ophelia
23,+134,Sal Da Vinci - Per sempre sì,17,14,,18277,8624.0,27930,18277,222431,Sal Da Vinci,Per sempre sì
24,-5,Bad Bunny - DtMF,496,1,(x55),18277,-3024.0,145917,202,14100598,Bad Bunny,DtMF
25,-5,Michael Jackson - Smooth Criminal - 2012 Remaster,25,17,,17721,-3529.0,136207,798,424547,Michael Jackson,Smooth Criminal - 2012 Remaster
26,-16,Drake - Make Them Cry,3,1,(x1),17054,-7060.0,105955,17054,105955,Drake,Make Them Cry
27,+9,The Neighbourhood - Sweater Weather,1949,9,,16940,-15.0,129945,-377,21146337,The Neighbourhood,Sweater Weather
28,=,Michael Jackson - They Don't Care About Us,43,19,,16450,-3367.0,132602,-443,603368,Michael Jackson,They Don't Care About Us
29,NEW,Alexandra Căpitănescu - Choke Me,1,29,,16305,,16305,16305,16305,Alexandra Căpitănescu,Choke Me
30,=,Michael Jackson - Dirty Diana - 2012 Remaster,24,24,,16129,-2455.0,124489,602,373865,Michael Jackson,Dirty Diana - 2012 Remaster
31,+3,Ravyn Lenae - Love Me Not,418,7,,16010,-1131.0,124836,-750,7713361,Ravyn Lenae,Love Me Not
32,+9,Dominic Fike - White Keys,99,3,(x6),15859,-322.0,124331,-1096,2264787,Dominic Fike,White Keys
33,+2,Sean Paul - (When You Gonna) Give It Up to Me (w/ Keyshia Cole),138,7,,15747,-1360.0,124436,-1102,2879049,Sean Paul,(When You Gonna) Give It Up to Me (w/ Keyshia Cole)
34,NEW,Delta Goodrem - Eclipse,1,34,,15728,,15728,15728,15728,Delta Goodrem,Eclipse
35,+7,sombr - back to friends,427,3,(x38),15635,-464.0,118910,-198,9822698,sombr,back to friends
36,+4,Olivia Dean - Man I Need,271,5,,15611,-624.0,113161,895,6257299,Olivia Dean,Man I Need
37,+7,Katy Perry - The One That Got Away,32,22,,15571,-369.0,120156,-64,435976,Katy Perry,The One That Got Away
38,-17,Drake - Shabang,3,8,,15565,-5593.0,77284,15565,77284,Drake,Shabang
39,-2,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),81,8,,15381,-1461.0,120918,-715,1401579,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
40,-9,Bad Bunny - NUEVAYoL,496,2,(x21),15342,-2847.0,123381,34,11115527,Bad Bunny,NUEVAYoL
41,-3,"HUNTR/X - Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)",328,1,(x10),15029,-1749.0,115223,-780,10220554,HUNTR/X,"Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)"
42,-20,Drake - 2 Hard 4 The Radio,3,12,,14857,-5934.0,71402,14857,71402,Drake,2 Hard 4 The Radio
43,-18,Drake - Plot Twist,3,13,,14751,-5776.0,70954,14751,70954,Drake,Plot Twist
44,-11,Don Omar - Danza Kuduro (w/ Lucenzo),1809,17,,14695,-2779.0,115047,1170,20246307,Don Omar,Danza Kuduro (w/ Lucenzo)
45,NEW,Linda Lampenius - Liekinheitin (w/ Pete Parkkonen),1,45,,14687,,14687,14687,14687,Linda Lampenius,Liekinheitin (w/ Pete Parkkonen)
46,-17,Drake - What Did I Miss?,27,15,,14376,-4866.0,66181,14376,325955,Drake,What Did I Miss?
47,-30,Drake - Dust,3,3,(x1),14312,-7262.0,88932,14312,88932,Drake,Dust
48,-2,Coldplay - Viva La Vida,1365,3,(x1),13794,-1557.0,103761,1011,16367258,Coldplay,Viva La Vida
49,-4,TOTO - Africa,1913,14,,13779,-1945.0,99585,2177,15917789,TOTO,Africa
50,-2,The Goo Goo Dolls - Iris,576,27,,13667,-1531.0,109547,-467,6670669,The Goo Goo Dolls,Iris
51,NEW,COSMÓ - TANZSCHEIN,1,51,,13403,,13403,13403,13403,COSMÓ,TANZSCHEIN
52,+13,Tom Odell - Another Love,2121,3,(x22),13391,-7.0,101549,547,35149848,Tom Odell,Another Love
53,-10,Hecht - Mon Amour,317,7,,13339,-2645.0,105867,-2101,3955212,Hecht,Mon Amour
54,-4,Disco Lines - No Broke Boys (w/ Tinashe),313,2,(x1),13323,-1527.0,105456,-318,6261137,Disco Lines,No Broke Boys (w/ Tinashe)
55,NEW,"Satoshi - Viva, Moldova!",1,55,,13214,,13214,13214,13214,Satoshi,"Viva, Moldova!"
56,NEW,FELICIA - My System,1,56,,13195,,13195,13195,13195,FELICIA,My System
57,-10,Michael Jackson - Thriller,31,12,,13029,-2274.0,96801,1101,385636,Michael Jackson,Thriller
58,-5,Tame Impala - Dracula,166,17,,12947,-1462.0,105543,-894,2131685,Tame Impala,Dracula
59,+4,The Killers - Mr. Brightside,259,38,,12892,-608.0,96638,1392,2811514,The Killers,Mr. Brightside
60,+4,Alex Warren - FEVER DREAM,80,1,(x1),12878,-551.0,101536,-560,1819882,Alex Warren,FEVER DREAM
61,NEW,Sarah Engels - Fire,1,61,,12675,,12675,12675,12675,Sarah Engels,Fire
62,-3,Men At Work - Down Under,58,42,,12669,-1238.0,93469,402,623977,Men At Work,Down Under
63,-14,"Pashanim - Prada Sport (w/ AK AUSSERKONTROLLE, Selim61)",3,20,,12619,-2484.0,53065,12619,53065,Pashanim,"Prada Sport (w/ AK AUSSERKONTROLLE, Selim61)"
64,-13,HUGEL - Jamaican (Bam Bam) (w/ SOLTO (FR)),69,17,,12496,-2254.0,100724,81,925414,HUGEL,Jamaican (Bam Bam) (w/ SOLTO (FR))
65,NEW,Akylas - Ferto,1,65,,12478,,12478,12478,12478,Akylas,Ferto
66,-34,Drake - Make Them Pay,3,11,,12456,-5044.0,66338,12456,66338,Drake,Make Them Pay
67,-6,PLK - Pocahontas,66,20,,12453,-1439.0,97328,359,1014834,PLK,Pocahontas
68,+5,Olivia Dean - So Easy (To Fall In Love),228,14,,12440,-462.0,89975,603,3689420,Olivia Dean,So Easy (To Fall In Love)
69,-3,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),122,10,,12095,-1254.0,96491,-345,2244176,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson)
70,+7,Mauvais djo - Maladie,11,70,,12052,-672.0,81567,4387,120000,Mauvais djo,Maladie
71,-11,Michael Jackson - Bad - 2012 Remaster,21,46,,12052,-1847.0,94026,41,260360,Michael Jackson,Bad - 2012 Remaster
72,NEW,Søren Torpegaard Lund - Før Vi Går Hjem - naughty version,1,72,,12046,,12046,12046,12046,Søren Torpegaard Lund,Før Vi Går Hjem - naughty version
73,-21,Bad Bunny - BAILE INoLVIDABLE,481,3,(x5),12019,-2646.0,100722,2,8449254,Bad Bunny,BAILE INoLVIDABLE
74,-16,Bad Bunny - Tití Me Preguntó,576,3,(x8),11898,-2319.0,97190,-309,7062737,Bad Bunny,Tití Me Preguntó
75,-13,RnBoi - MON BÉBÉ,206,2,(x15),11890,-1698.0,96603,149,5810678,RnBoi,MON BÉBÉ
76,-8,Michael Jackson - Chicago,21,54,,11889,-1280.0,90329,740,242785,Michael Jackson,Chicago
77,-3,The Police - Every Breath You Take,1317,10,,11813,-1027.0,89925,62,14466799,The Police,Every Breath You Take
