Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+1,Kris R. - TUKI TUKI (w/ GeezyDee),66,1,(x10),208378,-41899.0,1687448,-12405,14113847,Kris R.,TUKI TUKI (w/ GeezyDee)
2,-1,"W Sound - Pico Y Chao (W Sound 08) (w/ Kris R., Ovy On The Drums)",73,1,(x35),202047,-48998.0,1712107,-13775,17951084,W Sound,"Pico Y Chao (W Sound 08) (w/ Kris R., Ovy On The Drums)"
3,+1,Reykon - La Culpa,28,3,(x3),189828,-3961.0,1368660,76416,4260383,Reykon,La Culpa
4,+55,Natax Beat - Piel Morena,7,4,,177546,95234.0,826361,177546,826361,Natax Beat,Piel Morena
5,=,BTS - SWIM,59,1,(x8),177317,-15489.0,1420017,11689,13339388,BTS,SWIM
6,+1,Lenin Ramírez - Todo Lo Fue,101,5,,171784,-19724.0,1180859,-578,13783448,Lenin Ramírez,Todo Lo Fue
7,-4,ARIA VEGA - CHÉVERE (premium_remix) (w/ Ryan Castro),94,2,(x18),168110,-26447.0,1220184,-15689,19830665,ARIA VEGA,CHÉVERE (premium_remix) (w/ Ryan Castro)
8,-2,Kris R. - GANAS,122,1,(x2),164696,-27286.0,1336227,-2868,25548640,Kris R.,GANAS
9,-1,Mr Plata - Las Muñequitas (w/ El Americano 4KT),136,1,(x41),158527,-30497.0,1252751,-15951,27786323,Mr Plata,Las Muñequitas (w/ El Americano 4KT)
10,=,Grupo Firme - El Beneficio De La Duda,436,3,(x3),156021,-13051.0,1023048,-8522,43649986,Grupo Firme,El Beneficio De La Duda
11,-2,"Ryan Castro - LA VILLA (w/ Kapo, Gangsta)",201,1,(x26),149085,-25403.0,1097743,-8377,36274190,Ryan Castro,"LA VILLA (w/ Kapo, Gangsta)"
12,-1,Blessd - SUPERSTAR (w/ Los Money Makers),31,1,(x1),141226,-24784.0,1150482,-13091,6189249,Blessd,SUPERSTAR (w/ Los Money Makers)
13,-1,"Blessd - NUEVA YORK (w/ Los Money Makers, Prodmonja)",355,5,,133582,-28652.0,1102839,-18885,38702442,Blessd,"NUEVA YORK (w/ Los Money Makers, Prodmonja)"
14,+6,Yeison Jimenez - Destino Final (w/ Luis Alfonso),153,1,(x10),126089,-6697.0,756383,-10480,22854139,Yeison Jimenez,Destino Final (w/ Luis Alfonso)
15,-1,Lil Naay - UNA BABY EN SANTIAGO,67,12,,125718,-24915.0,1010645,661,7120405,Lil Naay,UNA BABY EN SANTIAGO
16,=,Luister La Voz - La María,59,14,,125204,-17670.0,903038,-4577,6943517,Luister La Voz,La María
17,-4,"Maisak - Te Entiendo - Remix (w/ Feid, Maluma)",18,4,,123600,-34614.0,1116295,-21284,3064703,Maisak,"Te Entiendo - Remix (w/ Feid, Maluma)"
18,-1,Michael Jackson - Billie Jean,30,15,,123118,-18068.0,899232,-1211,2936110,Michael Jackson,Billie Jean
