Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Omar Courtz - KOKO,87,1,(x50),35562,-7261.0,267887,-918,3538068,Omar Courtz,KOKO
2,=,"Ryan Castro - LA VILLA (w/ Kapo, Gangsta)",174,1,(x87),31396,-5890.0,222958,-1694,7170654,Ryan Castro,"LA VILLA (w/ Kapo, Gangsta)"
3,=,ARIA VEGA - CHÉVERE (premium_remix) (w/ Ryan Castro),94,2,(x5),28161,-6428.0,202017,-1977,3040281,ARIA VEGA,CHÉVERE (premium_remix) (w/ Ryan Castro)
4,+1,Mr Plata - Las Muñequitas (w/ El Americano 4KT),108,3,(x10),25753,-3827.0,189768,-645,2761727,Mr Plata,Las Muñequitas (w/ El Americano 4KT)
5,+1,Lil Naay - UNA BABY EN SANTIAGO,75,5,,23376,-3263.0,175063,1178,1273216,Lil Naay,UNA BABY EN SANTIAGO
6,+5,Jimin - Who,668,1,(x3),22945,-1015.0,152967,2218,14641903,Jimin,Who
7,=,Huan62 - Skokka,42,6,,21350,-3995.0,171704,625,703641,Huan62,Skokka
8,=,Omar Courtz - POR SI MAÑANA NO ESTOY,87,3,(x2),20940,-4050.0,163786,256,2282815,Omar Courtz,POR SI MAÑANA NO ESTOY
9,=,Michael Jackson - Billie Jean,69,8,,20606,-3558.0,144519,747,766152,Michael Jackson,Billie Jean
10,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",452,1,(x260),19952,-4166.0,147392,-2283,20806678,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
11,+3,YOVNGCHIMI - MVLAN (w/ JC Reyes),115,4,,18835,-2880.0,143823,-424,2763700,YOVNGCHIMI,MVLAN (w/ JC Reyes)
12,+4,Fuerza Regida - COQUETA (w/ Grupo Frontera),415,6,,18462,-2753.0,129071,385,6006876,Fuerza Regida,COQUETA (w/ Grupo Frontera)
13,+2,Romeo Santos - Dardos (w/ Prince Royce),171,4,,18311,-3329.0,133330,-161,3458458,Romeo Santos,Dardos (w/ Prince Royce)
14,-1,Beéle - no tiene sentido,367,2,(x71),18144,-3652.0,127859,905,11555986,Beéle,no tiene sentido
15,-3,Jay Wheeler - De Lejitos,38,1,(x5),18080,-4205.0,145813,-1440,1266570,Jay Wheeler,De Lejitos
16,+2,Grupo Firme - El Beneficio De La Duda,605,2,(x1),17794,-2838.0,116151,-772,6789920,Grupo Firme,El Beneficio De La Duda
17,=,Lenin Ramírez - Todo Lo Fue,88,17,,17530,-3132.0,118262,672,1038362,Lenin Ramírez,Todo Lo Fue
18,+2,Omar Courtz - WO OH OH (w/ ROA),87,2,(x2),17020,-2911.0,134333,65,1974564,Omar Courtz,WO OH OH (w/ ROA)
19,+9,BTS - SWIM,59,3,(x2),16743,-1408.0,116427,3322,1158527,BTS,SWIM
