Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+1,Lil Naay - MOOD BRAZIL,10,1,(x2),35523,-2325.0,204354,11644,262333,Lil Naay,MOOD BRAZIL
2,-1,Huan62 - Skokka,59,1,(x35),31833,-8539.0,222076,1655,1564398,Huan62,Skokka
3,=,Lil Naay - UNA BABY EN SANTIAGO,129,2,(x4),26066,-2253.0,175152,613,2531069,Lil Naay,UNA BABY EN SANTIAGO
4,=,BTS - SWIM,59,1,(x3),24438,-245.0,169224,2030,1487967,BTS,SWIM
5,RE,Natax Beat - Piel Morena,9,1,(x1),22994,,121129,25,209827,Natax Beat,Piel Morena
6,-1,Ezzy R - Se Dejo Del Novio (w/ Leo RD),149,1,(x79),22201,-1824.0,143844,953,4623869,Ezzy R,Se Dejo Del Novio (w/ Leo RD)
7,+1,"El Alfa - PANTI Y COLALE 2.0 (w/ De La Ghetto, Zion, DJ Chulo NYC, El Cherry Scom, La Greña, Ronny GTA, Ezzy R)",94,1,(x8),22037,-1048.0,138676,124,2256138,El Alfa,"PANTI Y COLALE 2.0 (w/ De La Ghetto, Zion, DJ Chulo NYC, El Cherry Scom, La Greña, Ronny GTA, Ezzy R)"
8,-2,Omar Courtz - KOKO,87,1,(x3),21333,-2456.0,147638,940,1850581,Omar Courtz,KOKO
9,NEW,"Rochak Kohli - Dil Waale Chor (w/ Shreya Ghoshal, Aditya Rikhari, Kumaar)",1,9,,20774,,20774,20774,20774,Rochak Kohli,"Dil Waale Chor (w/ Shreya Ghoshal, Aditya Rikhari, Kumaar)"
10,NEW,"Tanishk Bagchi - Roop Di Rani (From ""Pati Patni Aur Woh Do"") (w/ Guru Randhawa, Heer, Indeevar)",1,10,,20771,,20771,20771,20771,Tanishk Bagchi,"Roop Di Rani (From ""Pati Patni Aur Woh Do"") (w/ Guru Randhawa, Heer, Indeevar)"
11,NEW,"Badshah - Humne Wahin Lagaya Dil (From ""Pati Patni Aur Woh Do"") (w/ Devv Sadaana, Kunaal Vermaa, Krish Mondal, Kishore Mondal, Hiten, Ipsitaa)",1,11,,20755,,20755,20755,20755,Badshah,"Humne Wahin Lagaya Dil (From ""Pati Patni Aur Woh Do"") (w/ Devv Sadaana, Kunaal Vermaa, Krish Mondal, Kishore Mondal, Hiten, Ipsitaa)"
12,-5,Amenazzy - El Sultan (w/ Alofoke Music),5,7,,20746,-2354.0,84767,20746,84767,Amenazzy,El Sultan (w/ Alofoke Music)
13,-4,"Jey One - Saca Punta (w/ Arlene MC, La Más Doll)",16,8,,19878,-1642.0,128607,1325,283039,Jey One,"Saca Punta (w/ Arlene MC, La Más Doll)"
14,-4,Lil Naay - Pasao De Famarcia,262,2,(x1),16901,-1497.0,114949,1427,4501261,Lil Naay,Pasao De Famarcia
15,-4,Omar Courtz - POR SI MAÑANA NO ESTOY,87,5,,16027,-1613.0,114023,763,1468728,Omar Courtz,POR SI MAÑANA NO ESTOY
16,-4,Dowba Montana - La Chica Que Me Gusta,4,12,,15917,-1560.0,61132,15917,61132,Dowba Montana,La Chica Que Me Gusta
17,-4,Omar Courtz - L a k e n o s h i,87,7,,15365,-1611.0,108720,190,1294302,Omar Courtz,L a k e n o s h i
18,+3,RONNY GTA - Esa Nena (w/ Megadivo Produce),6,18,,14388,794.0,69593,14388,69593,RONNY GTA,Esa Nena (w/ Megadivo Produce)
19,-4,Mestizo Is Back - ENCUERA (w/ July Queen),70,9,,14375,-1036.0,94714,70,946587,Mestizo Is Back,ENCUERA (w/ July Queen)
20,-6,Yk It’s Junaa - WoW,235,8,,13930,-1738.0,98032,-958,1781547,Yk It’s Junaa,WoW
21,-2,Romeo Santos - Dardos (w/ Prince Royce),171,3,(x1),13007,-1036.0,82140,285,2482558,Romeo Santos,Dardos (w/ Prince Royce)
22,-6,Lil Naay - KTEDE,317,12,,12904,-1742.0,90144,484,2909991,Lil Naay,KTEDE
23,-3,Bad Bunny - BAILE INoLVIDABLE,498,1,(x67),12869,-1136.0,89434,-341,11673511,Bad Bunny,BAILE INoLVIDABLE
24,-6,Yk It’s Junaa - Envenenau,297,1,(x1),12767,-1330.0,87745,122,4434759,Yk It’s Junaa,Envenenau
25,-8,Omar Courtz - WO OH OH (w/ ROA),87,5,,12646,-1999.0,94356,-29,1337660,Omar Courtz,WO OH OH (w/ ROA)
26,-1,Ronny GTA - Rumores (w/ Megadivo Produce),175,1,(x3),12347,-698.0,89710,-2979,4452135,Ronny GTA,Rumores (w/ Megadivo Produce)
27,-5,Leo RD - No Me Acuesto (w/ Ezzy R),113,13,,11830,-1607.0,80613,224,1477518,Leo RD,No Me Acuesto (w/ Ezzy R)
28,+3,Dalvin La Melodia - Tesoro Perdido,177,12,,11696,-36.0,60411,786,1731392,Dalvin La Melodia,Tesoro Perdido
29,-6,Yk It’s Junaa - GAS,59,12,,11663,-1519.0,83286,-650,676790,Yk It’s Junaa,GAS
30,-3,Yk It’s Junaa - DIGITAL15,250,1,(x11),11413,-1052.0,78969,367,4206417,Yk It’s Junaa,DIGITAL15
31,-7,Dowba Montana - ALO ALO ALO (w/ Lil Naay),28,11,,11409,-1751.0,86037,-1462,366316,Dowba Montana,ALO ALO ALO (w/ Lil Naay)
32,=,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",498,2,(x23),10866,-639.0,76495,-50,10038794,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
33,-5,Bad Bunny - DtMF,498,1,(x11),10860,-1215.0,76522,-569,9405815,Bad Bunny,DtMF
34,-8,NTG - Vuelvo Mejor,33,21,,10703,-2151.0,78880,548,342104,NTG,Vuelvo Mejor
35,=,"Jey One - Bo de Bo de Bo (w/ Yaisel LM, OG DETRUYELO)",112,8,,10631,-301.0,65935,-6,1408698,Jey One,"Bo de Bo de Bo (w/ Yaisel LM, OG DETRUYELO)"
36,-7,Aventura - El Perdedor,1188,14,,10538,-1353.0,69841,590,7943332,Aventura,El Perdedor
37,-7,Luis Brown - SWAGGER,58,14,,10412,-1336.0,73208,214,668499,Luis Brown,SWAGGER
38,-4,Donaty - Chica Baila (w/ Bryant LR),107,5,,10275,-1084.0,67546,279,1514051,Donaty,Chica Baila (w/ Bryant LR)
39,=,Lil Naay - Perfect,377,14,,10154,-339.0,68284,708,3689082,Lil Naay,Perfect
40,+7,Lil Naay - Mami,572,12,,9814,-153.0,61363,1051,5891929,Lil Naay,Mami
41,-8,Beéle - no tiene sentido,367,1,(x12),9806,-1673.0,69850,514,6188873,Beéle,no tiene sentido
42,-6,Bad Bunny - NUEVAYoL,498,1,(x4),9732,-1124.0,67219,107,8820997,Bad Bunny,NUEVAYoL
43,+3,Romeo Santos - Imitadora,1792,2,(x10),9581,-477.0,61970,171,7749686,Romeo Santos,Imitadora
44,-3,Omar Courtz - VAMOaCOCHI,87,18,,9445,-867.0,67549,603,923915,Omar Courtz,VAMOaCOCHI
45,-7,Bad Bunny - EoO,498,6,,9362,-1277.0,65730,10,7939638,Bad Bunny,EoO
46,-3,Maiky Pailon - PAL ME TIENEN DEMA (w/ Herido no muerto),18,34,,9320,-832.0,62773,1421,133948,Maiky Pailon,PAL ME TIENEN DEMA (w/ Herido no muerto)
47,-10,NTG - Repeat (w/ Yk It’s Junaa),201,22,,9306,-1458.0,64849,372,1887736,NTG,Repeat (w/ Yk It’s Junaa)
48,-8,Dj Adoni - Demasiada Buena (w/ Ronny GTA),58,9,,9098,-1360.0,61700,-550,666849,Dj Adoni,Demasiada Buena (w/ Ronny GTA)
49,-7,Bad Bunny - KLOuFRENS,498,6,,9059,-1207.0,63994,120,7516836,Bad Bunny,KLOuFRENS
50,-5,Romeo Santos - Que Se Mueran,317,35,,8877,-1239.0,59290,-532,2321382,Romeo Santos,Que Se Mueran
51,-7,Lil Naay - SALEN MALOS (w/ Yk It’s Junaa),129,12,,8739,-1407.0,62918,221,1285176,Lil Naay,SALEN MALOS (w/ Yk It’s Junaa)
52,+4,J Balvin - LA CANCIÓN (w/ Bad Bunny),2516,1,(x13),8608,-560.0,57980,896,19188788,J Balvin,LA CANCIÓN (w/ Bad Bunny)
53,+2,Ezzy R - Shorty (w/ Megadivo Produce),118,15,,8515,-728.0,57444,-230,1357015,Ezzy R,Shorty (w/ Megadivo Produce)
54,+5,TRAPPSTARS TS - 1/1 (w/ Lil Naay),123,19,,8424,-679.0,57425,717,1156157,TRAPPSTARS TS,1/1 (w/ Lil Naay)
55,-2,Michael Jackson - Billie Jean,23,50,,8408,-966.0,57572,977,166610,Michael Jackson,Billie Jean
56,-7,Javier Ferreira - CLACK CLACK,2,49,,8406,-1276.0,18088,8406,18088,Javier Ferreira,CLACK CLACK
57,+23,Dalvin La Melodia - Ya Me Enteré - En Vivo,145,34,,8363,308.0,36231,743,1038168,Dalvin La Melodia,Ya Me Enteré - En Vivo
58,-8,Jezzy - LA MUJER QUE ME PARIO,100,19,,8314,-1340.0,54066,254,925829,Jezzy,LA MUJER QUE ME PARIO
59,-1,"Donaty - Despejando (w/ Leo RD, Bryant LR)",86,32,,8307,-830.0,51677,882,709950,Donaty,"Despejando (w/ Leo RD, Bryant LR)"
60,+10,Yovng Gretty - Culpa Mia (w/ Ezzy R),7,60,,8294,-179.0,40251,3496,45049,Yovng Gretty,Culpa Mia (w/ Ezzy R)
61,-13,"Ya Ice Dilan - Dichavate (w/ Rey Tony, Helabusador, JipMusic Global, Dj Honda)",29,44,,8254,-1443.0,60918,1434,198459,Ya Ice Dilan,"Dichavate (w/ Rey Tony, Helabusador, JipMusic Global, Dj Honda)"
62,+1,Mr Plata - Las Muñequitas (w/ El Americano 4KT),65,51,,8229,-575.0,55121,-365,415842,Mr Plata,Las Muñequitas (w/ El Americano 4KT)
63,+16,"Nacho Estrella - Hija de la noche (w/ Alofoke Music, Jay One, Diana La Miss)",11,46,,8205,88.0,48764,1142,81526,Nacho Estrella,"Hija de la noche (w/ Alofoke Music, Jay One, Diana La Miss)"
64,+9,Lil Naay - OTRO SISTEMA (w/ Huan62),453,2,(x5),8098,-328.0,54152,254,4991803,Lil Naay,OTRO SISTEMA (w/ Huan62)
65,-8,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",448,1,(x54),8097,-1064.0,57209,-158,8143047,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
66,+12,Romeo Santos - Ay! San Miguel (w/ Prince Royce),171,13,,8034,-194.0,46218,213,1517476,Romeo Santos,Ay! San Miguel (w/ Prince Royce)
67,-15,Donaty - Lo Que Pueda (w/ Herido no muerto),229,1,(x1),8014,-1430.0,61485,-698,3715494,Donaty,Lo Que Pueda (w/ Herido no muerto)
68,-6,Aventura - Dile al Amor,1538,16,,7983,-823.0,51375,-74,7797176,Aventura,Dile al Amor
69,-1,Omar Courtz - ⁠LUCES DE COLORES,444,39,,7934,-544.0,54964,825,2679524,Omar Courtz,⁠LUCES DE COLORES
70,-19,"Ezzy R - Hagan De To Meno Daño (w/ KiK1 STW, Ronny GTA)",187,3,(x2),7926,-1547.0,57705,-528,3059760,Ezzy R,"Hagan De To Meno Daño (w/ KiK1 STW, Ronny GTA)"
71,-7,Bad Bunny - NO ME QUIERO CASAR,948,4,,7874,-872.0,55351,612,9222246,Bad Bunny,NO ME QUIERO CASAR
72,+38,Bulin 47 - Me La Sube (w/ Breyco En Producidera),45,29,,7720,697.0,40745,1205,328063,Bulin 47,Me La Sube (w/ Breyco En Producidera)
73,-13,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),549,1,(x1),7714,-1370.0,56095,406,7749609,Rauw Alejandro,Qué Pasaría... (w/ Bad Bunny)
74,+28,RONNY GTA - Una Amenaza Musical (w/ Megadivo Produce),6,74,,7691,524.0,37475,7691,37475,RONNY GTA,Una Amenaza Musical (w/ Megadivo Produce)
75,-3,Yk It’s Junaa - Mi Voz y Mi Ritmo,151,40,,7679,-748.0,54642,295,1031993,Yk It’s Junaa,Mi Voz y Mi Ritmo
76,-5,"Huan62 - L NAMA (w/ Lil Naay, Dowba Montana)",487,4,,7626,-830.0,53009,401,5305923,Huan62,"L NAMA (w/ Lil Naay, Dowba Montana)"
