Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,BTS - SWIM,59,1,(x54),48054,-6337.0,368967,2568,3519928,BTS,SWIM
2,=,Omar Courtz - KOKO,85,1,(x5),43366,-5896.0,320246,3301,3577336,Omar Courtz,KOKO
3,=,Michael Jackson - Billie Jean,41,2,(x1),43024,-5243.0,302001,1045,1181775,Michael Jackson,Billie Jean
4,=,Fuerza Regida - COQUETA (w/ Grupo Frontera),414,3,(x12),41811,-3923.0,297028,2604,14193859,Fuerza Regida,COQUETA (w/ Grupo Frontera)
5,=,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",157,3,(x1),37190,-4975.0,275321,1377,5257298,El Bogueto,"Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)"
6,+1,Michael Jackson - Beat It,25,6,,33259,-3902.0,240403,-264,799345,Michael Jackson,Beat It
7,-1,Bad Bunny - BAILE INoLVIDABLE,498,1,(x71),33035,-4581.0,241790,921,31684397,Bad Bunny,BAILE INoLVIDABLE
8,=,Danny Ocean - Me Rehúso,3445,1,(x4),32746,-4336.0,243444,1963,51325451,Danny Ocean,Me Rehúso
9,+2,Mr Plata - Las Muñequitas (w/ El Americano 4KT),110,4,,32267,-3198.0,224569,230,3406000,Mr Plata,Las Muñequitas (w/ El Americano 4KT)
10,+2,Huan62 - Skokka,30,6,,31422,-3761.0,237339,2678,728165,Huan62,Skokka
11,+2,Lil Naay - UNA BABY EN SANTIAGO,54,9,,31420,-3640.0,229749,2902,1369059,Lil Naay,UNA BABY EN SANTIAGO
12,-3,Beéle - no tiene sentido,367,1,(x19),30376,-5798.0,221464,3147,21575575,Beéle,no tiene sentido
13,-3,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",451,1,(x186),29950,-5610.0,225452,-1669,33663965,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
14,=,Romeo Santos - Dardos (w/ Prince Royce),171,3,(x2),29935,-4519.0,218231,3784,6107436,Romeo Santos,Dardos (w/ Prince Royce)
15,=,"Ryan Castro - LA VILLA (w/ Kapo, Gangsta)",153,1,(x24),29762,-4314.0,214643,735,6526635,Ryan Castro,"LA VILLA (w/ Kapo, Gangsta)"
16,=,Fuerza Regida - TU SANCHO,356,3,(x1),29551,-3779.0,220920,189,6766250,Fuerza Regida,TU SANCHO
17,+3,Jósean Log - Doma,64,16,,29531,-1477.0,209655,3259,1486044,Jósean Log,Doma
18,=,Plan B - Es un Secreto,1850,3,(x3),29258,-3141.0,209871,2288,50350414,Plan B,Es un Secreto
19,-2,Omar Courtz - POR SI MAÑANA NO ESTOY,87,10,,29207,-3225.0,217824,2912,2551568,Omar Courtz,POR SI MAÑANA NO ESTOY
20,-1,Rels B - TU VAS SIN (fav),322,1,(x8),27037,-4900.0,206862,311,13257180,Rels B,TU VAS SIN (fav)
21,=,El Bogueto - Cuando No Era Cantante (w/ Yung Beef),230,1,(x31),26960,-3820.0,197043,-4698,9569798,El Bogueto,Cuando No Era Cantante (w/ Yung Beef)
22,+3,J Balvin - LA CANCIÓN (w/ Bad Bunny),2516,2,(x37),26127,-2281.0,186418,3041,57393787,J Balvin,LA CANCIÓN (w/ Bad Bunny)
23,-1,Bad Bunny - EoO,498,2,(x9),25991,-4474.0,193001,701,23356436,Bad Bunny,EoO
24,+7,Frankie Ruiz - Tu Con El,100,22,,25683,-922.0,155278,313,2106222,Frankie Ruiz,Tu Con El
25,+1,Feid - LUNA (w/ ATL Jacob),899,1,(x173),25262,-2870.0,186521,1178,50483943,Feid,LUNA (w/ ATL Jacob)
26,+7,Lenin Ramírez - Todo Lo Fue,72,26,,24481,-1604.0,166680,1585,1248303,Lenin Ramírez,Todo Lo Fue
27,+2,Bad Bunny - DtMF,498,1,(x16),24386,-2588.0,176788,533,24937233,Bad Bunny,DtMF
28,-4,"Ya Ice Dilan - Dichavate (w/ Rey Tony, Helabusador, JipMusic Global, Dj Honda)",47,23,,24316,-4396.0,182904,1496,1061058,Ya Ice Dilan,"Dichavate (w/ Rey Tony, Helabusador, JipMusic Global, Dj Honda)"
29,+1,"Blessd - NUEVA YORK (w/ Los Money Makers, Prodmonja)",161,24,,24014,-2610.0,181543,-1,3266128,Blessd,"NUEVA YORK (w/ Los Money Makers, Prodmonja)"
