Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,PLK - Pocahontas,66,1,(x53),353938,-46611.0,2729000,-1920,27001956,PLK,Pocahontas
2,=,disiz - melodrama (w/ Theodora),234,1,(x158),284773,-32638.0,2183728,-7420,125064466,disiz,melodrama (w/ Theodora)
3,=,Leto - Pineapple,38,2,(x6),259118,-32975.0,2098051,-7711,10793606,Leto,Pineapple
4,+1,Aya Nakamura - Sexy Nana (w/ La Rvfleuze),10,4,,242456,-29021.0,1658567,108508,2131078,Aya Nakamura,Sexy Nana (w/ La Rvfleuze)
5,-1,Michael Jackson - Billie Jean,109,4,,236691,-46652.0,1828291,3297,11314308,Michael Jackson,Billie Jean
6,+1,RnBoi - ELLE VOULAIT,52,1,(x1),217655,-25328.0,1826239,-22522,16875271,RnBoi,ELLE VOULAIT
7,-1,Gambi - RENÉ CAOVILLA,45,4,,213546,-31290.0,1697528,4940,11229356,Gambi,RENÉ CAOVILLA
8,=,Nono La Grinta - LOVE YOU,217,2,(x2),210933,-22685.0,1590378,9413,73800754,Nono La Grinta,LOVE YOU
9,+1,kulturr - méli-mélo,62,7,,194987,-20052.0,1491221,3631,11434787,kulturr,méli-mélo
10,-1,Michael Jackson - Beat It,27,8,,194524,-35638.0,1498532,3979,4787199,Michael Jackson,Beat It
11,=,Rambo goyard - B.M.S (by my side),129,2,(x17),191596,-19766.0,1479919,-2147,42363039,Rambo goyard,B.M.S (by my side)
12,+1,Mauvais djo - Pilé,94,12,,186784,-19244.0,1283571,41953,10341438,Mauvais djo,Pilé
13,-1,R2 - RUINART,335,1,(x14),181592,-24760.0,1367743,8100,91061161,R2,RUINART
14,+2,La Rvfleuze - PARLU,52,4,,179583,-21992.0,1501430,-19433,11928310,La Rvfleuze,PARLU
15,+2,RnBoi - MON BÉBÉ,206,1,(x3),178620,-18887.0,1394011,-19107,87623263,RnBoi,MON BÉBÉ
16,-2,GIMS - SPA (w/ Theodora),122,4,,178308,-25699.0,1337640,12417,29687167,GIMS,SPA (w/ Theodora)
17,-2,RnBoi - AVEC MOI (w/ Nono La Grinta),122,4,,173570,-30079.0,1479424,-40464,33843735,RnBoi,AVEC MOI (w/ Nono La Grinta)
18,+1,WIXO & LA2S - GMK,118,3,(x4),166984,-15187.0,1285801,-1116,28484035,WIXO & LA2S,GMK
19,+6,Dominic Fike - Babydoll,106,15,,163269,-1642.0,1142946,8305,16304240,Dominic Fike,Babydoll
20,-2,Willylancien - magique,32,5,,162337,-22782.0,1451325,-18734,5591623,Willylancien,magique
21,=,Nono La Grinta - Paris,410,1,(x6),156513,-22346.0,1212129,5141,91978554,Nono La Grinta,Paris
22,+1,PLK - Sex Model (w/ Theodora),87,3,(x5),152658,-14078.0,1187427,-6507,20693297,PLK,Sex Model (w/ Theodora)
23,+1,Black Cat - BMW,97,13,,152459,-12657.0,1113459,6634,16629996,Black Cat,BMW
24,+2,PLK - Tu dors ?,66,9,,152184,-9155.0,1171306,-3014,11485232,PLK,Tu dors ?
