Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Bruno X Spacc - SZEXI BB - Bruno (w/ Bereczki Zoltán),11,1,(x9),59152,-8260.0,501053,-9580,754221,Bruno X Spacc,SZEXI BB - Bruno (w/ Bereczki Zoltán)
2,=,"DESH - TIP TIP (w/ Young Fly, Azahriah)",69,1,(x44),36815,-8660.0,328093,-6711,5285817,DESH,"TIP TIP (w/ Young Fly, Azahriah)"
3,+2,"Bruno X Spacc - KIK EZEK - Bruno (w/ VINI, KKevin)",4,3,(x1),33453,3347.0,115941,33453,115941,Bruno X Spacc,"KIK EZEK - Bruno (w/ VINI, KKevin)"
4,-1,Dzsúdló - VRUMM,6,1,(x1),31714,-4504.0,271932,31714,271932,Dzsúdló,VRUMM
5,+1,Manuel - Diagram,6,3,(x1),27537,-1872.0,216333,27537,216333,Manuel,Diagram
6,-2,VINI - EX N GO (w/ Sofi),31,2,(x1),26095,-4793.0,234331,-4011,1241368,VINI,EX N GO (w/ Sofi)
7,=,Pogány Induló - Így sem könnyebb,33,1,(x11),24204,-4073.0,231793,-8606,1805139,Pogány Induló,Így sem könnyebb
8,=,VINI - SHAKE DAT (w/ BELANO),101,2,(x7),22882,-4594.0,188539,1561,3165844,VINI,SHAKE DAT (w/ BELANO)
9,=,BSW - Always be mine (w/ Nagy Bogi),14,2,(x2),21587,-3658.0,211670,-3797,471479,BSW,Always be mine (w/ Nagy Bogi)
10,+1,Beton.Hofi - BE VAGYOK ZÁRVA,378,1,(x19),21534,-3087.0,180431,-813,12073102,Beton.Hofi,BE VAGYOK ZÁRVA
11,+4,Michael Jackson - Billie Jean,215,9,,20867,-3043.0,146810,1195,1019934,Michael Jackson,Billie Jean
12,+1,Beton.Hofi - MIRE SZÁMÍTOTTÁL (w/ Hundred Sins),87,1,(x4),20788,-3300.0,175538,-164,3316153,Beton.Hofi,MIRE SZÁMÍTOTTÁL (w/ Hundred Sins)
13,+1,Nagy Bogi - Jól leszek újra (w/ DESH),94,1,(x20),20704,-3238.0,172619,-1992,4245131,Nagy Bogi,Jól leszek újra (w/ DESH)
14,-2,Bruno X Spacc - AFTERPARTY (w/ mollywood),242,1,(x65),20092,-4365.0,152516,830,7837746,Bruno X Spacc,AFTERPARTY (w/ mollywood)
15,-5,DESH - OHMAMMA (w/ Young Fly),283,1,(x34),19319,-5837.0,166710,-4435,8822677,DESH,OHMAMMA (w/ Young Fly)
16,+4,VINI - Rodalinda (w/ Bruno),181,16,,19162,-1595.0,140805,3608,2299594,VINI,Rodalinda (w/ Bruno)
17,+2,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),37,4,,19132,-2792.0,153160,-4903,974140,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
18,-2,T. Danny - 8 (w/ VINI),18,5,,18216,-4659.0,165527,-1720,424336,T. Danny,8 (w/ VINI)
19,-2,"VZS - SHOW ME WHAT YOU GOT (w/ JOJO, KKevin)",110,1,(x15),17886,-4399.0,154434,-2477,3827103,VZS,"SHOW ME WHAT YOU GOT (w/ JOJO, KKevin)"
20,+2,Michael Jackson - Beat It,27,20,,17855,-2227.0,126641,836,380340,Michael Jackson,Beat It
21,+4,Temper City - Self Aware,55,11,,17745,-728.0,143252,-1665,894610,Temper City,Self Aware
22,+2,Manuel - Dada (w/ Azahriah),62,2,(x15),17462,-1429.0,140402,769,2179213,Manuel,Dada (w/ Azahriah)
23,+4,Dominic Fike - Babydoll,107,4,,16861,-589.0,124324,-1146,2267225,Dominic Fike,Babydoll
24,-1,Pogány Induló - Kell egy pár nap,33,3,(x3),16765,-2899.0,164390,-6100,1216232,Pogány Induló,Kell egy pár nap
25,-4,DESH - SUV (w/ Young Fly),658,1,(x19),16718,-3565.0,134901,1457,21759744,DESH,SUV (w/ Young Fly)
26,-8,"DESH - PANNONIA (w/ Young Fly, Azahriah)",661,1,(x123),16149,-6033.0,140168,-4146,24956184,DESH,"PANNONIA (w/ Young Fly, Azahriah)"
27,-1,VINI - BOTRÁNY,160,3,(x2),15060,-2796.0,122361,928,3024962,VINI,BOTRÁNY
28,+1,DESH - Strawberry,746,1,(x32),14700,-2357.0,105987,1005,17703552,DESH,Strawberry
29,-1,Azahriah - utema,36,1,(x3),14518,-2616.0,141628,-5240,1544057,Azahriah,utema
30,+3,Irie Maffia - Nesztek! (w/ Beton.Hofi),3,16,,14073,-1439.0,56670,14073,56670,Irie Maffia,Nesztek! (w/ Beton.Hofi)
31,-1,Dzsúdló - díva (w/ DESH),644,3,(x14),13871,-3024.0,118945,-3022,17140379,Dzsúdló,díva (w/ DESH)
32,=,Pogány Induló - Michelin csillag,33,3,(x1),13740,-2073.0,135147,-5010,1050861,Pogány Induló,Michelin csillag
33,+4,KKevin - TAKE YOUR TIME,76,3,(x2),13428,-1463.0,108840,-540,1618245,KKevin,TAKE YOUR TIME
34,+1,gyuris - hamupipőke (w/ Manuel),4,15,,13110,-2290.0,72143,13110,72143,gyuris,hamupipőke (w/ Manuel)
35,-1,Azahriah - Felednéd (w/ DESH),1341,5,,12559,-2885.0,105288,-1663,15353080,Azahriah,Felednéd (w/ DESH)
36,-5,Azahriah - TITANIK (w/ GHO$TY),21,2,(x1),12477,-3487.0,130081,-7287,534737,Azahriah,TITANIK (w/ GHO$TY)
37,+8,KKevin - PROSECCO (w/ Bruno X Spacc),690,11,,12137,-1533.0,86560,237,9629527,KKevin,PROSECCO (w/ Bruno X Spacc)
38,-2,Mirror Glimpse - DADDY,185,1,(x7),12113,-2954.0,112968,-2539,4253577,Mirror Glimpse,DADDY
39,-1,BSW - Lidokain (w/ ByeAlex és a Slepp),644,2,(x4),11981,-2759.0,106434,-134,13807441,BSW,Lidokain (w/ ByeAlex és a Slepp)
40,+2,"VZS - RENDŐR BÁCSI, KÉREM",248,5,,11949,-2012.0,89452,1275,3440786,VZS,"RENDŐR BÁCSI, KÉREM"
41,=,Manuel - Nosztalgia,463,1,(x24),11881,-2171.0,110672,-1900,8002812,Manuel,Nosztalgia
42,+2,T. Danny - xXx,67,4,,11838,-1882.0,107307,-3587,1730381,T. Danny,xXx
43,+20,Beton.Hofi - PANASONIC,88,1,(x1),11751,-61.0,94679,-204,2063045,Beton.Hofi,PANASONIC
44,-5,Drake - National Treasures,3,15,,11692,-2794.0,53322,11692,53322,Drake,National Treasures
45,+4,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),91,16,,11608,-1290.0,92888,-1498,1272099,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
46,+12,Beton.Hofi - ANGYALOK,334,3,(x3),11548,-617.0,93531,1317,4848299,Beton.Hofi,ANGYALOK
