Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+70,DARA - Bangaranga,2,1,(x1),6826,5225.0,8427,6826,8427,DARA,Bangaranga
2,+1,Hafdís Huld - Dvel ég í draumahöll,2511,1,(x57),4195,363.0,26844,-2,8015792,Hafdís Huld,Dvel ég í draumahöll
3,-2,Drake - National Treasures,3,1,(x1),3955,-974.0,17683,3955,17683,Drake,National Treasures
4,-2,Michael Jackson - Billie Jean,43,2,(x2),3946,-454.0,28880,127,103244,Michael Jackson,Billie Jean
5,+10,Hafdís Huld - Litlar stjörnur,2369,2,(x12),3486,201.0,21940,85,6324756,Hafdís Huld,Litlar stjörnur
6,+14,Hafdís Huld - Sofðu unga ástin mín,2391,3,(x4),3386,249.0,21036,133,6076347,Hafdís Huld,Sofðu unga ástin mín
7,-3,Drake - Janice STFU,3,4,,3379,-428.0,15215,3379,15215,Drake,Janice STFU
8,+17,Hafdís Huld - Óskasteinar,2396,3,(x4),3309,235.0,20432,129,6042104,Hafdís Huld,Óskasteinar
9,-1,Michael Jackson - Beat It,25,8,,3170,-345.0,23120,176,65321,Michael Jackson,Beat It
10,-3,Michael Jackson - Human Nature,21,6,,3168,-369.0,24570,182,57793,Michael Jackson,Human Nature
11,+17,Hafdís Huld - Sofa urtubörn,2274,5,,3064,225.0,18995,31,5441189,Hafdís Huld,Sofa urtubörn
12,+18,Hafdís Huld - Bíum bíum bambaló,2262,6,,2965,248.0,18592,93,5124577,Hafdís Huld,Bíum bíum bambaló
13,+18,Hafdís Huld - Ljós,2262,7,,2902,209.0,18117,46,5202184,Hafdís Huld,Ljós
14,+8,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),57,2,(x1),2900,-228.0,22498,-566,175640,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
15,-6,Herra Hnetusmjör - LAS Á MILLI LÍNANNA,33,4,,2898,-599.0,24480,67,165466,Herra Hnetusmjör,LAS Á MILLI LÍNANNA
