Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,CORTIS - REDRED,28,1,(x20),119664,6425.0,827437,7234,2594317,CORTIS,REDRED
2,=,ILLIT - It's Me,18,2,(x10),87460,2341.0,603828,-531,1349209,ILLIT,It's Me
3,+1,NMIXX - Heavy Serenade,7,3,(x1),73738,7775.0,437689,73738,437689,NMIXX,Heavy Serenade
4,-1,Jung Kook - Seven (w/ Latto),1039,1,(x116),73070,-3239.0,552674,35565,65344014,Jung Kook,Seven (w/ Latto)
5,=,HANRORO - 0+0,242,1,(x5),61936,853.0,403747,322,11540471,HANRORO,0+0
6,=,HANRORO - Landing in Love,307,1,(x1),60544,496.0,385672,1045,12849018,HANRORO,Landing in Love
7,=,Hearts2Hearts - RUDE!,87,1,(x18),57705,569.0,382088,1663,6138398,Hearts2Hearts,RUDE!
8,=,AKMU - Paradise of Rumors,41,1,(x7),55930,1022.0,371488,-6167,2677862,AKMU,Paradise of Rumors
9,+1,aespa - WDA (Whole Different Animal) (w/ G-DRAGON),7,5,,52252,2833.0,299262,52252,299262,aespa,WDA (Whole Different Animal) (w/ G-DRAGON)
10,+1,Jimin - Who,668,1,(x548),50404,2094.0,382133,-27455,99092535,Jimin,Who
11,-2,"NOWIMYOUNG - KISS KISS KISS (Feat. SUNWOO (THE BOYZ)) (Prod. by Hukky Shibaseki) (w/ Royal 44, SUNWOO)",59,2,(x6),48875,-2269.0,334752,-1944,3614736,NOWIMYOUNG,"KISS KISS KISS (Feat. SUNWOO (THE BOYZ)) (Prod. by Hukky Shibaseki) (w/ Royal 44, SUNWOO)"
12,+1,YENA - Catch Catch,62,12,,47194,1219.0,294913,6073,2229284,YENA,Catch Catch
13,-1,BTS - SWIM,59,1,(x25),46257,-583.0,336093,-916,4479397,BTS,SWIM
14,=,"HAON - TICK TOCK (Feat. ZICO) (Prod. by ZICO, Crush) (w/ Nosun, Raf Sandou, Marv, Jung Junhyuk, ZICO)",73,2,(x7),45653,359.0,290199,621,3833943,HAON,"TICK TOCK (Feat. ZICO) (Prod. by ZICO, Crush) (w/ Nosun, Raf Sandou, Marv, Jung Junhyuk, ZICO)"
15,+1,hamo - 아크라포빅 (Akrapovic),93,4,,40762,1576.0,262100,-950,3770926,hamo,아크라포빅 (Akrapovic)
16,-1,Jin - Don’t Say You Love Me,367,1,(x11),40441,668.0,287987,1264,20819399,Jin,Don’t Say You Love Me
17,+5,LEE CHANHYUK - Endangered Love,297,11,,35874,2797.0,227006,2201,7198621,LEE CHANHYUK,Endangered Love
18,+9,Epik High - Love Love Love,187,5,,35420,5593.0,226991,135,6012497,Epik High,Love Love Love
19,-2,KiiiKiii - 404 (New Era),112,1,(x5),35372,-904.0,244179,1043,6059388,KiiiKiii,404 (New Era)
20,+1,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),35,14,,34851,1183.0,236428,-1065,1112613,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
21,-3,"AKMU - Joy, Sorrow, A Beautiful Heart",41,3,(x5),34828,-208.0,250799,-4813,2092533,AKMU,"Joy, Sorrow, A Beautiful Heart"
22,-3,HANRORO - Let Me Love My Youth,310,6,,34790,218.0,238203,618,7557515,HANRORO,Let Me Love My Youth
23,-3,"Woo - We Are (w/ Loco, GRAY)",516,15,,34324,441.0,218298,1091,5076399,Woo,"We Are (w/ Loco, GRAY)"
24,-1,OFFICIAL HIGE DANDISM - Pretender,693,22,,33450,1418.0,217554,2409,9427185,OFFICIAL HIGE DANDISM,Pretender
25,-1,CORTIS - GO!,230,6,,31968,918.0,200879,7980,5064717,CORTIS,GO!
26,-1,데이먼스 이어 Damons year - yours,1298,6,,31821,1101.0,200966,4726,16695738,데이먼스 이어 Damons year,yours
27,-1,CORTIS - YOUNGCREATORCREW,14,21,,31561,1333.0,217164,858,413710,CORTIS,YOUNGCREATORCREW
28,+1,Hearts2Hearts - STYLE,334,8,,30442,1365.0,200725,2873,9433660,Hearts2Hearts,STYLE
29,+6,PLAVE - Born Savage,35,16,,30273,3961.0,202986,1138,992427,PLAVE,Born Savage
30,=,Hearts2Hearts - FOCUS,210,6,,29763,1220.0,202600,1097,7147052,Hearts2Hearts,FOCUS
31,-3,BTS - Body to Body,59,2,(x7),29752,318.0,215823,-860,3142331,BTS,Body to Body
32,+4,PLAVE - HMPH! (w/ SOLE),43,22,,29068,3705.0,191142,1240,1024874,PLAVE,HMPH! (w/ SOLE)
33,+1,Redoor - Forever Has Always Been,365,17,,28475,1652.0,182076,320,6776520,Redoor,Forever Has Always Been
34,-2,BABYMONSTER - CHOOM,13,26,,28452,316.0,204532,-581,341638,BABYMONSTER,CHOOM
35,-4,BTS - 2.0,59,8,,27598,-807.0,208277,-2372,2465186,BTS,2.0
36,-3,ILLIT - Magnetic,784,1,(x11),27359,-91.0,185616,1843,18516419,ILLIT,Magnetic
37,+1,CORTIS - TNT,14,25,,26287,1005.0,186728,1622,352901,CORTIS,TNT
38,+7,PLAVE - Think I Am,35,24,,25731,3264.0,173530,111,831515,PLAVE,Think I Am
39,+2,"Car, the garden - My whole world",135,3,(x2),25126,576.0,163596,1558,4432239,"Car, the garden",My whole world
40,-3,aespa - Whiplash,574,3,(x21),24558,-789.0,166010,2496,16159975,aespa,Whiplash
41,+1,BTS - Hooligan,59,3,(x1),24118,-346.0,180345,-1933,2430053,BTS,Hooligan
42,-3,WOODZ - Drowning,593,7,,23706,-1225.0,162893,1219,12561629,WOODZ,Drowning
43,+6,Michael Jackson - Billie Jean,5,43,,23671,2361.0,90746,23671,90746,Michael Jackson,Billie Jean
44,-4,BTS - Into the Sun,59,16,,23512,-1075.0,165234,1451,1878761,BTS,Into the Sun
45,+3,PLAVE - Lunar Hearts,35,27,,23509,2072.0,163661,-674,776870,PLAVE,Lunar Hearts
46,-3,"AKMU - How can I love the heartbreak, you're the one I love",982,24,,23375,-68.0,163093,-2598,7256536,AKMU,"How can I love the heartbreak, you're the one I love"
47,=,NMIXX - Blue Valentine,217,3,(x5),23364,1628.0,143266,5728,7052981,NMIXX,Blue Valentine
48,+4,PLAVE - Blossom Parade,35,29,,22878,1871.0,159497,-645,768522,PLAVE,Blossom Parade
49,+7,VINXEN - FLYING HIGH WITH U,91,36,,22576,2024.0,137109,555,1579115,VINXEN,FLYING HIGH WITH U
50,+12,BOYNEXTDOOR - ddok ddok ddok,7,36,,22358,2744.0,150028,22358,150028,BOYNEXTDOOR,ddok ddok ddok
51,-5,Lim Young Woong - Eternal Moment,262,16,,22354,43.0,156934,-111,5915658,Lim Young Woong,Eternal Moment
52,+11,Yerin Baek - Antifreeze,584,5,,21913,2462.0,137736,1883,5366487,Yerin Baek,Antifreeze
53,-2,CORTIS - FaSHioN,185,12,,21472,333.0,139448,4742,3034410,CORTIS,FaSHioN
54,=,Kenshi Yonezu - IRIS OUT,245,1,(x19),21098,414.0,149689,-1922,13008336,Kenshi Yonezu,IRIS OUT
55,=,ILLIT - NOT CUTE ANYMORE,175,2,(x1),20815,193.0,137430,1041,5760213,ILLIT,NOT CUTE ANYMORE
56,-3,Justin Bieber - DAISIES,184,16,,20496,-243.0,153622,-3698,3415647,Justin Bieber,DAISIES
57,+4,LE SSERAFIM - CELEBRATION,24,31,,20320,696.0,151884,-3319,557830,LE SSERAFIM,CELEBRATION
58,-8,V - Winter Ahead (w/ Park Hyo Shin),534,2,(x1),20025,-1257.0,144211,1561,16582200,V,Winter Ahead (w/ Park Hyo Shin)
59,-2,BTS - they don’t know ’bout us,59,12,,19982,-383.0,151802,-2279,1970139,BTS,they don’t know ’bout us
60,+24,The Black Skirts - 1:05,396,45,,19805,2796.0,122206,672,4778112,The Black Skirts,1:05
61,-3,ILLIT - Billyeoon Goyangi (Do the Dance),336,4,,19678,-684.0,137678,807,8532364,ILLIT,Billyeoon Goyangi (Do the Dance)
62,+4,NewJeans - Hype Boy,1386,1,(x26),19255,684.0,126881,2362,23297459,NewJeans,Hype Boy
63,+2,ROSÉ - toxic till the end,529,2,(x15),19236,433.0,129574,800,11582467,ROSÉ,toxic till the end
64,+19,The Black Skirts - Ling Ling,193,58,,19189,2146.0,127758,56,2300949,The Black Skirts,Ling Ling
65,+2,The Kid LAROI - Stay (w/ Justin Bieber),1409,1,(x44),19148,705.0,127207,-267,11429957,The Kid LAROI,Stay (w/ Justin Bieber)
66,+13,LEE MU JIN - Coming Of Age Story,353,66,,19121,1772.0,118671,2898,3662447,LEE MU JIN,Coming Of Age Story
67,-7,NMIXX - Crescendo,7,43,,18726,-946.0,147325,18726,147325,NMIXX,Crescendo
68,-9,IVE - BANG BANG,97,3,(x3),18687,-1019.0,136243,-1427,3347204,IVE,BANG BANG
69,+2,Lim Young Woong - ULSSIGU,262,20,,18677,798.0,126614,135,5246151,Lim Young Woong,ULSSIGU
70,=,Lim Young Woong - Unread Message,262,26,,18251,184.0,125026,150,4895591,Lim Young Woong,Unread Message
71,+4,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee),1643,31,,18221,658.0,118404,-335,8568305,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee)
72,+21,Yoon Do Hyun - I Guess I Loved You,1033,51,,18215,1813.0,114888,3164,7963867,Yoon Do Hyun,I Guess I Loved You
73,-4,BLACKPINK - JUMP,311,2,(x1),18189,77.0,122902,1313,10074780,BLACKPINK,JUMP
74,-10,Sung Si Kyung - Every moment of you,191,41,,18081,-785.0,125857,751,2605484,Sung Si Kyung,Every moment of you
75,-7,Sung Si Kyung - Michide -On The Road-,175,51,,18064,-207.0,112749,1905,2391895,Sung Si Kyung,Michide -On The Road-
76,+20,HAON - Skrr (w/ GISELLE),421,23,,18023,1762.0,108681,1904,4967555,HAON,Skrr (w/ GISELLE)
77,+4,NewJeans - Ditto,1246,1,(x25),17967,876.0,122644,898,22956135,NewJeans,Ditto
78,-2,Loco - Say Yes (w/ Punch),339,61,,17918,453.0,111440,601,3598920,Loco,Say Yes (w/ Punch)
79,-5,Primary - Johnny (w/ Dynamicduo),350,65,,17749,6.0,107575,1093,3974831,Primary,Johnny (w/ Dynamicduo)
80,+8,Dominic Fike - Babydoll,61,58,,17656,1058.0,113043,83,989613,Dominic Fike,Babydoll
81,-3,Brown Eyes - 벌써 일년,424,34,,17582,212.0,120840,841,5932650,Brown Eyes,벌써 일년
82,+7,PSY - What Would Have Been? (Feat. Lena Park) (w/ Lena Park),384,67,,17461,869.0,108435,1073,4304862,PSY,What Would Have Been? (Feat. Lena Park) (w/ Lena Park)
83,-3,CORTIS - ACAI,14,52,,17286,142.0,132512,899,256103,CORTIS,ACAI
84,+79,10CM - To Reach You,209,8,,17256,3531.0,102132,3101,3234197,10CM,To Reach You
85,+18,Kenshi Yonezu - Lemon,1294,25,,17244,1388.0,109776,695,10572768,Kenshi Yonezu,Lemon
86,+1,"Car, the garden - Closely Far Away",617,11,,17191,246.0,120117,-2118,9721674,"Car, the garden",Closely Far Away
87,+10,Lim Young Woong - Wild flower,261,34,,17126,926.0,113465,432,4675774,Lim Young Woong,Wild flower
88,+2,HAON - Yarrr,5,78,,17078,552.0,84918,17078,84918,HAON,Yarrr
89,-12,BTS - FYA,59,5,,16932,-514.0,133553,-2244,2085018,BTS,FYA
90,+12,"NOWIMYOUNG - Money Checks (Prod. by Hukky Shibaseki) (w/ Fleeky Bang, Royal 44, Double Down, Young Shooter)",73,6,,16918,1022.0,113237,-1024,2099959,NOWIMYOUNG,"Money Checks (Prod. by Hukky Shibaseki) (w/ Fleeky Bang, Royal 44, Double Down, Young Shooter)"
91,-18,Lim Young Woong - Heavenly Ever After,399,9,,16857,-905.0,121514,-1853,8342061,Lim Young Woong,Heavenly Ever After
92,-7,Busker Busker - Cherry Blossom Ending,144,13,,16828,-180.0,117090,1208,1825198,Busker Busker,Cherry Blossom Ending
93,-49,Jung Kook - Standing Next to You,926,3,(x2),16695,-6686.0,142862,-173,25705918,Jung Kook,Standing Next to You
94,+38,HANRORO - I'm happy,22,94,,16674,2143.0,86775,1580,307648,HANRORO,I'm happy
95,+4,DAY6 - Time of Our Life -Japanese ver.- - Japanese ver.,1249,12,,16630,576.0,102494,1989,11983547,DAY6,Time of Our Life -Japanese ver.- - Japanese ver.
96,+8,aespa - Supernova,663,1,(x7),16620,795.0,113104,3392,14022596,aespa,Supernova
97,-6,BTS - Aliens,59,4,,16494,11.0,118448,-237,1967835,BTS,Aliens
98,+9,NewJeans - How Sweet,720,1,(x9),16454,687.0,112225,1500,13637044,NewJeans,How Sweet
99,-1,Justin Bieber - Baby (w/ Ludacris),35,41,,16448,304.0,106950,-914,678253,Justin Bieber,Baby (w/ Ludacris)
100,-14,Lim Young Woong - Left in the Rain,262,30,,16443,-562.0,113501,-228,4710074,Lim Young Woong,Left in the Rain
101,+7,NewJeans - Attention,1361,1,(x18),16365,690.0,111069,2471,17809500,NewJeans,Attention
102,+12,楽音 - mosi mosi?,25,62,,16274,894.0,109428,-2180,417961,楽音,mosi mosi?
