Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+1,DARA - Bangaranga,5,1,(x1),41289,31153.0,65422,41289,65422,DARA,Bangaranga
2,+3,Sal Da Vinci - Per sempre sì,5,2,(x1),15696,8085.0,42341,15696,42341,Sal Da Vinci,Per sempre sì
3,+10,Alexandra Căpitănescu - Choke Me,5,3,(x1),14934,8907.0,32601,14934,32601,Alexandra Căpitănescu,Choke Me
4,+11,"Satoshi - Viva, Moldova!",5,4,,11076,5095.0,31787,11076,31787,Satoshi,"Viva, Moldova!"
5,+9,Linda Lampenius - Liekinheitin (w/ Pete Parkkonen),6,5,,10707,4716.0,34558,10707,34558,Linda Lampenius,Liekinheitin (w/ Pete Parkkonen)
6,+16,Søren Torpegaard Lund - Før Vi Går Hjem - naughty version,3,6,,9843,4613.0,20878,9843,20878,Søren Torpegaard Lund,Før Vi Går Hjem - naughty version
7,+65,Noam Bettan - Michelle (w/ כאן - תאגיד השידור הישראלי),5,7,,9390,6090.0,21447,9390,21447,Noam Bettan,Michelle (w/ כאן - תאגיד השידור הישראלי)
8,+13,Akylas - Ferto,5,8,,8922,3687.0,26650,8922,26650,Akylas,Ferto
9,-6,Jung Kook - Seven (w/ Latto),723,1,(x1),8748,114.0,44607,3823,3694575,Jung Kook,Seven (w/ Latto)
10,-6,Lion Ceccah - Sólo Quiero Más,43,1,(x2),8663,661.0,41123,8663,201239,Lion Ceccah,Sólo Quiero Más
11,-10,OG Version - Pupytės (w/ Olialia Pupytės),26,1,(x23),8586,-2026.0,76696,-2313,458679,OG Version,Pupytės (w/ Olialia Pupytės)
12,+16,Antigoni - JALLA,5,12,,8057,3285.0,21880,8057,21880,Antigoni,JALLA
13,-2,Jin - Don’t Say You Love Me,365,1,(x111),7116,750.0,47361,-730,3697202,Jin,Don’t Say You Love Me
14,+26,FELICIA - My System,5,14,,6996,2794.0,21991,6996,21991,FELICIA,My System
15,+39,JONAS LOVV - Ya Ya Ya,3,15,,6756,3183.0,14560,6756,14560,JONAS LOVV,Ya Ya Ya
16,-10,Dominic Fike - Babydoll,311,1,(x38),6395,-354.0,48452,-567,1412899,Dominic Fike,Babydoll
17,+83,AIDAN - Bella,3,17,,5710,2839.0,11722,5710,11722,AIDAN,Bella
18,+84,Delta Goodrem - Eclipse,3,18,,5689,2827.0,11317,5689,11317,Delta Goodrem,Eclipse
19,-12,Free Finga - Liūdna!,17,1,(x1),5601,-967.0,56393,-2385,162704,Free Finga,Liūdna!
20,+70,Lavina - Kraj mene,5,20,,5593,2603.0,18192,5593,18192,Lavina,Kraj mene
21,-12,Michael Jackson - Billie Jean,45,6,,5407,-1023.0,41442,-56,170498,Michael Jackson,Billie Jean
22,-10,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),37,1,(x7),5333,-892.0,44155,-1268,310135,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
23,-4,Free Finga - Vienas,786,1,(x35),5203,-186.0,38659,267,6067642,Free Finga,Vienas
24,-14,Drake - National Treasures,3,4,,5090,-1326.0,23069,5090,23069,Drake,National Treasures
25,-17,Jessica Shy - Žvėris,341,1,(x47),5073,-1475.0,41630,-1056,3290732,Jessica Shy,Žvėris
26,-6,Temper City - Self Aware,61,6,,4965,-324.0,39511,-362,280240,Temper City,Self Aware
27,+39,Essyla - Dancing on the ice,5,27,,4928,1519.0,16941,4928,16941,Essyla,Dancing on the ice
28,+100,Monroe - REGARDE !,2,28,,4901,2343.0,7459,4901,7459,Monroe,REGARDE !
29,-12,"By Индия - Шадэ (w/ Xcho, МОТ)",10,9,,4737,-799.0,38334,1289,48094,By Индия,"Шадэ (w/ Xcho, МОТ)"
30,-4,Malcolm Todd - Earrings,50,7,,4736,-127.0,36656,-152,206639,Malcolm Todd,Earrings
31,+77,COSMÓ - TANZSCHEIN,3,31,,4677,1879.0,10224,4677,10224,COSMÓ,TANZSCHEIN
32,-8,Empire Of The Sun - We Are The People,806,7,,4501,-566.0,35514,-289,3057944,Empire Of The Sun,We Are The People
33,+109,ALICJA - Pray,4,33,,4480,1997.0,11645,4480,11645,ALICJA,Pray
34,+60,Sarah Engels - Fire,4,34,,4462,1493.0,12345,4462,12345,Sarah Engels,Fire
35,-19,Jessica Shy - 1000 Vėtrų,717,1,(x85),4294,-1319.0,34167,-192,6130138,Jessica Shy,1000 Vėtrų
36,-13,Michael Jackson - Beat It,23,15,,4196,-880.0,33449,-233,96494,Michael Jackson,Beat It
37,-8,Tame Impala - Dracula,234,5,,4146,-619.0,35019,-740,1119475,Tame Impala,Dracula
38,-20,Jessica Shy - Apkabink,1165,1,(x142),4094,-1337.0,30831,-167,9055744,Jessica Shy,Apkabink
39,-7,Buckshot - Fever (w/ fakemink),211,11,,3972,-526.0,32188,-324,841726,Buckshot,Fever (w/ fakemink)
40,-13,Drake - Whisper My Name,3,6,,3863,-940.0,19866,3863,19866,Drake,Whisper My Name
41,-8,The Chemical Brothers - Go,14,20,,3858,-601.0,31007,602,51635,The Chemical Brothers,Go
42,NEW,Daniel Žižka - CROSSROADS,1,42,,3857,,3857,3857,3857,Daniel Žižka,CROSSROADS
43,-9,Drake - Janice STFU,3,7,,3829,-609.0,17979,3829,17979,Drake,Janice STFU
44,+117,LELEK - Andromeda,2,44,,3826,1444.0,6208,3826,6208,LELEK,Andromeda
45,-9,Solo Ansamblis - Meilės Mašina,458,1,(x3),3814,-597.0,29928,-187,2991616,Solo Ansamblis,Meilės Mašina
46,-7,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),146,1,(x6),3794,-436.0,30658,-335,856313,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson)
