Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Asake - Gratitude,18,1,(x8),394857,-55960.0,3242445,-122610,10453283,Asake,Gratitude
2,=,Asake - Forgiveness,18,1,(x8),383271,-57554.0,3241859,-146575,9984570,Asake,Forgiveness
3,=,BNXN - Back Outside (w/ Sarz),28,1,(x7),338762,-60039.0,3035347,-15687,10072128,BNXN,Back Outside (w/ Sarz)
4,=,Asake - MCBH,18,3,(x9),314757,-38515.0,2603486,-97199,7990009,Asake,MCBH
5,=,Asake - Wa,18,5,,246674,-38083.0,2074842,-78925,6895753,Asake,Wa
6,=,Asake - WORSHIP (w/ DJ Snake),59,1,(x14),224276,-36804.0,1898476,-88049,17982283,Asake,WORSHIP (w/ DJ Snake)
7,=,Asake - Oba,18,4,,223021,-30805.0,1928967,-101538,6815000,Asake,Oba
8,=,Asake - Rora,18,2,(x1),205698,-31737.0,1784219,-91492,6594941,Asake,Rora
9,+1,Kidd Carder - Big Bum Bum (w/ Mavo),80,1,(x28),183524,-21701.0,1439014,-20458,20104056,Kidd Carder,Big Bum Bum (w/ Mavo)
10,-1,Asake - Amen,18,6,,180680,-27825.0,1571378,-86032,5854709,Asake,Amen
11,=,DJ Tunez - STATE OF MIND (w/ Wizkid),4,4,,164244,-31624.0,776343,164244,776343,DJ Tunez,STATE OF MIND (w/ Wizkid)
12,=,Asake - BADMAN GANGSTA (w/ Tiakola),298,1,(x2),153408,-23853.0,1323331,-68605,28534258,Asake,BADMAN GANGSTA (w/ Tiakola)
13,=,Asake - Asambe (w/ Kabza De Small),18,9,,151103,-22030.0,1291616,-62006,4615529,Asake,Asambe (w/ Kabza De Small)
14,=,Asake - WHY LOVE,448,3,(x6),143692,-21563.0,1248588,-70068,28448883,Asake,WHY LOVE
15,+6,Famous Pluto - Lakute,3,15,,140157,22514.0,416724,140157,416724,Famous Pluto,Lakute
16,=,BNXN - Already (w/ Sarz),7,8,,135786,-20349.0,1364134,135786,1364134,BNXN,Already (w/ Sarz)
17,-2,Wizkid - Jogodo (w/ Asake),123,1,(x49),133780,-26062.0,1069864,-18292,38668763,Wizkid,Jogodo (w/ Asake)
18,-1,Asake - Skilful,18,11,,130372,-20292.0,1150159,-69139,4227632,Asake,Skilful
19,=,BNXN - Rum & Soda (w/ Sarz),7,10,,117712,-7548.0,1167697,117712,1167697,BNXN,Rum & Soda (w/ Sarz)
20,-2,Famous Pluto - Chose Me (w/ Zaylevelten),3,13,,110478,-30175.0,445404,110478,445404,Famous Pluto,Chose Me (w/ Zaylevelten)
21,+2,Mavo - Tumo Weto,259,2,(x4),109037,-4960.0,852204,-14117,35799741,Mavo,Tumo Weto
22,=,Asake - Nzaza,1144,5,,107105,-10181.0,790224,-7075,52570195,Asake,Nzaza
23,+1,Joeboy - 100 Meters (w/ Wizard Chan),54,9,,98712,-13514.0,762999,-11689,5392858,Joeboy,100 Meters (w/ Wizard Chan)
24,+1,Asake - Remember,1068,8,,98635,-9974.0,738756,-13931,69953235,Asake,Remember
25,+3,BNXN - Emotional High (w/ Sarz),7,12,,94947,-10147.0,954235,94947,954235,BNXN,Emotional High (w/ Sarz)
26,+7,Mavo - Mofe,74,1,(x7),94525,-5712.0,690518,-4635,13235574,Mavo,Mofe
27,-1,"DJ Maphorisa - MONEY CONSTANT (w/ DJ Tunez, Wizkid, Mavo)",207,1,(x7),91983,-14591.0,696022,-2753,39155607,DJ Maphorisa,"MONEY CONSTANT (w/ DJ Tunez, Wizkid, Mavo)"
28,+6,"Young Jonn - 2Factor (w/ Asake, Focalistic)",171,3,(x10),91172,-7396.0,704176,-4142,24162032,Young Jonn,"2Factor (w/ Asake, Focalistic)"
29,-2,OMAH LAY - I AM,45,2,(x1),90027,-15602.0,744917,-21516,7344767,OMAH LAY,I AM
30,+2,Wizkid - Turbulence (w/ Asake),116,2,(x28),89883,-10809.0,712887,-14446,22764744,Wizkid,Turbulence (w/ Asake)
31,-1,Tml Vibez - Hello (w/ Victony),4,23,,87842,-15255.0,417925,87842,417925,Tml Vibez,Hello (w/ Victony)
32,-3,Mavo - Aura Salad (w/ SSSoundGawd),87,2,(x12),86626,-17471.0,686103,-13503,13449176,Mavo,Aura Salad (w/ SSSoundGawd)
33,-13,Drake - Make Them Cry,3,9,,86025,-37366.0,460011,86025,460011,Drake,Make Them Cry
34,+17,Famous Pluto - Group Chat (w/ Muyeez),3,34,,85343,3592.0,283669,85343,283669,Famous Pluto,Group Chat (w/ Muyeez)
